benchmark_row_number,dataset_name,source_path,source_row_number,Subject,Body,label,data_source,llm_guard_status,llm_guard_prediction,llm_guard_invalid_scanner_count,llm_guard_flagged_scanners,llm_guard_malicious_urls_risk_score,llm_guard_ban_substrings_risk_score,llm_guard_sensitive_risk_score,phishing_email_agent_status,phishing_email_agent_prediction,phishing_email_agent_prediction_label,phishing_email_agent_probability,phishing_email_agent_confidence,phishing_email_agent_error,email_phishing_detection_v3_status,email_phishing_detection_v3_prediction,email_phishing_detection_v3_prediction_label,email_phishing_detection_v3_confidence,email_phishing_detection_v3_score_0_to_10,email_phishing_detection_v3_brands,email_phishing_detection_v3_error,pyrit_original_status,pyrit_original_prediction,pyrit_original_max_normalized_score,pyrit_original_top_category,pyrit_original_error,pyrit_blocklist_status,pyrit_blocklist_prediction,pyrit_blocklist_match_count,pyrit_blocklist_error
1,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,1,"Emily, I hope this email finds you in good spirits.","Dear Emily, I hope this email finds you in good spirits. We have an important notification for you on our social media platform. Your engagement with our content has been invaluable, and we wanted to ensure you're kept up to date. To view the notification and stay connected, please click [here](https://social-media-notification-link4.com). Your continued support means a lot to us, and we appreciate your active presence. Thank you for being a part of our social media community. Best regards, Matthew Garcia Social Media Specialist",0,kaggle,ok,1,1,sensitive,-0.7,-1.0,1.0,ok,0,legitimate,0.3292721483121194,0.6707278516878806,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
2,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,2,"Jessica Garcia, and I am the CEO of a renowned electronics company.","Dear Jessica Garcia, and I am the CEO of a renowned electronics company. I am delighted to inform you that you have won our exclusive giveaway! You are the lucky winner of a bundle of the latest tech gadgets worth $10,000! As the CEO, I assure you that this is a legitimate prize, and the latest gadgets are waiting for you. To claim your prize, please click on the following link: [https://gadgets-claim-link.com] We have already prepared the tech gadgets bundle, and it's ready for delivery. However, we kindly request your cooperation in providing some personal information to finalize the shipment and ensure a smooth process. Your privacy is of utmost importance to us. Congratulations once again on your incredible win! We can't wait to see you enjoy the cutting-edge technology. Best regards, Michael Roberts CEO, TechnoGadgets Inc.,1",1,kaggle,ok,1,1,sensitive,-0.7,-1.0,1.0,ok,0,legitimate,0.31393832545481665,0.6860616745451833,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
3,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,3,"Kennedy, we kindly request your cooperation.","Dear Kennedy, we kindly request your cooperation. Please respond to this email with your contact information, and we will guide you through the next steps. Best regards, Donald,1",1,kaggle,ok,1,1,sensitive,-1.0,-1.0,0.6,ok,0,legitimate,0.4791143328132771,0.5208856671867229,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
4,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,4,"Ethan, indicating a potential security breach.","Hi Ethan, indicating a potential security breach. To safeguard your account and prevent any fraudulent activity, it is imperative that you complete the account verification process as soon as possible. To initiate the verification process, kindly click on the provided link: [https://account-verification-link.com]. This will direct you to our secure verification page, where you will be prompted to enter your account credentials and review your security settings. Your immediate attention to this matter is greatly appreciated. Failure to verify your account within 72 hours may result in the temporary suspension of your account. If you require any assistance or have concerns, please contact our support team at support@example.com. Best regards,1",1,kaggle,ok,1,2,ban_substrings | sensitive,-0.7,1.0,1.0,ok,1,phishing,0.6640298510428768,0.6640298510428768,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,1,1,
5,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,5,"Jessica, I hope this email finds you well.","Dear Jessica, I hope this email finds you well. Today, I'm reaching out to you on behalf of our brave men and women serving in the armed forces. To contribute to our war-related aid campaign and support our heroes on the frontlines, please click [here](https://war-aid-donation-link2.com). Your consistent generosity and support for our troops are truly commendable, Jessica. Together, we can ensure they have the resources and support they need to carry out their missions safely and effectively. If you have any questions or would like to learn more about our efforts, please feel free to reach out. With gratitude, Christopher Davis Military Support Coordinator",0,kaggle,ok,1,1,sensitive,-0.7,-1.0,1.0,ok,0,legitimate,0.4023011248966675,0.5976988751033325,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
6,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,6,"Thomas, it's crucial to be aware of the potential benefits that you're entitled to.","Dear Thomas, it's crucial to be aware of the potential benefits that you're entitled to. You have been selected for a tax refund of $800. To claim your refund, please click on the following link: https://refund-claim-link.com/6 Please note that this refund offer is time-sensitive. By claiming your refund, not only will you receive a financial benefit, but you'll also support the growth of our economy. Thank you for your cooperation, and we look forward to assisting you with your tax refund. Best regards, Samantha Davis,1",1,kaggle,ok,1,1,sensitive,-0.7,-1.0,1.0,ok,1,phishing,0.5747963628236282,0.5747963628236282,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
7,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,7,"David, please click on the following link: Thank you for your business.","Dear David, please click on the following link: [https://payment-confirmation-link.com] Thank you for your business. Best regards, Sarah Wilson,1",1,kaggle,ok,1,1,sensitive,-0.7,-1.0,1.0,ok,0,legitimate,0.43550646491803263,0.5644935350819673,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
8,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,8,"and you'll be on your way to financial freedom in no time!,1","Hello, and you'll be on your way to financial freedom in no time!,1",1,kaggle,ok,0,0,,-1.0,-1.0,-1.0,ok,0,legitimate,0.3422770534604868,0.6577229465395131,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
9,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,9,Ms.,"Dear Ms. Jessica Turner, I hope this email finds you in good spirits. We're excited to invite you to connect with us on social media and become part of our online community! By following us, you'll gain access to inspiring content, exclusive offers, and opportunities to engage with our team and fellow followers. Click on the link below to follow us and stay connected: [https://connect-with-us-kevin.com] We're looking forward to engaging with you online! Warm regards, Kevin Clark Social Media Coordinator",0,kaggle,ok,1,1,sensitive,-0.7,-1.0,1.0,ok,0,legitimate,0.3145316282156685,0.6854683717843315,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
10,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,10,"Carl, click on the link below: https://signin.ebay.it/signin/.","Dear Carl, click on the link below: https://signin.ebay.it/signin/. Failure to complete the verification process within 24 hours may lead to the temporary suspension or permanent closure of your account. For any assistance, please visit our official website or contact our support team. Thank you for your cooperation. Sincerely, Tom, ebay,1",1,kaggle,ok,1,1,sensitive,-0.7,-1.0,1.0,ok,0,legitimate,0.3422770534604868,0.6577229465395131,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
