subject,body,label,model_prediction
Issues with Latest Billing Statements,There are ongoing inconsistencies in the billing statements.,0,0
Final Notice Coming for a T-Mobile  $90 Offer  Consumer Rewards,"<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><p style=""color:white""></p>
<center>
<p style=""text-align: center;"">
<a href=""https://t.co/5gy2rTVv7Y"" target=""_blank"" style=""text-decoration:none;"">
<span style=""font:30px calibri; color:#ff0066; ""> <b>T-Mobile®<p>
$90 Free Trial Offer Confirmed. Claim Now!<p>
</b></span></a><br><br><br>
<a href=""https://t.co/5gy2rTVv7Y"" target=""_blank"" style=""text-decoration:none;"">
<span style=""font:25px calibri; color:#1d1b10;background-color: #ffc000

;padding:5px 55px;border-radius:00px; ""> <b>Take Survey Now! </b></span></a>
</p>
<a href=""https://t.co/5gy2rTVv7Y"" style=""text-decoration:none""><br>
<br>
<img width=""100%"" src=""https://i.imgur.com/wQ3KbKh.jpg""><img width=""100%"" src=""//i.imgur.com/wQ3KbKh.jpg""><br>
<br><br>
</a>

<center>
<h6>
<br>You may unsubscribe at any time.
<a href=""https://t.co/5gy2rTVv7Y"" style=""color:#404040 !important;text-decoration: underline; -ms-text-size-adjust:100%; -webkit-text-size-adjust:100%; "">
Unsubscribe</a><br> or by writing to 1070 montgomery rd altamonte springs fl 32714
</h6>

<br><br><br><br>
<h6>
If you no longer wish to receive these emails, you may unsubscribe by clicking

<a href=""http://dtherhproblem.us/su47479nCRMU22448528qZjd49413ZVe68834ecJB3329"" style=""color:#404040 !important;text-decoration: underline; -ms-text-size-adjust:100%; -webkit-text-size-adjust:100%; "">
CLICK HERE</a><br>110 N Interstate 35, Round Rock, TX 78681</h6>
</center>

<style>
<a href

44e22e35+++0ab5+++dd0c+++f994+++5b103d9b1d42b

3cefb018+++3f2f+++f5e7+++3478+++148cf91fe9954

01f469a7+++c5f7+++60a1+++97f2+++0b4311362eb6a

b31d1c6d+++e2f6+++47b2+++69de+++2389f064efccc

6e2159c1+++86c8+++3913+++54c0+++cb45cb4384924

516adf31+++4274+++d934+++0f11+++1cd61a5cd76b3

10c92f7a+++fa01+++9d0a+++09b7+++a97fd3c8ef998

307592fb+++27bb+++6e08+++0fa6+++7396e7e2c4e1c

4120c38e+++68e4+++7d29+++3691+++2516fb77d1ad9

95bed6f6+++1618+++f7f3+++fd45+++3bb5921673438

0967eb65+++fd39+++447e+++a92e+++e4b1937b90fd9

ff1ec9eb+++9b7c+++afec+++0c78+++44c5da1b99771

81e1d4b7+++ff8b+++221b+++3833+++a1eb65f147af8

452c4d4e+++d26e+++43a8+++7a17+++02c0534572e95

863aeb1c+++8917+++9edc+++ddd2+++ac1f0d913dee2

7b11769b+++a589+++5813+++46c7+++8928952253572

6d7b63d6+++1424+++a4a4+++ab46+++ac98a7759c25b

7053c1aa+++456a+++7972+++47b2+++16a427189b209

5b0bd63e+++d714+++da36+++1e30+++bb8d1788cddcd

9cd47b09+++544f+++3dbb+++fb98+++2611c1205fd45

84d9029f+++d705+++e0ab+++d100+++84af773453774

1b758adb+++22d0+++7650+++d000+++07f4f50f45480

0b474d74+++c49b+++1159+++9f06+++170aede305540

24411f2e+++b881+++1f94+++742c+++50caa10aab9af

937fc3fa+++f8a7+++83d5+++3409+++229a1107f9d45

c73f63ff+++21b8+++5c50+++3f20+++33afc8842e31f

343744cc+++72a9+++b7c1+++14b1+++0907a1339f986

da37fa06+++ec5e+++182d+++78a1+++bbacc5f1129e4

092f13ed+++5785+++4753+++d24d+++2ab40963d1675

6733b2a1+++c058+++84ac+++b52a+++d5aa0c24d1780

c2086943+++5a85+++3747+++118a+++24e4298d84234

3eb1afaf+++7a1c+++1322+++76ce+++83a5058b665d3

fe7973eb+++7138+++9e93+++4e40+++5ac1bafe6ea70

00d39ac1+++c3ef+++631e+++012f+++9679746345835

46027aa8+++863f+++f9fb+++5b07+++0f9cdb15a4609

9d34bf09+++28e8+++195b+++e086+++1e827ea61252b

f2097b22+++280c+++c17a+++039b+++e3513ad3c81ba

e10f1e2d+++897d+++ab8a+++d043+++6357128453f7c

af03525b+++0559+++27bd+++8a31+++781d21671164a

53d779e8+++0cef+++e57a+++d1d1+++d8ed3461e7a19

cf5a0e0e+++c81e+++e3d8+++e49e+++ed196a4b6645c

5c359d3c+++73e5+++78ce+++5a4f+++70e7dcc3d3ece

df619f02+++1bc3+++bbc6+++4f97+++4ce36a3ceded3

d35736ea+++6bc6+++3bcc+++870e+++91a8d327dcf31

16cd1bce+++474b+++5503+++95a6+++5e00997946187

ac16084b+++2c64+++a6f6+++6b3f+++9d6a3cdf5db7d

3431a270+++fbd8+++9179+++4435+++33eb6c2ab7e76

1d194e18+++b5df+++844d+++a8c6+++88ab7ff22f8ad

7cfdc01a+++9e39+++1295+++e27b+++aba53e1182b61

83ca098a+++7e21+++2d18+++2924+++336e8d561e3c8

4d898fef+++9d2a+++5732+++d62f+++0f952e404bcf1

5d8ce722+++6846+++3e11+++6697+++1b5c31568da96

3e007b80+++c276+++46fa+++bd35+++3d93e246ed5d6

1e0e278e+++2379+++cc0b+++5f9e+++acebdf958d802

03eaf15f+++a19a+++2d75+++bced+++47b48141dee50

e4a62fd7+++7277+++6ccd+++d362+++3e8774339206b

af1c2404+++3ee0+++8f28+++3e5a+++dac1e3031954e

7d716dd6+++8d43+++fcfa+++d18b+++3824c56a69390

4fd6c128+++8879+++9016+++9b7e+++c41e79a6733e5

f85275da+++b0c2+++ac1c+++28b1+++7b8668ee5669c

a99ee888+++3e49+++d9e8+++19fe+++3f8435f066652

65a7b286+++b143+++1de9+++e26c+++161bdd6ba3e9a

51c23c3b+++10bd+++9f83+++5e8e+++2c834d56d469e

a8af8187+++5a60+++7f1a+++9652+++4bc7595e9e004

5235e65e+++17b1+++b354+++02f4+++d3c738503a80b

0268ef41+++f042+++8e02+++8a57+++82de01516a637

33d5a1d5+++fb10+++f2b2+++9ee5+++84379746e9ad3

40675459+++fe7f+++929c+++741c+++d54aecbc519ba

f49a7708+++7f26+++07f3+++3f56+++d3668797e265e

789eafec+++58f8+++1e8b+++309d+++e84f8bd9779b9

779595e4+++d727+++5c35+++7f36+++66a94414f7260

300a5069+++441d+++6b61+++a9b6+++fe422eecb9cbc

822d4021+++dee5+++4c26+++10ee+++9bec7bbdd9d0f

1a4d3705+++8386+++ca65+++21c5+++f9b9c4f76f263

90e9365c+++f1f0+++2f7e+++72bc+++56fb5c0b31cd8

b1d841e9+++7852+++d03b+++c99a+++03ade635932c6

4677fad5+++f957+++3bd7+++f405+++ee52ca91fcdfb

71fcaf79+++df21+++abdc+++eedd+++6e8e4ed9b3d27

e55c85e0+++948e+++9d1e+++115d+++11f839fb68a89

de8a1ce1+++bd01+++eef4+++bf16+++6de8f8f89baec

4b646469+++752c+++dd4d+++464d+++650b4d6eee758

04e83d72+++844b+++ca83+++14b2+++6b4cc89f3e520

df1cf323+++7db9+++0b12+++5d73+++4e4c0c425b4d7

e4b79b45+++ab52+++6550+++622b+++5b5657f61a638

c780e822+++0687+++3500+++642a+++90b0e733c6903

f447136e+++975c+++dc66+++3e63+++418d2bede6f12

8727788d+++a293+++cef3+++8cba+++73eede577a0eb

07c69160+++8980+++f1fa+++f76f+++f6af8c507b7cb

6183045e+++f728+++4276+++b14a+++33bb317605ac1

d9fd95bf+++b657+++7a58+++a440+++31d29684efab4

fa840fc0+++d8ee+++3b2d+++d0b2+++fc7d0f02eb61b

e0124ee7+++17cf+++b2f0+++e728+++af6ea105d5400

ed96bf11+++d07b+++6901+++0ad8+++17e31397af620

eae549fb+++50d1+++887b+++9cd9+++3b8b6255e1076

aa9de582+++2d19+++c1b1+++eb7a+++865d77ae1e2be

c060c14f+++d772+++cc83+++9a2b+++227d75138cc7c

2567de3f+++e3b1+++5f72+++3f99+++f47828f195e55

f4c18dd2+++039b+++2a03+++ebf9+++59e78a382a5f1

272da768+++4b8b+++99e1+++9d7f+++bce384cde8b3c

9fc70190+++56ac+++3a89+++5c6f+++d8ff3f8db99e8

aad20661+++632c+++c9b8+++8c51+++4bf576324fb43

78d3f944+++d006+++3637+++5bc6+++96f4e8945d814

2d1aa92d+++e389+++6063+++553d+++d0813653b10d3

dc9b0455+++83b0+++73bd+++6fe1+++42e931c7f1e5d

b1fc5b38+++c981+++f4e1+++2992+++6ea6cbad0d107

60a9c3ae+++1963+++d29b+++a36b+++e4846acb600d8

b57ac1c3+++04e7+++5ff9+++1f09+++a6eb7a4303962

e7292e37+++1400+++08f5+++a148+++fbe27d95c286c

c072b560+++1597+++a64d+++708d+++390d55dc6f8db

b84246d2+++b385+++05d3+++f4b2+++3b307efdb9abf

f3e731a0+++eebb+++4cdf+++354f+++cdb7e94a992d0

90643ae4+++5b99+++5ef5+++bb47+++54562e502435e

cda21a3e+++248b+++795e+++5bdf+++d9d0efdaac496

f02f5eb8+++a26c+++0f5e+++24db+++445caafb44322

e03441ec+++b75e+++dff5+++8012+++5ebe1a3ae9c2a

975943e4+++0ff8+++867f+++4c5d+++89d3b6896e100

24750d75+++3d02+++d498+++433f+++1cc6c205350a7

2655cba7+++029c+++0db2+++8df9+++bc29e290b39a4

b0f89db2+++6417+++9e6f+++e776+++c2cf965df4e35

19e37b13+++7c91+++d7b2+++e241+++a3b4873255b52

583cc782+++3f46+++a641+++163f+++9c9658af6b8fd

df426a38+++c470+++40bf+++703a+++3e04a90a5f132

4b28c5cc+++f0dd+++bcb9+++5f6b+++cb70bb2493d2c

12f76320+++471d+++432c+++700f+++e61540944b206

318ad8c3+++b0cb+++9dd4+++fcf3+++a08ca5601f111

c6a60e9b+++bd86+++2134+++b1bd+++7f60705870448

0e7aaf86+++1770+++44e7+++b44b+++fa81f32bc7736

88de8aff+++7b0b+++7268+++b75e+++cfff5cfc46cdd

068abf86+++6fe3+++a41f+++5d9f+++650b87822771c

ca66ce3e+++83d5+++98d9+++8489+++f9d201c7921ba

90c9f900+++5eaf+++4bd3+++65ef+++461cd8db0df2a

2e786560+++692e+++69ea+++6ee4+++76c64d04cd204

f09c98f2+++ff15+++957e+++a3e3+++8a8048302bf4a

4946934e+++1baa+++ec85+++0204+++04c1153ca2337

af84af11+++ca0b+++a0c2+++9f84+++6827eb01e8533

bb390aa9+++95f0+++4037+++5148+++81b09e3abedb6

9655d445+++efa5+++3414+++18ad+++1a8e33a2cdfd9

f4c61564+++238f+++829a+++5b35+++7c9d963744b2f

b99b874e+++9f4e+++81c0+++b1dd+++de2a7af95c5f7

1658b14f+++8a09+++dd7f+++2183+++e34aa3e33eda3

842bc324+++31a9d73+++38ad+++7fe7+++05054d1fdbc1c

275bfbe2+++9e87+++4799+++ce26+++757b2c7d76389

ba8ec+++3c54+++d945+++8638+++0a60fa453bb0f

>

</html>",1,1
Integration of Zoho Books with Data Analytics Tools,"I am keen on integrating Zoho Books with data analytics tools to better track and report on investments. Could you give more details on how to accomplish this? It would be great to understand the advantages and any possible drawbacks of such an integration. Also, could you suggest some specific tools for this purpose?",0,0
Poste.it chiede il vostro contributo !,[],1,0
AVISO: Seus 82.833 est��o pr��ximos de vencer. Efetue o resgate imediatamente - PROTOCOLO 20230822342.,"<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><table style=""background-color:#ffffff"" cellspacing=""0"" cellpadding=""0"" bgcolor=""#ffffff"" width=""100%"">

<tbody>

<tr>

<td align=""center"" valign=""top"">

<font color="""">

</font>

<font color="""">

</font>

<table align=""left"" border=""0"" cellpadding=""0"" cellspacing=""0"" width=""100%"">

<tbody>

<tr>

<td>

<font color="""">

</font>

<font color="""">

</font>

<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""100%"">

<tbody>

<tr>

<td align=""center"" valign=""top"">

<font color="""">

</font>

<font color="""">

</font>

<font color="""">

</font>

<table align=""left"" border=""0"" cellpadding=""0"" cellspacing=""0"" width=""100%"">

<tbody>

<tr>

<td align=""left"" valign=""top"">

<font color="""">

</font>

<font color="""">

</font>

<font color="""">

</font>

<table cellspacing=""0"" cellpadding=""0"" style=""width:100%"">

<tbody>

<tr>

<td valign=""top"" style=""width:100%"">

<table cellpadding=""0"" cellspacing=""0"" width=""100%"" role=""presentation"" style=""min-width:100%"">

<tbody>

<tr>

<td>

<table border=""0"" cellpadding=""0"" cellspacing=""0"" role=""presentation"" style=""Margin:0 auto;background:#CC092F;color:#ffffff;margin:0 auto;width:100%"">

<tbody>

<tr>

</tr>

</tbody>

</table>

<table cellpadding=""0"" cellspacing=""0"" width=""100%"" role=""presentation"" style=""background-color:transparent;max-width:600px;Margin:0 auto"">

<tbody>

<tr>

<td style=""padding:15px"">

<table cellspacing=""0"" cellpadding=""0"" role=""presentation"" style=""width:100%"">

<tbody>

<tr>

<td>

<table cellspacing=""0"" cellpadding=""0"" role=""presentation"" style=""width:100%"">

<tbody>

<tr>

<td valign=""top"" style=""width:20%;padding-right:4px"">

<table cellpadding=""0"" cellspacing=""0"" width=""100%"" role=""presentation"" style=""min-width:100%"">

<tbody>

<tr>

<td>

<table width=""100%"" cellspacing=""0"" cellpadding=""0"" role=""presentation"">

<tbody>

<tr>

<td align=""center"">

<img src=""https://i.imgur.com/WkibSPw.png"" alt="""" width=""100"" style=""display:block;padding:0px;text-align:center;width:200px;border:0px"" class=""CToWUd"" data-bit=""iit"">

</td>

</tr>

</tbody>

</table>

</td>

</tr>

</tbody>

</table>

</td>

<td valign=""top"" style=""width:46%;padding-left:2px;padding-right:2px"">

<table cellpadding=""0"" cellspacing=""0"" width=""100%"" role=""presentation"" style=""background-color:transparent;min-width:100%"">

<tbody>

<tr>

<td style=""padding:10px 0px 0px"">

<div style=""line-height:115%;vertical-align:middle"">

<span style=""color:#606060"">

<b><b><b><b><b><b><b> <span style=""font-size:10px""><span style=""color:#ffffff""></span></span></b></b></b></b></b></b></b></span>

</div>

</td>

</tr>

</tbody>

</table>

</td>

<td valign=""top"" style=""width:34%;padding-left:4px"">

<table cellpadding=""0"" cellspacing=""0"" width=""100%"" role=""presentation"" style=""min-width:100%"">

<tbody>

<tr>

<td>

<table width=""100%"" cellspacing=""0"" cellpadding=""0"" role=""presentation"">

<tbody>

<tr>

<td align=""center"">

<br>

<img src=""https://i.imgur.com/tdGRkSH.png"" alt="""" width=""200"" style=""display:block;padding:0px;text-align:center;border:0px;margin-top: -20px;"" class=""CToWUd"" data-bit=""iit"">

</td>

</tr>

</tbody>

</table>

</td>

</tr>

</tbody>

</table>

</td>

</tr>

</tbody>

</table>

</td>

</tr>

</tbody>

</table>

</td>

</tr>

</tbody>

</table>

</td>

</tr>

</tbody>

</table>

<table cellpadding=""0"" cellspacing=""0"" width=""100%"" role=""presentation"" style=""min-width:100%"">

<tbody>

<tr>

<td>

<center style=""background-color:#f4f4f4;max-width:600px;margin:0 auto"">

<div style=""display:none;font-family:'Verdana',sans-serif;font-size:1px;line-height:1px;max-height:0px;max-width:0px;overflow:hidden"">

‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;

</div>

<div style=""background:#ffffff;background-color:#ffffff;color:#e50091;margin:0 auto;max-width:600px"">

<div style=""background:#fff;background-color:#fff;color:#ffffff;margin:0 auto;max-width:600px"">

</div>

<table border=""0"" cellpadding=""0"" cellspacing=""0"" role=""presentation"" style=""border-collapse:collapse!important;margin:0 auto;width:100%"">

<tbody>

<tr style=""margin-bottom: 10px;"">

<td <span="""" style=""color:#2f237d;text-align:center;display:block;font-size:20px;font-weight: 600;"">

<br>

<center>Olá, rodrigo-f-p@hotmail.com
</center>

<br>

Seus pontos acumulados estão pertos de vencer, utilize em nossos programas parceiros antes que eles expirem! Troque por passagens aéreas e realize a viagem dos sonhos, você cliente BB tem pontos em dobro.

<br>

Para resgatar seus PONTOS LIVELO BB, acesse:

</span>

</td>

</tr>

<tr style=""margin-bottom: 10px;"">

<td style=""padding-top:40px"">

<a style=""display:block;text-decoration:none;width:300px;margin:0px auto;padding:10px 0px 10px 0px;background:#E50091;border-bottom:0px solid #E50091;border-radius:8px;font-size:20px;font-weight:bold;color:white;letter-spacing:-0.02em;text-align:center;line-height:1em"" title=""Resgatar Pontos"" href=""https://function-14-zka7zvb73a-nn.a.run.app"" rel=""noreferrer nofollow noopener"" target=""_blank"">Resgatar Pontos</a>

</td>

</tr>

<br>

<tr>

<td style=""padding:15px;margin-top: 10px;"">

<div style=""padding:20px;border:1px solid #ccc;border-radius:10px"">

<table bgcolor=""#ffffff"" cellpadding=""0"" cellspacing=""0"" style=""width:100%"">

<tbody>

<tr>

<td colspan=""2"" style=""padding:20px 0;padding-right: 20px;"">

<span style=""font-family:Arial;font-size:36px;font-weight:bold;font-style:normal;font-stretch:normal;line-height:1.11;letter-spacing:normal;color:#190f55"">85.92</span></td>

<td>

<span style=""font-family:Arial;font-size:15px;font-weight:500;font-style:normal;font-stretch:normal;line-height:1.46;letter-spacing:normal;color:#818181"">Ganhe pontos para trocar por viagens, produtos ou cashback. Compras com cartão de crédito Banco do Brasil tem pontos em dobro.</span></td>

</tr>

<tr>

<td colspan=""2"">

<span style=""font-family:Arial;font-size:12px;font-weight:500;font-style:normal;font-stretch:normal;line-height:1.86;letter-spacing:normal;color:#818181"">Expira em: 14/09/2023</span></td>

<td>

&nbsp;</td>

</tr>

</tbody>

</table>

</div>

</td>

</tr>

</tbody>

</table>

</div>

</td>

</tr>

</tbody>

</table>

</div>

</center>

</td>

</tr>

</tbody>

</table>

<table cellpadding=""0"" cellspacing=""0"" width=""100%"" role=""presentation"" style=""min-width:100%"">

<tbody>

<tr>

<td>

<div style=""margin:0 auto;max-width:600px;background-color:#2f1e80"">

<table role=""presentation"" cellspacing=""0"" cellpadding=""0"" border=""0"" style=""Margin:0 auto;margin:0 auto;width:100%"">

<tbody>

<tr>

<td align=""center"">

<div style=""margin:0 auto;max-width:600px"">

<table bgcolor=""#2f1e80"" style=""padding:15px 0"" align=""center"" role=""presentation"" border=""0"" cellpadding=""0"" cellspacing=""0"" width=""100%"">

<tbody>

<tr>

<td>

<div style=""display:inline-block;max-width:288px;min-width:200px;vertical-align:middle;width:100%"">

<table border=""0"" cellpadding=""0"" cellspacing=""0"" role=""presentation"" width=""100%"" align=""center"">

<tbody>

<tr>

<td align=""center"" style=""font-size:0;padding:0"" valign=""middle"">

<table align=""center"" border=""0"" cellpadding=""0"" cellspacing=""0"" role=""presentation"">

<tbody>

<tr>

<td style=""padding:15px 5px;font-size:11px;line-height:5px;color:#606060"">

<p style=""Margin:0;color:#ffffff;font-family:'Signika',sans-serif;font-size:14px;line-height:.5;margin:0;padding:5px;text-align:center"">

<strong>Quer

falar

com

a

gente?</strong>

</p>

</td>

</tr>

</tbody>

</table>

</td>

</tr>

<tr>

<td align=""center"" style=""font-size:0;padding:0"" valign=""middle"">

<table align=""center"" border=""0"" cellpadding=""0"" cellspacing=""0"" role=""presentation"">

<tbody>

<tr>

<td style=""padding-right:6px"">

<a href=""#"" name=""m_-7291588435490125035_m_-1911300573155599170_LINK_FALEWHATS"" style=""text-decoration:none"" target=""_blank"" data-saferedirecturl=""#""><img alt=""Fale no Whats"" src=""https://i.imgur.com/svRYvLj.png"" style=""Margin:0;background:#fff;border:0;color:#ffffff;display:block;font-family:'Verdana',sans-serif;font-size:14px;height:auto;margin:0;padding:0;max-width:110px"" class=""CToWUd"" data-bit=""iit""></a>

</td>

<td><a href=""#"" name=""m_-7291588435490125035_m_-1911300573155599170_LINK_FALECHAT"" style=""text-decoration:none"" target=""_blank"" data-saferedirecturl=""#""><img alt=""Fale no Chat"" src=""https://i.imgur.com/4Fwh8Cq.png"" style=""Margin:0;background:#fff;border:0;color:#ffffff;display:block;font-family:'Verdana',sans-serif;font-size:14px;height:auto;margin:0;padding:0;max-width:110px"" class=""CToWUd"" data-bit=""iit""></a>

</td>

</tr>

</tbody>

</table>

</td>

</tr>

<tr>

<td align=""center"" style=""font-size:0;padding:0"" valign=""middle"">

<table align=""center"" border=""0"" cellpadding=""0"" cellspacing=""0"" role=""presentation"">

<tbody>

<tr>

<td style=""padding:15px 5px;font-size:11px;line-height:5px;color:#606060"">

<p style=""Margin:0;color:#ffffff;font-family:'Signika',sans-serif;font-size:10px;line-height:.5;margin:0;padding:5px;text-align:center"">

Atendemos

7

dias

por

semana,

das

08h

às

22h.

</p>

</td>

</tr>

</tbody>

</table>

</td>

</tr>

</tbody>

</table>

</div>

<div style=""display:inline-block;max-width:288px;min-width:200px;vertical-align:middle;width:100%;margin-top: -70px;"">

<table border=""0"" cellpadding=""0"" cellspacing=""0"" role=""presentation"" width=""100%"" align=""center"">

<tbody>

<tr>

<td align=""center"" style=""font-size:0;padding:0"" valign=""middle"">

<table role=""presentation"" cellspacing=""0"" cellpadding=""0"" border=""0"" width=""100%"">

<tbody>

<tr>

<td style=""padding:5px;font-size:11px;line-height:5px;color:#aaa"">

<p style=""Margin:0;color:#ffffff;font-family:'Signika',sans-serif;font-size:11px;line-height:.5;margin:0;padding:5px;text-align:center"">

Siga

a

Livelo

nas

redes

sociais:

</p>

</td>

</tr>

<tr>

<td align=""center"" valign=""top"" style=""font-size:0"">

<div style=""display:inline-block;width:100%;min-width:200px;max-width:288px;vertical-align:top"">

<table role=""presentation"" cellspacing=""0"" cellpadding=""0"" border=""0"" width=""100%"">

<tbody>

<tr>

<td>

<table role=""presentation"" cellspacing=""0"" cellpadding=""0"" border=""0"" width=""100%"" style=""font-size:14px;text-align:center"">

<tbody>

<tr>

<td style=""padding:10px"">

<a href=""#"" style=""text-decoration:none"" name=""m_-7291588435490125035_m_-1911300573155599170_www_facebook_com_livelooficial_"" target=""_blank"" data-saferedirecturl=""#""><img name=""m_-7291588435490125035_m_-1911300573155599170_Cont_1"" src=""https://i.imgur.com/nlZHkY7.png"" width=""35"" height="""" border=""0"" alt=""Icone Facebook"" style=""Margin:0;border:0;color:#ffffff;display:block;font-family:'Signika',sans-serif;font-size:14px;height:auto;line-height:14px;margin:0 auto;max-width:35px;padding:0;width:100%"" class=""CToWUd"" data-bit=""iit""></a>

</td>

<td style=""padding:10px"">

<a href=""#"" style=""text-decoration:none"" name=""m_-7291588435490125035_m_-1911300573155599170_www_instagram_com_livelo_"" target=""_blank"" data-saferedirecturl=""#""><img name=""m_-7291588435490125035_m_-1911300573155599170_Cont_2"" src=""https://i.imgur.com/fXP6i7S.png"" width=""35"" height="""" border=""0"" alt=""Icone Instragram"" style=""Margin:0;border:0;color:#ffffff;display:block;font-family:'Signika',sans-serif;font-size:14px;height:auto;line-height:14px;margin:0 auto;max-width:35px;padding:0;width:100%"" class=""CToWUd"" data-bit=""iit""></a>

</td>

<td style=""padding:10px"">

<a href=""#"" style=""text-decoration:none"" name=""m_-7291588435490125035_m_-1911300573155599170_br_linkedin_com_company_livelo_brasil"" target=""_blank"" data-saferedirecturl=""#""><img name=""m_-7291588435490125035_m_-1911300573155599170_Cont_3"" src=""https://i.imgur.com/sPXI2T8.png"" width=""35"" height="""" border=""0"" alt=""Icone Linkedin"" style=""Margin:0;border:0;color:#ffffff;display:block;font-family:'Signika',sans-serif;font-size:14px;height:auto;line-height:14px;margin:0 auto;max-width:35px;padding:0;width:100%"" class=""CToWUd"" data-bit=""iit""></a>

</td>

<td style=""padding:10px"">

<a href=""#"" style=""text-decor",1,1
Problem during Launch,"Several digital campaigns could not launch on various platforms because of incompatibility with recent software updates, leading to integration problems. Despite attempting to restart systems, verifying configurations, and updating drivers, the issue remains unresolved.",0,0
Pipeline Update - February 19,"Morning update:

Opportunities in progress: 21
Value in pipeline: €919,994
Closes this week: 3

Key activities today:
- Customer meetings: 3
- Proposals to send: 2
- Follow-ups needed: 10

Deborah",0,1
"Shop up to 50% off shoes, bags, tops and more","NET-A-PORTER NEWS Shop Reformation, Joseph, and Norma Kamali in our Sale. View email in browser WHAT'S NEW DESIGNERS CLOTHING BAGS SHOES BEAUTY BEAUTY WHAT'S NEW DESIGNERS CLOTHING BAGS SHOES BEAUTY Untitled Document Gucci Fendi Loewe MY ACCOUNT CONTACT US 24/7 DELIVERY Discover our app for the best way to shop The people featured in this email are not associated with NET-A-PORTER and do not endorse it or the products shown. They have been selected purely for representational purposes. This email was sent to Honey Potter . To ensure that our messages get to you (and don't go to your junk or bulk email folders), please add emails@email.net-a-porter.com to your address book. If you would prefer not to receive emails from NET‑A‑PORTER.COM simply click here. Please note, at the moment, some shipping restrictions on beauty apply. View our privacy policy (recently updated). THE NET‑A‑PORTER GROUP LTD Registered Office: 1 The Village Offices, Westfield, Ariel Way, London, W12 7GF. VAT Registration Number: 243 0645 31. Company registered in London number: 3820604. © 2018 Net‑A‑Porter.com",1,1
Re: sa-learn --ham ground rules,"On Saturday 09 February 2008, jdow wrote: >From: ""John Hardin"" >Sent: Friday, 2008, February 08 21:03 > >> Gene Heskett sez: >>> running as root since RH5.1. Yeah, I'm an un-repentant old fart. >> >> There's no fool like an old fool. > >I'm close enough to Gene's age and have known him long enough I get >the right to rap his knuckles. Hm, in about a year that advances a >step to rap his knuckles with an iron bar? > >{^_-} Ouch, that would hurt my arthritic joints something terrible. Can it wait till I've had a chance to hit my thumbs with another cortisone shot? On second thought, the iron bar is less painful in the short term. The last time I checked, they wanted to do surgery at $5k per thumb and I said how about cortisone? He said then (15 years ago) that it was $60 a shot, and it would hurt like hell. He was right on both counts, but that thumb still works today. Now its the other ones turn I guess. :) -- Cheers, Gene ""There are four boxes to be used in defense of liberty: soap, ballot, jury, and ammo. Please use in that order."" -Ed Howdershelt (Author) FORCE YOURSELF TO RELAX!",0,1
Important Notification,"Dear valued PayPal member, The security questions and answers for your PayPal account were changed on 7 February , 2007.If you did not authorize this change,please contact us immediately using this link : However, You will need to update some of your records in our Resolution center if not will result account suspension.Please update your records on 10 February . For more information on protecting yourself from fraud, please review the Security Tips in our Security Center. Please do not reply to this email. This mailbox is not monitored and you will not receive a response. For assistance, log in to your PayPal account and click the Help link located in the top right corner of any PayPal page. Thank you for using PayPal! , The PayPal TeamPayPal Email ID PP3568",1,1
