stage_group,stage,source,principle_group,left_principle,right_principle,value
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.350089955856
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,1.0
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,1.0
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.48311674435599994
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.196904300121
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.739319666569
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.47027774982400006
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.987056159049
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.999552050176
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.7888637124
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,1.0
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.523304666404
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.14325997900899998
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,1.0
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.09768937780900001
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.7938613981210001
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.35169762768100005
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.999984000064
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.8902903767039999
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.875828324449
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,1.0
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.7938613981210001
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.248849327104
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.7780615980840001
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.788886805249
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.9766163211209999
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.10512055372899999
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.842417415889
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.7780615980840001
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,1.0
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,1.0
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.7929760020639999
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.7938613981210001
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.35705524668099997
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.3044788256159999
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.7780615980840001
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.9999980000009999
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.788886805249
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.701228711236
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.28644974409999996
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.999438078961
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.7780615980840001
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.7938613981210001
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.200537378596
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.9650822529959999
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.7938613981210001
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.9999940000090001
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.996071865156
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.7938613981210001
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.4703998244490001
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.171491233225
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.277145390916
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.435828389929
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.840986204809
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.561798219024
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,1.0
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.9999960000040001
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.5946831186489999
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.7938613981210001
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,1.0
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,1.0
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.387925928569
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.9911397136
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.788886805249
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.9999980000009999
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.809771416129
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.23320979472400002
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.582732230161
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.7780615980840001
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,1.0
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.6219025776639999
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.642325308304
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.785637595044
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,1.0
