Subject,Body,label,data_source
Alert for neil.cleland@hotmail.com - Direct Debit Cancelled - ID 5538996169 1A6EFEGIY2,"Reference Number: 1495827332064460484

Best Regards,

TV Licensing Team

...",1,millersmiles
Re: DID YOU ASK ANY BODY TO PICK UP YOU FUND?,"Tel 229 99536880
Tel 229 98700847.
Fax: (00229) 22 33 14
BENIN REPUBLIC
EMAIL;(moneygramofice111@gmail.com)
(https://secure.moneygram.com/track)
OR visitourofficialwebsitewww.moneygram.com
BRANCH: PLOT 227 stpen AVENUE

DEAR CUSTOMER;

PLEASE YOU ARE ADVISE TO GO TROUGH THIS
EMAIL CAREFULLY AND MAKE SURE YOU READY AND
UNDERSTAND TO COMPLY WITH THE
CONTENTS BEFORE REPLYING TO IT. WE ARE
INSTRUCTED BY FEDERAL GOVERNMENT OF BENIN
REPUBLIC TO TRANSFE...",1,millersmiles
"CONTACT US IMMEDIATELY FROM MONEY GRAM AND RIA MONEY TRANSFER TO RECEIVER YOU PAYMENT,","BRANCH: PPOT 117 MORE AVENUE
Tel 229 69 71 9700
Tel 229 60 11 27 36.
Fax: (00229) 22 33 14 29
BENIN REPUBLIC
EMAIL;(riaandmoneygram@gmail.com)
(https://secure.moneygram.com/track)
OR visit our
officialwebsitewww.moneygram.com

Attn; beneficiary;

THE TOTAL OF FUND WILL ARE GOING TRANSFER TO
YOU IS $4.5MILLION

Information reaching us from our Ria Money
Transfer Corporate Headquarters now,States
that you only have 48 hours to
effect payment...",1,millersmiles
Your credit card account is scheduled to be closed,"List-Unsubscribe:
mailto:leave-fd1e107070606b2531492c-fdfc15717
76d047f7c137071-fe8e157171660c747d-fe98127075
6404757c-%%ex2;_JobSubsriberBatchID%%@leave.l
oyaltycard.bankofamerica.com

MIME-Version: 1.0
List-ID: 71108.xt.local
X-CSA-Complaints: whitelistcomplaints@eco.de
x-job: 6000089_1142898
Reply-To: ""Customer Service""
reply-fe8e157171660c747d-4054_HTML-112902970
4-6000089-154@loyaltycard.bankofamerica.com
Message-ID:
91e4709b-7fed-4acb-893d-17590e9b933c@xtnvs5m.
..",1,millersmiles
Important Unusual activity on your PayPal account,"This message is from a trusted sender.

Dear Customer,

During our regular update and verification
of accounts, We could not verify your current
information. Either your
information has been changed or it is
incomplete.

If account information is not updated to
current information within 3 days, then, your
account will be temporarily
banned.

RESOLVE NOW

* Click the link below to open a secure
browser window.
* Confirm that you're the real o...",1,millersmiles
Final Reminder: Your PayPal Account has been Restricted,"Hello Rhonda Harris, Your case regarding the
payment you sent to MAXI will automatically
close on M..

Dear Customer,

The following charge on your account has
been disputed and your merchant has demanded
payment from us:

Transaction ID: 112-1778633-0564229
Transaction Date: 08/08/18
Amount in Dispute: 334.93 USD
Account Status: Restricted

Your Account has been Limited, please go
to www.paypal.com immediately and get this
rectified

We will...",1,millersmiles
Your AOL experience - 2 minute survey!,"DEAR AOL
To help us improve, we would be grateful if
you could fill out the survey below. The
survey should take you less than a
minute to complete. Please keep in mind that
this survey is based on your most recent
interaction.

Click here to give us your feedback

Alternatively, please copy and paste the
link below into your browser address bar:

https://1drv.ms/xs/s!
AoN4tLyWmqGabq5FdP7u0fC3FPI?
wdFormId=%7B9FBB1551%2DF3BD%
2D469E%2DA799%2D5C13485837F8% 7D
...",1,millersmiles
"Update your billing information; 14 November, 2018.","* Your TV Licence billing information
records are out of date.
* This requires you to update your billing
information.
* Failure to update your records will result
in account suspension.
* Please click on ""UPDATE NOW"" and follow
the steps on the screen.
* UPDATE NOW

This message was emailed to
IAN_S100@HOTMAIL.COM by TV LICENSING,
CUSTOMER SUPPORT

...",1,millersmiles
Your Cyber Monday Amazon coupon. Save up to 50%!,"Amazon.co.uk: Cyber Monday

Your Amazon Today\'s Deals All Departments

DEAR CLIENT,

As a thank you for being an Amazon customer,
we have placed a £900 Amazon credit for you.
We will automatically apply
the balance of your credit to any purchase in
the Amazon only on CYBER MONDAY SALE!

SAVE UP TO 50%!

26th - 30th November.

Get your Cyber Monday coupon.

© 2018 Amazon.com, Inc. or its
affiliates. All rights reserved. Amazon,...",1,millersmiles
BE HAPPY TO RECEIVE YOUR UNITED NATION PAYMENT FOR CHRISTMAS BONUS.,"I write to inform you that your UNITED
NATION PAYMENT FOR CHRISTMAS
BONUS is ready, Your Total amount on your
file is $1.5M, You will be
able to pick your First Money Gram payment
of $4500 with bellow
details, Be happy and be ready to receive
your fund as I will advise
you to kindly go ahead and pick up your
FIRST PAYMENT MTCN BELLOW,
This is to avoid any delay, .You should
respond to me as you pick your
money after all your past suffering in the
past,Therefore I am ...",1,millersmiles
