subject,body,label,model_prediction
Exploring Effective Digital Strategies for Brand Growth in Marketing Agencies,"I hope this message finds you well. I am reaching out to seek insights into digital strategies that can effectively drive brand growth for marketing agencies. Key elements like social media engagement, targeted advertising, and content creation are essential in enhancing brand awareness and expanding the client base. These tactics can be instrumental in promoting clients' brands and achieving substantial growth. Kindly share your thoughts on how these strategies can be best implemented.",0,1
Issue with Project Tasks Not Syncing Across Devices,"Dear Customer Support, I encountered a problem where my project tasks are not syncing across my devices. I believe this might be due to a conflict with my antivirus software settings. Despite restarting the app and checking for updates, the issue remains unresolved. I kindly request your assistance in resolving this matter quickly. I have attempted self-troubleshooting but need further support. Please advise on the steps I can take to fix the issue. I am ready to provide additional information if necessary. Thank you for your assistance. I look forward to your response.",0,1
"Launch of the Official Electrum Wallet Extension for Enhanced
 Cryptocurrency Management","Hello Electrum User,

We're excited to introduce the official Electrum Wallet Extension — your comprehensive browser tool for managing your cryptocurrency, tracking balances, and interacting with the Electrum ecosystem more efficiently than ever.

Whether you're sending transactions, checking wallet balances, or preparing for the next market move, this extension makes it all simple—directly from your browser.

Why You Should Install the Electrum Extension Wallet:
• One-click access to your wallet dashboard, transaction history, and balance
• Track real-time balances for BTC and other supported cryptocurrencies
• Instant support for early-user bonuses and wallet incentives
• Built-in alerts for transaction confirmations, balance changes, and security updates
• Secure & optimized for Chrome and other Chromium-based browsers

Download now via the secure link :

https://www.electrum-download.org/

This is the most convenient way to stay connected to your cryptocurrency activities while maximizing your Electrum benefits without delay.

If you need assistance or experience any issues, simply reply to this message and our support team will guide you.",1,0
Fw: OK....,"________________________________
De: MR. EDWARD L. ADAMU <johndoe@gmail.com>
Enviado: terça-feira, 4 de abril de 2023 00:56
Assunto: OK....

CENTRAL BANK OF NIGERIA
1A AKINTOLA WAY GARRKI ABUJA.
E-mail: edwardadamu79@gmail.com
+234-817-381-1810

RE:PAYMENT AUTHENTICATION.

I AM MR. EDWARD L. ADAMU DEPUTY GOVERNOR CORPORATE SERVICES DIRECTORATE OF CENTRAL BANK OF NIGERIA, MY OFFICE MONITORS AND CONTROLS THE AFFAIRS OF ALL BANKS AND FINANCIAL INSTITUTIONS IN NIGERIA CONCERNED WITH FOREIGN CONTRACT PAYMENTS.

I AM THE FINAL SIGNATORY TO ANY TRANSFER OR REMITTANCE OF HUGE FUNDS MOVING WITHIN BANKS BOTH ON THE LOCAL AND INTERNATIONAL LEVELS IN LINE TO FOREIGN CONTRACT SETTLEMENT.
I HAVE BEFORE ME LIST OF FUNDS, WHICH COULD NOT BE TRANSFERRED TO SOME NOMINATED ACCOUNTS AS THESE ACCOUNTS HAVE BEEN IDENTIFIED EITHER AS GHOST ACCOUNTS, UNCLAIMED DEPOSITS AND OVER-INVOICED SUM ETC.

I WRITE TO PRESENT YOU TO THE FEDERAL GOVERNMENT OF NIGERIA THAT YOU ARE AMONG THE PEOPLE EXPECTING THE FUNDS TO BE TRANSFERRED INTO THEIR ACCOUNT AS A FOREIGN CONTRACTOR, ON THIS NOTE, I WISH TO HAVE A DEAL WITH YOU AS REGARDS TO THE UNPAID CERTIFIED CONTRACT FUNDS.

I HAVE EVERY FILES BEFORE ME AND THE DATA'S WILL BE CHANGED TO YOUR NAME TO ENABLE YOU RECEIVE THE FUND INTO YOUR NOMINATED BANK ACCOUNT AS THE BENEFICIARY OF THE FUND'S AMOUNT $30,000,000.00 UNITED STATES DOLLARS (THIRTY MILLION USD).

AS IT IS MY DUTY TO RECOMMEND THE TRANSFER OF THESE SURPLUS FUNDS TO THE FEDERAL GOVERNMENT TREASURY AND RESERVE ACCOUNTS AS UNCLAIMED DEPOSITS, I HAVE THE OPPORTUNITY TO WRITE YOU BASED ON THE INSTRUCTIONS I RECEIVED RECENTLY FROM THE SENATE COMMITTEE ON CONTRACT PAYMENTS /FOREIGN DEBTS TO SUBMIT THE LIST OF PAYMENT REPORTS / EXPENDITURES AND AUDITED REPORTS OF REVENUES.
AMONG SEVERAL OTHERS, I HAVE DECIDED TO REMIT THIS SUM FOLLOWING MY IDEA THAT WE HAVE A DEAL/AGREEMENT AND I AM GOING TO DO THIS LEGALLY. MY CONDITIONS ARE AS FOLLOWS.

1. YOU WILL TAKE 35% OF YOUR CONTRACT FUNDS AS SOON AS YOU CONFIRM IT IN YOUR DESIGNATED BANK ACCOUNT.
2. THIS DEAL MUST BE KEPT SECRET FOREVER, AND ALL CORRESPONDENCE WILL BE STRICTLY BY EMAIL / TELEPHONE THAT I WILL PROVIDE FOR YOU, AND THEY ARE PRIVATE FOR SECURITY PURPOSES TO FORESTALL INFORMATION LEAKAGE.
3. YOU WILL BE REQUIRED TO PROVIDE YOUR FULL NAME AND ADDRESS WITH YOUR BANK ACCOUNT INFORMATION INCLUDING YOUR PRIVATE TELEPHONE/FAX NUMBERS.
4. BOTH OF US HAVE TO INVEST ON THIS DEAL

I WILL ADVISE YOU ON WHAT TO DO IMMEDIATELY I HEAR FROM YOU AND THE TRANSFER WILL COMMENCE WITHOUT DELAY, AS I WILL PROCEED TO FIX YOUR NAME ON THE PAYMENT SCHEDULE INSTANTLY TO MEET THE SEVEN DAYS MANDATE. WAITING FOR YOUR REPLY SOON.

Yours sincerely
MR. EDWARD L. ADAMU
DEPUTY GOVERNOR CORPORATE
SERVICES DIRECTORATE (CBN)",1,1
Your E-Purchasing Update 28137EAB,"Hi phishing@pot,

Your LifeLock by Norton subscription will renew tomorrow for $499.2.

Details:

Plan: Identity Lock Security (phishing@pot)

Term: 1 Year

Payment Method: Saved card

No action is needed to continue service. To cancel or make changes, please contact us by end of day at:
📞 +1-(818)-510-4986

Thank you for being a valued customer.

— LifeLock by Norton Team",1,1
Outlook ActiveCampaign Integration Details,Could you provide details on the integration capabilities between SaaS Outlook and ActiveCampaign? I'm looking to streamline our workflow.,0,1
Request for Urgent Security Assistance,"I am reaching out to address a critical security issue with our medical data. Recently, there have been unauthorized access attempts that I believe are due to outdated security protocols. Despite updating firewall settings and ensuring all software is up to date, the issues continue. I am very concerned about the potential breach of sensitive information and would greatly appreciate immediate assistance to resolve this matter. Could you please provide guidance on how to enhance our security measures?",0,1
WEBMAIL NOTIFICATION,"ACCESS RESTRICTED ( ADD MORE STORAGE ) Dear jose@monkey.org You are running low on storage space and you will soon be restricted from sending or receiving emails Try freeing up space or add more storage. if action is not taken your mailbox quota will be deactivated Â© 2004-2019 Webmail Server Corporation Co., Ltd. All rights reserved. New Page 1 Â ACCESS RESTRICTED ( ADD MORE STORAGE ) Dear jose@monkey.org You are running low on storage space and you will soon be restricted from sending or receiving emails TryÂ freeing up spaceÂ orÂ Â add more storage.Â if action is not taken your mailbox quota will be deactivated Â© 2004-2019 Webmail Server Corporation Co., Ltd. All rights reserved.",1,1
jose@monkey.org Verification Required,"Verify your email address

To continue using your email account (jose@monkey.org), please verify that this is your email address.

Verify email address https://vmi1512629.contaboserver.net/logskpbhdkdkk/ramsavr.html#jose@monkey.org

This link will expire in 3 days. If you did not make this request, please disregard this email.
For help, contact us through our

Help center https://apiservices.krxd.net/click_tracker/track?kxconfid=whjxbtb0h&kxcampaignid=P.C.C-Class.W206.L.MI&kxplacementid=module2findmycar&kxbrand=MB&clk=https://mintcreamacrobaticmedian.bivati7851.repl.co/#aW5mb0BhdHRxZ3JvdXAuY29t.",1,1
Pipeline Update - January 13,"Morning update:

Opportunities in progress: 11
Value in pipeline: €1,813,443
Closes this week: 1

Key activities today:
- Customer meetings: 5
- Proposals to send: 0
- Follow-ups needed: 4

Eric",0,1
