subject,body,label,model_prediction
Overview of Project Management Integrations,"Customer Support, seeking details on integration capabilities for project management in a SaaS solution. Particularly interested in knowing the types of integrations that are available and implemented. Specifically, would like to learn about integrations with popular applications such as Google Drive, Trello, and Slack. Believe that seamless integration tools are essential for streamlining workflow and enhancing productivity. Any information or resources provided on this matter would be greatly appreciated. Looking forward to your response.",0,0
"PO Approval Required: €85,613","Purchase Order Request:

Vendor: SteelCo GmbH
Amount: €37,780
Description: Spare parts
Urgency: Rush - Customer waiting

Please approve in system.

Stefani",0,0
Concerning a Major Medical Data Breach,"An unsanctioned loss of medical data took place yesterday because of weak encryption and obsolete software. We have initiated a restart of systems, reviewed firewalls, and engaged IT support, yet the problem remains unresolved. We require immediate intervention to address this issue.",0,0
Request for Azure Integration Guidance,"Seeking assistance with integrating Microsoft Azure SaaS for project management. Could you provide a detailed guide and share pertinent documentation resources? Specifically, interested in understanding the benefits and challenges of integrating the Azure solution. Please inform about any additional fees related to the integration process.",0,0
Customer issue: Austin Tools Inc - Intercompany pricing agreement,"FYI - Customer complaint received:

Customer: Austin Tools Inc
Issue: Intercompany pricing agreement
Severity: 4/5

Please review and advise if escalation needed.

Vincent auch Schlauchin",0,1
Approval needed: Extended terms,"Need approval for:

Customer: Company_253
Deal size: €383,271
Discount requested: 14%
Reason: Long-term contract

Please approve in system.

Nevenka",0,1
Re: Problem with Mercury Language function deployment,"Hi John,

Thank you for contacting Aetheros support. We are aware of an issue affecting function deployments in the Production environment. Our engineers are currently working on a fix.

We apologize for any inconvenience this may cause and will keep you updated on the progress.

Best regards,
Aetheros Support Team",0,1
Upgrade Your Paypal Account For Free !,"Upgrade Your Account - PayPal Upgrade Your Account For Free Premier accounts include all the benefits of a Personal account. You also have the ability to: Accept all payment types for low fees Set up your PayPal Shopping Cart Access exclusive, professional customer service seven days a week Be identified as a Premier account in your reputation pop-up box Be featured in PayPal Shops, where over 100 million PayPal customers can make instant purchases from your website! Business accounts include all the benefits of Premier accounts. In addition, you can: Do business easily and affordably with our low-cost merchant account Operate under your business name Generate reports, financial statements and download settlement file Use eBay Tools Provide multiple employees with limited access to your account Get paid from buyers without PayPal accounts Free Upgrade Now Copyright 1999-2007 PayPal. All rights reserved. Information about FDIC pass-through insurance",1,1
Guidance on Securing Medical Data in Docker Django Environment,"Dear Customer Support, I am reaching out to seek guidance on securing medical data for our hospital's system. Currently, we are using Docker Django 3.2, and I would like to know best practices for ensuring the confidentiality, integrity, and availability of sensitive patient information. Could you provide recommendations for implementing robust security measures, including encryption, access controls, and regular backups? I would appreciate any advice on how to comply with relevant regulations, such as HIPAA. Additionally, could you provide more specific information on Docker Django configurations that would help us secure our system effectively?",0,0
Boost User Interaction,"Customer Support, addressing the request to enhance integration capabilities for various applications within the project management SaaS. The objective is to improve user experience by enabling seamless interactions across different tools. This would allow users to access multiple applications from a single platform, thereby streamlining workflows and increasing productivity. We believe this enhancement would be a significant step towards providing an intuitive and efficient experience for users.",0,0
Report on the Failure of Medical Data Encryption Software,"Dear Customer Support, <br><br>It is with concern that I report a significant failure in our medical data encryption software. The encryption process has suddenly malfunctioned, and we are unable to identify the root cause. We suspect that the issue might be due to outdated software or incorrect configuration. <br><br>Steps taken thus far include restarting the systems and reviewing system logs for errors, but the problem remains unresolved. Additionally, we have tried reaching out to your support team without success. <br><br>This failure has severe implications for the protection and privacy of our medical data. We are apprehensive that it might compromise the security of our systems and put sensitive information at risk. <br><br>We urgently request your assistance in addressing this matter and resolving the issue swiftly. Please advise if there is any additional information needed from our side to tackle this situation. <br><br>We appreciate your swift action and look forward to your response. Thank you for your attention to this critical issue. <br><br>Sincerely, <br>[Your Name]",0,0
"Re: URGENT: API Monitoring Showing False Downtime, Impacting Revenue","Dear John,
We have identified the issue and our engineers are working on a fix. We expect the issue to be resolved within the next hour. We apologize for the inconvenience this is causing.
Regards,
Aetheros Support Team",0,1
