stage,academic_recall_hw,academic_recall_llm,academic_recall_delta,academic_f2_hw,academic_f2_llm,academic_f2_delta,academic_mcc_hw,academic_mcc_llm,academic_mcc_delta,industrial_recall_hw,industrial_recall_llm,industrial_recall_delta,industrial_f2_hw,industrial_f2_llm,industrial_f2_delta,industrial_mcc_hw,industrial_mcc_llm,industrial_mcc_delta
S1,0.7084776061948069,0.7892521050024764,0.08077449880766963,0.6793981059128399,0.5775997754615548,-0.10179833045128513,0.2999992615527565,0.23219104766556045,-0.06780821388719606,0.3487179078479003,0.5572065378900446,0.20848863004214432,0.3889653746959987,0.5054603392731949,0.11649496457719621,0.24457657794423274,0.2526339511753024,0.008057373231069634
S2,0.7084776061948069,0.6957539284520228,-0.012723677742784156,0.6793981059128399,0.639222414102574,-0.04017569181026602,0.2999992615527565,0.24813397511365834,-0.051865286439098164,0.3487179078479003,0.4687395519893012,0.12002164414140086,0.3889653746959987,0.4368410973064476,0.04787572261044887,0.24457657794423274,-0.04800394554909426,-0.292580523493327
S4,0.7084776061948069,0.598322056698942,-0.1101555494958648,0.6793981059128399,0.6055829073622833,-0.07381519855055664,0.2999992615527565,0.28983389669335646,-0.010165364859400042,0.3487179078479003,0.382392880008251,0.03367497216035068,0.3889653746959987,0.4129561819658801,0.023990807269881398,0.24457657794423274,0.06619726575213943,-0.17837931219209335
S5,0.7084776061948069,0.7813517915309447,0.07287418533613775,0.6793981059128399,0.7234096226614773,0.04401151674863734,0.2999992615527565,0.3948035736581041,0.09480431210534758,0.2112191924024168,0.4592833876221499,0.2480641952197331,0.23394637386181572,0.45074320050600886,0.2167968266441931,0.09294097407557285,0.09844265153527591,0.005501677459703054
S6-MPG,0.7084776061948069,0.7594641739674594,0.05098656777265246,0.6793981059128399,0.7151087588561905,0.035710652943350546,0.2999992615527565,0.4294535340868999,0.12945427253414343,0.2112191924024168,0.23804371244910258,0.026824520046685802,0.23394637386181572,0.2595105297111718,0.025564155849356025,0.09294097407557285,0.109738775069265,0.016797800993692148
S6-UTA,0.7084776061948069,0.6345833333333334,-0.07389427286147356,0.6793981059128399,0.6013392907592474,-0.07805881515359263,0.2999992615527565,0.2829752290012415,-0.017024032551514995,0.2112191924024168,0.20979166666666668,-0.0014275257357500941,0.23394637386181572,0.23003459975811721,-0.003911774103698529,0.09294097407557285,0.057782051041649574,-0.03515892303392328
S6-fuzzer,0.7084776061948069,0.6397395854865159,-0.06873802070829098,0.6793981059128399,0.6245332704010901,-0.05486483551174994,0.2999992615527565,0.06944391016113902,-0.2305553513916175,0.2112191924024168,0.21475003137681462,0.0035308389743978394,0.23394637386181572,0.2349522921567493,0.001005918294933535,0.09294097407557285,-0.06343115875397837,-0.15637213282955123
S8-deepseek,0.7084776061948069,0.5588888888888889,-0.14958871730591802,0.6793981059128399,0.5037565127725521,-0.17564159314028782,0.2999992615527565,0.13456369546087177,-0.16543556609188473,0.2112191924024168,0.36800000000000005,0.15678080759758323,0.23394637386181572,0.354667354231984,0.12072098037016822,0.09294097407557285,0.17792119067898005,0.0849802166034072
S8-llama,0.7084776061948069,0.6481111111111111,-0.06036649508369576,0.6793981059128399,0.6137720590607249,-0.06562604685211511,0.2999992615527565,0.26453417671894247,-0.03546508483381404,0.2112191924024168,0.3713333333333333,0.16011414093091655,0.23394637386181572,0.3664817305831907,0.132535356721375,0.09294097407557285,0.1106620097488178,0.017721035673244952
S8-ministral,0.7084776061948069,0.6384444444444445,-0.07003316175036244,0.6793981059128399,0.6084170551312112,-0.07098105078162874,0.2999992615527565,0.26088263883683055,-0.039116622715925954,0.2112191924024168,0.3171111111111111,0.10589191870869435,0.23394637386181572,0.3181746131020525,0.08422823924023672,0.09294097407557285,0.11758111249460479,0.02464013841903194
