group_label,feature_a,feature_b,cell_slug,rank,phrase,phrase_len,log_ratio_score,weighted_group_count,weighted_background_count
LLM-B-FP,Authority,Authority,authority__authority,1,number sender,2,11.181169453116137,811.0,0.0
LLM-B-FP,Authority,Authority,authority__authority,2,submission notes,2,11.176225128387422,807.0,0.0
LLM-B-FP,Authority,Authority,authority__authority,3,added number,2,11.052384514181902,713.0,0.0
LLM-B-FP,Authority,Authority,authority__authority,4,added number sender,3,11.052384514181902,713.0,0.0
LLM-B-FP,Authority,Authority,authority__authority,5,submission notes same,3,10.9675395713148,655.0,0.0
LLM-B-FP,Authority,Authority,authority__authority,6,notes same,2,10.9675395713148,655.0,0.0
LLM-B-FP,Authority,Authority,authority__authority,7,notes same number,3,10.9675395713148,655.0,0.0
LLM-B-FP,Authority,Authority,authority__authority,8,number added,2,10.9675395713148,655.0,0.0
LLM-B-FP,Authority,Authority,authority__authority,9,same number added,3,10.9675395713148,655.0,0.0
LLM-B-FP,Authority,Authority,authority__authority,10,same number,2,10.9675395713148,655.0,0.0
LLM-B-FP,Authority,Authority,authority__authority,11,number added number,3,10.962948967852867,652.0,0.0
LLM-B-FP,Authority,Authority,authority__authority,12,number sender virus,3,10.83727650057099,575.0,0.0
LLM-B-FP,Authority,Authority,authority__authority,13,virus total,2,10.83727650057099,575.0,0.0
LLM-B-FP,Authority,Authority,authority__authority,14,sender virus,2,10.83727650057099,575.0,0.0
LLM-B-FP,Authority,Authority,authority__authority,15,sender virus total,3,10.83727650057099,575.0,0.0
LLM-B-FP,Authority,Liking,authority__liking,1,capitalone com,2,8.591283902665355,39.999789000097,0.0
LLM-B-FP,Authority,Liking,authority__liking,2,capitalone com number,3,8.56597265010664,38.999800000097004,0.0
LLM-B-FP,Authority,Liking,authority__liking,3,tesla account,2,8.485947322537065,35.999672000340006,0.0
LLM-B-FP,Authority,Liking,authority__liking,4,cloud solutions,2,8.42880932456804,33.999829000179005,0.0
