Subject,Body,label
Assistance Required for API Integration,Could you provide details on the API integration capabilities and project management services?,0
Customer issue: First Services LLC - Product specifications do not match requirements,"FYI - Customer complaint received:

Customer: First Services LLC
Issue: Product specifications do not match requirements
Severity: 4/5

Please review and advise if escalation needed.

Nelli Larson",0
Query on Payment Options for Subscription Plans,"I would like to know about the payment options available for the subscription plans. Could you kindly provide details on the types of payments accepted? Additionally, could you inform me whether there are any discounts or promotions currently available?",0
Unforeseen Failure of the Data Analytics Tool,"Hello Support Team, <br>I hope this message finds you well. I am contacting you to report an unexpected failure of the data analytics tool. The tool crashed without any prior warning, and as a result, I was unable to access any of the data. I believe the crash could be related to an update of Node.js that is not compatible with the current version of the tool. I have already restarted my computer and ensured that all the sensor connections in my Smart Home setup are correct, but the problem remains unresolved. Could you please investigate this issue and offer a solution at your earliest convenience? Kindly inform me if you require further details from me. Thank you for your assistance.",0
Characteristics in the Most Recent Release,Could you inform me about the available features in the most recent iteration?,0
Digital Strategy Performance Concerns,"The digital strategies are not performing optimally, which is affecting brand growth due to integration issues.",0
Reported Problem with NAS Storage,"To customer support, I am contacting you to report an issue with our NAS storage. During the night, a considerable amount of medical records have vanished from the storage. The origin of this issue is not yet identified, but it could be linked to a software bug or a misconfiguration of the router. We have attempted to rectify the situation by restarting the NAS, reviewing backups, and ensuring the network connections are correct, but the data is still missing. We would greatly appreciate your assistance in resolving this matter and recovering the lost data. Please inform us if you require any additional details from us to initiate the investigation.",0
Pipeline Update - February 13,"Morning update:

Opportunities in progress: 7
Value in pipeline: €712,408
Closes this week: 3

Key activities today:
- Customer meetings: 5
- Proposals to send: 2
- Follow-ups needed: 2

Hellmuth",0
Identity protection matters. Get Verified!,"November 2007 Dear users of PayPal services, Due to upcoming year 2007, and recent changes in PayPal's Service Agreement you need to submit additional details on your PayPal account. Starting from 2007 all PayPal accounts will come with complete detailed information! Identity protection matters. And PayPal works day and night to help keep your identity safe. Identity protection matters. Get Verified! According the new changes in Service Agreement any unverified account will be deleted from the system in 72 hours after receiving this letter.",1
Invitation to the 2025 World Summit!!,"CMU archived phishing listing entry.

Date: 8/30/25
Target Audience: Staff/Faculty
Source Entry: https://www.cmu.edu/iso/aware/phish/phish-bowl-examples/2025/invitation-to-2025-world-summit.html

Note: The linked CMU detail page currently redirects to a general Secure Computing page, so the original message body is not publicly available from the live site.",1
Secure Medical Data for Hospital Systems,Could offer details on securing medical data products for hospital systems? Aim to ensure the confidentiality and integrity of patient data.,0
