subject,body,label,model_prediction,model_score,model_reason,raw_response
AOL SYSTEM/SECURITY UPGRADE,"Dear User,

Due to the system upgrade on our database,
you have to update and verify your mailbox to
avoid pending mails.

13840MB

14096MB

Current size

Maximum size

Click Here to Update

If you have any questions or need additional
help, please refer to this link.

Thanks you for your time and cooperation,

AOL Team

Privacy Policy | Terms of Service |
Unsubscribe | Customer Support

‌

AOL UK

Part ...",1,1,8,"Urgent language, lack of personalization, and a generic link to update account.","{
  ""is_phishing"": 1,
  ""reason"": ""Urgent language, lack of personalization, and a generic link to update account."",
  ""score"": 8
}"
Employee's Urgent reconfirmation needed for jose@monkey.org,"Attention employee : jose

Our system has just completed a major update/upgrade on the monkey.org messaging services.
To our observation some employee's have left the company, but still using the mailbox connected to monkey.org.

You are hereby urged to re-confirm your jose@monkey.org is still in use and active.

Note if confirmation is not received and updated within the next 24 hours, your jose@monkey.org data will be Removed/Deleted from our monkey.org network

CONFIRM jose@monkey.org IN USE-SIGN IN HERE

you may visit www.monkey.org to see mailbox activity

© 2025 monkey.org All rights reserved.",1,1,8,"Urgent reconfirmation request with threat of data removal, and a suspicious link to sign in.","{
  ""is_phishing"": 1,
  ""reason"": ""Urgent reconfirmation request with threat of data removal, and a suspicious link to sign in."",
  ""score"": 8
}"
Customer Support Ticket,"In regards to the report on the data breach in the hospital's system, sensitive medical data has been compromised. The breach might have happened due to inadequate security protocols and outdated software. Immediate actions have been taken, such as updating passwords and implementing two-factor authentication. Additionally, we have contacted the vendor for assistance, and we are awaiting their response. We would like to request guidance on how to proceed with the investigation to ensure the security of the system. Please provide us with information on the next steps and any additional measures to take.",0,0,2,"Legitimate email from a company discussing a data breach and requesting guidance, but lacks urgency and suspicious language.","{
  ""is_phishing"": 0,
  ""reason"": ""Legitimate email from a company discussing a data breach and requesting guidance, but lacks urgency and suspicious language."",
  ""score"": 2
}"
Integration of Oracle Database 19c Docker for Enhancing Investment Analytics,I am keen on integrating Oracle Database 19c Docker to optimize investment analytics. Could you provide some insights and guidance on the approach and potential challenges?,0,0,2,Legitimate email with a clear subject and non-descriptive body.,"{
  ""is_phishing"": 0,
  ""reason"": ""Legitimate email with a clear subject and non-descriptive body."",
  ""score"": 2
}"
カード利用のお知らせ(本人ご利用分),"いつも楽天カードをご利用いただきありがとうございます。楽天カードご利用内容をお知らせいたします。 楽天PINKカード(Visa)ご利用内容 ショッピングご利用分 ご利用日 ご利用先 ご利用金額 2025/05/19 GOOGLE DISNEY FRO 4,162 円 支払方法：1回 ｜ 支払月：2025/06 ｜ 利用者：本人 合計 4,162 円 楽天e-NAVIにログインできない場合 身に覚えのない明細でお困りの場合 本メール掲載ご利用分の獲得予定ポイント数：41ポイント お支払い金額を調整したい方へ 本メール掲載ご利用分の調整可能な金額4,162円 ※ キャッシング・ボーナス払いのご利用分は分割払いへの変更ができません。 分割払いとリボ払いの違いについて知る 分割払いリボ払い比較シミュレーションを見る よくあるご質問 Q. キャンセルをしたのに、カード利用お知らせメールが届いた Q. あとどのくらいカードが利用できるのか知りたい 楽天カードの取り組み お客様より頂戴したご意見・ご要望の一つひとつを真摯に受け止め、さらなる安心と信頼をご提供できるよう、日々改善に取り組んでおります。 お客様の声への取り組みについてはこちらから お得な情報 楽天カード公式アプリ明細確認、支出管理も楽々! 楽天カード公式SNSアカウントでお得な情報を配信中！ カード利用お知らせメールの登録・変更は、楽天e-NAVIよりお手続きください。 一部メールの受信環境によって正しく表示されない場合がございます。本メールに記載のご利用明細は、楽天e-NAVIのご利用明細にてご確認ください。 本メールアドレスは送信専用となり、返信はお受けしておりません。メールアドレスの変更は、楽天e-NAVIよりお手続きください。 個人情報保護方針 ｜ お客様サポート 発行元：楽天カード株式会社",1,0,2,The email appears to be legitimate as it is from a well-known company (Rakuten Card) and provides detailed information about a specific transaction. The email also includes links to official websites and provides clear instructions on how to manage account information.,"{
  ""is_phishing"": 0,
  ""reason"": ""The email appears to be legitimate as it is from a well-known company (Rakuten Card) and provides detailed information about a specific transaction. The email also includes links to official websites and provides clear instructions on how to manage account information."",
  ""score"": 2
}"
Urgent: Identification of a Data Breach within the Patient Records System,Breach in data identified,0,0,2,Lack of specific details and urgency in the message body,"{
  ""is_phishing"": 0,
  ""reason"": ""Lack of specific details and urgency in the message body"",
  ""score"": 2
}"
Email DE-ACTIVATION FOR jose@monkey.org,"Server Message Dear jose@monkey.org Request to delete your E-mail account has been received; request is under process. If request was made in error and you are not aware, immediately cancel the request now Cancel De-activation Request However, if you do not cancel this request, your account will be de-activated shortly and all your email data will be lost permanently. Regards. Email Administrator This message is auto-generated from E-mail security server, and replies sent to this email can not be delivered. This email is meant for: jose@monkey.org Server Message DearÂ jose@monkey.orgÂ Â Request to delete your E-mail account has been received; request is under process. If request was made in error and you are not aware, immediately cancel the request now Cancel De-activation Request However, if you do not cancel this request,Â your account will be de-activated shortlyÂ and all your email data will be lost permanently. Regards.Email Administrator This message is auto-generated from E-mail security server, and replies sent to this email can not be delivered.Â This email is meant for:Â jose@monkey.org",1,1,8,"Urgent language, lack of sender authenticity, and suspicious formatting.","{
  ""is_phishing"": 1,
  ""reason"": ""Urgent language, lack of sender authenticity, and suspicious formatting."",
  ""score"": 8
}"
Sorry we missed you! Schedule your next delivery date.,"Sorry we missed you! Schedule your next delivery date.

http://upstracktracerevshare.best/wUD9VkAoreNYrI5fqMpOT-XzZnlNR02ooGUOdl6JFUHcHPNw

http://upstracktracerevshare.best/125jWfkFVoqymh2pEHbSbw4mgj54rW3kdHqMMA_6vTgm_kB4Zg

30 km) across east–west. Notable features include General Sherman, the largest tree in the world by volume; Lake Tahoe, the largest alpine lake in North America; Mount Whitney at 14,505 ft (4,421 m), the highest point in the contiguous United States; and Yosemite Valley sculpted by glaciers from one-hundred-million-year-old granite, containing high waterfalls. The Sierra is home to three national parks, twenty-six wilderness areas, ten national forests, and two national monuments. These areas include Yosemite, Sequoia, and Kings Canyon National Parks; and Devils Postpile National Monument.

More than one hundred million years ago during the Nevadan orogeny, granite formed deep underground. The range started to uplift less than five million years ago, and erosion by glaciers exposed the granite and formed the light-colored mountains and cliffs that make up the range. The uplift caused a wide range of elevations and climates in the Sierra Nevada, which are reflected by the presence of five life zones (areas with similar plant and animal communities). Uplift continues due to faulting caused by tectonic forces, creating spectacular fault block escarpments along the eastern edge of the southern Sierra.

The Sierra Nevada has played an important role in the history of California and the United States. The California Gold Rush occurred in the western foothills from 1848 through 1855. Due to its inaccessibility, the range was not fully explore",1,1,8,Suspicious links in the email body,"{
  ""is_phishing"": 1,
  ""reason"": ""Suspicious links in the email body"",
  ""score"": 8
}"
Request for Information on Data Analytics Tools,"Customer Support, I am reaching out to inquire about the data analytics tools that are available for financial firms. Could you provide information on the tools that can help optimize investment strategies? I would like to know about their features and benefits, particularly regarding data visualization, predictive modeling, and risk analysis. Do these tools assist financial firms in making informed investment decisions and staying ahead of the competition? I would appreciate any additional information provided, including case studies and testimonials from existing clients.",0,0,1,Legitimate email from customer support with specific inquiry,"{
  ""is_phishing"": 0,
  ""reason"": ""Legitimate email from customer support with specific inquiry"",
  ""score"": 1
}"
Secure Medical Data in Hospital Setting using Microsoft Dynamics 365,"Customer Support, could provide details on practices for securing medical data in a Microsoft Dynamics 365 hospital environment? Hospitals manage sensitive patient information, and it's vital to ensure data protection against unauthorized access. Would appreciate any information on the security features implemented by Microsoft Dynamics 365 in a hospital setting, particularly regarding data encryption, access controls, and auditing capabilities.",0,0,2,"Legitimate email from a known company, discussing security practices.","{
  ""is_phishing"": 0,
  ""reason"": ""Legitimate email from a known company, discussing security practices."",
  ""score"": 2
}"
You Just Received A New File,"You just received a new file in your OneDrive

You just received a new file from one of your members on OneDrive, login to view now.

Access your OneDrive files now",1,1,8,"Urgent language, lack of personalization, and suspicious link request","{
  ""is_phishing"": 1,
  ""reason"": ""Urgent language, lack of personalization, and suspicious link request"",
  ""score"": 8
}"
Extend your account for free,"Extend your account for free

http://medicinalgardenkit.za.com/SDeT6EMGH-IwKsUFAeOWbjrEI-cebUkPoIOPBrLNg-abcc8

http://medicinalgardenkit.za.com/P7h2aH3tN8CkPbhOi5kFbYbTjsyTSuv7J6ajApcHFv1eVZo

fitted trains, the brake van has several purposes, and hence jobs for the guard: Operating the brake, train supervision, and illumination & communication.

Firstly, and most importantly, the guard would use the brake van's brakes to assist with keeping the train under control on downwards gradients, and whenever they could see that the locomotive's crew was attempting to slow the train. Route knowledge would allow the guard to initiate the braking before the driver. To aid in this, signalling regulations mandated that signals be left at clear until the entirety of a train (including guard's van) had passed, as the guard would immediately apply brakes upon seeing a signal at danger.

Secondly, they minimized the risk of snapped broken couplings by application of handbrake wheel, which would keep otherwise-loose screw couplings taut between unfitted wagons. This helped mitigate the risk of a coupling failure from uneven acceleration (""snatching"" or jerking). This was particularly a problem as locomotives became more powerful. Because coupling failures were a fairly common occurrence when starting an unfitted train, train crews were given specific instruction upon starting a freight train that the footplate crew look back towards the brake van for a signal from the guard (by flag or lamp) that the entire train was moving and all couplings were taut, before accelerating to higher speeds.

Preserved SR ""Queen Mary"" bogie brake van - most British brake vans had just four wheels and a rigid wheelbase. This one has all three side lamps visible.
A later job of the guard was the provision of side lamps on brake vans. The white lamp is the tail lamp, whilst the grey lamps are the side lamps, along with the standard tail lamp (showing red to the rear and sides) required on the rear of every train. The side lamps showed a white light towards the front and a red light to the side/rear. The front-facing lamps were an indication to the locomotive crew that the train was still complete, whilst the provision of extra red lights to the rear was an additional safety measure. Due to the very low chance of all three lights being out at once, it was stipulated that a freight train passing without any lamps on the rear had split and that the rear portion was potentially running away. These side lamps were used on passenger trains before the adoption of continuous brakes on such trains.

A further purpose for these side lamps was altering the colour of illumination lamps. Because the red indication was provided by a removable filter, a white light c",1,1,8,"Suspicious URL in the email body, lack of sender authenticity, and unrelated content","{
  ""is_phishing"": 1,
  ""reason"": ""Suspicious URL in the email body, lack of sender authenticity, and unrelated content"",
  ""score"": 8
}"
Re: Suggestion for API Monitoring Dashboard Enhancement,"Dear John,

Thank you for your valuable feedback! We appreciate you taking the time to share your suggestion for the API Monitoring dashboard.

We understand the importance of granular alert thresholds, and we agree that the ability to customize them on a per-endpoint basis would be a valuable addition to our platform.

Our development team has already started exploring this feature enhancement. We will keep you updated on its progress.

In the meantime, please let us know if you have any other suggestions or questions.

Best regards,
The Aetheros Support Team",0,0,1,"Legitimate email with proper formatting and language, no suspicious links or attachments.","{
  ""is_phishing"": 0,
  ""reason"": ""Legitimate email with proper formatting and language, no suspicious links or attachments."",
  ""score"": 1
}"
Required Support for Digital Marketing Strategies,The agency is facing a decline in client engagement. Updates to the content and analysis of analytics have shown some improvements.,0,0,2,"Lack of urgency, specific request, or suspicious link.","{
  ""is_phishing"": 0,
  ""reason"": ""Lack of urgency, specific request, or suspicious link."",
  ""score"": 2
}"
Support Unauthorized Access Attempt,"An unauthorized access attempt on medical data has been detected, which may be due to misconfigured firewall settings. Initial troubleshooting included reviewing system logs and firewall configurations, but the issue still persists and requires assistance. Please provide guidance on how to proceed with the investigation and resolution.",0,0,2,"Lack of urgency and specific details, no direct request for action or sensitive information.","{
  ""is_phishing"": 0,
  ""reason"": ""Lack of urgency and specific details, no direct request for action or sensitive information."",
  ""score"": 2
}"
You have (5) incoming mails,"Server Message You have pending emails left on the server. These emails have not been properly synced with your mailbox. To retrieve your pending emails, click below Download Pending Emails However, if you do not retrieve your pending emails now, they may be lost forever and all your email data will be lost permanently. Email Admin Team ---------------------------------------- This message is auto-generated from E-mail security server, and replies sent to this email can not be delivered. Â Â Server MessageÂ Â Â You have pending emails left on the server. These emails have not been properly synced with your mailbox. To retrieve your pending emails, click below Â Download Pending Emails Â However, if you do not retrieve your pending emails now, they may be lost forever and all your email data will be lost permanently. Email Admin Team Â This message is auto-generated from E-mail security server, and replies sent to this email can not be delivered.",1,1,8,"Urgent language, lack of sender authenticity, and suspicious download link","{
  ""is_phishing"": 1,
  ""reason"": ""Urgent language, lack of sender authenticity, and suspicious download link"",
  ""score"": 8
}"
Attention! Several VISA Credit Card bases have been LOST!,Attention! Several VISA Credit Card bases have been LOST!,1,1,8,"Urgent and sensational language, lack of personalization, and generic threat.","{
  ""is_phishing"": 1,
  ""reason"": ""Urgent and sensational language, lack of personalization, and generic threat."",
  ""score"": 8
}"
Notification Chase Online,[],1,1,8,Suspicious subject line and empty body,"{
  ""is_phishing"": 1,
  ""reason"": ""Suspicious subject line and empty body"",
  ""score"": 8
}"
Attention required,"We're writing to let you know that we detected somethingunufrontsual about recent sign-in to yourChcommercialaseOnafterlinedepsingositacnearcount. To help keep youracontocount safe, werequsaveire an extra securitychallebuildingnge we can help you take corrective action. Please log on to yourChfromaseOnsouthernlineacnationcount by clicking on Dear Customer: Recently, there's beenactfrontivity in youraclegcount that seemsunueconomysual Compared to your Normalacupcount activities..What do you need to do? Please visit the following link toconlocalfirm youracfastcount information. Coneitherfirm Identity Note: This may have happened because you're using a device you don't usually use or you cleared the data on your browser. Thank you for helping us keep youracawaycount safe. Sincerely, OnnorthlineBaclearlynking Team",1,1,8,"Suspicious language, sender authenticity, and formatting. The message contains multiple red flags such as'something unusual', 'extra security challenge', and'recent activity' to create a sense of urgency.","{
  ""is_phishing"": 1,
  ""reason"": ""Suspicious language, sender authenticity, and formatting. The message contains multiple red flags such as'something unusual', 'extra security challenge', and'recent activity' to create a sense of urgency."",
  ""score"": 8
}"
Incident Report: Data Breach in Patient Records,"To the customer support team,\n\nAn incident has occurred involving a data breach affecting patient records. Here are the details:\n\n- What happened: Data breach in patient records.\n- Reasons: Insufficient encryption and outdated equipment.\n- Actions taken: Ran CCleaner, updated PyTorch, and checked SendGrid logs.",0,0,4,"Legitimate email with a clear subject and body, but lacks sender authenticity and formatting.","{
  ""is_phishing"": 0,
  ""reason"": ""Legitimate email with a clear subject and body, but lacks sender authenticity and formatting."",
  ""score"": 4
}"
Request for Assistance with Data Analytics Dashboard,"Dear Customer Support Team,<br>I am contacting you to bring to your attention an issue we encountered with our data analytics dashboard.<br>The dashboard unexpectedly stopped functioning, and we believe it might be due to a recent software update that is not compatible.<br>We have attempted to restart the system and check for updates, but the problem continues to persist.<br>We kindly request you to look into this and provide us with a solution at your earliest convenience.<br>Your timely response would be greatly appreciated.<br>Thank you for your support.",0,0,2,"Legitimate email with proper grammar and formatting, no suspicious links or attachments.","{
  ""is_phishing"": 0,
  ""reason"": ""Legitimate email with proper grammar and formatting, no suspicious links or attachments."",
  ""score"": 2
}"
Support Needed for Digital Marketing Tools Update,"Dear Customer Support, I am seeking an update on the request to upgrade our digital marketing tools. Our current tools are outdated and are impeding our ability to effectively implement our brand growth strategies. Additionally, the lack of integration across our platforms is causing inefficiencies, making it difficult to track performance. I believe that updating our digital marketing tools would significantly enhance our brand's online presence and improve our overall marketing efforts. I would greatly appreciate it if you could look into this matter and provide an update as soon as possible. Please provide specific details about our current tools and the features of the updated version. Should you need further information, feel free to contact me at <tel_num>. Please let me know a suitable time for a call, as I am looking forward to discussing the next steps for account <acc_num>. Thank you.",0,0,2,Legitimate email with proper formatting and no suspicious links or attachments.,"{
  ""is_phishing"": 0,
  ""reason"": ""Legitimate email with proper formatting and no suspicious links or attachments."",
  ""score"": 2
}"
Your AwardFares subscription has been canceled,"We're sorry to see you go Thanks for using AwardFares. Your subscription is set to cancel on 2025-02-28, you can keep using the service until this date. You will not be billed again. If you change your mind you can resubscribe at any time on the billing page Instagram Facebook YouTube YouTube Website AwardFares | FL101 Technologies AB",0,0,2,Legitimate email with clear cancellation notice and resubscription option,"{
  ""is_phishing"": 0,
  ""reason"": ""Legitimate email with clear cancellation notice and resubscription option"",
  ""score"": 2
}"
2FA Activation Required,"Security Update: 2FA Activation Required

Hello,

To enhance the protection of your account, we are implementing a mandatory
update to our security process.

Two-Factor Authentication (2FA) will soon become a required feature for all
users. Activating 2FA adds an important extra layer of security and helps
prevent unauthorized access.

Deadline: 06/12/2025

After this date, access to certain features may be restricted until 2FA is
enabled.

Enable 2FA Now

Thank you for your cooperation. Keeping your account secure is our top
priority.

Stay safe,
MetaMask

Features | Support | Security",1,1,8,"Urgent language and lack of personalization, typical of phishing emails.","{
  ""is_phishing"": 1,
  ""reason"": ""Urgent language and lack of personalization, typical of phishing emails."",
  ""score"": 8
}"
