group,detector,hw_recall,hw_recall_std,llm_recall,llm_recall_std,delta_recall,delta_recall_std,hw_f2,hw_f2_std,llm_f2,llm_f2_std,delta_f2,delta_f2_std,hw_mcc,hw_mcc_std,llm_mcc,llm_mcc_std,delta_mcc,delta_mcc_std
Academic,scamllm,0.8746587343629029,0.006539704547195032,0.6444317672466484,0.1716896670440712,-0.23022696711625446,0.17259283183836974,0.8633310541768894,0.03108238533452642,0.6659003444239531,0.13597824082724694,-0.1974307097529363,0.1417398554801871,0.6303578546601565,0.030878213938378654,0.3836289010474355,0.2454592516614438,-0.24672895361272096,0.2462608755765045
Academic,pimref,0.04082963204433397,0.003595668032234741,0.01670673566684324,0.02062680041752907,-0.02412289637749073,0.019997022990130637,0.05039734433155618,0.004432862464629704,0.020789599115681442,0.025386770769468096,-0.02960774521587474,0.024582037438246936,0.0817189129181306,0.01615782899990536,0.07324738304258935,0.04399029803576618,-0.008471529875541256,0.041029785921178355
Academic,t5phishing,1.0,0.0,1.0,0.0,0.0,0.0,0.8687879238443185,0.0778380307306071,0.8687879238443185,0.0778380307306071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Academic,ml_watermark_logreg,0.8586854651399698,0.007238309464905913,0.8417749887942627,0.08071112895459238,-0.01691047634570708,0.08135736024572571,0.7771770398453981,0.06486388602976695,0.7896245671169415,0.08547805932311242,0.012447527271543413,0.08629844101550306,-0.033509717895258216,0.018072710703158707,0.2253289225825576,0.3280639846407056,0.2588386404778158,0.3372435853758546
Academic,xgboost,0.645491218776741,0.007164336818614841,0.6499327655759749,0.1791419733928847,0.00444154679923392,0.1823147255444042,0.6627201606492908,0.026269178328043815,0.6595869620954602,0.14161211987230418,-0.0031331985538306517,0.14877452137515734,0.3447757406205072,0.023246200914913917,0.2809422742860867,0.24045208800920403,-0.0638334663344205,0.23511176711079473
Academic,securenet_llama,0.8312005868448936,0.01095271631294924,0.6651989562948467,0.2705300058228676,-0.1660016305500469,0.27395730196861495,0.8539751126295868,0.013341063212709774,0.6993150861071346,0.23806696685455098,-0.15466002652245225,0.24195710947999524,0.7766527790130029,0.02207424054620804,0.5448638259896631,0.22622155701740015,-0.2317889530233398,0.23338300465121736
Academic,Academic mean,0.7084776061948069,,0.6363408689297626,,-0.0721367372650442,,0.6793981059128401,,0.6173340804505816,,-0.06206402546225842,,0.29999926155275647,,0.25133521782472207,,-0.04866404372803445,
Academic,Academic median,0.8449430259924318,,0.6575658609354108,,-0.020516686361598906,,0.8155760762374924,,0.6826077152655439,,-0.016370471884852696,,0.2132473267693189,,0.25313559843432215,,-0.036152498104980876,
Industrial,llm_guard,0.4179025142188912,0.01596622498041641,0.5451796150230904,0.21676956251446688,0.12727710080419924,0.22459518489030386,0.4482530560116767,0.015764584306249992,0.5371711135629667,0.16593996894428353,0.08891805755128995,0.15594067963096447,0.06033342392154806,0.016353841827288072,-0.1580979874484571,0.2646906697076774,-0.21843141137000516,0.22860977394544044
Industrial,phishing_email_agent,0.21575506298835911,0.010707652716113377,0.403459388895688,0.21447664977232753,0.18770432590732888,0.1830075830905763,0.2535860655737705,0.009455146824741413,0.4494964185725194,0.1848260803580882,0.19591035299874887,0.12346653627732451,0.2184894983051705,0.0337057377248378,0.3223892829585187,0.22168967972820133,0.1038997846533482,0.1533118290001581
Industrial,email_phishing_detection_v3,,,0.7270131353512279,0.18694705984983434,,,,,0.7492642731018246,0.13795587249784177,,,,,0.5660392016143805,0.20301006092560556,,
Industrial,pyrit_original,,,,,,,,,,,,,,,,,,
Industrial,pyrit_blocklist,,,0.20463337058368436,0.1164068429193107,,,,,0.24106085001670868,0.11037499074195457,,,,,0.21488103129858013,0.06858094771023689,,
Industrial,spamassassin,0.41249614633645054,0.02058709963420951,0.20467660945814284,0.22454364689123057,-0.2078195368783077,0.21500417929171536,0.4650570025025489,0.019916618812567698,0.24031185104360986,0.18716642248949822,-0.22474515145893903,0.18233510045790532,0.45490681160597973,0.04536122400388849,0.16006768604619945,0.10648770021515054,-0.2948391255597803,0.13555658038943236
Industrial,oopspam,,,,,,,,,,,,,,,,,,
Industrial,Industrial mean,0.3487179078479003,,0.4169924238623667,,0.035720629944406806,,0.3889653746959987,,0.4434609012595258,,0.020027753030366597,,0.24457657794423274,,0.22105584289384433,,-0.13645691742547908,
Industrial,Industrial median,0.41249614633645054,,0.403459388895688,,0.12727710080419924,,0.4482530560116767,,0.4494964185725194,,0.08891805755128995,,0.2184894983051705,,0.21488103129858013,,-0.21843141137000516,
