Body,label,category,data source
"hello sir, your SBI account is compromised. Share your account number and PIN to secure it immediately.",1,Financial Fraud,AIFraud
"hello, i am from bank KYC team. Please share your Aadhar number to complete verification.",1,Identity Theft,AIFraud
"hi, your Paytm account needs verification to continue. Please call 09876543211 to confirm your details.",1,Phishing,AIFraud
"hi, it's your neighbor Anil. I'm short on cash for groceries, can you send 3,000 INR? UPI: anil789@upi.",1,Emotional Manipulation,AIFraud
"hi, this is from the Tax department. Call 09876543223 to discuss your filing.",1,Impersonation,AIFraud
"hi, your PhonePe account requires verification. Call 09876543217 to update.",1,Phishing,AIFraud
"hello, your Jio SIM will be deactivated in 24 hours. Share the OTP sent to your phone to activate.",1,Service Fraud,AIFraud
your Amazon account is locked! Click here to unlock: http://amazon.security.xyz and enter your details.,1,Phishing,AIFraud
"hello, your HDFC loan EMI is overdue. Pay 10,000 INR via this link: http://hdfc.emi.xyz to avoid penalties.",1,Financial Fraud,AIFraud
"hello sir, i am from Aadhar office. Your Aadhar is suspended. Share your Aadhar number and OTP to reactivate.",1,Identity Theft,AIFraud
"this is Income Tax officer Patil. You owe 75,000 INR in taxes. Pay now or face jail. Call 09887654321.",1,Impersonation,AIFraud
"you've won a 10,000 INR Flipkart voucher! Claim it here: http://flipkart.lucky.xyz and enter your card details.",1,Phishing,AIFraud
"hello, your Airtel broadband will be disconnected tonight. Pay 2000 INR via UPI: airtelcare@okaxis.",1,Service Fraud,AIFraud
"hello, your ICICI debit card is blocked. Share your card number and CVV to unblock it.",1,Financial Fraud,AIFraud
"hello, i am from PAN card office. Your PAN needs linking to Aadhar. Share both numbers and OTP.",1,Identity Theft,AIFraud
"this is Tax officer Desai. You're eligible for a 15,000 INR refund. Share your bank details to process.",1,Impersonation,AIFraud
your Paytm account is at risk! Update KYC here: http://paytm.kycupdate.co and enter your details.,1,Phishing,AIFraud
"hello, your Vi SIM needs verification. Reply with the OTP to avoid disconnection.",1,Service Fraud,AIFraud
your Google Pay account is compromised! Secure it here: http://gpay.security.xyz and enter your details.,1,Phishing,AIFraud
"hello sir, your Axis Bank account is frozen. Share your account number and PIN to unfreeze it.",1,Financial Fraud,AIFraud
"hello, i am from voter ID office. Your ID needs re-verification. Share your ID number and OTP.",1,Identity Theft,AIFraud
"this is Police officer Verma. You're linked to a cybercrime. Pay 80,000 INR to avoid arrest. Call 09876543210.",1,Impersonation,AIFraud
"you've won a 20,000 INR Amazon voucher! Claim it here: http://amazon.winner.xyz and enter your bank details.",1,Phishing,AIFraud
"hello, your BSNL SIM will be blocked in 12 hours. Pay 500 INR via UPI: bsnlcare@okhdfc.",1,Service Fraud,AIFraud
"hello, your PNB account has unauthorized transactions. Share your account details and PIN to stop them.",1,Financial Fraud,AIFraud
"hello, i am from EPFO. Your PF account needs verification. Share your UAN and OTP now.",1,Identity Theft,AIFraud
"this is Tax officer Shah. You have a tax refund of 10,000 INR. Share your bank details to receive it.",1,Impersonation,AIFraud
your Flipkart account is at risk! Update details here: http://flipkart.security.co to continue shopping.,1,Phishing,AIFraud
"hello, your JioFiber connection will be cut off. Pay 1500 INR via UPI: jiofiber@oksbi.",1,Service Fraud,AIFraud
"hello, your Canara Bank debit card is suspended. Share your card number and CVV to reactivate.",1,Financial Fraud,AIFraud
"hello, i am from RTO. Your vehicle registration needs verification. Share your RC number and OTP.",1,Identity Theft,AIFraud
"hello, we're from the RTO. Contact 09876543224 to verify your vehicle details.",1,Impersonation,AIFraud
"hi, this is the voter ID office. Call 09876543225 to confirm your ID status.",1,Impersonation,AIFraud
"hello, we're from the bank KYC team. Contact 09876543226 to update your details.",1,Impersonation,AIFraud
"hello, your Google account requires a security check. Contact 09876543214 to proceed.",1,Phishing,AIFraud
"hi, your Flipkart account needs an update. Call 09876543215 to verify your details.",1,Phishing,AIFraud
"hello, your Paytm wallet needs confirmation. Contact 09876543216 to continue.",1,Phishing,AIFraud
"hello, your Jio account needs a security review. Contact 09876543218 to confirm.",1,Phishing,AIFraud
"hi, your Airtel account needs an update. Call 09876543219 to proceed.",1,Phishing,AIFraud
"hello, your Kotak Bank loan is due. Pay 8000 INR via this link: http://kotak.emi.xyz to avoid fees.",1,Financial Fraud,AIFraud
"hello sir, i am from income tax office. Your PAN is deactivated. Share your PAN and OTP to reactivate.",1,Identity Theft,AIFraud
this is Police officer Rao. You're linked to a drug case. Pay 1 lakh INR to avoid jail. Call 09865432109.,1,Impersonation,AIFraud
"you've won a 15,000 INR Myntra voucher! Claim it here: http://myntra.lucky.co and enter your card details.",1,Phishing,AIFraud
"hello, your Disney+ Hotstar subscription is due. Pay 799 INR via this link: http://hotstar.renew.xyz.",1,Service Fraud,AIFraud
