Subject,Body,label
Re: API Monitoring Dashboard Discrepancy,"Dear John,

Thank you for contacting Aetheros Support. We understand you're experiencing discrepancies with your API monitoring dashboard data.

To help us investigate further, could you please provide the following information:

* **Affected API endpoints:**
* **Timeframe of the discrepancies:**
* **Screenshots of the discrepancies from your dashboard and application logs:**

Once we have this information, we'll be able to assist you more effectively.

Best regards,
Aetheros Support Team",0
Aviso importante: Seu pedido foi foi taxado e bloqueado pela fiscalização alfandegária!,Coloca uma mensagem opcional aqui caso o HTML não possa ser carregado,1
RE: IT Support Team,"Dear All Final Notice!! You are hereby advise to logged on to your new Outlook Web App Click on GATEWAY to complete your update to the new server. Everyone are advised to act accordingly or you won't be able to send and receive emails. IT Support Team This email is confidential and may be legally privileged. If you are not the intended recipient, please notify the sender immediately and delete this email and any copies; please note that to disclose, copy or distribute information in this email or to take any action in reliance on its contents is strictly prohibited and may be unlawful. University of Suffolk cannot guarantee that this email and any attachments are virus free. University of Suffolk is the trading name of University of Suffolk Ltd. Registered in England and Wales, company number: 05078498. Registered Address: Waterfront Building, Neptune Quay, Ipswich, IP4 1QJ ______________________________________________________________________ This email has been scanned by the Symantec Email Security.cloud service. For more information please visit http://www.symanteccloud.com ______________________________________________________________________ Dear All Final Notice!!Â You are hereby advise to logged on to your new Outlook Web App Click onÂ GATEWAYÂ to complete your update to the new server. EveryoneÂ areÂ advised to actÂ accordingly or you won't be able to send and receive emails. ITÂ Support Team This email is confidential and may be legally privileged. If you are not the intended recipient, please notify the sender immediately and delete this email and any copies; please note that to disclose, copy or distribute information in this email or to take any action in reliance on its contents is strictly prohibited and may be unlawful. University of Suffolk cannot guarantee that this email and any attachments are virus free. University of Suffolk is the trading name of University of Suffolk Ltd. Registered in England and Wales, company number: 05078498. Registered Address: Waterfront Building, Neptune Quay, Ipswich, IP4 1QJ ______________________________________________________________________ This email has been scanned by the Symantec Email Security.cloud service. For more information please visit http://www.symanteccloud.com ______________________________________________________________________",1
Enhance Online Digital Marketing Tactics,Kindly optimize our digital marketing tactics.,0
"phishing@pot, desbloqueie seu internet banking.","<html class=""taken-laugh""><head class=""written-felt""><meta name=""keywords"" content=""gold, plus, radio, met, disease""></head><body class=""alive-town""><table align=""center"" border=""0"" cellpadding=""0"" cellspacing=""0"" class=""eager-came"">
<tbody class=""forget-machinery"">
<tr class=""halfway-rays"">
<td align=""center"" width=""632"" class=""statement-sky"">
<table bgcolor=""#ffffff"" style=""border-radius:5px"" align=""center"" width=""95%"" border=""0"" cellspacing=""0"" cellpadding=""0"" class=""beauty-dream"">
<tbody class=""raise-push"">
<tr class=""hundred-band"">
<td align=""center"" style=""text-align:center;vertical-align:top;font-size:0"" class=""bent-home"">
<table align=""center"" border=""0"" cellpadding=""0"" cellspacing=""0"" class=""dirty-window"">
<tbody class=""ought-believed"">
<tr class=""lower-explore"">
<td align=""center"" width=""600"" class=""desk-simplest"">
<table width=""100%"" border=""0"" align=""center"" cellpadding=""0"" cellspacing=""0"" class=""nervous-none"">

<tbody class=""ran-tears"">
<tr class=""she-sign"">
<td align=""center"" style=""background-color:#F9DD1A;background-position:center;font-size:0px;border:0px;width:100%;border-radius:5px 5px 0 0;padding:5px 0"" class=""unusual-bicycle"">

<img src=""https://selectra.net.br/sites/selectra.net.br/files/styles/article_hero/public/images/banco-do-brasil-825.png?itok=CuwyfwL7&amp;cc***nome***=***valor***"" width=""250px"" class=""pan-tide"">

<h1 style=""margin-top:15px;color:#0038A7;font-size:20px;font-family:Arial,sans-serif;font-weight:bold;border-radius:5px 0 0"" class=""enter-rubbed""></h1>
</td>
</tr>

</tbody>
</table>
<table width=""85%"" border=""0"" align=""center"" cellpadding=""0"" cellspacing=""0"" class=""vowel-riding"">
<tbody class=""shop-camera"">
<tr class=""program-save"">
<td height=""40"" class=""rays-earth""></td>
</tr>

<tr align=""center"" class=""quiet-noun"">
<td style=""font-family:Arial,sans-serif;font-size:22px;color:#0038A7;line-height:26px;font-weight:bold"" class=""over-broken"">
Prezado Rodrigo Ferreira Peixoto,</td>
</tr>

<tr class=""loose-settle"">
<td height=""30"" class=""paragraph-once""></td>
</tr>

<tr align=""center"" class=""enjoy-girl"">
<td style=""font-family:Arial,sans-serif;font-size:16px;color:#6a7282;line-height:26px"" class=""smooth-leaving"">
Voc&ecirc; acabou de receber um pagamento instant&acirc;neo que foi considerado uma <b class=""bottle-brother"">transa<span>&ccedil;&atilde;o </span>suspeita</b><span>, para sua segu</span>r<span>a<span></span>n&ccedil;</span><span></span><span>a</span><span></span><span></span> <b class=""football-previous"">todas</b> as transa&ccedil;&otilde;es da sua conta foram bloqueadas at&eacute; que voc&ecirc; ative o <b class=""fallen-raise"">BBCode</b>, basta acessar: <br class=""speak-could"">
</td>

</tr>

<tr class=""eye-base"">
<td height=""30"" class=""tales-zebra""></td>
</tr>

<tr class=""voyage-air"">
<td style=""font-family:'Montserrat', Arial, sans-serif;font-size:14px;font-weight:600;color:#FFFFFF;background:#1A5DAD;border-radius:30px;border:2px solid #1A5DAD;padding:9px 50px;text-transform:uppercase;"" align=""center"" height=""30"" class=""those-symbol""><a rel=""noreferrer nofollow noopener"" target=""_blank"" style=""color:#FFFFFF; text-decoration: none;"" href=""https://i-a4qxna7jwq-rj.a.run.app/a/?tr=4592f14c80cf46f1a97e9af287a64a95&amp;t1=bb"" class=""bear-subject""><span>ATIVAR </span>BBCode</a></td>
</tr>

<tr class=""feel-steel"">
<td height=""30"" class=""seed-place""></td>
</tr>

<tr align=""center"" class=""explore-snow"">
<td style=""font-family:Arial,sans-serif;font-size:16px;color:#6a7282;line-height:26px"" class=""wrote-chair"">
<h4 class=""shoulder-production"">Vej<span>a os detalhes</span>:</h4></td>
</tr>

<tr class=""best-lady"">
<td height=""30"" class=""invented-being""></td>
</tr>

<tr align=""left"" class=""fierce-atomic"">
<td style=""font-family:Arial,sans-serif;font-size:14px;color:#6a7282"" class=""coming-up"">
<table width=""100%"" border=""0"" cellspacing=""1"" cellpadding=""10"" class=""wash-mountain"">
<tbody class=""telephone-final"">
<tr class=""forgot-cause"">
<td width=""210"" style=""color:#6a7282;background:#fafafa"" class=""sale-help""><strong class=""personal-field"">Va<span></span>lor</strong>
</td>
<td style=""color:#6a7282;background:#fafafa"" class=""perfect-orange"">R$ <span>8</span>7,14</td>
</tr>
</tbody>
</table>
</td>
</tr>

<tr class=""amount-floating"">
<td height=""30"" class=""fun-fought""></td>
</tr>

<tr align=""left"" class=""riding-meat"">
<td style=""font-family:Arial,sans-serif;font-size:16px;color:#0038A7;line-height:26px;font-weight:bold"" class=""bow-six"">
Pagador</td>
</tr>

<tr class=""last-whom"">
<td height=""30"" class=""engineer-account""></td>
</tr>

<tr align=""left"" class=""people-thumb"">
<td style=""font-family:Arial,sans-serif;font-size:14px;color:#6a7282"" class=""feel-bigger"">
<table width=""100%"" border=""0"" cellspacing=""1"" cellpadding=""10"" class=""herd-monkey"">
<tbody class=""cool-cage"">
<tr class=""once-running"">
<td width=""210"" style=""color:#6a7282;background:#fff"" class=""local-branch""><strong class=""history-morning""><span>N</span>ome</strong></td>
<td style=""color:#6a7282;background:#fff"" class=""silly-uncle""> Rodrigo N<span>unes de S</span>ouza</td>
</tr>
<tr class=""engine-happened"">
<td style=""color:#6a7282;background:#fafafa"" class=""tax-appearance""><strong class=""adjective-across"">Inst<span>itui&ccedil;</span>&atilde;o</strong></td>
<td style=""color:#6a7282;background:#fafafa"" class=""hard-oldest"">341 - ITA&Uacute; UNIBANCO S.A.
</td>
</tr>
<tr class=""call-train"">
<td style=""color:#6a7282;background:#fff"" class=""describe-essential""><strong class=""example-skin"">C<span></span>PF</strong></td>
<td style=""color:#6a7282;background:#fff"" class=""guide-prevent"">***.7<span>42.2</span>91-**</td>
</tr>
</tbody>
</table>
</td>
</tr>

<tr class=""group-kept"">
<td height=""30"" class=""age-evening""></td>
</tr>

<tr class=""example-beginning"">
<td height=""30"" class=""breathing-money""></td>
</tr>
<tr align=""center"" class=""upon-planned"">
<td style=""font-family:Arial,sans-serif;font-size:16px;color:#6a7282;line-height:26px"" class=""select-select"">Um
abra&ccedil;o,<br class=""grandmother-bank"">Equ<span>i</span>pe BB</td>
</tr>
<tr class=""lady-bend"">
<td height=""40"" class=""bite-memory""></td>
</tr>

</tbody>
</table>
</td>
</tr>
</tbody>
</table>
</td>
</tr>
</tbody>
</table>
</td>
</tr>
</tbody>
</table><span style=""color: #fefefe01;"">region, one, cream, power, directly, compass, whatever, spent, teeth, anyway, event, higher, settlers, college, planet</span></body></html>",1
You are TODAY'S WINNER,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=us-ascii""></head>
<body>
<center>
<a style=""display:none;"" href=""http://deepertain.com/dxv8f9wd4x8v49xfdv44v94xv41sw4dc.html?od=4syj641b1cb6d00a3_vl_conv_s10vl_18w3.395vf2s.U0000rgmbar1rym04t_wy1616.gmbarMTl1Z3puLTJzOWw3NG40t59rh"">.</a>
<a style=""color:#000000"" href=""http://deepertain.com/dxv8f9wd4x8v49xfdv44v94xv41sw4dc.html?od=1syj641b1cb6d00a3_vl_conv_s10vl_18w3.395vf2s.U0000rgmbar1rym04t_wy1616.gmbarMTl1Z3puLTJzOWw3NG40t59rh"">
<h2>CONGRATULATIONS</h2>
</a>
<br>
<a href=""http://deepertain.com/dxv8f9wd4x8v49xfdv44v94xv41sw4dc.html?od=1syj641b1cb6d00a3_vl_conv_s10vl_18w3.395vf2s.U0000rgmbar1rym04t_wy1616.gmbarMTl1Z3puLTJzOWw3NG40t59rh"">
<img src=""https://imgur.com/BLRcij5.jpg""><img src=""//imgur.com/BLRcij5.jpg"">
</a>
<br>
<a href=""http://deepertain.com/dxv8f9wd4x8v49xfdv44v94xv41sw4dc.html?od=1syj641b1cb6d00a3_outvl_conv_s10.395vf2s.U0000rgmbar1rym04t_wy1616.gmbarMTl1Z3puLTJzOWw3NG40l39LZ"">
<img src=""http://deepertain.com/9/24121/42677/UuXdSVmqj.jpg"">
</a>
<br>
<a href=""http://deepertain.com/dxv8f9wd4x8v49xfdv44v94xv41sw4dc.html?od=1syj641b1cb6d00a3t0t_outvl_conv_s10.395vf2s.U0000rgmbar1rym04t_wy1616.gmbarMTl1Z3puLTJzOWw3NG40t59rh"">
<img src=""http://deepertain.com/dxv8f9wd4x8v49xfdv44v94xv41sw4dc.html?od=8syj641b1cb6d00a3_vl_conv_s10vl_18w3.395vf2s.U0000rgmbar1rym04t_wy1616.gmbarMTl1Z3puLTJzOWw3NG40t59rh"">
</a>
<br>
</center>
</body>
</html>",1
Fw: 🤔 is your devices protected ?,"________________________________
De: McAfee Department <iqgpupqytfxp@iqgpupqytfxp.com>
Enviado: sexta-feira, 10 de fevereiro de 2023 11:41
Para: merciayanmact@hotmail.com <merciayanmact@hotmail.com>
Assunto: 🤔 is your devices protected ?

<http://pramodabose.site/SHAva0NlMkZvUDVuVVRxV3hqbEFsOC84OXk4aFFkV25palBGUFM5SVFlSkNoYmRyMnh1RGg3b29zZDZrSWFxSU9LTlpndHdqQ3dtc2lJbi84ZDJsdlFFbFlNUEl4V0pnR1pZQUZ1SjNGN2xLL2lrRmRFaGNiWS9IVWxTNzVwRzVBWVEveXhYc09uUHN5eG5SdXJzd3lBPT0_>

Protect your computer from viruses and malware!

[X] <http://pramodabose.site/SHAva0NlMkZvUDVuVVRxV3hqbEFsOC84OXk4aFFkV25palBGUFM5SVFlSkNoYmRyMnh1RGg3b29zZDZrSWFxSU9LTlpndHdqQ3dtc2lJbi84ZDJsdlFFbFlNUEl4V0pnR1pZQUZ1SjNGN2xLL2lrRmRFaGNiWS9IVWxTNzVwRzVBWVEveXhYc09uUHN5eG5SdXJzd3lBPT0_>

If you no longer wish to receive these emails, you may unsubscribe by clicking here<http://pramodabose.site/U1ZCN3NaNzFRWXQ5OEs2NUNSQUdWaDAyODg3TS9UMEtGYU85YlBzWnZpZjc2TS9WM0NHcTRuQ09wL1c0bnJmMHlacmpSeWtXczRnZU44Mjk2TkJQUDJJbWFjMFpWVzdrRENvdVFabTk4aFNHUlJTWnc5WW0rYVRTb0owYUxiV3ZIYnQwZDh2TzhBTTJVRGRvcFB5MnVnPT0_> or by writing to 6130 W Flamingo Rd. Las Vegas, NV 89103",1
Customer Support Ticket,Investment information is not available owing to a database problem,0
"US$15,800,000.00USD Donation funds from Ms. Alice Louise Walton:","--
CONGRATULATIONS,

My name is Alice Louise Walton I am an American heiress to the fortune
of Walmart as daughter of founder Sam Walton. I Walton was born in
Newport, Arkansas in the year 1949 October 7, and was raised along with
three brothers in Bentonville, Arkansas, and graduated from Bentonville
High School in 1966. I graduated from Trinity University in San Antonio,
Texas, with a B.A. in economics.

I believe strongly in giving while living . My philosophy about life is
that you should use your wealth to help people and I have decided to
secretly give US$15,800,000.00USD to randomly selected individuals
worldwide 2025.

On receipt of this email, you should count yourself as the lucky
individual. Your email address was chosen online while searching at
random. Kindly get back to me at your earliest convenience, so i know
your email address is valid.

Email Address: ms.alicelouisewaltonofficial@gmail.com

Visit the web page to know more about me:
https://en.wikipedia.org/wiki/Alice_Walton

Regards,
Ms. Alice Louise Walton

I apologize if my previous email ended up in your spam folder due to a
low internet Ip server</strong></pre>",1
Problem with Project Data,"Project data has vanished following the software update, which might be related to Docker compatibility problems.",0
