subject,body,label,model_prediction
Inquiry on System Specifications,"I am contacting you to request the system requirements needed for our setup to operate at its best, especially with multiple integrations. Could you kindly share the precise details required to achieve smooth operation? It would be of great help if you could outline the recommended hardware and software specifications. This information will be crucial in our planning and system configuration. I look forward to your response and eagerly await your guidance.",0,1
New email address added to your account!,"You have added muartea55@aol.com as a new email address for your PayPal account. If you did not authorize this change or if you need assistance with your account, please contact PayPal customer service at: Thank you for using PayPal! The PayPal Team Please do not reply to this e-mail. Mail sent to this address cannot be answered. For assistance, log in to your PayPal account and choose the ""Help"" link in the header of any page.",1,1
Support Request for Antivirus Software Update on Lenovo ThinkPad X1 Carbon,"I am reaching out to seek assistance in updating the antivirus software on my Lenovo ThinkPad X1 Carbon laptops. The current version is leading to compatibility challenges with our project management software, causing errors that disrupt our workflow. I would be very grateful for instructions on how to address these issues and achieve smooth integration.",0,1
Important Security Update: monkey.org Confirm Password Now 2/10/2025 5:32:37 a.m.,"Cpanel Roundcube account

Your account is set to close on 2/10/2025 5:32:37 a.m.

Dear jose,

Your account ( jose@monkey.org ) is scheduled to be closed on 2/10/2025 5:32:37 a.m. due to account inactivity.

If you want to keep your account, use the button below.

click here .

Thanks,

The Cpanel account team

Privacy Statement

Roundcube Corporation, One Micro Way, Redmond, WA 98052

est",1,1
Pipeline Update - February 13,"Morning update:

Opportunities in progress: 13
Value in pipeline: €1,776,296
Closes this week: 3

Key activities today:
- Customer meetings: 4
- Proposals to send: 0
- Follow-ups needed: 4

Christina",0,1
Approval needed: Special pricing,"Need approval for:

Customer: Company_358
Deal size: €96,494
Discount requested: 13%
Reason: Long-term contract

Please approve in system.

Denise",0,1
Revise Digital Marketing Techniques,"Customer Support, we are seeking to update our digital marketing strategies using advanced tools to enhance brand growth and improve marketing effectiveness across various platforms. While our current strategies are meeting our goals, we recognize the need to adapt to the changing market landscape. We would appreciate the opportunity to schedule a meeting with the team to discuss potential solutions and the implementation of new tools to improve our online presence. This will help us better engage with our target audience, increase brand awareness, and drive results.",0,1
�������������Kom nu in contact met een TG��������,"<!DOCTYPE html><html xmlns=""http://www.w3.org/1999/xhtml"" xmlns:o=""urn:schemas-microsoft-com:office:office"" xmlns:v=""urn:schemas-microsoft-com:vml""><head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title></title>
<!--[if !mso]><!-- --><meta http-equiv=""X-UA-Compatible"" content=""IE=edge""><!--<!--><meta name=""viewport"" content=""width=device-width, initial-scale=1"">
<style type=""text/css"">#outlook a { padding:0; }
.ReadMsgBody { width:100%; }
.ExternalClass { width:100%; }
.ExternalClass * { line-height:100%; }
body { margin:0;padding:0;-webkit-text-size-adjust:100%;-ms-text-size-adjust:100%; }
table, td { border-collapse:collapse;mso-table-lspace:0pt;mso-table-rspace:0pt; }
img { border:0;height:auto;line-height:100%; outline:none;text-decoration:none;-ms-interpolation-mode:bicubic; }
p { display:block;margin:13px 0; }
</style>
<!--[if !mso]><!-->
<style type=""text/css"">@media only screen and (max-width:480px) {
@-ms-viewport { width:320px; }
@viewport { width:320px; }
}
</style>
<!--<!--><!--[if mso]>
<xml>
<o:OfficeDocumentSettings>
<o:AllowPNG></o:AllowPNG>
<o:PixelsPerInch>96</o:PixelsPerInch>
</o:OfficeDocumentSettings>
</xml>
<!--><!--[if lte mso 11]>
<style type=""text/css"">
.outlook-group-fix { width:100% !important; }
</style>
<!--><!--[if !mso]><!-->
<link href=""https://fonts.googleapis.com/css?family=Ubuntu:300,400,500,700"" rel=""stylesheet"" type=""text/css"">
<link href=""https://fonts.googleapis.com/css?family=Cabin:400,700"" rel=""stylesheet"" type=""text/css"">
<style type=""text/css"">@import url(https://fonts.googleapis.com/css?family=Ubuntu:300,400,500,700);
@import url(https://fonts.googleapis.com/css?family=Cabin:400,700);
</style>
<!--<!-->
<style type=""text/css"">@media only screen and (min-width:480px) {
.mj-column-per-100 { width:100% !important; max-width: 100%; }
}
</style>
<style type=""text/css"">
</style>
<style type=""text/css"">.hide_on_mobile { display: none !important;}
@media only screen and (min-width: 480px) { .hide_on_mobile { display: block !important;} }
.hide_section_on_mobile { display: none !important;}
@media only screen and (min-width: 480px) { .hide_section_on_mobile { display: table !important;} }
.hide_on_desktop { display: block !important;}
@media only screen and (min-width: 480px) { .hide_on_desktop { display: none !important;} }
.hide_section_on_desktop { display: table !important;}
@media only screen and (min-width: 480px) { .hide_section_on_desktop { display: none !important;} }
.mj-column-per-100 {
width: 100%!important;
}
.mj-column-per-50 {
width: 50%!important;
}
.mj-column-per-33 {
width: 33.333333333333336%!important;
}
p {
margin: 0px;
}
@media only print and (min-width:480px) {
.mj-column-per-100 { width:100%!important; }
.mj-column-per-40 { width:40%!important; }
.mj-column-per-60 { width:60%!important; }
.mj-column-per-50 { width: 50%!important; }
mj-column-per-33 { width: 33.333333333333336%!important; }
}
</style>
</head>
<body style=""background-color:#FFFFFF;"">
<div style=""background-color:#FFFFFF;""><!--[if mso | IE]>
<table
align=""center"" border=""0"" cellpadding=""0"" cellspacing=""0"" class="""" style=""width:600px;"" width=""600""
>
<tr>
<td style=""line-height:0px;font-size:0px;mso-line-height-rule:exactly;"">
<!-->
<div style=""Margin:0px auto;max-width:600px;"">
<table align=""center"" border=""0"" cellpadding=""0"" cellspacing=""0"" role=""presentation"" style=""width:100%;"">
<tbody>
<tr>
<td style=""direction:ltr;font-size:0px;padding:9px 0px 9px 0px;text-align:center;vertical-align:top;""><!--[if mso | IE]>
<table role=""presentation"" border=""0"" cellpadding=""0"" cellspacing=""0"">

<tr>

<td
class="""" style=""vertical-align:top;width:600px;""
>
<!-->
<div class=""mj-column-per-100 outlook-group-fix"" style=""font-size:13px;text-align:left;direction:ltr;display:inline-block;vertical-align:top;width:100%;"">
<table border=""0"" cellpadding=""0"" cellspacing=""0"" role=""presentation"" style=""vertical-align:top;"" width=""100%"">
<tbody>
<tr>
<td align=""left"" style=""font-size:0px;padding:15px 15px 15px 15px;word-break:break-word;"">
<div style=""font-family:Ubuntu, Helvetica, Arial, sans-serif;font-size:11px;line-height:1.5;text-align:left;color:#000000;"">
<p style=""text-align: center;""><span style=""background-color: #q0ff ;""><strong><span style=""font-size: 36px; background-color:#sf00ff ; color:black;"">&nbsp;<b>Vrouwelijke shemale zoekt sexvriend</b></span></strong></span></p>

<p style=""text-align: center;"">&nbsp;</p>
</div>
</td>
</tr>
<tr>
<td style=""font-size:0px;padding:10px 25px;padding-top:10px;padding-right:36px;padding-bottom:10px;padding-left:36px;word-break:break-word;"">
<p style=""border-top:solid 1px #000000;font-size:1;margin:0px auto;width:100%;"">&nbsp;</p>
<!--[if mso | IE]>
<table
align=""center"" border=""0"" cellpadding=""0"" cellspacing=""0"" style=""border-top:solid 1px #000000;font-size:1;margin:0px auto;width:528px;"" role=""presentation"" width=""528px""
>
<tr>
<td style=""height:0;line-height:0;"">

</td>
</tr>
</table>
<!--></td>
</tr>
<tr>
<td align=""left"" style=""font-size:0px;padding:15px 15px 15px 15px;word-break:break-word;"">
<div style=""font-family:Ubuntu, Helvetica, Arial, sans-serif;font-size:11px;line-height:1.5;text-align:left;color:#000000;"">
<p><span style=""font-size: 20px;""><b>Hallo leuke mannen! Mijn naam is Dehlila een vrouwelijke shemale. Er is niemand die aan mij kan zien dat ik een vrouw ben met een pik en daar ben ik trots op. Ik kleed me netjes, hou ook wel van sexy kleding, huge hakken make up etc, maar het most niet over de top zijn zoals ik wel eens tegen kom. Ik werk op een makelaarskantoor en moet dus ook daar representatief overkomen. Met mijn extraatje bied ik natuurlijk wel extra mogelijkheden op sexgebied, en welke dat zijn??? </b></span></p>

<p><b><b>&nbsp;</b></b></p>

<p>&nbsp;</p>
</div>
</td>
</tr>
<tr>
<td align=""center"" style=""font-size:0px;padding:20px 20px 20px 20px;word-break:break-word;"" vertical-align=""middle"">
<table border=""0"" cellpadding=""0"" cellspacing=""0"" role=""presentation"" style=""border-collapse:separate;width:100%;line-height:100%;"">
<tbody>
<tr>
<td align=""center"" bgcolor=""#ccccff"" role=""presentation"" style=""border:0px solid #000;border-radius:4px;cursor:auto;mso-padding-alt:16px 46px 16px 46px;background:#ccccff;"" valign=""middle""><a href=""http://secure-netcloud.com/?a=79&amp;c=18&amp;s1=2MARSnew&amp;email=phishing@pot"" style=""display:inline-block;background:yellow;color:black;font-family:Ubuntu, Helvetica, Arial, sans-serif, Helvetica, Arial, sans-serif;font-size:35px;font-weight:bold;line-height:100%;Margin:0;text-decoration:none;text-transform:none;padding:16px 46px 16px 46px;mso-padding-alt:0px;border-radius:4px;"" target=""_blank"">Stuur me maar een berichtje.</a></td>
</tr>
<tr>
</tr>
</tbody>
</table>
</td>
</tr>
</tbody>
</table>
</div>
<b><!--[if mso | IE]>
</td>

</tr>

</table>
<!--> </b></td>
</tr>
</tbody>
</table>
</div>

<center><br>
<a href=""https://nospamlink.com/ebc449f0-c9ef-41fb-bc65-2183719864bc/"" style=""color:#2776c6;font-size:12px"" target=""_blank"">Afmelden hier</a> <!--[if mso | IE]>
</td>
</tr>
</table>
<!--></center>
</div>
</body>
</html>",1,1
����Neem contact op met singles bij jou in de buurt!,"<!DOCTYPE html><html><head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title>MatchNow</title>
<!--[if !mso]>
<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">
<!==<![endif]-->

<style type=""text/css"">
#outlook a {
padding: 0;
}

.ReadMsgBody {
width: 100%;
}

.ExternalClass {
width: 100%;
}

.ExternalClass * {
line-height: 100%;
}

body {
margin: 0;
padding: 0;
-webkit-text-size-adjust: 100%;
-ms-text-size-adjust: 100%;
background-image: url('');
background-repeat: repeat-y no-repeat;
background-color: #f3f5f6;
}

table,
td {
border-collapse: collapse;
mso-table-lspace: 0pt;
mso-table-rspace: 0pt;
overflow: hidden !important;
}

img {
border: 0;
height: auto;
line-height: 100%;
outline: none;
text-decoration: none;
-ms-interpolation-mode: bicubic;
}

p {
display: block;
margin: 13px 0;
}

a {
text-decoration: none;
}

.ButtonCTA {
-webkit-transition: all 500ms ease;
-moz-transition: all 500ms ease;
-ms-transition: all 500ms ease;
-o-transition: all 500ms ease;
transition: all 500ms ease;
}

.ButtonCTA:hover {
background-color: #ffcd7a !important;
}

@media only screen and (max-width:530px) {
.hidden {
display: none !important;
}

.smalltxt {
font-size: 12px !important;
}

.txttop {
font-size: 20px !important;
line-height: 24px !important;
}
}
</style>

<link href=""https://t.ly/Ao_s"" rel=""stylesheet"" type=""text/css"">
</head>

<body style=""margin: 0; mso-line-height-rule: exactly;background-color: #f3f5f6;"">
<div style=""FONT-FAMILY: Verdana"">
<span id=""_FoxCURSOR""></span>
</div>

<blockquote style=""margin-Top: 0px; margin-Bottom: 0px; margin-Left: 0.5em"">
<div>
<div class=""FoxDiv20180801103207465790"" id=""FMOriginalContent"">
<div dir=""ltr"">
<div class=""gmail_quote"">
<center>
<a href=""https://t.ly/Ao_s""><img src=""//www.ukrainebeauty.net/e/01/logo.png?v=1.0"" width=""290"" style=""border:none; padding:0;text-align:center;margin:10px auto;max-height: 50px;"" alt=""ukrainebeauty.net""></a>
<a href=""https://t.ly/Ao_s"" style=""text-decoration:none"" target=""_blank""><p>Problemen met bekijken? <u>Weergeven in browser</u></p>
<table>
<tbody>
<tr>
<td align=""center"" valign=""top""> </td>
<td>
<div style=""width:660px;height:60px;background:linear-gradient(#00ffff,rgba(255,255,255,0.5),#00ffff,rgba(255,255,255,0.5),#00ffff);border-radius:20px 20px 0px 0px"">
<div style=""width:660px;height:60px;background:linear-gradient(to right,#00ffff,rgba(255,255,255,0.5),#00ffff,rgba(255,255,255,0.5),#00ffff,rgba(255,255,255,0.5),#00ffff,rgba(255,255,255,0.5),#00ffff,rgba(255,255,255,0.5),#00ffff,rgba(255,255,255,0.5),#00ffff,rgba(255,255,255,0.5),#00ffff,rgba(255,255,255,0.5),#00ffff,rgba(255,255,255,0.5),#00ffff,rgba(255,255,255,0.5),#00ffff,rgba(255,255,255,0.5),#00ffff,rgba(255,255,255,0.5),#00ffff);border-radius:20px 20px 0px 0px"">
<br>
<b align=""center"" style=""font-size:28px;color:#018bcc;text-align:center;margin:0 auto;padding-left:40px;""> Op zoek naar liefde op de juiste plaatsen <br><br> </b>
</div>
</div>
<div style=""width:660px;background:#c7f9f9"">
<center>
<div style=""height:20px;padding:8px"">
<p><b><font size=""7"" color=""#F27769"" style=""font-family:serif""></font></b></p>
</div>
</center>
<table width=""310"" border=""0"" cellspacing=""0"" cellpadding=""0"" align=""center"" style=""text-align:center"">
<tbody>
<tr>
<td width=""400"" style=""border:1px #a4a4a4 solid;border-radius:10px 10px 10px 10px""> <img src=""//www.ukrainebeauty.net/e/01/banner.jpg"" border=""0"" width=""450"" height=""500"" alt=""23yrs"" style=""display:block;border-radius:10px 10px 10px 10px""> </td>
</tr>
</tbody>
</table>
<div style=""margin:0px auto;max-width:750px;"">
<table align=""center"" bgcolor=""#FFFFFF"" border=""0"" cellpadding=""0"" cellspacing=""0"" style=""font-size:0px;width:100%;background-color:#ffffff;"">
<tbody>
<tr>
<td bgcolor=""#FFFFFF"" style=""text-align:center;vertical-align:top;direction:ltr;font-size:0px;padding:0px;padding-top:0px;padding-bottom:0px; background-color:#e4e7e9;"">

<div style=""margin:0px auto;max-width:750px;"">
<table align=""center"" bgcolor=""#FFFFFF"" border=""0"" cellpadding=""0"" cellspacing=""0"" role=""presentation"" style=""max-width:750px;background-color: #ffffff;"" width=""100%"">
<tbody>
<tr>
<td>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:100%;"">
<tbody>
<tr>
<td bgcolor=""#0091a6"">
<a href=""https://t.ly/Ao_s"" target=""_blank""><img align=""center"" alt="""" border=""0"" src=""http://144.91.94.40/a/DATING2.png"" style=""width: 100%; max-width: 750px; background-color: #ffffff; font-family: 'Lato', Arial, sans-serif; font-size: 18px; line-height: 140%; color: #1e4046; margin: auto;"" width=""100%""></a>
</td>
</tr>
</tbody>
</table>
</td>
</tr>
</tbody>
</table>
</div>

<div style=""margin:0px auto;max-width:750px;"">
<table align=""center"" border=""0"" cellpadding=""0"" cellspacing=""0"" role=""presentation"" style=""max-width:750px;"" width=""100%"">
<tr>
<td align=""center"" bgcolor=""#ffffff"" height=""20"" style=""background-color:#ffffff;"">&nbsp;</td>
</tr>
<tr>
<td align=""center"" bgcolor=""#FFFFFF"" colspan=""6"" height=""25"" style=""font-size:24px; word-break:break-word;font-size:0px; background-color:#ffffff;height:70px;"" valign=""middle"">
<div>

<a class=""ButtonCTA"" href=""https://t.ly/Ao_s"" style="" background-color: #ffba49; color:#1e4047; display:inline-block; font-family:'Lato',Arial,Helvetica,sans-serif; font-size:16px; line-height:40px; text-align:center; text-decoration:none; font-weight:400; width:280px; -webkit-text-size-adjust:none; text-transform: uppercase; border: 2px solid #ffba49; mso-hide:all;font-weight:700;"" target=""_blank""><span style=""color:#1e4047;"">BEKIJK JE WEDSTRIJDEN ≫</span></a>
</div>
</td>
</tr>
</table>
</div>

<div class=""mj-column-per-100 outlook-group-fix"" style=""vertical-align:top;display:inline-block;direction:ltr;font-size:13px;text-align:left;width:100%;"">
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""100%"">
<tbody>
<tr>
<td align=""center"" bgcolor=""#ffffff"" height=""20"" style=""background-color:#ffffff;"">&nbsp;</td>
</tr>
<tr>
<td align=""center"" bgcolor=""#FFFFFF"" style=""word-break:break-word;font-size:0px;padding-right:17%;padding-left:17%;padding-top:0px;padding-bottom:0px;min-width:180px;background-color:#ffffff;"">
<div style=""text-align:center;"">
<a href=""https://t.ly/Ao_s"" style=""cursor:auto;color:#1e4046;font-family: 'Lato', Arial, sans-serif;font-size:18px;line-height:22px; text-decoration:none;font-weight:400;""><span style=""color:#1e4046;"">Vind de beste </span></a><a href=""https://t.ly/Ao_s"" style=""cursor:auto;color:#1e4046;font-family: 'Lato', Arial, sans-serif;font-size:18px;line-height:22px; text-decoration:none;font-weight:700;""><span style=""color:#1e4046;"">alleenstaanden</span></a><a href=""https://t.ly/Ao_s"" style=""cursor:auto;color:#1e4046;font-family: 'Lato', Arial, sans-serif;font-size:18px;line-height:22px; text-decoration:none;font-weight:400;""><span style=""color:#1e4046;""> en plan je perfecte date.</span></a>
</div>
</td>
</tr>
<tr>
<td align=""center"" bgcolor=""#ffffff"" height=""30"" style=""background-color:#ffffff;"">&nbsp;</td>
</tr>
<tr align=""center"" bgcolor=""#ffffff"" height=""30"" style=""background-color:#ffffff;"">
<td style=""cursor:auto;color:#1e4046;font-family: 'Lato', Arial, sans-serif;font-size:18px;line-height:22px; text-decoration:none;font-weight:400;"">
Op zoek naar een nieuwe spanning? Je bent niet de enige...
<br>Breng echte verbinding en plezier in je leven!
<br><br>
Word vandaag nog lid van onze community en maak contact met onze nieuwste leden.
<br>Chat discreet en breng je fantasieën tot leven, online bij Oekraïense meisjes!
<br><br>
Waar wacht je op?

</td>
</tr>
<tr>
<td align=""center"" bgcolor=""#ffffff"" height=""30"" style=""background-color:#ffffff;"">&nbsp;</td>
</tr>
</tbody>
</table>
</div>

<div style=""margin:0px auto;max-width:750px;background-color:#ffffff;"">
<table align=""center"" bgcolor=""#FFFFFF"" border=""0"" cellpadding=""0"" cellspacing=""0"" style=""font-size:0px;width:100%;background-color:#ffffff;"">
<tbody>

<tr>
<td align=""center"" bgcolor=""#FFFFFF"" height=""100%"" style=""padding: 0 10px 30px;background-color:#ffffff;"" valign=""top"" width=""100%"">

<table align=""center"" bgcolor=""#FFFFFF"" border=""0"" cellpadding=""0"" cellspacing=""0"" role=""presentation"" style=""max-width:750px;background-color:#ffffff;"" width=""100%"">
<tr>
<td align=""center"" bgcolor=""#FFFFFF"" style=""font-size:0;background-color:#ffffff;"" valign=""top"">

<div class=""stack-column"" style=""display:inline-block; margin: 0 -2px; max-width:50%; min-width:190px; vertical-align:top; width:100%;background-color:#ffffff;"">
<table bgcolor=""#FFFFFF"" border=""0"" cellpadding=""0"" cellspacing=""0"" role=""presentation"" style=""background-color:#ffffff;"" width=""100%"">
<tr>
<td bgcolor=""#FFFFFF"" style=""padding: 14px 14px;background-color:#ffffff;"">
<table bgcolor=""#FFFFFF"" border=""0"" cellpadding=""0"" cellspacing=""0"" role=""presentation"" style=""font-size: 14px;text-align: center;background-color:#ffffff;"" width=""100%"">
<tr>
<td style=""background-color:#ffffff;"">
<a href=""https://t.ly/Ao_s"" target=""_blank""><img alt=""👫"" border=""0"" height="""" src=""http://media.elitesingles.co.uk/creatives/gb/DIS/181212_newyearlove_v1_n_EN_SiSi_h1.gif"" style=""width: 100%; max-width: 126px; height: auto; background-color: #ffffff; font-family: 'Lato', Arial, sans-serif; font-size: 45px; line-height: 140%; color: #e03351; font-weight:900;"" width=""126""></a>
</td>
</tr>
<tr>
<td style=""font-family: sans-serif; font-size: 17px; line-height: 19px; color: #1e4046; padding-top: 10px;text-align: center;background-color:#ffffff;padding-left:15px;padding-right:15px;"">
<a class=""t5"" href=""https://t.ly/Ao_s"" style=""cursor:auto;color:#e03351;font-family: 'Lato', Arial, sans-serif;font-size:15px;line-height:19px; text-decoration:none;font-weight:700;text-transform: uppercase;""><span style=""color:#e03351;"">40.000+ aanmeldingen per maand </span></a>
</td>
</tr>
<tr>
<td style=""font-family: sans-serif; font-size: 14px; line-height: 16px; color: #1e4046; padding-top: 10px;text-align: center;background-color:#ffffff;padding-left:8px;padding-right:8px;"">
<a class=""t5"" href=""https://t.ly/Ao_s"" style=""cursor:auto;color:#1e4046;font-family: 'Lato', Arial, sans-serif;font-size:14px;line-height:16px; text-decoration:none;font-weight:400;""><span style=""color:#1e4046;"">Kom in contact met een divers en snelgroeiend
ledenpool vandaag</span></a>
</td>
</tr>
</table>
</td>
</tr>
</table>
</div>

<div class=""stack-column"" style=""display:inline-block; margin: 0 -2px; max-width:50%; min-width:190px; vertical-align:top; width:100%;"">
<table border=""0"" cellpadding=""0"" cellspacing=""0"" role=""presentation"" width=""100%"">
<tr>
<td style=""padding: 14px 14px;background-color:#ffffff;"">
<table border=""0"" cellpadding=""0"" cellspacing=""0"" role=""presentation"" style=""font-size: 14px;text-align: center;"" width=""100%"">
<tr>
<td style=""background-color:#ffffff;"">
<a href=""https://t.ly/Ao_s"" target=""_blank""><img alt=""💘"" border=""0"" height="""" src=""http://media.elitesingles.co.uk/creatives/gb/DIS/181212_newyearlove_v1_n_EN_SiSi_h3.gif"" style=""width: 100%; max-width: 126px; height: auto; background-color: #ffffff; font-family: 'Lato', Arial, sans-serif; font-size: 45px; line-height: 140%; color: #e03351; font-weight:900;"" width=""126""></a>
</td>
</tr>
<tr>
<td style=""font-family: sans-serif; font-size: 17px; line-height: 19px; color: #1e4046; padding-top: 10px;text-align: center;background-color:#ffffff;"">
<a class=""t5"" href=""https://t.ly/Ao_s"" style=""cursor:auto;color:#e03351;font-family: 'Lato', Arial, sans-serif;font-size:15px;line-height:19px; text-decoration:none;font-weight:700;text-transform: uppercase;""><span style=""color:#e03351;"">Lokale wedstrijden van hoge kwaliteit </span></a>
</td>
</tr>
<tr>
<td style=""font-family: sans-serif; font-size: 14px; line-height: 16px; color: #1e4046; padding-top: 10px;text-align: center;background-color:#ffffff;padding-left:5px;padding-right:5px;"">
<a class=""t5"" href=""https://t.ly/Ao_s"" style=""cursor:auto;color:#1e4046;font-family: 'Lato', Arial, sans-serif;font-size:14px;line-height:16px; text-decoration:none;font-weight:400;""><span style=""color:#1",1,1
Overdue: Customer 519086988 - 22 days,"Please contact customer immediately:

Invoice: 2859761
Amount: €127,477
Days overdue: 81
Last contact: 15 days ago

Customer threatening to switch suppliers but owes us money!

Stephen",0,1
