group_label,feature_a,feature_b,cell_slug,rank,word,log_ratio_score,weighted_group_count,weighted_background_count,group_doc_count,background_doc_count
HW-P-FN,Authority,Authority,authority__authority,1,adorama,8.92525023045312,105.0,0.0,17,0
HW-P-FN,Authority,Authority,authority__authority,2,mccarthy,8.519832735724325,70.0,0.0,39,0
HW-P-FN,Authority,Authority,authority__authority,3,economist,8.314421337778708,57.0,0.0,12,0
HW-P-FN,Authority,Authority,authority__authority,4,sugar,8.29672489295696,56.0,0.0,16,0
HW-P-FN,Authority,Authority,authority__authority,5,groceries,8.278709633622583,55.0,0.0,28,0
HW-P-FN,Authority,Authority,authority__authority,6,morocco,8.222630654520199,52.0,0.0,8,0
HW-P-FN,Authority,Authority,authority__authority,7,nicole,8.203216338670053,51.0,0.0,17,0
HW-P-FN,Authority,Authority,authority__authority,8,leadership,8.18341763216603,50.0,0.0,32,0
HW-P-FN,Authority,Authority,authority__authority,9,contributor,8.100053410902595,46.0,0.0,18,0
HW-P-FN,Authority,Authority,authority__authority,10,procurement,8.100053410902595,46.0,0.0,4,0
HW-P-FN,Authority,Authority,authority__authority,11,etnt,8.055611527558218,44.0,0.0,22,0
HW-P-FN,Authority,Authority,authority__authority,12,miami,8.055611527558218,44.0,0.0,28,0
HW-P-FN,Authority,Authority,authority__authority,13,heat,8.032627293530863,43.0,0.0,25,0
HW-P-FN,Authority,Authority,authority__authority,14,kunc,8.009102331916509,42.0,0.0,42,0
HW-P-FN,Authority,Authority,authority__authority,15,burger,8.009102331916509,42.0,0.0,12,0
HW-P-FN,Authority,Liking,authority__liking,1,canada,9.238655511336296,153.99222800000004,0.0,49,0
HW-P-FN,Authority,Liking,authority__liking,2,desantis,9.114314348869861,135.98605900000007,0.0,36,0
HW-P-FN,Authority,Liking,authority__liking,3,cancer,9.013880284868634,122.99092102761604,0.0,43,0
HW-P-FN,Authority,Liking,authority__liking,4,ceiling,9.005575911733665,121.97370500000005,0.0,52,0
HW-P-FN,Authority,Liking,authority__liking,5,mccarthy,8.776325644080984,96.98284400000003,0.0,51,0
HW-P-FN,Authority,Liking,authority__liking,6,ontario,8.712611638291126,90.99579600000001,0.0,33,0
HW-P-FN,Authority,Liking,authority__liking,7,thestar,8.679081049871098,87.99490999999999,0.0,45,0
HW-P-FN,Authority,Liking,authority__liking,8,housing,8.656131454097638,85.99823200000006,0.0,31,0
HW-P-FN,Authority,Liking,authority__liking,9,morocco,8.632343274841512,83.97639600000001,0.0,6,0
HW-P-FN,Authority,Liking,authority__liking,10,cent,8.571229327608794,78.99735,0.0,33,0
HW-P-FN,Authority,Liking,authority__liking,11,heat,8.505694384301023,73.98562299999999,0.0,42,0
HW-P-FN,Authority,Liking,authority__liking,12,speaker,8.47832496285068,71.98786900000003,0.0,50,0
HW-P-FN,Authority,Liking,authority__liking,13,writes,8.4359074325189,68.99776199999995,0.0,54,0
HW-P-FN,Authority,Liking,authority__liking,14,shawl,8.42128355461548,67.995944,0.0,5,0
HW-P-FN,Authority,Liking,authority__liking,15,memorial,8.406399165199547,66.99121299999999,0.0,42,0
HW-P-FN,Authority,Reciprocity,authority__reciprocity,1,thestar,9.257301263505124,91.67639800000002,0.0,47,0
HW-P-FN,Authority,Reciprocity,authority__reciprocity,2,chow,9.255638872760121,91.52410600000003,0.0,25,0
HW-P-FN,Authority,Reciprocity,authority__reciprocity,3,ontario,9.243230441536468,90.39532900000005,0.0,35,0
HW-P-FN,Authority,Reciprocity,authority__reciprocity,4,capitol,9.197680465370258,86.36974700000005,0.0,84,0
HW-P-FN,Authority,Reciprocity,authority__reciprocity,5,vous,9.17145510848546,84.13385399999997,0.0,14,0
HW-P-FN,Authority,Reciprocity,authority__reciprocity,6,writes,9.149210699984277,82.28278800000004,0.0,73,0
HW-P-FN,Authority,Reciprocity,authority__reciprocity,7,mais,9.118866935318358,79.82321999999999,0.0,37,0
HW-P-FN,Authority,Reciprocity,authority__reciprocity,8,mayor,9.09694043314635,78.09180800000001,0.0,41,0
HW-P-FN,Authority,Reciprocity,authority__reciprocity,9,votre,9.017324235810854,72.114732,0.0,14,0
HW-P-FN,Authority,Reciprocity,authority__reciprocity,10,huffpost,9.016970896517922,72.089252,0.0,14,0
HW-P-FN,Authority,Reciprocity,authority__reciprocity,11,chinese,8.954477405366461,67.72142000000001,0.0,41,0
HW-P-FN,Authority,Reciprocity,authority__reciprocity,12,wonderlist,8.90234384622339,64.280805,0.0,13,0
HW-P-FN,Authority,Reciprocity,authority__reciprocity,13,kyiv,8.849331751303222,60.961377,0.0,22,0
HW-P-FN,Authority,Reciprocity,authority__reciprocity,14,wasting,8.84473915337699,60.682002000000004,0.0,15,0
HW-P-FN,Authority,Reciprocity,authority__reciprocity,15,erdogan,8.796072339698718,57.799036999999984,0.0,14,0
HW-P-FN,Authority,Social Proof,authority__social_proof,1,para,10.056986878194975,154.60017,0.0,23,0
HW-P-FN,Authority,Social Proof,authority__social_proof,2,morocco,9.418441116344006,81.633414,0.0,11,0
HW-P-FN,Authority,Social Proof,authority__social_proof,3,mais,9.229980875053679,67.60980500000004,0.0,23,0
HW-P-FN,Authority,Social Proof,authority__social_proof,4,mixpanel,9.03680453508947,55.73147999999999,0.0,10,0
HW-P-FN,Authority,Social Proof,authority__social_proof,5,crawls,9.03680453508947,55.73147999999999,0.0,10,0
HW-P-FN,Authority,Social Proof,authority__social_proof,6,crawler,9.03680453508947,55.73147999999999,0.0,10,0
HW-P-FN,Authority,Social Proof,authority__social_proof,7,shawl,9.01962328339522,54.781952,0.0,4,0
HW-P-FN,Authority,Social Proof,authority__social_proof,8,como,9.01092590467978,54.30747200000001,0.0,23,0
HW-P-FN,Authority,Social Proof,authority__social_proof,9,adorama,8.865346749916243,46.94861999999999,0.0,9,0
HW-P-FN,Authority,Social Proof,authority__social_proof,10,estava,8.84351515259515,45.934548000000014,0.0,21,0
HW-P-FN,Authority,Social Proof,authority__social_proof,11,quando,8.84151984735444,45.84296600000003,0.0,21,0
HW-P-FN,Authority,Social Proof,authority__social_proof,12,tinha,8.790513959060284,43.56283900000001,0.0,23,0
HW-P-FN,Authority,Social Proof,authority__social_proof,13,crochet,8.746331850654327,41.679608,0.0,8,0
HW-P-FN,Authority,Social Proof,authority__social_proof,14,gundry,8.691589282437057,39.45875399999999,0.0,5,0
HW-P-FN,Authority,Social Proof,authority__social_proof,15,webby,8.611559200705232,36.423156,0.0,4,0
HW-P-FN,Authority,Scarcity,authority__scarcity,1,mixpanel,8.701064191525656,31.388496000000004,0.0,10,0
HW-P-FN,Authority,Scarcity,authority__scarcity,2,crawls,8.701064191525656,31.388496000000004,0.0,10,0
HW-P-FN,Authority,Scarcity,authority__scarcity,3,crawler,8.701064191525656,31.388496000000004,0.0,10,0
HW-P-FN,Authority,Scarcity,authority__scarcity,4,personalize,8.597923983707847,28.311459000000003,0.0,9,0
HW-P-FN,Authority,Scarcity,authority__scarcity,5,greeted,8.541031848791475,26.745168000000003,0.0,8,0
HW-P-FN,Authority,Scarcity,authority__scarcity,6,morocco,8.524600477018357,26.309136,0.0,6,0
HW-P-FN,Authority,Scarcity,authority__scarcity,7,vous,8.446270466521108,24.326232000000005,0.0,14,0
HW-P-FN,Authority,Scarcity,authority__scarcity,8,webby,8.404089074991132,23.321044999999998,0.0,6,0
HW-P-FN,Authority,Scarcity,authority__scarcity,9,votre,8.292188269341388,20.851056000000003,0.0,14,0
HW-P-FN,Authority,Scarcity,authority__scarcity,10,cirrus,8.219907261008416,19.396403,0.0,9,0
HW-P-FN,Authority,Scarcity,authority__scarcity,11,shawl,8.212423489156256,19.251712,0.0,4,0
HW-P-FN,Authority,Scarcity,authority__scarcity,12,dopamine,8.095611754029646,17.128159999999998,0.0,5,0
HW-P-FN,Authority,Scarcity,authority__scarcity,13,crochet,7.938549565500399,14.637144,0.0,8,0
HW-P-FN,Authority,Scarcity,authority__scarcity,14,gundry,7.895689529847164,14.02263,0.0,5,0
HW-P-FN,Authority,Scarcity,authority__scarcity,15,iranian,7.855912928901038,13.475414999999998,0.0,7,0
HW-P-FN,Authority,Commitment,authority__commitment,1,morocco,7.670891157926729,9.906372,0.0,6,0
HW-P-FN,Authority,Commitment,authority__commitment,2,mixpanel,7.62042110677144,9.418311999999998,0.0,10,0
HW-P-FN,Authority,Commitment,authority__commitment,3,crawls,7.62042110677144,9.418311999999998,0.0,10,0
HW-P-FN,Authority,Commitment,authority__commitment,4,crawler,7.62042110677144,9.418311999999998,0.0,10,0
HW-P-FN,Authority,Commitment,authority__commitment,5,webby,7.53586749646942,8.653886999999997,0.0,6,0
HW-P-FN,Authority,Commitment,authority__commitment,6,puzzle,7.515147465151287,8.476218,0.0,6,0
HW-P-FN,Authority,Commitment,authority__commitment,7,greeted,7.432563691327607,7.803551999999998,0.0,8,0
HW-P-FN,Authority,Commitment,authority__commitment,8,sara,7.27444247293125,6.660790999999997,0.0,16,0
HW-P-FN,Authority,Commitment,authority__commitment,9,shawl,7.162024143676204,5.951488,0.0,4,0
HW-P-FN,Authority,Commitment,authority__commitment,10,suzanne,7.1324633670934166,5.777840999999998,0.0,42,0
HW-P-FN,Authority,Commitment,authority__commitment,11,cirrus,7.121090929126632,5.7123919999999995,0.0,9,0
HW-P-FN,Authority,Commitment,authority__commitment,12,todo,7.108752948434498,5.642222999999998,0.0,13,0
HW-P-FN,Authority,Commitment,authority__commitment,13,iranian,7.101485560015716,5.601295000000001,0.0,7,0
HW-P-FN,Authority,Commitment,authority__commitment,14,nuyen,7.076996756608532,5.465549999999997,0.0,39,0
HW-P-FN,Authority,Commitment,authority__commitment,15,todas,7.0702635808137035,5.428805999999998,0.0,12,0
HW-P-FN,Liking,Liking,liking__liking,1,toronto,9.913917826951106,406.98145,0.0,69,0
HW-P-FN,Liking,Liking,liking__liking,2,station,9.338854670097042,228.99160699999985,0.0,108,0
HW-P-FN,Liking,Liking,liking__liking,3,debt,9.075642120883678,175.99571599999993,0.0,65,0
HW-P-FN,Liking,Liking,liking__liking,4,canada,8.92903013018572,151.99364200000005,0.0,47,0
HW-P-FN,Liking,Liking,liking__liking,5,desantis,8.780317056253292,130.98922500000003,0.0,32,0
HW-P-FN,Liking,Liking,liking__liking,6,enjoying,8.725450117010702,123.99532,0.0,115,0
HW-P-FN,Liking,Liking,liking__liking,7,north,8.587308569332727,107.99558299999998,0.0,100,0
HW-P-FN,Liking,Liking,liking__liking,8,estate,8.578035302726033,106.99864799999999,0.0,43,0
HW-P-FN,Liking,Liking,liking__liking,9,weekend,8.568629561866185,105.99687099999998,0.0,61,0
HW-P-FN,Liking,Liking,liking__liking,10,capitol,8.559124712794034,104.99406499999995,0.0,101,0
HW-P-FN,Liking,Liking,liking__liking,11,florida,8.479850421322858,96.99133799999997,0.0,45,0
HW-P-FN,Liking,Liking,liking__liking,12,kunc,8.437789226221515,92.99595999999998,0.0,93,0
HW-P-FN,Liking,Liking,liking__liking,13,edit,8.437789226221515,92.99595999999998,0.0,93,0
HW-P-FN,Liking,Liking,liking__liking,14,ontario,8.416048845896448,90.99579600000001,0.0,33,0
HW-P-FN,Liking,Liking,liking__liking,15,housing,8.35956866170296,85.99823200000006,0.0,31,0
HW-P-FN,Liking,Reciprocity,liking__reciprocity,1,para,9.805544156632033,155.40122291526603,0.0,23,0
HW-P-FN,Liking,Reciprocity,liking__reciprocity,2,thestar,9.328642708665178,96.454320757214,0.0,51,0
HW-P-FN,Liking,Reciprocity,liking__reciprocity,3,capitol,9.300587708175769,93.78562436858303,0.0,93,0
HW-P-FN,Liking,Reciprocity,liking__reciprocity,4,ontario,9.298540493923056,93.593801048247,0.0,37,0
HW-P-FN,Liking,Reciprocity,liking__reciprocity,5,chow,9.288060150309182,92.61792374673797,0.0,27,0
HW-P-FN,Liking,Reciprocity,liking__reciprocity,6,vous,9.191997383498972,84.13385399999997,0.0,14,0
HW-P-FN,Liking,Reciprocity,liking__reciprocity,7,writes,9.168279640260504,82.16163245006801,0.0,73,0
HW-P-FN,Liking,Reciprocity,liking__reciprocity,8,cent,9.14802092287902,80.51368953775602,0.0,33,0
HW-P-FN,Liking,Reciprocity,liking__reciprocity,9,mais,9.139107684298228,79.79915183459201,0.0,37,0
HW-P-FN,Liking,Reciprocity,liking__reciprocity,10,huffpost,9.075746306360308,74.899206829124,0.0,16,0
HW-P-FN,Liking,Reciprocity,liking__reciprocity,11,votre,9.037866510824365,72.114732,0.0,14,0
HW-P-FN,Liking,Reciprocity,liking__reciprocity,12,mayor,9.032567954829316,71.73358572302901,0.0,34,0
HW-P-FN,Liking,Reciprocity,liking__reciprocity,13,chinese,9.010058705028875,70.136730855115,0.0,44,0
HW-P-FN,Liking,Reciprocity,liking__reciprocity,14,kunc,8.925014294331621,64.417772655183,0.0,71,0
HW-P-FN,Liking,Reciprocity,liking__reciprocity,15,wonderlist,8.892721900075436,62.37047952448502,0.0,13,0
HW-P-FN,Liking,Social Proof,liking__social_proof,1,para,10.107862018127662,161.89712126342403,0.0,26,0
HW-P-FN,Liking,Social Proof,liking__social_proof,2,morocco,9.422856815269538,81.60537329316598,0.0,11,0
HW-P-FN,Liking,Social Proof,liking__social_proof,3,mais,9.304424564148508,72.48991513475798,0.0,26,0
HW-P-FN,Liking,Social Proof,liking__social_proof,4,como,9.142340063665209,61.64170533725802,0.0,26,0
HW-P-FN,Liking,Social Proof,liking__social_proof,5,mixpanel,9.0415637463928,55.73147999999999,0.0,10,0
HW-P-FN,Liking,Social Proof,liking__social_proof,6,crawls,9.0415637463928,55.73147999999999,0.0,10,0
HW-P-FN,Liking,Social Proof,liking__social_proof,7,crawler,9.0415637463928,55.73147999999999,0.0,10,0
HW-P-FN,Liking,Social Proof,liking__social_proof,8,shawl,9.024359498631839,54.780692015103995,0.0,4,0
HW-P-FN,Liking,Social Proof,liking__social_proof,9,quando,8.898004805320715,48.27715737652,0.0,24,0
HW-P-FN,Liking,Social Proof,liking__social_proof,10,diyideacenter,8.887923778163815,47.792818649430004,0.0,13,0
HW-P-FN,Liking,Social Proof,liking__social_proof,11,tinha,8.849498834641171,45.99084021186199,0.0,26,0
HW-P-FN,Liking,Social Proof,liking__social_proof,12,estava,8.847987212618087,45.921356858232016,0.0,21,0
HW-P-FN,Liking,Social Proof,liking__social_proof,13,webby,8.831163837417963,45.15509999418,0.0,5,0
HW-P-FN,Liking,Social Proof,liking__social_proof,14,ranger,8.817102272812063,44.52445236024,0.0,6,0
HW-P-FN,Liking,Social Proof,liking__social_proof,15,crochet,8.751063248045718,41.67844846503999,0.0,8,0
HW-P-FN,Liking,Scarcity,liking__scarcity,1,mixpanel,8.708129793255337,31.388496000000004,0.0,10,0
HW-P-FN,Liking,Scarcity,liking__scarcity,2,crawls,8.708129793255337,31.388496000000004,0.0,10,0
HW-P-FN,Liking,Scarcity,liking__scarcity,3,crawler,8.708129793255337,31.388496000000004,0.0,10,0
HW-P-FN,Liking,Scarcity,liking__scarcity,4,personalize,8.604989585437526,28.311459000000003,0.0,9,0
HW-P-FN,Liking,Scarcity,liking__scarcity,5,greeted,8.548097450521153,26.745168000000003,0.0,8,0
HW-P-FN,Liking,Scarcity,liking__scarcity,6,morocco,8.531385146056566,26.301743132784004,0.0,6,0
HW-P-FN,Liking,Scarcity,liking__scarcity,7,vous,8.453336068250788,24.326232000000005,0.0,14,0
HW-P-FN,Liking,Scarcity,liking__scarcity,8,webby,8.407072767136023,23.226003890363998,0.0,6,0
HW-P-FN,Liking,Scarcity,liking__scarcity,9,votre,8.299253871071066,20.851056000000003,0.0,14,0
HW-P-FN,Liking,Scarcity,liking__scarcity,10,cirrus,8.226972862738094,19.396403,0.0,9,0
HW-P-FN,Liking,Scarcity,liking__scarcity,11,shawl,8.219466102562492,19.251269210624002,0.0,4,0
HW-P-FN,Liking,Scarcity,liking__scarcity,12,dopamine,8.10263937721089,17.12750912992,0.0,5,0
HW-P-FN,Liking,Scarcity,liking__scarcity,13,crochet,7.9455873809111655,14.636737015440001,0.0,8,0
HW-P-FN,Liking,Scarcity,liking__scarcity,14,iranian,7.862973764830915,13.475350731365003,0.0,7,0
HW-P-FN,Liking,Scarcity,liking__scarcity,15,strategize,7.855323959697252,13.372584000000002,0.0,8,0
