row_principle,col_principle,feature_type,mean_group_a,mean_group_b,delta_group_a_minus_group_b,welch_t,welch_p,permutation_p,fdr_p,hedges_g,bootstrap_ci_low,bootstrap_ci_high,significant_fdr_0_05
Authority,Authority,diagonal,0.8651999050464065,0.9462612578370265,-0.08106135279061999,-49.54210405914959,0.0,0.004975124378109453,0.004975124378109453,-0.534289848857972,-0.08382017092935554,-0.07812045447196742,True
Authority,Liking,cooccurrence,0.5132412312943372,0.8419077891462803,-0.3286665578519431,-92.70909296591857,0.0,0.004975124378109453,0.004975124378109453,-0.9995844162522317,-0.33465727342799456,-0.3226554062941728,True
Authority,Reciprocity,cooccurrence,0.20562812006754871,0.5193669418560912,-0.3137388217885425,-122.48355147586086,0.0,0.004975124378109453,0.004975124378109453,-1.334603709796757,-0.3184869694857925,-0.3087976487274433,True
Authority,Social Proof,cooccurrence,0.18449231159146717,0.3670960662030856,-0.18260375461161843,-93.53333835029069,0.0,0.004975124378109453,0.004975124378109453,-1.0186512159690466,-0.18589370493135543,-0.1779696837647581,True
Authority,Scarcity,cooccurrence,0.03168931845948583,0.06469379808606247,-0.03300447962657664,-68.03209187005852,0.0,0.004975124378109453,0.004975124378109453,-0.7397182721606386,-0.03374525382950991,-0.0319755649033393,True
Authority,Commitment,cooccurrence,0.009428459755111262,0.02338693951385001,-0.013958479758738748,-82.2251474787964,0.0,0.004975124378109453,0.004975124378109453,-0.8946839467077388,-0.01421687043962869,-0.013592050884984391,True
Liking,Liking,diagonal,0.5441369992459396,0.8772553448296235,-0.3331183455836839,-94.92568127912452,0.0,0.004975124378109453,0.004975124378109453,-1.0226620245402216,-0.3389659281587139,-0.3268275249695124,True
Liking,Reciprocity,cooccurrence,0.14895224810097474,0.49809065237276695,-0.3491384042717922,-129.90514260137016,0.0,0.004975124378109453,0.004975124378109453,-1.4151020648325905,-0.3538742867296952,-0.34321527488469405,True
Liking,Social Proof,cooccurrence,0.13056954728318318,0.3502055127325141,-0.21963596544933092,-107.8472390161068,0.0,0.004975124378109453,0.004975124378109453,-1.1742465690597763,-0.22301406244740335,-0.21465149532047706,True
Liking,Scarcity,cooccurrence,0.02303771765485733,0.06170312846659523,-0.038665410811737896,-78.84976653476711,0.0,0.004975124378109453,0.004975124378109453,-0.8574120722088084,-0.03939197512540434,-0.03760025684167735,True
Liking,Commitment,cooccurrence,0.007157617813786828,0.02236112219864857,-0.015203504384861743,-88.50532835300466,0.0,0.004975124378109453,0.004975124378109453,-0.9630625318392192,-0.015460340363411838,-0.014834183264357355,True
Reciprocity,Reciprocity,diagonal,0.2351394987819039,0.5297891237333305,-0.29464962495142666,-116.91549404362226,0.0,0.004975124378109453,0.004975124378109453,-1.2734906651387814,-0.2990986712694851,-0.2899663033259383,True
Reciprocity,Social Proof,cooccurrence,0.055900754692557765,0.2537968312669176,-0.19789607657435984,-103.52915761812142,0.0,0.004975124378109453,0.004975124378109453,-1.1303881442516233,-0.20115744089149792,-0.19400539059298,True
Reciprocity,Scarcity,cooccurrence,0.010402782062181575,0.04626301751410822,-0.03586023545192664,-76.95723113113071,0.0,0.004975124378109453,0.004975124378109453,-0.8376976476738524,-0.03655142289289713,-0.03492801333872151,True
Reciprocity,Commitment,cooccurrence,0.003252549359248165,0.016592684980539448,-0.013340135621291284,-81.39157764167548,0.0,0.004975124378109453,0.004975124378109453,-0.8864215321626079,-0.013605090913983053,-0.013007999953129292,True
Social Proof,Social Proof,diagonal,0.19912933741299252,0.37377594891851973,-0.1746466115055272,-93.1620020632554,0.0,0.004975124378109453,0.004975124378109453,-1.0150121033187354,-0.1777714269722653,-0.1703319343213889,True
Social Proof,Scarcity,cooccurrence,0.009903288315737174,0.03473489110511399,-0.024831602789376815,-60.28029564497255,0.0,0.004975124378109453,0.004975124378109453,-0.655458205015221,-0.025488226797189248,-0.023936142855272895,True
Social Proof,Commitment,cooccurrence,0.002955311760461865,0.012348823299077629,-0.009393511538615763,-66.09062214976154,0.0,0.004975124378109453,0.004975124378109453,-0.7189700206051974,-0.009630610519785096,-0.009083228207842546,True
Scarcity,Scarcity,diagonal,0.03366846635730861,0.06567213641481459,-0.032003670057505984,-67.10811836339077,0.0,0.004975124378109453,0.004975124378109453,-0.7297348468250586,-0.03273864957754476,-0.030998002145901753,True
Scarcity,Commitment,cooccurrence,0.0007117931033014521,0.0024891528213169764,-0.0017773597180155243,-32.78484556567854,4.90172413704314e-232,0.004975124378109453,0.004975124378109453,-0.3543086799944472,-0.0018664808152024461,-0.0016716019652406942,True
Commitment,Commitment,diagonal,0.010033940661252974,0.023819995970370485,-0.013786055309117511,-82.43104017829401,0.0,0.004975124378109453,0.004975124378109453,-0.896926854967879,-0.014054851838875034,-0.013425245557788519,True
