stage_group,stage,source,principle_group,left_principle,right_principle,value
S5,S5,HW,A-A,Authority,Authority,0.19426232550399997
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.8378491462809999
S5,S5,HW,A-A,Authority,Authority,0.9995340542889999
S5,S5,HW,A-A,Authority,Authority,0.8594309730249999
S5,S5,HW,A-A,Authority,Authority,0.35243219559999994
S5,S5,HW,A-A,Authority,Authority,0.999744016384
S5,S5,HW,A-A,Authority,Authority,0.406810525489
S5,S5,HW,A-A,Authority,Authority,0.999930001225
S5,S5,HW,A-A,Authority,Authority,0.999974000169
S5,S5,HW,A-A,Authority,Authority,0.9990542237290001
S5,S5,HW,A-A,Authority,Authority,0.9599139815039999
S5,S5,HW,A-A,Authority,Authority,0.572656941081
S5,S5,HW,A-A,Authority,Authority,0.32842183256099994
S5,S5,HW,A-A,Authority,Authority,0.6060373382559999
S5,S5,HW,A-A,Authority,Authority,0.9880797364839999
S5,S5,HW,A-A,Authority,Authority,0.7938613981210001
S5,S5,HW,A-A,Authority,Authority,0.6187458528159999
S5,S5,HW,A-A,Authority,Authority,0.9968844304810001
S5,S5,HW,A-A,Authority,Authority,0.9597670243290001
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.7938613981210001
S5,S5,HW,A-A,Authority,Authority,0.9999600004
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.999954000529
S5,S5,HW,A-A,Authority,Authority,0.9893365797160001
S5,S5,HW,A-A,Authority,Authority,0.7938613981210001
S5,S5,HW,A-A,Authority,Authority,0.9371614610410001
S5,S5,HW,A-A,Authority,Authority,0.9075782235609999
S5,S5,HW,A-A,Authority,Authority,0.9934706929
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.694347225625
S5,S5,HW,A-A,Authority,Authority,0.999974000169
S5,S5,HW,A-A,Authority,Authority,0.939858508369
S5,S5,HW,A-A,Authority,Authority,0.40269812222499995
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.776888876569
S5,S5,HW,A-A,Authority,Authority,0.997469602756
S5,S5,HW,A-A,Authority,Authority,0.9877199332809999
S5,S5,HW,A-A,Authority,Authority,0.42706094300100006
S5,S5,HW,A-A,Authority,Authority,0.9999140018489999
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.989266955161
S5,S5,HW,A-A,Authority,Authority,0.16513901512899998
S5,S5,HW,A-A,Authority,Authority,0.7897343688999999
S5,S5,HW,A-A,Authority,Authority,0.7780615980840001
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.963497333241
S5,S5,HW,A-A,Authority,Authority,0.993554419984
S5,S5,HW,A-A,Authority,Authority,0.701471576521
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.33751103584899994
S5,S5,HW,A-A,Authority,Authority,0.809564458564
S5,S5,HW,A-A,Authority,Authority,0.682570087684
S5,S5,HW,A-A,Authority,Authority,0.551768181721
S5,S5,HW,A-A,Authority,Authority,0.8852363569
S5,S5,HW,A-A,Authority,Authority,0.168528312484
S5,S5,HW,A-A,Authority,Authority,0.19675789347600003
S5,S5,HW,A-A,Authority,Authority,0.7938613981210001
S5,S5,HW,A-A,Authority,Authority,0.982519070841
S5,S5,HW,A-A,Authority,Authority,0.998002998001
S5,S5,HW,A-A,Authority,Authority,0.8906602875040001
S5,S5,HW,A-A,Authority,Authority,0.9999960000040001
S5,S5,HW,A-A,Authority,Authority,0.43774764062500005
S5,S5,HW,A-A,Authority,Authority,0.25838312259600005
S5,S5,HW,A-A,Authority,Authority,0.999984000064
S5,S5,HW,A-A,Authority,Authority,0.49050693104400006
S5,S5,HW,A-A,Authority,Authority,0.999968000256
S5,S5,HW,A-A,Authority,Authority,0.456602924176
S5,S5,HW,A-A,Authority,Authority,0.9999960000040001
S5,S5,HW,A-A,Authority,Authority,0.35705524668099997
S5,S5,HW,A-A,Authority,Authority,0.11396093156100001
S5,S5,HW,A-A,Authority,Authority,0.38715897284100004
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.9975754713689999
S5,S5,HW,A-A,Authority,Authority,0.9999420008410002
S5,S5,HW,A-A,Authority,Authority,0.41598759084099995
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.225793181329
S5,S5,HW,A-A,Authority,Authority,0.9957405454239999
S5,S5,HW,A-A,Authority,Authority,0.8961272896000001
S5,S5,HW,A-A,Authority,Authority,0.38167931120399995
S5,S5,HW,A-A,Authority,Authority,0.880840437961
S5,S5,HW,A-A,Authority,Authority,0.9999940000090001
S5,S5,HW,A-A,Authority,Authority,0.41000201859600005
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.49808729700899995
S5,S5,HW,A-A,Authority,Authority,0.9906977342439999
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.998778373321
S5,S5,HW,A-A,Authority,Authority,0.809771416129
S5,S5,HW,A-A,Authority,Authority,0.863345738896
S5,S5,HW,A-A,Authority,Authority,0.9989242894439999
S5,S5,HW,A-A,Authority,Authority,0.999374097969
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.9177161006250001
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.432719258596
S5,S5,HW,A-A,Authority,Authority,0.9242841916089999
S5,S5,HW,A-A,Authority,Authority,0.766573793764
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.7938613981210001
S5,S5,HW,A-A,Authority,Authority,0.997447630729
S5,S5,HW,A-A,Authority,Authority,0.715215255616
S5,S5,HW,A-A,Authority,Authority,0.7938613981210001
S5,S5,HW,A-A,Authority,Authority,0.383946293956
S5,S5,HW,A-A,Authority,Authority,0.169822289025
S5,S5,HW,A-A,Authority,Authority,0.9999980000009999
S5,S5,HW,A-A,Authority,Authority,0.45122522328900005
S5,S5,HW,A-A,Authority,Authority,0.067624962304
S5,S5,HW,A-A,Authority,Authority,0.39226546872099993
S5,S5,HW,A-A,Authority,Authority,0.954122611264
S5,S5,HW,A-A,Authority,Authority,0.9898857048999999
S5,S5,HW,A-A,Authority,Authority,0.2765602921
S5,S5,HW,A-A,Authority,Authority,0.9993541043290001
S5,S5,HW,A-A,Authority,Authority,0.9836315355240001
S5,S5,HW,A-A,Authority,Authority,0.998348682276
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.994954380676
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.994531496644
S5,S5,HW,A-A,Authority,Authority,0.9008154867689999
S5,S5,HW,A-A,Authority,Authority,0.7938613981210001
S5,S5,HW,A-A,Authority,Authority,0.9970901199359999
S5,S5,HW,A-A,Authority,Authority,0.902226420736
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.9926734689000001
S5,S5,HW,A-A,Authority,Authority,0.997817192464
S5,S5,HW,A-A,Authority,Authority,0.9649741935609999
S5,S5,HW,A-A,Authority,Authority,0.419197977025
S5,S5,HW,A-A,Authority,Authority,0.597103925625
S5,S5,HW,A-A,Authority,Authority,0.647798009881
S5,S5,HW,A-A,Authority,Authority,0.512687504484
S5,S5,HW,A-A,Authority,Authority,0.588143279025
S5,S5,HW,A-A,Authority,Authority,0.5928399415210001
S5,S5,HW,A-A,Authority,Authority,0.46141452562499996
S5,S5,HW,A-A,Authority,Authority,0.780888575041
S5,S5,HW,A-A,Authority,Authority,0.9209857024
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.9953154990249999
S5,S5,HW,A-A,Authority,Authority,0.9730678193640001
S5,S5,HW,A-A,Authority,Authority,0.278408190736
S5,S5,HW,A-A,Authority,Authority,0.9975574932840001
S5,S5,HW,A-A,Authority,Authority,0.14325997900899998
S5,S5,HW,A-A,Authority,Authority,0.207433791601
S5,S5,HW,A-A,Authority,Authority,0.8384991644159999
S5,S5,HW,A-A,Authority,Authority,0.40609520953600003
S5,S5,HW,A-A,Authority,Authority,0.9999980000009999
S5,S5,HW,A-A,Authority,Authority,0.787198366564
S5,S5,HW,A-A,Authority,Authority,0.9994640718239999
S5,S5,HW,A-A,Authority,Authority,0.985558519009
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.851556148804
S5,S5,HW,A-A,Authority,Authority,0.563889857476
S5,S5,HW,A-A,Authority,Authority,0.078392720169
S5,S5,HW,A-A,Authority,Authority,0.3052463050809999
S5,S5,HW,A-A,Authority,Authority,0.7938613981210001
S5,S5,HW,A-A,Authority,Authority,0.999652030276
S5,S5,HW,A-A,Authority,Authority,0.49731691284900004
S5,S5,HW,A-A,Authority,Authority,0.583129249641
S5,S5,HW,A-A,Authority,Authority,0.436827143041
S5,S5,HW,A-A,Authority,Authority,0.9999980000009999
S5,S5,HW,A-A,Authority,Authority,0.530286891264
S5,S5,HW,A-A,Authority,Authority,0.954923748804
S5,S5,HW,A-A,Authority,Authority,0.9997960104039999
S5,S5,HW,A-A,Authority,Authority,0.9964950765159999
S5,S5,HW,A-A,Authority,Authority,0.616047602769
S5,S5,HW,A-A,Authority,Authority,0.9999940000090001
S5,S5,HW,A-A,Authority,Authority,0.49022822656899995
S5,S5,HW,A-A,Authority,Authority,0.979688203264
S5,S5,HW,A-A,Authority,Authority,0.35871115562500006
S5,S5,HW,A-A,Authority,Authority,0.28961510928100004
S5,S5,HW,A-A,Authority,Authority,0.967105062225
S5,S5,HW,A-A,Authority,Authority,0.28352217102400007
S5,S5,HW,A-A,Authority,Authority,0.9991781689209999
S5,S5,HW,A-A,Authority,Authority,0.9999140018489999
S5,S5,HW,A-A,Authority,Authority,0.531255850129
S5,S5,HW,A-A,Authority,Authority,0.9999140018489999
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.942990539929
S5,S5,HW,A-A,Authority,Authority,0.9978411664000001
S5,S5,HW,A-A,Authority,Authority,0.545020445025
S5,S5,HW,A-A,Authority,Authority,0.2818229569
S5,S5,HW,A-A,Authority,Authority,0.19627292272900002
S5,S5,HW,A-A,Authority,Authority,0.47948700250000004
S5,S5,HW,A-A,Authority,Authority,0.414790097764
S5,S5,HW,A-A,Authority,Authority,0.43414393881600005
S5,S5,HW,A-A,Authority,Authority,0.887769106225
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.9884077909690001
S5,S5,HW,A-A,Authority,Authority,0.994134625969
S5,S5,HW,A-A,Authority,Authority,0.9053027726760001
S5,S5,HW,A-A,Authority,Authority,0.5883503616000001
S5,S5,HW,A-A,Authority,Authority,0.9947828225440001
S5,S5,HW,A-A,Authority,Authority,0.9859258718439999
S5,S5,HW,A-A,Authority,Authority,0.9955988532090001
S5,S5,HW,A-A,Authority,Authority,0.9698901288999999
S5,S5,HW,A-A,Authority,Authority,0.997409679616
S5,S5,HW,A-A,Authority,Authority,0.479865154729
S5,S5,HW,A-A,Authority,Authority,0.371857259601
S5,S5,HW,A-A,Authority,Authority,0.9962095986089999
S5,S5,HW,A-A,Authority,Authority,0.6523970595209999
S5,S5,HW,A-A,Authority,Authority,0.999954000529
S5,S5,HW,A-A,Authority,Authority,0.927428706961
S5,S5,HW,A-A,Authority,Authority,0.891902692836
S5,S5,HW,A-A,Authority,Authority,0.9999980000009999
S5,S5,HW,A-A,Authority,Authority,0.992069784729
S5,S5,HW,A-A,Authority,Authority,0.756306776281
S5,S5,HW,A-A,Authority,Authority,0.931651578841
S5,S5,HW,A-A,Authority,Authority,0.5911764544
S5,S5,HW,A-A,Authority,Authority,0.5167323832809999
S5,S5,HW,A-A,Authority,Authority,0.9628751126439999
S5,S5,HW,A-A,Authority,Authority,0.998890308025
S5,S5,HW,A-A,Authority,Authority,0.999976000144
S5,S5,HW,A-A,Authority,Authority,0.05342616188100001
S5,S5,HW,A-A,Authority,Authority,0.999478068121
S5,S5,HW,A-A,Authority,Authority,0.7780615980840001
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.9964311897960001
S5,S5,HW,A-A,Authority,Authority,0.999974000169
S5,S5,HW,A-A,Authority,Authority,0.9946531663289999
S5,S5,HW,A-A,Authority,Authority,0.7780615980840001
S5,S5,HW,A-A,Authority,Authority,0.6959780680090001
S5,S5,HW,A-A,Authority,Authority,0.39450207283600003
S5,S5,HW,A-A,Authority,Authority,0.956789160336
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.998950275625
S5,S5,HW,A-A,Authority,Authority,0.998510555025
S5,S5,HW,A-A,Authority,Authority,0.9970901199359999
S5,S5,HW,A-A,Authority,Authority,0.39568251508899993
S5,S5,HW,A-A,Authority,Authority,0.181000895364
S5,S5,HW,A-A,Authority,Authority,0.490628801601
S5,S5,HW,A-A,Authority,Authority,0.715567111744
S5,S5,HW,A-A,Authority,Authority,0.9994720696959999
S5,S5,HW,A-A,Authority,Authority,0.997515545049
S5,S5,HW,A-A,Authority,Authority,0.9999940000090001
S5,S5,HW,A-A,Authority,Authority,0.3047857014759999
S5,S5,HW,A-A,Authority,Authority,0.999652030276
S5,S5,HW,A-A,Authority,Authority,0.22573331299599997
S5,S5,HW,A-A,Authority,Authority,0.999992000016
S5,S5,HW,A-A,Authority,Authority,0.37641660678399996
S5,S5,HW,A-A,Authority,Authority,0.999984000064
S5,S5,HW,A-A,Authority,Authority,0.9997940106090001
S5,S5,HW,A-A,Authority,Authority,0.999190164025
S5,S5,HW,A-A,Authority,Authority,0.9999260013690001
S5,S5,HW,A-A,Authority,Authority,0.963619052881
S5,S5,HW,A-A,Authority,Authority,0.8585412306250001
S5,S5,HW,A-A,Authority,Authority,0.5278313104000001
S5,S5,HW,A-A,Authority,Authority,0.871244894025
S5,S5,HW,A-A,Authority,Authority,0.557444410884
S5,S5,HW,A-A,Authority,Authority,0.998292729316
S5,S5,HW,A-A,Authority,Authority,0.991868597476
S5,S5,HW,A-A,Authority,Authority,0.316810253881
S5,S5,HW,A-A,Authority,Authority,0.272309679889
S5,S5,HW,A-A,Authority,Authority,0.8843145444
S5,S5,HW,A-A,Authority,Authority,0.998450600625
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.457387100416
S5,S5,HW,A-A,Authority,Authority,0.9179134540839999
S5,S5,HW,A-A,Authority,Authority,0.21646779812099998
S5,S5,HW,A-A,Authority,Authority,0.7888637124
S5,S5,HW,A-A,Authority,Authority,0.48311674435599994
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.999722019321
S5,S5,HW,A-A,Authority,Authority,0.318364520644
