subject,body,label,model_prediction
Why India welcomes its population boom,"Remembering David Gilkey; attacks on health care View this email online Goats and Soda editor's note Graham Paul Smith/NPR One of the great privileges of my job is the chance to work with talented NPR journalists. This week I thought about one of the best: photographer David Gilkey (pictured above), who contributed many photos of the Ebola outbreak and other global health topics to our blog. Gilkey and his interpreter were killed by a grenade attack in Afghanistan 7 years ago, on June 5, 2016. It was such a terrible loss. When I remember Gilkey, I think of the heartfelt humanity that informed his images. Talking about a photo he made of a woman in Liberia who was severely ill with Ebola, he told me: ""I felt like I wanted her to not be standing there. But I also feel like, look, this is what Ebola does to you, and this is something that maybe we need to see. We see survivor pictures. We see the dead. But very rarely do you see someone clearly being affected by Ebola."" The woman died of Ebola soon after. Even though he could be deeply serious, Gilkey had a wry sense of humor. The last time I saw him, I was proudly showing off a new ""frontpack"" I was using to carry my gear when I bike to work. I loved the fact that it took the load off my back, although perhaps I did look a little weird with a plump pack strapped across my abdomen. Gilkey just stared at me and my odd pack in amusement and said, ""You know, I don't think so!"" Read this story about Gilkey's work and see some of his work here. Marc Silver Editor, Goats and Soda in the news Punit Paranjpe/AFP via Getty ImagesIndia's population passes 1.4 billion — and that's not a bad thing Population growth has long been a source of worry in India, which now has more people than China: 1.46 billion residents. But some experts are optimistic about the impact of this population boom. conflict Joel Villanueva/Getty Images2022 was the worst year on record for attacks on heath-care workers A new report from the Safeguarding Health in Conflict Coalition documents almost 2,000 incidents in 2022: ""a shockingly violent year against health care, especially in Ukraine and in Myanmar."" newborns Andrew Caballero-Reynolds for NPRKangaroo care gets a major endorsement. Here's what it looks like in Ivory Coast A new study looks at the reduction in mortality among vulnerable babies if kangaroo care — skin-to-skin contact — is started soon after birth. Photojournalist Andrew Caballero-Reynolds spent time with new moms and dads learning how to kangaroo care their babies in Ivory Coast. Newsletter continues after sponsor message links we like Some headlines just hook you. Like The Guardian's ""I swam down Ghana’s Volta River for 40 days to show the true cost of cheap clothes"" -- the title of Yvette Yaa Konadu Tetteh's essay on the impact of discarded secondhand clothes from Europe on African waterways. Can the world get rid of cash? India tried it and it didn't work. But it is now dumping its largest denomination bill. The Indicator, from Planet Money, looks at the drawbacks of a completely cashless society. NPR's ""Picture Show"" shares the story of Chedino Martin -- and her long journey to becoming Miss Trans Africa. Humans around the world enjoy yoga and say it's good for their health. Now elephants are learning it too. The Washington Post reports on zoo yoga. Listen to your local NPR station. Visit NPR.org to hear live radio from KUNC (edit station). What do you think of today's email? We'd love to hear your thoughts, questions and feedback: goatsandsoda@npr.orgEnjoying this newsletter? Forward to a friend! They can sign up here.Looking for more great content? Check out all of our newsletter offerings — including Health, Daily News, Code Switch and more! You received this message because you're subscribed to Goats and Soda emails. This email was sent by National Public Radio, Inc., 1111 North Capitol Street NE, Washington, DC 20002Unsubscribe | Privacy Policy",1,1
Concern Regarding Project Dashboard Load Times,Customers encounter occasional delays in dashboard loading,0,1
REQUEST FOR RESEARCH ASSISTANT,"CMU archived phishing listing entry.

Date: 10/4/24
Target Audience: Students
Source Entry: https://www.cmu.edu/iso/aware/phish/phish-bowl-examples/2024/request-for-research-assistant.html

Note: The linked CMU detail page currently redirects to a general Secure Computing page, so the original message body is not publicly available from the live site.",1,1
Upgrade jose@monkey.org To Receieve Mails,"Your email ( jose@monkey.org ) is almost full. Current size 1989MB 2000MB Maximum size Your mailbox is running out of data storage and it might be close kindly do add more MB to your mailbox. Upgrade Now If don't upgrade your mail box, you will not receive more emails frequently You will be finding it hard receiving emails. Your account might be closed Your important mail will be wiped away Note: Upgrade if free of charge, you are not charge any service fee. Copyright ? 2015 Email Administrator. All rights reserved. ********************************************************************************************************************** CONFIDENTIALITY. This e-mail and any attachments are confidential and may also be privileged. If you are not the named recipient, please notify the sender immediately and do not disclose the contents to another person, use it for any purpose, or store or copy the information in any medium. Any views expressed in this message are those of the individual sender, except where the sender specifically states them to be the views of JK Technosoft Ltd. If you have received this e-mail in error please immediately notify the person who has sent this email to you with copy to administrator@emailserver.com ********************************************************************************************************************** Untitled Document Your email ( jose@monkey.org ) is almost full. Current size 1989MB 2000MB Maximum sizeYour mailbox is running out of data storage and it might be close kindly do add more MB to your mailbox. Upgrade Now If don't upgrade your mail box, you will not receive more emails frequently You will be finding it hard receiving emails. Your account might be closed Your important mail will be wiped away Note: Upgrade if free of charge, you are not charge any service fee. Copyright ? 2015 Email Administrator. All rights reserved. **********************************************************************************************************************CONFIDENTIALITY. This e-mail and any attachments are confidential and may also be privileged. If you are not the named recipient, please notify the sender immediately and do not disclose the contents to another person, use it for any purpose, or store or copy the information in any medium. Any views expressed in this message are those of the individual sender, except where the sender specifically states them to be the views of JK Technosoft Ltd. If you have received this e-mail in error please immediately notify the person who has sent this email to you with copy to administrator@emailserver.com **********************************************************************************************************************",1,1
���� Reduzieren Sie Ihre Stromrechnung jetzt mit Elon Musks genialem Ger��t ��� 50 % Rabatt | Verpassen Sie es nicht !,"<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><div style="" padding-top: 1px;"">
<center>
<a style=""text-decoration: none;"" href=""https://is.gd/JJ3Dw1"">
<h2 style=""color: black;""> <u>Senken Sie jetzt Ihre Stromrechnung | <strong style=""color: red;"">50 % Rabatt</strong> Angebot im Inneren</u> </h2>
<img src=""//zupimages.net/up/25/04/yypa.png"">
<img src=""https://zupimages.net/up/25/04/yypa.png"">
</a>
</center>
</div>
<hr>
<p>
<center>
Wenn Sie diese E-Mails nicht mehr erhalten möchten, können Sie sich <a href=""https://is.gd/Q310Gr"" style=""color:#666;text-decoration:none;"">hier abmelden.
</a>
</center>
</p>",1,1
Customer Support Ticket,"I am keen to learn about securing medical data, Alteryx integration, and possibilities with HubSpot CRM. Could you provide more details on the topic?",0,1
Aviso importante: Seu pedido foi bloqueado pela fiscaliza����o alfandegaria! Protocolo:617110741,"<!DOCTYPE html><html><head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"">

<title> </title>

</head>

<body>

<div style=""padding:0;margin:0;background-color:#fff"">

<div style=""font-size:1px;display:none!important"">Vem saber mais.</div>

<img src=""https://ci4.googleusercontent.com/proxy/Vr9lXl8b6pgvEAbDk1yIX6ssjfYG9St5Vi_U5AyhrjiN18ue7U-F4h_t77jyr3uylRbUqAxffW9xdsIUJuS_qC_Y_1wN_UXgW04rA0Y1c6WKhBfwHZ-CXODgTTHu1q_iktp3-cD3-qRcD503es6JOZkMMQaxp6NJiBP1-dW_jlyDpKx04vdPYyj3HNIx9wqQOore_fdYc2JSFGZsJRKRUk25AYqgQ1iwSDtvfETC904iEW_i_dwc=s0-d-e1-ft#https://cl.s11.exct.net/open.aspx?ffcb10-fefa1371766703-fe62167374670478731d-fe27117171640474731c77-ff6b167077-fe5a1d7271640c7e7113-fec71774766d017d&amp;d=110024&amp;bmt=0"" width=""1"" height=""1"" alt="""" class=""CToWUd"" data-bit=""iit"">

<table width=""100%"" cellspacing=""0"" cellpadding=""0"" align=""center"" border=""0"">

<tbody>

<tr>

<td align=""center"" valign=""middle"" style=""background-color:#fff"">

<table width=""640"" cellspacing=""0"" cellpadding=""0"" align=""center"" border=""0"">

<tbody>

<tr>

<td style=""padding:15px 0;background-color:#ffffff"" align=""center"">

<table width=""600"" cellspacing=""0"" cellpadding=""0"" align=""center"" border=""0"">

<tbody>

<tr>

</tr>

</tbody>

</table>

</td>

</tr>

<tr>

<td>

<table align=""center"" cellspacing=""0"" cellpadding=""0"" border=""0"" width=""640"">

<tbody>

<tr>

<td align=""center"" style=""background-color:#ffffff"">

<table align=""center"" cellspacing=""0"" cellpadding=""0"" border=""0"" width=""640"">

<tbody>

<tr style=""background-color:#fff"">

<td style=""height:10px""></td>

</tr>

<tr style=""background-color:#fff"">

<td align=""center"" valign=""top"">

<a href=""https://f-score-1-siuqnqvuea-as.a.run.app"" target=""_blank"" data-saferedirecturl=""https://www.google.com/url?q=https://cl.s11.exct.net/?qs%3Dc728ff610c5067288456ba6c337883f579e748bc2f7c1605251bdb3760f4ac16d8791e7e25f51bc195648f8d0fee08fed04a91c3e7a100243ccc6f971d848007&amp;source=gmail&amp;ust=1682616769327000&amp;usg=AOvVaw0itSWYM6DBbnxUQoYUiCcb"">

<img style=""display:block;border:none"" src=""https://ci3.googleusercontent.com/proxy/hvosh1g49vnYTsM1C4PVFSb75EUfrvla4tkxcycQ5mvI7m8z60QrXsLztDTOoUy3abTYy3GwshrTBcQhfKXcBd40AdAK1coTdXdY1ouMueHrtiRCy95lc1MV89YX-JtJ6TzFMyTY5p06OkNfSqImnSgKPElHs_-yrQ6jnxI=s0-d-e1-ft#https://image.s11.sfmc-content.com/lib/fe27117171640474731c77/m/6/3e4cf8de-188c-43f7-b1c6-b8d390deaa18.png"" alt=""Monitore seu Score"" class=""CToWUd"" data-bit=""iit"">

</a>

</td>

</tr>

<tr>

<td align=""center"">

<p style=""font-family:Arial,Helvetica,sans-serif;font-size:36px;line-height:36px;font-weight:bold;color:#c63e7e"">

Aumente Seu SCORE hoje mesmo<br>

Descomplicamos sua vida para que volte a realizar seus sonhos. <br>

</p>

<br>

</td>

</tr>

<tr>

<td align=""center"" valign=""middle"">

<a href=""https://f-score-1-siuqnqvuea-as.a.run.app"" style=""display:block;width:100%;max-width:350px;background-color:#e63888;border-radius:8px;font-family:Arial,Helvetica,sans-serif;font-size:28px;line-height:28px;color:#ffffff;text-decoration:none;display:block;padding:10px 0"" target=""_blank"" data-saferedirecturl=""https://www.google.com/url?q=https://cl.s11.exct.net/?qs%3Dc728ff610c5067288456ba6c337883f579e748bc2f7c1605251bdb3760f4ac16d8791e7e25f51bc195648f8d0fee08fed04a91c3e7a100243ccc6f971d848007&amp;source=gmail&amp;ust=1682616769327000&amp;usg=AOvVaw0itSWYM6DBbnxUQoYUiCcb"">

Falar com <span class=""il"">Especialista</span>

</a>

</td>

</tr>

<tr>

<td align=""center"" style=""padding-top:10px"">

<table align=""center"" width=""620"" cellspacing=""0"" cellpadding=""0"" border=""0"">

<tbody>

<tr>

<td align=""center"">

<p style=""font-family:Arial,Helvetica,sans-serif;font-size:20px;line-height:47px;padding-top:20px;color:#6c6c6c;margin:0 10px 10px 10px;font-weight:bold"">

Olá, <span style=""color:#c63e7e;font-weight:bold"">rodrigo-f-p@hotmail.com
</span>, tudo bem?

</p>

<p style=""font-family:Arial,Helvetica,sans-serif;width:100%;max-width:480px;font-size:20px;line-height:26px;color:#6c6c6c;margin:0 10px 0 10px"">

Temos a <span style=""color: #c63e7e""> solução </span> para as reavaliações de <span style=""color: #c63e7e""> score</span> que você precisa para voltar a ter <span style=""color: #c63e7e""> Crédito</span> no mercado ou realizar financiamentos. Por meio da nossa consultoria você <span style=""color: #c63e7e""> Aumenta</span> o seu score com sucesso!

</p>

</td>

</tr>

<tr>

<td align=""center"">

<p style=""font-family:Arial,Helvetica,sans-serif;font-size:20px;line-height:47px;padding-top:20px;color:#6c6c6c;margin:0 10px 10px 10px;font-weight:bold"">

Aumente <span style=""color:#c63e7e;font-weight:bold"">agora </span>mesmo!

</p>

<p style=""font-family:Arial,Helvetica,sans-serif;width:100%;max-width:480px;font-size:20px;line-height:26px;color:#6c6c6c;margin:0 10px 0 10px"">

Com um nível ótimo, é possível ter acesso a financiamentos de veículos e imóveis, bem como empréstimos com aprovação em 100% do valor solicitado. Isso pode fazer uma grande diferença na hora de realizar um sonho, como comprar um carro ou uma casa própria.

</p>

</td>

</tr>

</tbody>

</table>

</td>

</tr>

<tr>

<td height=""40""></td>

</tr>

<tr>

<td align=""center"" valign=""middle"">

<a href=""https://f-score-1-siuqnqvuea-as.a.run.app"" style=""display:block;width:100%;max-width:400px;margin:0 0 50px;background-color:#e63888;border-radius:8px;font-family:Arial,Helvetica,sans-serif;font-size:28px;line-height:30px;color:#ffffff;text-decoration:none;display:block;padding:10px 0"" target=""_blank"" data-saferedirecturl=""https://www.google.com/url?q=https://cl.s11.exct.net/?qs%3Dc728ff610c5067288456ba6c337883f579e748bc2f7c1605251bdb3760f4ac16d8791e7e25f51bc195648f8d0fee08fed04a91c3e7a100243ccc6f971d848007&amp;source=gmail&amp;ust=1682616769327000&amp;usg=AOvVaw0itSWYM6DBbnxUQoYUiCcb"">

Solicitar <span class=""il"">Agora</span>

</a>

</td>

</tr>

</tbody>

</table>

<div style=""display:none;white-space:nowrap;font:15px courier;line-height:0"">

&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;

</div>

</td></tr></tbody></table></div>

</body>

</html>",1,1
SPOTTED: looks to wear this weekend,"let’s get you ready to look good this weekend | Update Your Email Preferences New Dresses Best Sellers Sale My Favorites Beauty Citizens of Humanity Gaucho Short Favorite Daughter The Door's Always Open Ex-Boyfriend Top Ganni Denim Double Fly Maxi Skirt SOVERE Nouvelle Cargo Dress 7 For All Mankind Sleeveless Balloon Romper MOTHER The Hustler Patch Pocket Ankle Fray BY.DYLN Cooper Jacket AGOLDE Low Slung Baggy Atoir Haze Trench Coat Lovers and Friends Vivian Coat Alice + Olivia Conan Faux Leather Long Vest Belted Dress ANINE BING Finley Trench Best Sellers ANINE BING MOTHER Set Active Poster Girl L*SPACE AGOLDE Amanda Uprichard LEVI'S SHOP MORE GET REVOLVE ON THE GO! Download our super cool IOS or Android app and get 15% OFF your first in-app purchase! Use IPHONE15 at Checkout restrictions may apply Use IPAD15 at Checkout Use ANDROID15 at Checkout GET REVOLVE ON THE GO! Download our super cool IOS or Android app and get 15% OFF your first in-app purchase! Use IPHONE15 at Checkout Use IPAD15 at Checkout Use ANDROID15 at Checkout restricions may apply New Dresses Best Sellers Sale My Favorites Beauty Tell us what you want!UPDATE YOUR PREFERENCES Have email content suggestions?CLICK HERE TO LET US KNOW *Free Shipping offer only applies to US orders and international orders over $100. Other restrictions may apply. More information You are subscribed as REDACTED+songofstyle@gmail.com Manage your Email Preferences Unsubscribe Contact Us Privacy Policy © Eminent, Inc. All Rights Reserved • 12889 Moore Street, Cerritos, CA 90703 USA",1,1
<【重要】アカウント認証メールの確認依頼>,"━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 【重要】楽天カードから緊急のご連絡 ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 日頃より楽天カードをご愛顧賜り誠にありがとうございます。 本メールは、弊社の不正検知システムにより、お持ちのクレジットカードが不正使用された可能性が高いと判断された会員様宛に、緊急でお送りしております。 楽天のシステムが異常なアクティビティを検出しました。セキュリティのため、アカウント情報の確認をお願い申し上げます。 アカウント情報の確認が完了するまで、いくつかのサービスに制限がかかる場合があります。下のボタンをクリックし、指示に従って確認を行ってください。 ▶ アカウント情報を確認する ============================================ ＜ご連絡先＞ 楽天カード株式会社信用管理部 ■電話番号 ： 092-303-5631（受付時間：日本時間9:00 - 21:00） ※比較的つながりやすい時間帯は11:00 - 18:00です。 （状況によってはお電話がつながりにくい場合もございます） ============================================ ■本メールアドレスは配信専用のため、お問い合わせの際はお客様サポートをご確認ください。 発行元 楽天カード株式会社 © Rakuten Card Co., Ltd.",1,1
Security: Please verify your PayPal Account!,"PayPal Dear PayPal Member We are currently performing regular maintenance of our security measures. Your account has been selected to be verified and you will now have to be taken to a series of verification process to validate your identity, if you want to continue to use your account normally. If we don't receive any response from you we are allowed to suspend your account. A verification page will appear after you Log In into your account. Protecting the security of your account is our primary concern, and we apologize for any inconvenience this may cause Please Click Here and Log In Copyright © 1999-2007 PayPal. All rights reserved.",1,1
"Mini Phone X: Compact design, comprehensive functionality.","Mini Phone X ? Pocket-Sized. Feature-Packed. Minimal Size, Maximum Utility Most smartphones are cluttered and oversized. Mini Phone X flips the script—offering portable power in one palm-sized device. Ultra-compact 3.5"" display Dual-SIM + 5G compatible Android 13 + HD Touchscreen 2GB RAM / 16GB (expandable) USB-C fast charging + all-day battery It’s not just small — it’s smart. Great as a minimalist daily driver and keep connected without the distractions. Claim Your Mini Phone Now → © 2025 Mini Phone X Promotions. All rights reserved. You are receiving this email as a subscriber of our gadget deals list. Stop receiving emails | Big Tech. Small Package Tech Brands Inc., Pine St., New York, NY 10414",1,1
Fw: Get your hands on a 5% saving voucher.,"________________________________
De: VlAGRA&ClALlS <ex.pharacmy@hotmail.com>
Enviado: segunda-feira, 29 de maio de 2023 06:17
Para: merciabryte@hotmail.com <merciabryte@hotmail.com>
Assunto: Get your hands on a 5% saving voucher.

Special Offer: Enjoy a 5% Discount on Your Next Order at Express Pharmacy

Dear Valued Customer,

We are thrilled to present you with a special offer: a 5% discount on your next order at Express Pharmacy. As a token of our appreciation, we want to make your shopping experience even more delightful.

To avail of this exclusive discount, simply use the coupon code SALESX during checkout. Don't miss out on this fantastic opportunity!

Visit Express Pharmacy<https://www.google.com/url?q=%68%74t%70%3A%2F%2F%62%65st%2d%70%68%61%72ma-ex%70r%65%73%73%2ez%6f%6ee%2F%3F%63p%3D%73%61l%65s%78%2F%3F%6b%4d%53%6b1j%76OR%30a&sa=D&sntz=1&usg=AOvVaw2dHdLaBDQAhB6lB6A0Sybo>

If you have any questions or need assistance, please do not hesitate to contact our dedicated support team at support@expresspharmacy.com. Thank you for choosing Express Pharmacy!",1,1
