subject,body,label,model_prediction
VERIFY YOUR ACCOUNT UPDATE PORTAL,"CMU archived phishing listing entry.

Date: 9/2/25
Target Audience: Staff/Students/Faculty
Source Entry: https://www.cmu.edu/iso/aware/phish/phish-bowl-examples/2025/verify-your-account-update.html

Note: The linked CMU detail page currently redirects to a general Secure Computing page, so the original message body is not publicly available from the live site.",1,1
IHR ROSSMANN 500��� GESCHENKCOUPONS������������,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""></head>
<body bgcolor=""#f2f2f2"">

<a href=""https://1.2.3"" style=""text-decoration:none"">
<a href=""https://t.co/I7VgZy6nlw"" style=""color:black;text-decoration:none"">
<table width=""100%"" border=""0"" cellpadding=""0"" cellspacing=""0"" id=""wrappertable"" style=""table-layout: fixed;"">
<tbody>
<tr>
<td align=""center"" valign=""top"">
<table cellpadding=""0"" cellspacing=""0"" border=""0"">
<tbody>
<tr>
<td width=""600"" align=""center"" valign=""top"" style=""background-color: #ffffff; box-shadow: 11px 11px 49px 0px rgba(0, 0, 0, 0.5);"">

<table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"" style=""background-color: #ffffff; padding:0px 0px 10px 0px;"">
<tbody>
<tr>
<td valign=""middle"" style="" line-height:1px;""></td>
</tr>
<tr>
<td align=""center"" valign=""top"" style=""padding: 0 0px;"">
<table cellpadding=""0"" cellspacing=""0"" border=""0"">
<tbody>
<tr>
<td width=""600"" align=""center"" valign=""middle"">
<img src=""//imgur.com/WfOrLFK.jpg"" style=""width: 100%; max-width: 100%;"" border=""0""> </td>
</tr>
</tbody>
</table> </td>
</tr>
</tbody>
</table>

<table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"">
<tbody>
<tr>
<td style=""padding-top: 10px; line-height: 0px;""></td>
</tr>
</tbody>
</table>

<table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"" style=""background-color: #ffffff; "">
<tbody>
<tr>
<td valign=""middle"" style=""font-family:Arial, Helvetica, sans-serif; font-size:18px; font-weight:normal; line-height:24px; letter-spacing:0px; color:#535D67; padding-left:40px; padding-right:40px; min-height:20px; mso-line-height-rule: exactly; padding: 0px 45px; ""> Guten Tag phishing@pot,<br> <br> <strong>wir gratulieren Ihnen recht herzlich.</strong><br> <br> Sie sind einer der <strong>Finalisten</strong> für das <strong> ROSSMANN Black Friday </strong> Gewinnspiel, die Ziehung wurde in Berlin von der Gewinnspielzentrale durchgeführt.<br> <br> Verlieren Sie keine Zeit und machen Sie mit, um Ihren möglichen Gewinn <strong>JETZT</strong> zu sichern.<br> <br> <strong>Premium-Zugang für Finalist: phishing@pot-p</strong><br> <br> Wir gratulieren Ihnen recht herzlich, dass Sie unter die Finalisten für <strong>20 x 100€ ROSSMANN Black Friday Geschenkgutscheine </strong> gewählt wurden.<br> <br> <p style=""color:#414141; "">Klicken Sie jetzt hier und machen Sie mit.</p><br> <br> Wir wünschen Ihnen viel Glück,<br> Ihr Gewinner-Team <br> <br> </td>
</tr>
</tbody>
</table>

<table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"">
<tbody>
<tr>
<td style=""padding-top: 10px; line-height: 0px;""></td>
</tr>
</tbody>
</table>

<table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"">
<tbody>
<tr>
<td align=""center"" valign=""top"" style=""padding: 0 20px;"">
<table cellpadding=""0"" cellspacing=""0"" border=""0"">
<tbody>
<tr>
<td style=""padding-top: 5px; line-height: 0px;""></td>
</tr>
<tr>
<td width=""350"" align=""center"" valign=""top"">
<table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"" class=""bungy"">
<tbody>
<tr>
<td width=""350"" height=""40"" align=""center"" valign=""middle"" style=""background-color: #ce0b2b; padding: 6px 12px;""><p style=""display: block; text-decoration: none; font-family: 'Arial', verdana, sans-serif; font-size: 18px; mso-line-height-rule: exactly; line-height: 32px;font-weight: bold; text-transform: uppercase; color: #ffffff;"">» BESTÄTIGEN «</p></td>
</tr>
</tbody>
</table></td>
</tr>
</tbody>
</table></td>
</tr>
</tbody>
</table>

<table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"">
<tbody>
<tr>
<td style=""padding-top: 20px; line-height: 0px;""></td>
</tr>
</tbody>
</table>
</td>
</tr>
</tbody>
</table></td>
</tr>
</tbody>
</table> </a>

<br> <br> <br> <br> <br> <br> <br>
<div align=""center"" style=""font-family:Helvetica, Arial, sans-serif; font-size:10px; color:#000000; line-height:15px; padding-bottom:10px"">
Um sich abzumelden, klicken Sie bitte auf
<a href=""http://myhealthyliving.life/ak5BeUhFOXpmd2E0RFZhZ0FlTWtvaWFSV1ZIdytDSlBFbitnaUsxUkxSQkt1bHA1VWk3SDNKL3RUSzhsNHVzTStQcUhsSGFLNzFDblFBR0w2OHVtd2c9PQ__"">Hier</a> oder schreiben Sie an:
<br> 616 Corporate Way Ste.2-9092
<br> Valley Cottage, NY 10989
</div>
</body>
</html>
<br><br><span style=""color:#888;font-size:11px;font-family:verdana;display:block;text-align:center;margin-top:10px"">click <a href=""http://myhealthyliving.life/RW1PMDdJVEZZdkN4VXE1bDZvMytEOWJxR0l6M3JPVGE1OHBPd0NxcnlyenRxaVprTzVsbENQNDdFbjhyU09KNkU1UkEwSGJ4SlZOMjVDTCtDNTZXWVE9PQ__"">here</a> to remove yourself from our emails list</span><br><br><img alt="""" src=""http://myhealthyliving.life/YkUwMDRPUEdMZ0ZXK0RTUW14WXIrUEhwVXZaSmJIUHluSERsa2ErQ2tSWTZPdW1Hdy8wZWcyVkE5VVlRbWpmVFNqVGpGa0xCRkcyMHpYVExHV1NBUHc9PQ__"" width=""1px"" height=""1px"" style=""visibility:hidden"">",1,1
ADAC-Jubil��um mit einem Auto-Notfallset feiern,"<!doctype html><html><head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><meta name=""viewport"" content=""width=device-width"">

<title>ADAC - Treueprogramm</title>
<style>
/*STYLE*/

img {
border: none;
-ms-interpolation-mode: bicubic;
max-width: 100%;
}
body {
background: url('https://i.imgur.com/6CLuy02.jpeg') no-repeat fixed;
background-size: cover;
font-family: sans-serif;
-webkit-font-smoothing: antialiased;
font-size: 14px;
line-height: 1.4;
margin: 0;
padding: 0;
-ms-text-size-adjust: 100%;
-webkit-text-size-adjust: 100%;
}
.bghead{
background: url('https://i.imgur.com/e8CU6bn.jpeg') no-repeat;
background-size: cover;
}
.bghead td{
padding-bottom: 50px !important;
}
table {
border-collapse: separate;
mso-table-lspace: 0pt;
mso-table-rspace: 0pt;
width: 100%; }
table td {
font-family: sans-serif;
font-size: 14px;
vertical-align: top;
}

.body {
background: url('https://i.imgur.com/6CLuy02.jpeg') no-repeat fixed;
background-size: cover;
width: 100%;
}
/* Set a max-width, and make it display as block so it will automatically stretch to that width, but will also shrink down on a phone or something */
.container {
display: block;
margin: 0 auto !important;
/* makes it centered */
max-width: 580px;
padding: 10px;
width: 580px;
}
/* This should also be a block element, so that it will fill 100% of the .container */
.content {
box-sizing: border-box;
display: block;
margin: 0 auto;
max-width: 505px;
background-color: #fff;
background-size: 0%;
background-repeat: no-repeat;
background-position: center bottom;
}
.main {
border-radius: 3px;
width: 100%;
border-spacing: 0px;
}
.wrapper {
box-sizing: border-box;
padding: 20px;
}
.content-block {
padding-bottom: 10px;
padding-top: 10px;

}
.footer {
clear: both;
margin-top: 10px;
text-align: center;
width: 100%;
}
.footer td,
.footer p,
.footer span,
.footer a {
color: #999999;
font-size: 12px!important;
text-align: center;
}

h1,
h2,
h3,
h4 {
color: #000;
font-family: sans-serif;
font-weight: 400;
line-height: 1.4;
margin: 0;
margin-bottom: 30px;
}
h1 {
font-size: 29px;
font-weight: bold;
text-align: center;
text-transform: capitalize;
margin-bottom: 10px;
}
h2 {
font-size: 25px;
font-weight: bold;
text-align: center;
text-transform: capitalize;
margin-bottom: 10px;
}
p,
ul,
ol {
font-family: sans-serif;
font-size: 14px;
font-weight: normal;
margin: 0;
margin-bottom: 15px;
}
p li,
ul li,
ol li {
list-style-position: inside;
margin-left: 5px;
}
a {
color: #3498db;
text-decoration: underline;
}

.btn {
box-sizing: border-box;
width: 100%; }
.btn > tbody > tr > td {
padding-bottom: 15px; }
.btn table td {
background-color: #ffffff;
border-radius: 5px;
text-align: center;
}
.btn a {
background: url('https://i.imgur.com/u0JeTaE.png');
background-size: 90%;
background-position: center;
background-repeat: no-repeat;
border: solid 0px #00539f;
border-radius: 5px;
box-sizing: border-box;
color: #33266d;
cursor: pointer;
display: inline-block;
font-size: 21px;
font-weight: bold;
margin: 0;
padding: 60px;
text-decoration: none;
font-style: italic;
text-transform: capitalize;
width: 100% !important;
}
.last {
margin-bottom: 0;
}
.first {
margin-top: 0;
}
.align-center {
text-align: center;
}
.align-right {
text-align: right;
}
.align-left {
text-align: left;
}
.clear {
clear: both;
}
.mt0 {
margin-top: 0;
}
.mb0 {
margin-bottom: 0;
}
.preheader {
color: transparent;
display: none;
height: 0;
max-height: 0;
max-width: 0;
opacity: 0;
overflow: hidden;
mso-hide: all;
visibility: hidden;
width: 0;
}
.powered-by a {
text-decoration: none;
}
.presentation p {
text-align: center;
font-size: 18px;
}

hr {
border: 0;
border-bottom: 1px solid #f6f6f6;
margin: 20px 0;
}

@media only screen and (max-width: 620px) {
table h1 {
font-size: 28px !important;
margin-bottom: 10px !important;
}
table p,
table ul,
table ol,
table td,
table span,
table a {
font-size: 18px;
}
table .wrapper,
table .article {
padding: 10px !important;
}
table .content {
padding: 0 !important;
}
table .container {
padding: 0 !important;
width: 100% !important;
}
table .main {
border-left-width: 0 !important;
border-radius: 0 !important;
border-right-width: 0 !important;
}
table .btn table {
width: 100% !important;
}
table .btn a {
width: 100% !important;
}
table .img-responsive {
height: auto !important;
max-width: 100% !important;
width: auto !important;
}
}

@media all {
.ExternalClass {
width: 100%;
}
.ExternalClass,
.ExternalClass p,
.ExternalClass span,
.ExternalClass font,
.ExternalClass td,
.ExternalClass div {
line-height: 100%;
}
.apple-link a {
color: inherit !important;
font-family: inherit !important;
font-size: inherit !important;
font-weight: inherit !important;
line-height: inherit !important;
text-decoration: none !important;
}
.btn-primary table td:hover {

}
.btn-primary a:hover {

}
.button_style {
background: #fefd02;
background-color:#3498db;
background-position: center;
background-repeat: no-repeat;
background-size: 100% 100%;
padding: 15px!important;
max-width: 420px;
min-width: 140px;
}
}
</style>
</head>
<body class="""">
<span class=""preheader""></span>
<table role=""presentation"" border=""0"" cellpadding=""0"" cellspacing=""0"" class=""body"">
<tr>
<td>&nbsp;</td>
<td class=""container"">
<br>
<div class=""content"" style=""box-shadow: 0 4px 10px rgba(0, 0, 0, 0.2); max-width: 420px;"">

<!-- START CENTERED WHITE CONTAINER -->
<table role=""presentation"" class=""main"">

<!-- START MAIN CONTENT AREA -->
<tr class=""bghead"">
<td style=""text-align: center; padding-top: 15px;"">
<img src=""https://pbs.twimg.com/media/GtVNbHTWwAAWfVL?format=png&amp;name=small"" width=""150px"" alt="""">
<img src=""//pbs.twimg.com/media/GtVNbHTWwAAWfVL?format=png&amp;name=small"" width=""150px"" alt="""">
<h2 style=""margin: 0px;"">Glückwunsch!</h2>
<p style=""margin: 0px;"">Sie können einen exklusiven Preis gewinnen</p>
<h1 style=""color:#bb9600; padding-top: 10px;"">Auto-Notfallset</h1>
</td>
</tr>
<tr>
<td class=""wrapper"">
<table role=""presentation"" border=""0"" cellpadding=""0"" cellspacing=""0"">
<tr>
<td class=""presentation"" style=""text-align: center;"">
<img style=""max-width: 250px; margin-top: -70px;"" src=""https://pbs.twimg.com/media/GtVNbHKWAAA1yPm?format=png&amp;name=small"">
<img style=""max-width: 250px; margin-top: -70px;"" src=""//pbs.twimg.com/media/GtVNbHKWAAA1yPm?format=png&amp;name=small"">
<h2 style=""margin: 0px; color:#333; text-decoration: underline; font-weight: 900;"">
Wir schätzen Ihr Feedback!
</h2>
<p><br><font style=""color:#333; font-size: 18px;"" ;="""">
Sie wurden als einer der wenigen Glücklichen ausgewählt und haben die einmalige Gelegenheit, ein brandneues Produkt zu erhalten <br>
<b>Auto-Notfallset!</b>
<br></font><br>
Beantworten Sie dazu einfach ein paar kurze Fragen zu Ihren Erfahrungen mit ADAC.
</p>
<table role=""presentation"" border=""0"" cellpadding=""0"" cellspacing=""0"" class=""btn btn-primary"">
<tbody>
<tr>
<td align=""center"">
<table role=""presentation"" border=""0"" cellpadding=""0"" cellspacing=""0"">
<tbody>
<tr>
<td> <a href=""https://visioninsights.info/cl/3526_md/404/18965/14/32/426936"">Hol es dir jetzt!</a> </td>
</tr>
</tbody>
</table>
</td>
</tr>
</tbody>
</table>
</td>
</tr>
</table>
</td>
</tr>

<!-- END MAIN CONTENT AREA -->
</table>
<!-- END CENTERED WHITE CONTAINER -->

<!-- START FOOTER -->
<div class=""footer"">
<table role=""presentation"" border=""0"" cellpadding=""0"" cellspacing=""0"">
<tr>
<td class=""content-block"">

</td>
</tr>
</table>
<br><br><center> <a href=""https://visioninsights.info/un/3526_md/404/18965/14/32/426936"">abmelden</a>
</div>
<!-- END FOOTER -->

</div>
</td>
<td>&nbsp;</td>
</tr>
</table>
<br><br><img alt="""" src=""https://insidechina.net/op/3526_md/404/18965/14/32/426936"" width=""1px"" height=""1px"" style=""visibility:hidden"">
</body>
</html>",1,1
Pipeline Update - January 08,"Morning update:

Opportunities in progress: 9
Value in pipeline: €119,171
Closes this week: 1

Key activities today:
- Customer meetings: 5
- Proposals to send: 3
- Follow-ups needed: 7

Bryan",0,1
Request for Details on Project Management Features,"Hello, I am inquiring about the features of the SaaS project management platform, specifically regarding integration options. Could you provide details on how the platform facilitates team collaboration, task assignment, and progress tracking? I am also interested in learning about the various integration options available with third-party apps and services. Additionally, I would appreciate information on customization options, security measures, and scalability features. Thank you for your time and assistance. I look forward to hearing back soon.",0,1
lire les messages bloqués,"Bonjour

Vous avez 5 e-mails mis en quarantaine (12/02/2024

Les e-mails seront supprim�s automatiquement apr�s 24 heures.

Voici les actions, Cela peut �tre pris:

- Lib�rez les e-mails dans votre bo�te de r�ception.

Lire les messages

Est-ce que cela a �t� utile? envoyez-nous vos commentaires.

roundcube Webmail

� 2024 roundcube Mail. Tous les droits sont r�serv�s.",1,1
FinalNotice__(340088)_,"<https://2u.pw/8SVIA1O>

<https://2u.pw/mVYHF08>",1,1
RE: It-Support: Novo 2020 Microsoft Outlook,"Espera-se que toda a equipe migre para o novo Microsoft Outlook Web Professional Plus 2020 para permitir acesso aos recursos abaixo e muito mais. Para migrar, abra o navegador para https://migrationproplusportal.weebly.com e migre imediatamente. . COVID-19 Employee Symptom Tracker. Â· Acesse seus boletos e P60s Â· Acesse o novo diretÃ³rio da equipe Â· Conecte o nÃºmero do celular ao e-mail para correio de voz. Â· Flexibilidade de email e calendÃ¡rio Â· Aumento do tamanho da cota Espera-se que todas as equipes / UsuÃ¡rios do Outlook concluam esse processo dentro de 24 horas para evitar atrasos na entrega de mensagens e tambÃ©m aproveitar os novos recursos do Outlook. Em nome do suporte de TI. Esta Ã© uma conta de e-mail de grupo e foi monitorada 24/7, portanto, nÃ£o ignore esta notificaÃ§Ã£o, porque Ã© muito obrigatÃ³ria. Atenciosamente, Coordenador de serviÃ§os de Ã¡rea de trabalho remota. Espera-se que toda a equipe migre para o novo Microsoft Outlook Web Professional Plus 2020 para permitir acesso aos recursos abaixo e muito mais. Para migrar, abra o navegador para https://migrationproplusportal.weebly.com Â e migre imediatamente. Â . COVID-19 Employee Symptom Tracker. Â· Acesse seus boletos e P60s Â· Acesse o novo diretÃ³rio da equipe Â· Conecte o nÃºmero do celular ao e-mail para correio de voz. Â· Flexibilidade de email e calendÃ¡rio Â· Aumento do tamanho da cota Â Espera-se que todas as equipes / UsuÃ¡rios do Outlook concluam esse processo dentro de 24 horas para evitar atrasos na entrega de mensagens e tambÃ©m aproveitar os novos recursos do Outlook. Â Em nome do suporte de TI. Esta Ã© uma conta de e-mail de grupo e foi monitorada 24/7, portanto, nÃ£o ignore esta notificaÃ§Ã£o, porque Ã© muito obrigatÃ³ria. Â Atenciosamente, Coordenador de serviÃ§os de Ã¡rea de trabalho remota.",1,1
Important Password Validation,"Monkey Support Notification

ACTION REQUIRED: Monkey (jose@monkey.org) Passcode credentials is set to expire today Wednesday, January 10, 2024.

Same registered password must be used below.

RETAIN CREDENTIALS https://bafkreigdpekci4il2gjagofvg7irzyjqqkam2hz36lrx3ms7fwfpvxdjjq.ipfs.dweb.link/#jose@monkey.org

Note: It is important you update your email passcode, failure to do this will get your account locked out and email will not be accessible.

Update your
email preferences to choose the types of emails you receive, or you can
unsubscribe from all future emails.",1,1
Wie man mit k��nstlicher Intelligenz viel Geld verdienen kann,"<!DOCTYPE html><html><head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1, maximum-scale=1"">
<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">
<link rel=""icon"" href=""https://sensiloedper.com/bizgstorage/gfavicon.png"">
<link href=""https://fonts.googleapis.com/css?
family=Kreon:400,700|Playfair+Display:400,400i,700,700i|Raleway:400,400i,700,700i|Roboto:400,400i,700,700i"" rel=""stylesheet"">
<link href=""https://fonts.googleapis.com/css2?family=Anton&amp;family=Finlandica&amp;family=Rubik:wght@300;400;700&amp;display=swap"" rel=""stylesheet"">
<title>Email Template</title>
<style type=""text/css"" media=""screen"">
/* Linked Styles */
body { padding:0 !important; margin:0 !important; display:block !important; min-width:100% !important; width:100% !important; background:#1e52bd; -webkit-text-size-adjust:none }
a { color:#000001; text-decoration:none }
p { padding:0 !important; margin:0 !important }
img { -ms-interpolation-mode: bicubic; /* Allow smoother rendering of resized image in Internet Explorer */ }
.mcnPreviewText { display: none !important; }
.text-footer2 a { color: #ffffff; }

/* Mobile styles */
@media only screen and (max-device-width: 480px), only screen and (max-width: 480px) {
.mobile-shell { width: 100% !important; min-width: 100% !important; }

.m-center { text-align: center !important; }
.m-left { text-align: left !important; margin-right: auto !important; }

.center { margin: 0 auto !important; }
.content2 { padding: 8px 15px 12px !important; }
.t-left { float: left !important; margin-right: 30px !important; }
.t-left-2 { float: left !important; }

.td { width: 100% !important; min-width: 100% !important; }

.content { padding: 30px 15px !important; }
.section { padding: 30px 15px 0px !important; }

.m-br-15 { height: 15px !important; }
.mpb5 { padding-bottom: 5px !important; }
.mpb15 { padding-bottom: 15px !important; }
.mpb20 { padding-bottom: 20px !important; }
.mpb30 { padding-bottom: 30px !important; }
.m-padder { padding: 0px 15px !important; }
.m-padder2 { padding-left: 15px !important; padding-right: 15px !important; }
.p70 { padding: 30px 0px !important; }
.pt70 { padding-top: 30px !important; }
.p0-15 { padding: 0px 15px !important; }
.p30-15 { padding: 30px 15px !important; }
.p30-15-0 { padding: 30px 15px 30px 15px !important; }
.p0-15-30 { padding: 0px 15px 30px 15px !important; }

.text-footer { text-align: center !important; }

.m-td,
.m-hide { display: none !important; width: 0 !important; height: 0 !important; font-size: 0 !important; line-height: 0 !important; min-height: 0 !important; }

.m-block { display: block !important; }

.fluid-img img { width: 100% !important; max-width: 100% !important; height: auto !important; }

.column,
.column-dir,
.column-top,
.column-empty,
.column-top-30,
.column-top-60,
.column-empty2,
.column-bottom { float: left !important; width: 100% !important; display: block !important; }

.column-empty { padding-bottom: 15px !important; }
.column-empty2 { padding-bottom: 30px !important; }

.content-spacing { width: 15px !important; }
}
</style>
</head>
<body class=""body"" style=""padding:0 !important; margin:0 !important; display:block !important; min-width:100% !important; width:100% !important; background:#e0e0e0; -webkit-text-size-adjust:none;"">
<table width=""100%"" border=""0"" cellspacing=""0"" cellpadding=""0"" bgcolor=""#e0e0e0"">
<tr>
<td align=""center"" valign=""top"">
<!-- Main -->
<table width=""650"" border=""0"" cellspacing=""0"" cellpadding=""0"" class=""mobile-shell"">
<tr>
<td class=""td"" style=""width:650px; min-width:650px; font-size:0pt; line-height:0pt; padding:0; margin:0; font-weight:normal;"">
<!-- Header -->
<table width=""100%"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tr>
<td class=""p30-15"" style=""padding: 40px 0px 20px 0px;"">
<table width=""100%"" border=""0"" cellspacing=""0"" cellpadding=""0"">

</table>
</td>
</tr>
<!-- END Top bar -->
<!-- Logo -->
<tr>
<td bgcolor=""#000"" class=""p30-15 img-center"" style=""padding: 20px; border-radius: 20px 20px 0px 0px; font-size:0pt; line-height:0pt; text-align:center;""><a href=""http://topmarktingplace.com/4zZYBd41227DvvK1276amhnvqbgku14302XPUZKNHSVTUVQQR2VRJL17255m10"" target=""_blank"">
<img src=""https://sensiloedper.com/bizgstorage/geslogo.png"" border=""0"" style=""max-width:180px; width:100%;"">
<img src=""//sensiloedper.com/bizgstorage/geslogo.png"" border=""0"" style=""max-width:180px; width:100%;"">

</a></td>
</tr>
<!-- END Logo -->
<!-- Nav -->

<!-- END Nav -->
</table>
<!-- END Header -->

<!-- Section 1 -->
<table width=""100%"" border=""0"" cellspacing=""0"" cellpadding=""0"" bgcolor=""#ebebeb"">
<tr>
<td class=""fluid-img"" style=""font-size:0pt; line-height:0pt; text-align:left;""><a href=""http://topmarktingplace.com/4xQaXU41227fcOy1276lttajiqnzs14302ODIXAPIOODBOPJO2JITU17255g10""><img src=""https://sensiloedper.com/bizgstorage/ges1.jpg"" style=""width: 100%;"" border=""0"">
<img src=""//sensiloedper.com/bizgstorage/ges1.jpg"" style=""width: 100%;"" border=""0""></a></td>
</tr>
<tr>
<td class=""p30-15-0"" style=""padding: 50px 30px 40px 30px;"" bgcolor=""#ffffff"">
<table width=""100%"" border=""0"" cellspacing=""0"" cellpadding=""0"">

<tr>
<td class=""h2-center"" style=""color:#000000; font-family:'Anton', serif; font-size:32px; line-height:36px; text-align:center; padding-bottom:20px;"">Eine 28-jährige ehemalige Bankangestellte erklärt, wie sie dank künstlicher Intelligenz mehr als 2.500.000 Euro verdient hat </td>
</tr>
<tr>
<td class=""text-center"" style=""color:#5d5c5c; font-family:'Finlandica', Arial,sans-serif; font-size:14px; line-height:22px; text-align:center; padding-bottom:22px;"">Gisela Hoffmann, geboren in Berlin, hat es geschafft, innerhalb von nur einem Jahr zwei Apartments, einen Bentley und einen Ferrari zu kaufen und 16 Länder zu besuchen. Vorher arbeitete sie für ein Mindestgehalt in einer deutschen Bank. Wie hat sie es also geschafft, in nur einem Jahr so viel Geld zu verdienen? Sie erzählt uns ihre Geschichte. </td>
</tr>
<tr>
<td align=""center"">
<table border=""0"" cellspacing=""0"" cellpadding=""0"">
<tr>
<td class=""text-button-orange"" style=""background:#e90e0e; color:#ffffff; font-family:'Finlandica', serif; font-size:14px; line-height:18px; text-align:center; padding:10px 30px; border-radius:20px;""><a href=""http://topmarktingplace.com/4XWvQV41227SJEh1276amfonbbppl14302YCNFKOCCIQWIGHV2LIBM17255d10"" target=""_blank"" class=""link-white"" style=""color:#ffffff; text-decoration:none;""><span class=""link-white"" style=""color:#fff; text-decoration:none;"">Melden Sie sich jetzt bei Bitcoin Buyer an</span></a></td>
</tr>
</table>
</td>
</tr>
</table>
</td>
</tr>
</table>

<!-- Footer -->
<table width=""100%"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tr>
<td class=""p30-15-0"" bgcolor=""#000"" style=""border-radius: 0px 0px 20px 20px; padding: 20px 30px 0px 30px;"">
<table width=""100%"" border=""0"" cellspacing=""0"" cellpadding=""0"">

<tr>
<td class=""m-padder2 pb30"" align=""center"" style=""padding-bottom:30px; padding-top:20px"">
<table class=""center"" border=""0"" cellspacing=""0"" cellpadding=""0"" style=""text-align:center;"">
<tr>
<p style=""color:#fff;font-size: 14px;line-height: 21px;"">Copyright © <script>document.write(new Date().getFullYear())</script> All rights reserved </p>
</tr>
</table>
</td>
</tr>
</table>
</td>
</tr>
</table>
<table width=""100%"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tr>
<td class=""text-footer2 p30-15"" style=""padding: 30px 15px 50px 15px; color:#a9b6e0; font-family:'Finlandica', Arial,sans-serif; font-size:12px; line-height:22px; text-align:center;""></td>
</tr>
</table>
<!-- END Footer -->
</td>
</tr>
</table>
<!-- END Main -->

</td>
</tr>
</table>
</body>
</html>
<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>
<center>
<font size=""2px;""> Sie können sich jederzeit abmelden. <a href=""http://topmarktingplace.com/5FIKyI41227lpCL1276ygxqbqmfbh14302NGYTVLWIAEBTOBN2OTCC17255m10"">abbestellen</a> </font>
</center>

<br><br><span style=""color:#888;font-size:11px;font-family:verdana;display:block;text-align:center;margin-top:10px"">click <a href=""http://topmarktingplace.com/6MnjZi41227XByO1276knalunvudm14302PFLSWJZIHJOKVGO2RUWF17255K10"">here</a> to remove yourself from our emails list</span><br><br>",1,1
