Subject,Body,label,data_source
We Need Your Confirmation To Ship Your Order,"Your package delivery notification ID#59797830547...
Hello client,
You have (1) packages awaiting delivery.

*If we do not receive a response within 5 business days, your package will be returned to sender.

DELIVERY TIME RECEIVED.
Attempted delivery: signature required

Tracking number:ID#59797830547
Schedule delivery

Tracking number: ID#59797830547

Sincerely,",1,phishyai-outlook
You have won an Temu Mystery Box,"YOUR PACKAGE IS COMING
You have 1 package waiting for delivery. Use your code to track it and receive it. Schedule your delivery and subscribe to our push notifications to avoid this from happening again

Schedule your delivery",1,phishyai-outlook
Black Friday Extravaganza: Your Chance to Win a Tupperware Modular Mates 36 PC Set!,R,1,phishyai-outlook
Your computer may be at risk ☠️ |❌ Refresh McAfee Antivirus🔔,"Your device is infected with a virus and needs to be cleaned immediately. Do not ignore this critical alert. If you close this page, your computer access will be disabled to prevent further damage to our network.
Your computer has alerted us that it has been infected with a virus and spyware. The following information is being stolen...
If you do not contact us within 5 minutes, we will be forced to disable your computer to prevent further damage to our network.
Renew your McAfee Antivirus now to protect your computer from malicious attacks.",1,phishyai-outlook
**I have a proposal For You ***,"Dear friend,

I am James Tan Chris , a US Army combat soldier, I need your assistance in a deal that will benefit us both.

Please let me know through this email : mjamestacn@gmail.com if you are willing to help, so I can share more details .

I await your response

Capt. James Tan Chris",1,phishyai-outlook
DONATION.,"Recipients

Mrs. Mariam Matthew
62 Chandos Crescent,
Edgware HA8 6HL
Middlesex,
United Kingdom

Attention :

DONATION OF £20 MILLION

I am the above named person but now undergoing medical treatment in London, England. I am married to Dr. James David who worked in England for over a decade before he died on 7th of November in the year 2017

We were married for fifteen years without a child. He died after a brief illness that lasted for two weeks. Before his death he made a vow to use his wealth for the down trodden and the less privileged in the society.

Since his death I decided not to re-marry or get a child outside my matrimonial home. When my late husband was alive he deposited the sum of £20 Million in his bank account.

Recently, my Doctor told me that I would not last for the next few days or months due to cancer problem. Though what disturbs me most is my stroke which have affected recently.

I want an individual that will use this fund and provide succor to the poor and indigent persons, orphanages, widows and for propagating peace in the universe.

Please assure me that you will act according to specification herein.

Hoping to hear from you.

Thank you and May the Almighty God bless you.

Yours sincerely,
Mrs. Mariam Matthew (Benefactor.)",1,phishyai-outlook
Eating this fuels fungus to deadly levels…,"Today, I've prepared a quick presentation to show you the very common ingredient that probably was in the food you've eaten this week.

This plain ingredient has been proven in the Fungal Genetics and Biology to immediately trigger fungal overgrowth to deadly levels!

Plus, it fries your immune system, lowering its efficiency by 40%.

I'm worried about you, because most people have no clue how dangerous this really is. In fact, studies have shown that eating this ingredient and having toenail fungus may lead to life-threatening complications

In the short presentation below, you'll discover what this common ingredient is, why fungal overgrowth is now seen as the root cause of most chronic diseases and why the medical establishment is keeping this under wraps.

I also want to show you a holistic, natural formula to neutralize the effects of this ingredient and erase all traces of fungal colonies from your body (inside and outside)

If you have toenail fungus, athlete’s foot or other skin or nail fungal infection, then this will be the most important thing you've seen in a long time.

Watch it now, then tell you friends about it.

>>The common ingredient that triggers fungal overgrowth and kills of your immune system (Quick, life-saving presentation)

Never lose faith. Godspeed.

Unsubscribe
3 Germay Dr Ste 5, Wilmington, DE 19804

OPT-OUT",1,phishyai-outlook
FINAL NOTICE!!,"Hello user,

Your parcel 89593626 has arrived .

We have noticed that some details were missing from your shipment.
To send your parcel, click on the button below and follow the instructions.
You still have 48 hours of free delivery, after which it will cost you €30.

YOUR LATEST DELIVERY INFORMATION
Recipient's name
Order Number 89551979
Ѕtаtuѕ Оn Ноld
Payment method Prepaid

Receive your order now",1,phishyai-outlook
RE: CASE # 97540486,"The Better Business Bureau has been recorded the above said reclamation from one of your customers in regard to their business contacts with you. The detailed description of the customer’s uneasiness are available by clicking the link below. Please pay attention to this question and let us know about your judgement as soon as possible.
We pleasantly ask you to overview APPEAL REPORT to reply on this complaint. We await to your prompt rebound.",1,phishyai-gmail
"Hi ,","Someone tried to log in to your Instagram account.
If this was you, please use the following code to log in:
181200
If this wasn't you, please reset your password to secure your account.",1,phishyai-gmail
