row_number,source_path,source_row_number,dataset_name,subject,label,data_source,content_length,overall_is_valid,invalid_scanner_count,flagged_scanners,malicious_urls_is_valid,malicious_urls_risk_score,ban_substrings_is_valid,ban_substrings_risk_score,sensitive_is_valid,sensitive_risk_score
1,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s2-gd_detector_suite_wq9maa_u/llm_guard_001201_001300/chunk_input.csv,1,llm_guard_001201_001300_chunk_input,Inquiry for Digital Strategy Consultation and Pricing Details,0,tobiasbuek,130,True,0,,True,-1.0,True,-1.0,True,-1.0
2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s2-gd_detector_suite_wq9maa_u/llm_guard_001201_001300/chunk_input.csv,2,llm_guard_001201_001300_chunk_input,Support Request for Smartsheet and PostgreSQL Integration,0,tobiasbuek,373,True,0,,True,-1.0,True,-1.0,True,-1.0
3,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s2-gd_detector_suite_wq9maa_u/llm_guard_001201_001300/chunk_input.csv,3,llm_guard_001201_001300_chunk_input,Suggestion for Mercury Language: Improved Error Handling,0,rtweera,668,False,1,sensitive,True,-1.0,True,-1.0,False,1.0
4,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s2-gd_detector_suite_wq9maa_u/llm_guard_001201_001300/chunk_input.csv,4,llm_guard_001201_001300_chunk_input,uw investering verdient zichzelf snel terug,1,phishing_pot,2724,True,0,,True,-0.7,True,-1.0,True,-1.0
5,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s2-gd_detector_suite_wq9maa_u/llm_guard_001201_001300/chunk_input.csv,5,llm_guard_001201_001300_chunk_input,Seu convite para ser BRADESCO PRIME! ID: 71958337.,1,phishing_pot,121,False,1,sensitive,True,-1.0,True,-1.0,False,1.0
6,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s2-gd_detector_suite_wq9maa_u/llm_guard_001201_001300/chunk_input.csv,6,llm_guard_001201_001300_chunk_input,Problem Reported Concerning Data Feed,0,tobiasbuek,121,True,0,,True,-1.0,True,-1.0,True,-1.0
7,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s2-gd_detector_suite_wq9maa_u/llm_guard_001201_001300/chunk_input.csv,7,llm_guard_001201_001300_chunk_input,Re: Mercury Language Deployment Issue on AWS,0,rtweera,587,False,1,sensitive,True,-1.0,True,-1.0,False,1.0
8,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s2-gd_detector_suite_wq9maa_u/llm_guard_001201_001300/chunk_input.csv,8,llm_guard_001201_001300_chunk_input,Re: Overdue: Customer 531743034,0,uberjugaad,87,True,0,,True,-1.0,True,-1.0,True,-1.0
9,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s2-gd_detector_suite_wq9maa_u/llm_guard_001201_001300/chunk_input.csv,9,llm_guard_001201_001300_chunk_input,Action required now - You have a new document monkey.org,1,nazario,1395,True,0,,True,-0.2,True,-1.0,True,-1.0
10,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s2-gd_detector_suite_wq9maa_u/llm_guard_001201_001300/chunk_input.csv,10,llm_guard_001201_001300_chunk_input,Your Parcel Number RL001097064 is on the way,1,phishpuzzer,2928,False,1,sensitive,True,-1.0,True,-1.0,False,1.0
11,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s2-gd_detector_suite_wq9maa_u/llm_guard_001201_001300/chunk_input.csv,11,llm_guard_001201_001300_chunk_input,Kobalt Tool Set,1,phishing_pot,629,False,1,malicious_urls,False,0.3,True,-1.0,True,-1.0
