Body,label,category,data source
"S: Namaste, sir, I’m Vikram from SBI Wealth Growth. We’re offering a once-in-a-lifetime investment in mutual funds with guaranteed 400% returns by next Diwali!\nP1: Namaste, Vikram. I have an account with SBI, but I’ve never heard of this scheme. Is this official?\nS: Yes, sir, it’s a premium plan for select customers. You just need to invest ₹1 lakh today. Verify your details at http://sbi-wealthverify.in.\nP1: That website doesn’t look like SBI’s official site. Can you confirm this through my branch?\nS: Sir, this is a limited-time online offer. Branch staff won’t know about it. You must act fast!\nP1: I’m not sure. Can I call SBI customer care to verify this?\nS: Sir, no need to waste time. Call me directly at 98765-43210 if you have doubts, but hurry, the slots are filling up!\nP1: I’ll still check with the bank. I don’t want to risk my money.\nS: Sir, you’re missing out on a huge profit. Think about your children’s future. Just transfer the amount now!\nP1: I’m not transferring anything without confirmation. This feels off.\nS: Sir, I’m warning you, this offer won’t come again. Don’t regret later!\nP1: I’ll take that chance. Please don’t call me again.\nS: Okay, sir, but I’ll call tomorrow with an even better deal!\nP1: No need. Goodbye.",1,Investment Scams,AIFraud
"S: Namaste bhaiya, I’m Rohit from SBI Loan Services. Aapko ₹5 lakh ka loan pre-approved hai, bas ek chhota sa step hai!\nP1: Namaste, par maine toh koi loan apply nahi kiya. Yeh kaise pre-approved ho gaya?\nS: Arre bhaiya, yeh Diwali special offer hai! Aapka naam system mein select ho gaya hai. Bas aap apna Aadhaar number aur bank details share kar do.\nP1: Aadhaar number? Yeh toh thoda suspicious lag raha hai. Main kaise bharosa karu?\nS: Bhaiya, tension mat lo, yeh 100% safe hai. Hum SBI ke official partner hain. Aap yeh link check karo: http://sbi-loanverify.in.\nP1: Link? Main koi link pe click nahi karta. Aap mujhe apna official number do, main SBI customer care se confirm kar lunga.\nS: Arre bhaiya, customer care se kyun time waste karna? Yeh offer sirf aaj tak hai. Call karo is number pe: 98765-43210, aur details confirm karo!\nP1: Nahi bhai, mujhe yeh safe nahi lagta. Main apni details nahi dunga.\nS: Bhaiya, socho, Diwali pe ghar ke liye kitna kaam aa sakta hai yeh loan. Bas 5 minute ka process hai!\nP1: Nahi, mujhe koi jaldi nahi hai. Main pehle confirm kar lunga. Aap call mat karna ab.",1,Loan Scam,AIFraud
"S: Namaste madam, this is Amit Kumar from Aadhaar Verification Center. Your Aadhaar card has been flagged for suspicious activity.\nP1: Namaste, Amit ji. Flagged? I haven’t done anything wrong. What’s the problem?\nS: Madam, someone has linked your Aadhaar to multiple bank accounts without your permission. You must update your security details immediately.\nP1: Multiple accounts? That’s shocking! How do I know this is genuine?\nS: Madam, this is an official call. Please visit http://aadhaar-safeupdate.co.in and enter your details to block unauthorized access.\nP1: I’ve heard of scams like this. Why can’t I just go to the Aadhaar center near my house?\nS: Madam, the centers are closed for Diwali preparations. If you don’t update online by tonight, your Aadhaar will be deactivated, and you’ll lose access to government schemes.\nP1: Deactivated? That’s serious. But I’m not comfortable with online links. Can you send me a letter or email?\nS: Madam, there’s no time for letters. Hackers are active 24/7. Just share your Aadhaar number with me, and I’ll fix it for you.\nP1: No, I’m not sharing anything over the phone. I’ll check with the official Aadhaar helpline.\nS: Madam, you’re risking everything! Call this number for confirmation: 1800-222-3344, but do it after updating the link.\nP1: I don’t think so. I’m hanging up and reporting this number.\nS: Madam, wait! You’ll face penalties if you ignore this warning!\nP1: I’m not falling for this. Goodbye.",1,Identity Theft,AIFraud
"S: Namaste ji, this is Vikram from SBI Customer Care. Sir, there’s an urgent issue with your account.\nP1: Namaste, Vikram. What’s the problem with my account?\nS: Sir, we’ve detected unauthorized transactions on your SBI account linked to your Aadhaar. You need to secure it immediately.\nP1: Unauthorized transactions? I haven’t noticed anything unusual. Can you explain?\nS: Sir, it’s a fraud attempt. Someone is trying to withdraw ₹50,000. Please visit http://secure.sbi-verify.com and update your details now.\nP1: That sounds serious. But why do I need to go to a website? Can’t you help over the phone?\nS: Sir, it’s bank policy for security. Time is critical, or you’ll lose your money. Just click the link and verify.\nP1: I’m not sure about clicking links. Can I visit the branch instead?\nS: Sir, branches are closed due to Diwali holidays. This is the only way to save your savings. Please trust me.\nP1: Hmm, I’ll call the official SBI helpline to confirm this. What’s your employee ID?\nS: Sir, my ID is SBI-VK123. But there’s no time for calls. Your account is at risk right now!\nP1: I appreciate the urgency, but I’ll verify this with the bank directly. Thanks for the heads-up.\nS: Sir, please don’t delay. Every second counts. Just open the link and secure your account!\nP1: I’ll handle this through official channels. Goodbye.",1,Emotional Manipulation,AIFraud
"S: Namaste, sir, this is Rohit Sharma calling from SBI Fraud Department. Your account has been compromised.\nP1: Namaste, but how is that possible? I haven’t shared my details with anyone.\nS: Sir, a hacker has accessed your account. ₹50,000 is at risk. You need to verify your identity urgently on http://secure.sbi-verify.com.\nP1: Wait, I’ve never heard of such a website. Is this legitimate?\nS: Absolutely, sir. It’s SBI’s official portal. If you don’t act now, your money will be gone by tonight.\nP1: But why can’t I just visit the branch? I live near the SBI branch in Malviya Nagar.\nS: Sir, branches are closed due to a system update. This is the only way. Click the link and enter your Aadhaar number.\nP1: I’m not comfortable sharing my Aadhaar online. Can I call the bank directly?\nS: Sir, there’s no time! Hackers are active. Call this number for verification: 1800-555-1234. But do it fast.\nP1: I’ll check with the bank first. This sounds suspicious.\nS: Sir, don’t risk your savings! Diwali is coming, and you won’t have money for your family if you delay.\nP1: I’m sorry, but I’ll verify this with the bank manager. Goodbye.\nS: Sir, wait! You’re making a big mistake!\nP1: I’m hanging up now.",1,Impersonation,AIFraud
"S: Hello, sir! I’m Ravi from Bharat Lottery Association. You’ve won ₹10 lakh in our Diwali Dhamaka Lottery! Isn’t that amazing?\nP1: Hello. Diwali lottery? I didn’t buy any ticket. How did I win?\nS: Sir, your Aadhaar-linked number was chosen in a lucky draw. All you need to do is confirm your identity on http://bharatlottery-win.in and pay a small tax fee of ₹5000.\nP1: Aadhaar-linked? That doesn’t sound right. Why do you need my Aadhaar details?\nS: Sir, it’s just for verification to ensure the money goes to the right person. It’s 100% safe.\nP1: I’m not comfortable sharing such details online. Can you meet me in person?\nS: Sorry, sir, we only operate online. But trust me, this is a once-in-a-lifetime opportunity!\nP1: I don’t trust this. I’m going to report this number to the police.\nS: Sir, please don’t misunderstand! Think about how this money can help during Diwali for your family!\nP1: I’m not falling for emotional tricks. Don’t call me again.\nS: Sir, you’re making a big mistake. Call 9123456789 if you reconsider!\nP1: No, I’m done. Bye.",1,Lottery Scam,AIFraud
"S: Namaste, this is Vikram from SBI Fraud Department. Your account has been compromised.\nP1: Namaste, Vikram. What do you mean compromised? I haven’t noticed anything wrong.\nS: Sir, someone has tried to withdraw ₹50,000 from your account. We’ve temporarily blocked it, but you need to act fast.\nP1: That’s shocking! How did this happen? My account details are secure.\nS: Sir, it’s a cyberattack. Please verify your identity by clicking on http://secure.sbi-verify.com and update your KYC details now.\nP1: Wait, I’ve never heard of SBI asking for details over a link. Isn’t this supposed to be done at the branch?\nS: Sir, this is an emergency. If you don’t update within 2 hours, your account will be frozen. It’s Diwali time, you don’t want to lose access to funds.\nP1: I understand it’s Diwali, but I’m not comfortable clicking on random links. Can I call the branch to confirm?\nS: Sir, the branch is overloaded right now. Just trust me, I’m trying to save your money. Call this number 1800-555-1234 if you have doubts, but act fast.\nP1: I’ll check with my branch manager directly. I don’t trust these calls.\nS: Sir, you’re making a big mistake! Your money is at risk. Update now or face consequences.\nP1: I’m hanging up and reporting this. I think this is a scam.\nS: Sir, don’t do this! You’ll regret it!\nP1: Goodbye.",1,Impersonation,AIFraud
"S: Hello, madam! I’m Sanjay from IndiaFastLoan Services. We’re offering an instant personal loan of ₹3 lakh at low interest, perfect for Diwali expenses!\nP1: Hello, but I’m not looking for any loans right now. How did you even get my contact?\nS: Madam, your profile was shortlisted for this exclusive offer. Just visit http://fastloanindia-secure.com and submit your details to get the money today!\nP1: That website doesn’t sound legitimate. I’ve never heard of your company before.\nS: Don’t worry, madam! We are tied up with major banks like SBI and HDFC. You just need to share your Aadhaar and bank details for quick processing!\nP1: I’m not sharing personal information on some random website. Can you send me an official email or document?\nS: Madam, this is a time-sensitive offer! If you delay, the loan slot will be given to someone else. Act now for your family’s needs!\nP1: I don’t like the way you’re pressuring me. I’ll verify this with my bank first.\nS: No need to waste time, madam! Call our urgent support line at 98765-43210 to finalize everything in minutes!\nP1: I’m not calling any number. This feels like a scam. I’m disconnecting.\nS: Please, madam! Think about clearing your debts before Diwali with this loan!\nP1: Stop it. I’m not interested, and I’m blocking this number.\nS: Wait, don’t miss this golden opportunity!\nP1: Enough! Bye!",1,Loan Scam,AIFraud
"S: Namaste bhaiya, main Anil Sharma bol raha hoon, SBI Easy Loan Department se. Aapko ₹10 lakh ka loan offer hai, bas turant apna bank account number aur OTP share kar do!\nP1: Namaste, lekin maine toh koi loan ke liye apply hi nahi kiya. Yeh kaise offer hai?\nS: Bhaiya, yeh ek emergency loan scheme hai, specially Diwali ke liye. Aapka profile humare system mein match kiya gaya hai.\nP1: Emergency loan? Par mujhe toh koi zarurat nahi hai. Aur OTP toh koi share nahi karta.\nS: Arre bhaiya, yeh bas verification ke liye hai. Humari secure website pe jao: http://secure.sbi-verify.com. Wahan pe aapka loan status check kar sakte ho.\nP1: Nahi, yeh website fake lagti hai. Main SBI ke official number pe call karke confirm kar lunga.\nS: Bhaiya, time waste mat karo. Yeh offer sirf 2 ghante ke liye valid hai. Jaldi se details bhej do, warna aapka slot kisi aur ko chala jayega!\nP1: Nahi, mujhe koi jaldi nahi hai. Yeh sab fraud lag raha hai.\nS: Arre, fraud nahi hai. Main aapko ek toll-free number deta hoon: 1800-123-4567. Ispe call karke confirm kar lo.\nP1: Nahi, main apne bank se baat kar lunga. Please mujhe disturb mat karo.\nS: Bhaiya, yeh mauka haath se mat jaane do. Socho, ₹10 lakh se kitna kaam ho sakta hai!\nP1: Nahi, main interested nahi hoon. Main call cut kar raha hoon.\nS: Arre, ruko bhaiya, bas ek minute!\nP1: Nahi, bas ho gaya. Goodbye.",1,Loan Scam,AIFraud
"S: Hello, sir, this is Vikram calling from Windows Security Team. We’ve noticed unauthorized activity on your laptop. It’s a critical situation.\nP1: Hello, Vikram. Unauthorized activity? What exactly do you mean?\nS: Sir, our servers show someone is trying to hack into your system right now. Your personal files and bank transactions are at risk.\nP1: That’s worrying. But I haven’t seen any pop-ups or warnings on my laptop. How do I know this is real?\nS: Sir, hackers work silently. You won’t see anything until it’s too late. Please go to http://winsecure-india.net and follow the instructions to secure your device.\nP1: I’m not sure about this link. Can’t you just tell me what to do over the phone?\nS: Sir, it’s not safe to discuss technical steps over the phone. The link is 100% secure. If you don’t act, your SBI account could be drained in minutes.\nP1: SBI again? This is getting too suspicious. I think I’ll call my bank directly to check.\nS: Sir, your bank won’t know about this cyber threat! Call our helpline at 1800-987-6543 immediately to speak to a senior technician. Don’t risk your family’s safety.\nP1: Family’s safety? That’s a bit dramatic, don’t you think? I’m not falling for this.\nS: Sir, I’m serious! With Diwali shopping online, hackers target people like you. Please don’t ignore this warning!\nP1: I’m sorry, Vikram, but I’m not clicking on anything. I’ll handle this myself.\nS: Sir, you’re making a big mistake. All your data will be lost!\nP1: I’ll take that chance. Don’t call me again.\nS: Sir, please reconsider!\nP1: I’m done. Bye.",1,Tech Support Scam,AIFraud
