group_label,feature_a,feature_b,cell_slug,rank,word,log_ratio_score,weighted_group_count,weighted_background_count
LLM-P-FN,Authority,Authority,authority__authority,1,botnet,8.491145075908879,34.0,0.0
LLM-P-FN,Authority,Authority,authority__authority,2,two-factor,8.36602113634205,30.0,0.0
LLM-P-FN,Authority,Authority,authority__authority,3,monitoring,8.222971556350334,26.0,0.0
LLM-P-FN,Authority,Authority,authority__authority,4,knee,8.222971556350334,26.0,0.0
LLM-P-FN,Authority,Authority,authority__authority,5,discretion,8.183766221779301,25.0,0.0
LLM-P-FN,Authority,Authority,authority__authority,6,procurement,8.142960887122936,24.0,0.0
LLM-P-FN,Authority,Authority,authority__authority,7,activism,8.055987372428143,22.0,0.0
LLM-P-FN,Authority,Authority,authority__authority,8,tiktok,8.055987372428143,22.0,0.0
LLM-P-FN,Authority,Authority,authority__authority,9,vpn,8.009488991746682,21.0,0.0
LLM-P-FN,Authority,Authority,authority__authority,10,nan,7.960722625485415,20.0,0.0
LLM-P-FN,Authority,Authority,authority__authority,11,pax,7.960722625485415,20.0,0.0
LLM-P-FN,Authority,Authority,authority__authority,12,mold,7.909455633390111,19.0,0.0
LLM-P-FN,Authority,Authority,authority__authority,13,discussing,7.855417636077638,18.0,0.0
LLM-P-FN,Authority,Authority,authority__authority,14,chimps,7.798291883297544,17.0,0.0
LLM-P-FN,Authority,Authority,authority__authority,15,fungal,7.798291883297544,17.0,0.0
LLM-P-FN,Authority,Liking,authority__liking,1,incentive,8.236786931810403,31.999992,0.0
LLM-P-FN,Authority,Liking,authority__liking,2,improvements,8.138379115645977,28.999990999999998,0.0
LLM-P-FN,Authority,Liking,authority__liking,3,complimentary,7.949208571594497,23.999984,0.0
LLM-P-FN,Authority,Liking,authority__liking,4,turner,7.949207447061671,23.999957,0.0
LLM-P-FN,Authority,Liking,authority__liking,5,shipment,7.862235723288933,22.0,0.0
LLM-P-FN,Authority,Liking,authority__liking,6,bank's,7.815736866643531,20.999990000000004,0.0
LLM-P-FN,Authority,Liking,authority__liking,7,giveaway,7.7157037738353065,18.999996,0.0
LLM-P-FN,Authority,Liking,authority__liking,8,renewing,7.715703721231401,18.999995000000002,0.0
LLM-P-FN,Authority,Liking,authority__liking,9,enabling,7.715702826964591,18.999978000000002,0.0
LLM-P-FN,Authority,Liking,authority__liking,10,e-commerce,7.661665764839569,17.999996,0.0
LLM-P-FN,Authority,Liking,authority__liking,11,chimps,7.604540234158332,17.0,0.0
LLM-P-FN,Authority,Liking,authority__liking,12,legacy,7.604539646268682,16.99999,0.0
LLM-P-FN,Authority,Liking,authority__liking,13,breaches,7.604539352323728,16.999985000000002,0.0
LLM-P-FN,Authority,Liking,authority__liking,14,peace,7.543951168000204,15.999981,0.0
LLM-P-FN,Authority,Liking,authority__liking,15,banksecurityupdate,7.479454940417776,14.999992,0.0
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,1,bank's,9.515707604841877,76.73674800000002,0.0
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,2,two-factor,9.236947624628714,58.065915,0.0
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,3,entice,9.013359728486313,46.430092000000016,0.0
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,4,buyer,8.99214400908442,45.455210016904,0.0
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,5,pushy,8.992034952351599,45.450252,0.0
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,6,seller,8.990631578144145,45.386499,0.0
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,7,billing,8.750685065474471,35.702061,0.0
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,8,call-to-action,8.715956300520608,34.48311400000001,0.0
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,9,reassurance,8.594374908614506,30.534307000000002,0.0
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,10,botnet,8.565998930547531,29.679764,0.0
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,11,medications,8.533996883773506,28.744673000000006,0.0
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,12,headline,8.5301515498485,28.634314000000003,0.0
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,13,safeguard,8.458132597227493,26.643914000000002,0.0
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,14,expiring,8.421489197073095,25.684902000000005,0.0
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,15,medication,8.309223295486508,22.956272,0.0
LLM-P-FN,Authority,Social Proof,authority__social_proof,1,sign-off,10.072546943743447,106.73573199999998,0.0
LLM-P-FN,Authority,Social Proof,authority__social_proof,2,techcorp,9.798798815766936,81.172649,0.0
LLM-P-FN,Authority,Social Proof,authority__social_proof,3,inviting,9.739742487645806,76.51712199999999,0.0
LLM-P-FN,Authority,Social Proof,authority__social_proof,4,evelyn,9.650938384499916,70.01421499999998,0.0
LLM-P-FN,Authority,Social Proof,authority__social_proof,5,reassure,9.607014539496486,67.005053,0.0
LLM-P-FN,Authority,Social Proof,authority__social_proof,6,pillow,9.516089647311968,61.180526,0.0
LLM-P-FN,Authority,Social Proof,authority__social_proof,7,bank's,9.512508867106838,60.96180800000001,0.0
LLM-P-FN,Authority,Social Proof,authority__social_proof,8,mentioning,9.436957507472618,56.52501799999999,0.0
LLM-P-FN,Authority,Social Proof,authority__social_proof,9,persuasive,9.433134503226187,56.309297,0.0
LLM-P-FN,Authority,Social Proof,authority__social_proof,10,greentech,9.423598363949557,55.774781000000004,0.0
LLM-P-FN,Authority,Social Proof,authority__social_proof,11,approachable,9.40879272835144,54.954936,0.0
LLM-P-FN,Authority,Social Proof,authority__social_proof,12,grabs,9.402697534488693,54.62093300000001,0.0
LLM-P-FN,Authority,Social Proof,authority__social_proof,13,polite,9.369480943538692,52.836087,0.0
LLM-P-FN,Authority,Social Proof,authority__social_proof,14,shippingcompany,9.34650032122691,51.635498999999996,0.0
LLM-P-FN,Authority,Social Proof,authority__social_proof,15,placeholders,9.250697274236195,46.917319,0.0
LLM-P-FN,Authority,Scarcity,authority__scarcity,1,greeting,10.103466903194033,75.21802300000003,0.0
LLM-P-FN,Authority,Scarcity,authority__scarcity,2,botnet,9.732308763062814,51.892433,0.0
LLM-P-FN,Authority,Scarcity,authority__scarcity,3,jargon,9.414549305528872,37.763439999999974,0.0
LLM-P-FN,Authority,Scarcity,authority__scarcity,4,sign-off,9.0359352435225,25.857624000000005,0.0
LLM-P-FN,Authority,Scarcity,authority__scarcity,5,lawn,8.852870180171257,21.530332,0.0
LLM-P-FN,Authority,Scarcity,authority__scarcity,6,overgrowth,8.815393867616674,20.738019,0.0
LLM-P-FN,Authority,Scarcity,authority__scarcity,7,pillow,8.726920178412183,18.981226,0.0
LLM-P-FN,Authority,Scarcity,authority__scarcity,8,persuasive,8.603631862756489,16.778409999999997,0.0
LLM-P-FN,Authority,Scarcity,authority__scarcity,9,reassure,8.568719415239194,16.202399000000003,0.0
LLM-P-FN,Authority,Scarcity,authority__scarcity,10,fungi,8.550808806739452,15.914610000000001,0.0
LLM-P-FN,Authority,Scarcity,authority__scarcity,11,greentech,8.533467301678108,15.640834000000002,0.0
LLM-P-FN,Authority,Scarcity,authority__scarcity,12,approachable,8.522420643165908,15.468895999999997,0.0
LLM-P-FN,Authority,Scarcity,authority__scarcity,13,actionable,8.478834476708714,14.808722000000003,0.0
LLM-P-FN,Authority,Scarcity,authority__scarcity,14,convey,8.463533298206965,14.583704000000001,0.0
LLM-P-FN,Authority,Scarcity,authority__scarcity,15,bank's,8.405968163781568,13.767338000000002,0.0
LLM-P-FN,Authority,Commitment,authority__commitment,1,greeting,9.1079859580739,25.849605999999987,0.0
LLM-P-FN,Authority,Commitment,authority__commitment,2,botnet,8.99528975983852,23.093542,0.0
LLM-P-FN,Authority,Commitment,authority__commitment,3,reassure,7.945954306818951,8.080175999999996,0.0
LLM-P-FN,Authority,Commitment,authority__commitment,4,sign-off,7.945196929011309,8.074051000000003,0.0
LLM-P-FN,Authority,Commitment,authority__commitment,5,two-factor,7.93930968004772,8.026598000000002,0.0
LLM-P-FN,Authority,Commitment,authority__commitment,6,overgrowth,7.844942775435378,7.302893,0.0
LLM-P-FN,Authority,Commitment,authority__commitment,7,bank's,7.75800370896123,6.69397,0.0
LLM-P-FN,Authority,Commitment,authority__commitment,8,sleep,7.732293748722274,6.523808000000001,0.0
LLM-P-FN,Authority,Commitment,authority__commitment,9,jensen,7.665448737059796,6.101333000000001,0.0
LLM-P-FN,Authority,Commitment,authority__commitment,10,approachable,7.633029441218122,5.906385000000001,0.0
