subject,body,label,model_prediction
Thank you,"Thank you for your order! We’ll send confirmations and order updates to
*jose@monkey.org* Need to make changes? Visit your order details page as soon as possible.
You won’t be able to edit your order once it starts processing. *Shipping*

*Apple iPad Pro 11"" Wi‑Fi 256GB - Space Gray*
You’ve selected one of our most powerful tablets, perfect for work, creativity, and entertainment. Estimated total: *$849.00*

Have a question or need to cancel? Our friendly Target order support team is here to help. Just give us a call at 844-590-3571 ( tel:8445903571 ). We’re available 7 days a week!

View order details ( tel:8445903571 )",1,1
"PO Approval Required: €36,903","Purchase Order Request:

Vendor: MetalWorks Inc
Amount: €70,062
Description: Spare parts
Urgency: Urgent - Production down

Please approve in system.

Jeffrey",0,1
Dietrich Research Job Opportunity,"CMU archived phishing listing entry.

Date: 7/22/23
Target Audience: Students
Source Entry: https://www.cmu.edu/iso/aware/phish/phish-bowl-examples/2024/dietrich-research-job.html

Note: The linked CMU detail page currently redirects to a general Secure Computing page, so the original message body is not publicly available from the live site.",1,0
Edeka Einkaufsgutschein im Wert von 500��� ausgew��hlt!,"<!DOCTYPE html PUBLIC ""-//W3C//DTD XHTML 1.0 Transitional//EN"" ""http://www.w3.org/TR/xhtml1/DTD/xhtml1-transitional.dtd""><html xmlns=""http://www.w3.org/1999/xhtml""><head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
<meta name=""format-detection"" content=""telephone=no"">
<meta name=""format-detection"" content=""date=no"">
<meta name=""format-detection"" content=""address=no"">
<meta name=""format-detection"" content=""email=no"">
<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">

<title></title>

<style type=""text/css"">
body {Margin:0 auto; padding:0;}
img {max-width:100%;}
table {border-spacing:0!important; border:none; cellpadding:0px; }
td {cellpadding:0px; border-spacing:0px;}
tr {cellpadding:0px; border-spacing:0px;}
/* Client-specific Styles */
#outlook a{padding:0;} /* Force Outlook to provide a ""view in browser"" message */
.ReadMsgBody{width:100%;} .ExternalClass{width:100%;} /* Force Hotmail to display emails at full width */
.ExternalClass, .ExternalClass p, .ExternalClass span, .ExternalClass font, .ExternalClass td, .ExternalClass div {line-height: 100%;} /* Force Hotmail to display normal line spacing */
body, table, td, a{-webkit-text-size-adjust:100%; -ms-text-size-adjust:100%;} /* Prevent WebKit and Windows mobile changing default text sizes */
table, td{mso-table-lspace:0pt; mso-table-rspace:0pt;} /* Remove spacing between tables in Outlook 2007 and up */
img{-ms-interpolation-mode:bicubic;} /* Allow smoother rendering of resized image in Internet Explorer */
.scaling {transition: all .2s ease-in-out;}
.scaling:hover { transform: scale(1.1); }
@keyframes pound {
from { transform: none; }
50% { transform: scale(1.2); }
to { transform: none; }
}
.bungy {display: inline-block; font-size: 150px; color: #3092f5; animation: pound 3s infinite; transform-origin: center; }
</style>

</head>
<body bgcolor=""#f2f2f2"">

<!-- GK: container -->
<table width=""100%"" border=""0"" cellpadding=""0"" cellspacing=""0"" id=""wrappertable"" style=""table-layout: fixed;"">
<tr>
<td align=""center"" valign=""top"">
<table cellpadding=""0"" cellspacing=""0"" border=""0"">
<tr>
<td width=""600"" align=""center"" valign=""top"" style=""background-color: #ffffff; box-shadow: 11px 11px 49px 0px rgba(0, 0, 0, 0.5);"">

<!-- GK: image-->

<table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"" style=""background-color: #ffffff; padding:0px 0px 10px 0px;"">
<tr>
<td valign=""middle"" style="" line-height:1px;""></td>
</tr>
<tr>
<td align=""center"" valign=""top"" style=""padding: 0 0px;"">

<table cellpadding=""0"" cellspacing=""0"" border=""0"">

<tr>
<td width=""600"" align=""center"" valign=""middle"">
<a href=""http://topmarktingplace.com/4eeYpc37876ewtF1165jvllwutnbu14302DEEDRRCWHWMSSYY2ULLU16294E10"" style=""outline:0;"" target=""_blank""><img src=""https://sf22.sendsfx.com/admin/temp/user/2/edeka%20500%E2%82%AC%20nl-a.png"" style=""width: 100%; max-width: 100%;"" border=""0"">
<img src=""//sf22.sendsfx.com/admin/temp/user/2/edeka%20500%E2%82%AC%20nl-a.png"" style=""width: 100%; max-width: 100%;"" border=""0"">

</a>
</td>
</tr>

</table>
</td>
</tr>
</table>
<!-- GK: / image-->

<!--GK: / spacer-->
<table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"">
<tr>
<td style=""padding-top: 10px; line-height: 0px;""></td>
</tr>
</table>
<!--GK: / spacer-->

<!--GK: text-->

<table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"" style=""background-color: #ffffff; "">
<tr>
<td valign=""middle"" style=""font-family:Arial, Helvetica, sans-serif; font-size:18px; font-weight:normal; line-height:24px; letter-spacing:0px; color:#414141; padding-left:20px; padding-right:20px; min-height:20px; mso-line-height-rule: exactly; "">

Guten Tag phishing@pot<br><br>

<strong> Dies ist Ihre Chance! </strong>
<!-- START SET LINK -->
<br>Sie wurden heute für unsere Verlosung für ein <br> <strong>Edeka Einkaufsgutschein</strong> im Wert von 500€ ausgewählt! <br> <br>
Und so können Sie sich ihren Einkaufsgutschein sichern:
<ul>
<li>Nehmen Sie an unserer Umfrage teil </li>
<li>Tragen Sie auf den nachfolgenden Seiten Ihre Datein ein, damit wir Ihnen den Gewinn zusenden können </li>
<li>Warten Sie ab, bis wir Ihnen den <strong>Edeka Einkaufsgutschein </strong> per E-Mail oder Post zusenden</li>
</ul>

<table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"">
<tr>
<td align=""center"" valign=""top"" style=""padding: 0 20px;""><table cellpadding=""0"" cellspacing=""0"" border=""0"">
<tr>
<td style=""padding-top: 5px; line-height: 0px;""></td>
</tr>
<tr>
<td width=""310"" align=""center"" valign=""top""><table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"" class=""bungy"">
<tr>
<td width=""310"" height=""40"" align=""center"" valign=""middle"" style=""background-color: #0e598f; padding: 6px 12px;""><a style=""display: block; text-decoration: none; font-family: 'Arial', verdana, sans-serif; font-size: 18px; mso-line-height-rule: exactly; line-height: 32px;font-weight: bold; text-transform: uppercase; color: #ffffff;"" href=""http://topmarktingplace.com/4jfWyx37876fari1165scedazqcqi14302FYFXTXOKFXRITBS2NLLD16294L10"" target=""_blank"">» JETZT GEWINNEN «</a></td>
</tr>
</table></td>
</tr>

</table></td>
</tr>
</table>
<br>
Die Teilnahme geht schnell und ist für Sie komplett kostenlos - also, worauf warten Sie noch?! Verpassen Sie nicht Ihre Chance auf ein gratis <strong>Edeka Einkaufsgutschein im Wert von 500€ </strong> und nehmen Sie noch heute kostenlos teil!
<br>
<br>
<strong>David Böhner</strong><br>
Team für Kundenzufriedenheit
<br>
<br>
<br>
<br>

</td>
</tr>
</table>

<!--GK: / text-->

<!--GK: / spacer-->
<table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"">
<tr>
<td style=""padding-top: 10px; line-height: 0px;""></td>
</tr>
</table>
<!--GK: / spacer-->

<!--GK: / spacer-->
<table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"">
<tr>
<td style=""padding-top: 10px; line-height: 0px;""></td>
</tr>
</table>
<!--GK: / spacer-->

</td>
</tr>
</table></td>
</tr>
</table>
<!-- GK: container -->

<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><center><font size=""2px;"">Sie können sich jederzeit abmelden. <a href=""http://topmarktingplace.com/5NtVYd37876vzuh1165pudsepfwhs14302OEUFVDYLFXFNQOZ2LJTI16294a10"">Abbestellen</a></font></center><br>
<br><br><span style=""color:#888;font-size:11px;font-family:verdana;display:block;text-align:center;margin-top:10px""> <a href=""http://topmarktingplace.com/6ExOCY37876uUHr1165snjzlbzgrk14302MAKFCFQXILKHPSN2DOIM16294m10"">OPT OUT</a></span><br>
</body>
</html>",1,1
URGENT: Users randomly losing access to resources,We are experiencing a critical issue with our IAM service from Aetheros. Users are reporting that they are randomly losing access to resources they should have permissions for. This is causing major disruption to our operations. Please advise ASAP on how to resolve this issue.,0,1
"Voce possui 9.819,00 mil reais autorizado. 9625281271","<html><head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title></title>

</head>

<body>

<p>

&nbsp;</p>

<div style=""margin: 0px; padding: 0px; color: #3d3d3d; font-size: 12px; margin-bottom: 0px; text-align: center;"">

<p>

<span style=""color: #ffffff;"">beneficio rodrigo-f-p@hotmail.com</span></p>

<p>

Caso não seja possível visualizar as imagens contidas neste e-mail, clique em &quot;Mostrar conteúdo bloqueado&quot;.</p>

<div style=""width: 650px; height: 3auto; margin: 0 auto; overflow: hidden; margin-top: 25px;"">

<div style=""width: 100%; height: 60px; background-color: #ce1b5e; padding-top: 21px; box-sizing: border-box;"">

<img alt="""" data-imagetype=""External"" style=""margin: 0px; padding: 0px;"" width=""200""></div>

<div style=""background-color: #f1f1f1; padding: 15px;"">

<div style=""background-color: #fff; padding: 20px;"">

<h1 style=""padding: 0px; margin: 0px; font-size: 25px; color: #ff0096; font-weight: bold; line-height: 25px;"">

Olá rodrigo-f-p@hotmail.com<br aria-hidden=""true"">

Você Ganhou 550.250 Mil Pontos<span style=""color: #ffffff;"">.</span>Livelo<span style=""color: #ffffff;"">i</span></h1>

<p style=""font-weight: 500; font-size: 17px; line-height: 1.25; color: #190f55;"">

<span style=""color: #000000;"">Parabéns! Devido ótimo relacionamento com o Banco</span><span style=""color: #ffffff;"">.</span><span style=""color: #cd0a2c; font-weight: bold;"">Bradesco</span><span style=""color: #ffffff;""><span style=""font-weight: bold;"">i</span></span><span style=""color: #000000;"">através de sua <span style=""font-weight: bold;"">Conta Corrente</span>, você foi presenteado com</span> <span style=""font-weight: bold;"">550.250</span> <span style=""color: #000000;"">pontos</span><span style=""color: #ffffff;"">i</span><span style=""font-weight: bold; color: #e50091;"">Livelo</span>.</p>

<div style=""border: 1px solid #ccc; padding: 10px; margin-bottom: 15px; border-radius: 10px; height: 100px;"">

<h1 style=""padding: 0px; margin: 0px; font-size: 16px; color: #190f55; font-weight: bold; line-height: 16px; margin-bottom: 5px;"">

Pontos recebidos</h1>

<div style=""width: 160px; float: left; padding-top: 15px; padding-left: 10px;"">

<p style=""padding: 0px; margin: 0px; font-size: 36px; font-weight: bold; color: #ff0096; font-family: Arial; line-height: 30px;"">

550.250</p>

<p style=""font-size: 12px; margin: 0px; padding: 0px; letter-spacing: 0.5px;"">

válidos até: 07/2024</p>

</div>

<div style=""float: left; width: 380px;"">

<p style=""color: #190f55; margin: 0px; padding: 0px; font-size: 14px; margin-bottom: 0px;"">

<span style=""font-weight: bold;"">Troque seus pontos por milhas aéreas</span></p>

<p style=""color: #190f55; margin: 0px; padding: 0px; font-size: 14px; margin-bottom: 0px;"">

<span style=""font-weight: bold;"">Descontos de até 35% na fatura do cartão </span></p>

<p style=""color: #190f55; margin: 0px; padding: 0px; font-size: 14px; margin-bottom: 0px;"">

<span style=""font-weight: bold;"">Seus pontos podem valer até R$ 9.950,00</span></p>

</div>

</div>

<p style=""margin: 0px; padding: 0px; color: #190f55; font-size: 16px; margin-bottom: 20px;"">

<span style=""color: #000000;"">Você poderá utilizar seus pontos de três maneiras:</span></p>

<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""margin-left: 20px;"">

<tbody>

<tr>

<td style=""padding-top: 3px;"" valign=""top"" width=""35"">

<span style=""color: #000000;""><img alt="""" data-imagetype=""External"" width=""25""></span></td>

<td bgcolor=""#FFFFFF"" style=""text-align: center;"" valign=""top"" width=""500"">

<span style=""color: #000000;""><strong style=""color: #2f237d;"">Cashback</strong></span>

<p style=""color: #190f55; margin: 0px; padding: 0x; margin-bottom: 10px;"">

<span style=""color: #000000;"">Trocando seus pontos utilizando a modalidade <strong>Cashback</strong>. Nessa opção, seus pontos serão convertidos em Real e creditados em sua conta, assim você utilizará o saldo como quiser.</span></p>

</td>

</tr>

<tr>

<td style=""padding-top: 3px;"" valign=""top"" width=""35"">

<span style=""color: #000000;""><img alt="""" data-imagetype=""External"" width=""25""></span></td>

<td bgcolor=""#FFFFFF"" style=""text-align: center;"" valign=""top"" width=""500"">

<span style=""color: #000000;""><strong style=""color: #2f237d;"">Milhas</strong></span>

<p style=""color: #190f55; margin: 0px; padding: 0x; margin-bottom: 10px;"">

<span style=""color: #000000;"">Utilizando os pontos para trocar por passagens aéreas e por hospedagens com nossos parceiros: 123 Milhas, Decolar, MaxMilhas, dentre outros.</span></p>

</td>

</tr>

<tr>

<td style=""padding-top: 3px;"" valign=""top"" width=""35"">

<span style=""color: #000000;""><img alt="""" data-imagetype=""External"" width=""25""></span></td>

<td bgcolor=""#FFFFFF"" style=""text-align: center;"" valign=""top"" width=""500"">

<span style=""color: #000000;""><strong style=""color: #2f237d;"">Produtos no Shopping</strong></span>

<p style=""color: #190f55; margin: 0px; padding: 0x; margin-bottom: 10px;"">

<span style=""color: #000000;"">Enchendo seu carrinho de compras com eletrônicos, eletrodomésticos, celulares e muito mais no Shopping Livelo e pagando com seus pontos.</span></p>

</td>

</tr>

</tbody>

</table>

<p style=""font-weight: 500; font-size: 17px; line-height: 1.25; color: #190f55; margin: 0px; margin-bottom: 15px; margin-top: 15px;"">

<span style=""color: #ff0096; font-weight: bold;"">Importante:</span> O resgate não pode ser realizado através de um dispositivo móvel, ou seja, só poderá ser concluído por meio de um notebook ou de um computador.</p>

<p style=""font-weight: 500; font-size: 17px; line-height: 1.25; color: #190f55; margin: 0px; margin-bottom: 15px;"">

Para realizar o procedimento de sincronização, é muito simples, clique no botão abaixo e acesse sua <span style=""color: #cd0a2c; font-weight: bold;"">Conta</span><span style=""color: #ffffff;""><span style=""font-weight: bold;"">i</span></span><span style=""color: #cd0a2c; font-weight: bold;"">Bradesco</span>.</p>

<div style=""text-align: center; padding-top: 50px; padding-bottom: 30px;"">

<a data-auth=""NotApplicable"" data-savepage-="""" href=""https://resgate-pontos.co.ua/xresga950?id=rodrigo-f-p@hotmail.com"" rel=""noopener noreferrer"" style=""background-color: #ff0096; border-radius: 25px; color: #fff!important; border: 3px solid transparent; height: 50px; font-weight: 600; font-size: 16px; text-decoration: none; padding: 10px 30px;"" target=""_blank"">QUERO RESGATAR MEUS PONTOS</a></div>

<p style=""text-align: center; font-size: 13px; margin-top: 50px; margin-bottom: 0px; color: #190f55;"">

© 2024 Banco<span style=""color: #ffffff;"">i</span>Bradesco<span style=""color: #ffffff;"">i </span>S/A - Todos os direitos reservados. CNPJ 60.746.948.0001-12<br aria-hidden=""true"">

Por favor não responda a esse email.</p>

</div>

</div>

</div>

</div>

<p>

&nbsp;</p>

</body>

</html>",1,1
"Your account is suspended - Avoid a $14.99 administration fee
[NB-804169-LAIH6]","The New York Times - Subscription Status Update

96

Important update regarding your New York Times subscription status. Please review your account information.
‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌

Subscription Status Update

Dear Valued Subscriber,

Our records indicate that your billing information for The New York Times subscription needs to be updated. To ensure continuous access to our award-winning journalism, analysis, and special features, please verify your payment information at your earliest convenience.

Your subscription provides you with comprehensive coverage of today's most important business, technology, and global news stories that are critical for informed decision-making.

Verify Payment Information

Benefits of your subscription include:

•
Unlimited access to all articles on nytimes.com and the NYT app

•
Exclusive business insights and market analysis

•
In-depth reporting on topics that impact your industry

If you have any questions or need assistance with your account, our dedicated customer service team is available to help you Monday through Friday, 7 a.m. to 10 p.m. ET.

Thank you for your continued readership,

Customer Care Team

The New York Times

This email was sent to you regarding your New York Times subscription. To manage your email preferences or unsubscribe, visit our Email Settings page .

Help Center |
Privacy Policy |
Manage Account

© 2025 The New York Times Company. 620 Eighth Avenue, New York, NY 10018",1,1
Enhancing Brand Expansion via Products,"Hello Customer Support, I am contacting you to seek insights into digital methodologies that can aid in boosting brand expansion through the products your company provides. I am eager to understand how these products can help elevate brand awareness and attract a broader customer base. Could you kindly share details on the successful digital strategies that have benefited other clients? I would greatly value your advice and recommendations. Furthermore, I am interested in learning about the tools and resources at our disposal to support brand growth. I appreciate your time and assistance and look forward to your response. Thank you.",0,0
Customer Support Ticket,"I am eager to purchase an annual subscription. Could you please inform me about the payment methods you accept, including credit cards, PayPal, and bank transfers? Additionally, I would like to know if there is a discount for paying annually. I appreciate your help and look forward to your response.",0,0
_You_have_won_an_iPhone_14_Pro_,<https://tinyurl.com/mta9y52f> <https://tinyurl.com/4atmfe2f>,1,0
