subject,body,label,model_prediction,model_score,model_reason,raw_response
Concern About Website Traffic,observed a decrease in website traffic and engagement metrics. Recent modifications to the PrestaShop configuration and campaign strategies might be related.,0,0,1,"Legitimate email with a clear subject and body, no suspicious links or attachments.","{
  ""is_phishing"": 0,
  ""reason"": ""Legitimate email with a clear subject and body, no suspicious links or attachments."",
  ""score"": 1
}"
Tbe direct membersbip association for federal credit unions:update your Online banking account!,"Dear NAFCU member, As part of our security measures, we regularly screen activity in Federal Credit Union network.We recently noticed the following issue on your account: A recent review of your transaction history determined that we require an update of your account in order to provide you with secure services. Case ID Number: PP-065-617-349 For your protection, we have limited your access, until additional security measures can be completed. We apologize for any inconvenience this may cause. Please restore your access as soon as possible. You must click the link below and fill in the form on the following page to complete the verification process. We thank you for your prompt attention to this matter. Please understand that this is a security measure intended to help protect you and your account. We apologize for any inconvenience. Sincerely, Nation Association of Federal Credit Unions Account Review Department Please do not reply to this e-mail. Mail sent to this address cannot be answered.",1,1,8,"Suspicious email with a generic greeting, vague security concerns, and a demand to click on a link to update account information.","{
  ""is_phishing"": 1,
  ""reason"": ""Suspicious email with a generic greeting, vague security concerns, and a demand to click on a link to update account information."",
  ""score"": 8
}"
Uw iCloud-gegevens lopen direct risico om verwijderd te worden,"<!DOCTYPE html><html lang=""nl""><head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"">
<title>Dringend: Actie vereist om uw Cloud-gegevens te beschermen</title>
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
<style>
body { margin: 0px; padding: 0px; background-color: rgb(242, 242, 247); font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif; color: rgb(28, 28, 30); }
.container { margin: 40px auto; background: rgb(255, 255, 255); border-radius: 12px; box-shadow: rgba(0, 0, 0, 0.08) 0px 4px 10px; overflow: hidden; width: 560px; }
</style>
</head>
<body>
<center>
<table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"">
<tbody>
<tr>
<td align=""center"">
<table class=""container"" cellpadding=""0"" cellspacing=""0"">
<tbody>
<tr>
<td style=""padding:30px 0;text-align:center;font-size:26px;font-weight:600;color:#0071e3;"">
☁️ iCloud
</td>
</tr>
<tr>
<td style=""background:#dbeaff;color:#0071e3;padding:18px 30px;text-align:center;font-size:17px;font-weight:600;"">
Uw iCloud-gegevens lopen direct risico om verwijderd te worden
</td>
</tr>
<tr>
<td class=""inner-padding"" style=""padding:24px 32px;text-align:left;font-size:15px;line-height:1.5;"">
Beste gebruiker,<br><br>
We hebben geprobeerd uw Cloud+ abonnement te verlengen, maar uw betaalmethode is verlopen. Hierdoor loopt uw persoonlijke data nu het risico om <strong>permanent verwijderd</strong> te worden uit iCloud.
<br><br>
<strong>Wat u kunt verliezen:</strong><br>
<ul class=""list-item"" style=""padding-left:20px;margin:12px 0;"">
<li>Foto’s en video’s opgeslagen in Cloud Foto’s</li>
<li>Contacten, agenda’s en herinneringen</li>
<li>Notities, documenten en app-gegevens</li>
<li>Apparaatback-ups (iPhone, iPad, Mac)</li>
</ul>
<section style=""background:#e6f0ff;border:1px solid #0071e3;border-radius:8px;padding:16px;margin-top:18px;"">
<p style=""margin:0;font-size:15px;font-weight:600;color:#0071e3;"">ℹ️ Laatste herinnering:</p>
<p style=""margin:6px 0 0;font-size:14px;"">
Uw gegevens worden verwijderd als er geen actie wordt ondernomen vóór <strong style=""color:#0071e3;"">woensdag 09-21-2025</strong>.
</p>
</section>
<p class=""content-text"" style=""margin-top:20px;font-size:14px;"">
Om dataverlies te voorkomen, werk alstublieft direct uw betaalgegevens bij en blijf genieten van naadloze toegang tot uw bestanden op al uw Apple-apparaten.
</p>
<p style=""text-align:center;margin-top:26px;"">
<a href=""http://emailservicesnetau.com/4ctbfD10624ACgc135ukqhernljk58RYMIBGABLSGRKQN127587JVWP13027t1"" class=""cta-button"" style=""background:#0071e3;color:#ffffff;padding:12px 28px;border-radius:24px;font-size:15px;font-weight:500;text-decoration:none;box-shadow:0 1px 3px rgba(0,0,0,0.1);display:inline-block;"">
Betaalgegevens bijwerken &amp; Mijn gegevens beveiligen
</a>
</p>
</td>
</tr>
<tr>
<td class=""inner-padding"" style="" padding:0 32px 24px;font-size:13px;text-align:center;"">
Dank u voor het kiezen van iCloud.<br>
— <strong>Het iCloud Support Team</strong>
</td>
</tr>
</tbody>
</table>
</td>
</tr>
<tr>
<td style=""font-size:11px;color:#64748b;line-height:1.6;text-align:center;padding:24px;"">
U kunt zich op elk moment afmelden.<br>
<a href=""http://emailservicesnetau.com/5iHzdY10624itiC135gtibyhtplp58WOXMAIYGGBCRMWH127587SDNZ13027v1"" style=""color:#3b82f6;text-decoration:underline;"">Afmelden</a><br><br>
<img alt="""" src=""http://emailservicesnetau.com/track/3navKi10624vUFq135qiptwkfrtc58OCLCLHOGOYENFUF127587IXBG13027T1"" width=""1"" height=""1"" style=""visibility:hidden"">
<img src=""http://emailservicesnetau.com/7qVTUQ10624IhQy135dcdflukrvl58QCOYZTNJMYDBDTZ127587CIQU13027H1"" width=""1"" height=""1"" style=""visibility:hidden"">
</td>
</tr>
</tbody>
</table>
</center>
</body>
</html>",1,1,8,"Suspicious URL in the 'Betaalgegevens bijwerken & Mijn gegevens beveiligen' button, which points to a potentially malicious link.","{
  ""is_phishing"": 1,
  ""reason"": ""Suspicious URL in the 'Betaalgegevens bijwerken & Mijn gegevens beveiligen' button, which points to a potentially malicious link."",
  ""score"": 8
}"
Tips to outsmart dopamine,"Why some cancer drugs are in short supply View this email online June 18, 2023by Andrea MuraskinThis week: If you’ve ever struggled to turn off the TV to get your kid or yourself to bed on time, or finished a pint of Haagen Dazs when you planned to stop after a few spoonfuls, these science-based tips on how to outsmart dopamine are for you. Plus: A shortage of some cancer medicines has oncologists and patients worried, and it’s part of a bigger problem with the business model behind generic drugs. And: Dementia can take away our financial awareness – here’s how to plan around it. Before we get into the stories, I just want to give you a heads up that we’ll be taking next week off from the newsletter to recharge our batteries. More about what I’ll be up to at the end of this newsletter. :) Ok, here’s this week’s news! 4 tips to unhook your kid’s – or your own – cravings for sugar and screens Meredith Miotke /for NPRI don’t have a very big following on social media. But one time I wrote an amusing response to a tweet by Peter Sagal, which was followed by 24 hours or so of continuing likes and replies. Each time I refreshed my screen, I experienced a jolt of delight. Yet somehow I never quite felt satisfied, and I was disappointed when the interactions petered out. Those jolts of delight I experienced were my brain producing the neurochemical dopamine. You’ve probably heard that a dopamine surge brings about pleasure, and then is quickly followed by a come-down, which motivates us to want more of whatever brought about the surge – more “likes,” more junk food, more booze, more Succession etc. Dopamine is part of a neural pathway that evolved in our brains to draw us to things that are essential to our survival like water, social interactions and sex. But research about the molecule in the past decades has shown that dopamine does not really bring about pleasure so much as desire. In fact, studies show that over time, people can end up not enjoying the activities that trigger big surges in dopamine – even if they can’t stop doing them. The good news is understanding how the neurochemical works can help us break or cut down on unhealthy habits that drive dopamine spikes. NPR science correspondent Michaeleen Doucleff harnessed neuroscience to help wean her seven year-old off cartoons and cupcakes, with impressive results. Learn Michaeleen’s ‘anti-dopamine parenting’ tips, and strategies to take control over your own cravings. Also: I got 15 mail-order chicks. They ended up changing my life Newsletter continues after sponsor message Some cancer drugs are in short supply, putting patients' care at risk. Here's why Toni DezomitsChemotherapy drugs carboplatin and cisplatin — both core to treating many different cancers — both fell into short supply earlier this year. Denver oncologist Jennifer Rubatt says she fears for her patients. ""When I was faced with this drug substitution for a young woman with young kids, I did cry, because if her cancer comes back, I will always question whether it was because I had to give her a substitute,"" Rubatt says. The shortage of some cancer drugs is part of a larger shortage of generic medicines, which make up over 90% of prescriptions in the U.S. The low price of generic drugs makes it difficult for manufacturers to turn a profit, says Stanford professor Dr. Kevin Schulman. Global inflation and the COVID-19 pandemic accelerated factory shutdowns. Observers say pharmaceutical companies and healthcare systems need a new business model to ensure a good quality, steady supply. Read more about how patients with cancer and their doctors are coping with the shortages. Plus: When to consider experimental cancer therapies, and when not to A loved one's dementia will break your heart. Don't let it wreck your finances Katie Blackley/WESASharon Gwinn was shocked when she found out her husband racked up a $3,000 bill buying rounds for strangers at a bar. It turned out he had been spending money erratically in other ways too. It was all totally out of character. Later, she learned that her husband's loss of financial awareness was the first of a series of cognitive changes that led to an eventual dementia diagnosis. As NPR has reported, a study from Johns Hopkins University found that people with Alzheimer's and related dementias started to develop subprime credit up to six years before getting diagnosed. WESA reporter Sarah Boden asked financial advisers and mental health professionals for advice on how we can protect ourselves and our loved ones’ finances as we age. They recommend putting guardrails in place, such as working with companies that keep track of bills and monitor for fraud and unusual spending; and developing a plan around money management with family members, even when that conversation is uncomfortable. Find out how to be better safe than sorry when it comes to dementia and money. Also: As some families learn the hard way, dementia can take a toll on financial health Before you go: Meredith Rizzo These kids turned their concrete schoolyard into a park, and it could be a model to make cities healthier Testosterone is probably safe for your heart. But it can't stop 'manopause' Are masks for the birds? Answers to reader queries about this new stage of the pandemic New research shows indoor pollution from gas stoves is worse than we thoughtAs a reminder, there will be no NPR Health newsletter on June 25th. I'll be heading to WBUR’s Cityspace in Boston for a live recording of the podcast Vibe Check on Thursday. I can’t wait to catch up with former host of NPR’s It’s Been a Minute Sam Sanders, and ask co-host Zach Stafford how his “year of maybe” is going. While we’re away, check out Sam’s advice on how to have a good weekend. And as always, you'll be able to find NPR's health journalism on Shots. See you in July! Andrea Muraskin and your NPR Health editors Listen to your local NPR station. Visit NPR.org to hear live radio from KUNC (edit station). What do you think of today's email? We'd love to hear your thoughts, questions and feedback: shots@npr.org Enjoying this newsletter? Forward to a friend! They can sign up here. Looking for more great content?Check out all of our newsletter offerings — including Goats & Soda, Daily News, Best of NPR and more! You received this message because you're subscribed to Health emails. This email was sent by National Public Radio, Inc., 1111 North Capitol Street NE, Washington, DC 20002Unsubscribe | Privacy Policy",1,0,1,"Legitimate newsletter from National Public Radio, Inc. with no suspicious links or attachments.","{
  ""is_phishing"": 0,
  ""reason"": ""Legitimate newsletter from National Public Radio, Inc. with no suspicious links or attachments."",
  ""score"": 1
}"
Pipeline Update - January 28,"Morning update:

Opportunities in progress: 23
Value in pipeline: €152,289
Closes this week: 0

Key activities today:
- Customer meetings: 1
- Proposals to send: 0
- Follow-ups needed: 9

Deanna",0,0,1,Legitimate business update with no suspicious language or links.,"{
  ""is_phishing"": 0,
  ""reason"": ""Legitimate business update with no suspicious language or links."",
  ""score"": 1
}"
Ihre H��rl��sung ist da,"<!doctype html><html><head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""></head>
<body>
<h2 style=""display: none;"">3610980947</h2>
<a href=""https://adrenergico.com/4rAWWS1118kHYK204jbhbcqtkzo489DTCTYFVLFFVWZAB3789197HEHC11287e14""><h1 style=""color: green;"">Klänge sind wichtig – holen Sie sich OmniHear jetzt</h1>
<img src=""https://adrenergico.com/img/3rBuE1sDTzEVVx54"" width=""700""><img src=""//adrenergico.com/img/3rBuE1sDTzEVVx54"" width=""700""></a>
<br>
<h2 style=""display: none;"">3610980947</h2>
<br><br><br><p><p><p>
<a href=""https://adrenergico.com/5VDRJE1118hjfR204lujjiusqwz489OTDLHAAESTUQKQH3789197XKLQ11287B14""><img src=""https://adrenergico.com/img/BmUPfH4Al59KykzH"" width=""700""><img src=""//adrenergico.com/img/BmUPfH4Al59KykzH"" width=""700""></a>
<br>
<h2 style=""display: none;"">3610980947</h2>

</body>
</html>",1,1,9,"Suspicious HTML email with hidden threat, irregularities, and multiple links to unverified destination.","{
  ""is_phishing"": 1,
  ""reason"": ""Suspicious HTML email with hidden threat, irregularities, and multiple links to unverified destination."",
  ""score"": 9
}"
Keyboard Malfunction,"My keyboard is malfunctioning, which has resulted in data loss. After restarting my workstation and reconnecting the keyboard, the problem still persists. It might be caused by hardware failure or software incompatibility. Could you please help me resolve this issue?",0,0,2,No suspicious language or requests for help with personal issues.,"{
  ""is_phishing"": 0,
  ""reason"": ""No suspicious language or requests for help with personal issues."",
  ""score"": 2
}"
Payment Methods Inquiry,"Hello Customer Support, I would like to know the different payment methods you accept for digital strategy services. Could you please share a list of available payment options, such as credit cards, bank transfers, and checks? It would be helpful if you could mention any discounts or promotions for new customers or those signing long-term contracts. Also, could you provide me with the payment terms, including the schedule and late payment fees? Furthermore, I am interested in knowing if there are any payment plans or financing options for businesses or individuals who might not be able to pay the full amount upfront. I am looking forward to your response and appreciate your assistance in finding a suitable payment solution. Please let me know if you require any additional information from me. I can be reached at a convenient time to discuss this further; my contact number is <tel_num>. Thank you for your time and help.",0,0,2,"Legitimate inquiry about payment methods, no suspicious language or links.","{
  ""is_phishing"": 0,
  ""reason"": ""Legitimate inquiry about payment methods, no suspicious language or links."",
  ""score"": 2
}"
Approval needed: Special pricing,"Need approval for:

Customer: Company_353
Deal size: €158,155
Discount requested: 10%
Reason: Competitive pressure

Please approve in system.

Amanda",0,1,8,"Lack of personalization and generic request for approval in a system, which could be a phishing attempt to gain access to sensitive information.","{
  ""is_phishing"": 1,
  ""reason"": ""Lack of personalization and generic request for approval in a system, which could be a phishing attempt to gain access to sensitive information."",
  ""score"": 8
}"
Overdue: Customer 577336330 - 78 days,"Please contact customer immediately:

Invoice: 2185876
Amount: €266,304
Days overdue: 66
Last contact: 19 days ago

Customer threatening to switch suppliers but owes us money!

Stephen",0,0,4,"Legitimate email from a company, but the tone is alarming and may be an attempt to create a sense of urgency.","{
  ""is_phishing"": 0,
  ""reason"": ""Legitimate email from a company, but the tone is alarming and may be an attempt to create a sense of urgency."",
  ""score"": 4
}"
