Subject,Body,label
Account Charges Issue,Encountered unexpected charges,0
Approval needed: Volume discount,"Need approval for:

Customer: Company_480
Deal size: €480,318
Discount requested: 22%
Reason: End of quarter push

Please approve in system.

Alicja",0
"phishing@pot, ������������ �����������������������-�������������������������������� ������������ ����������������","<!DOCTYPE html PUBLIC ""-//W3C//DTD XHTML 1.0 Transitional//EN"" http://www.w3.org/TR/xhtml1/DTD/xhtml1-transitional.dtd""><html xmlns=""http://www.w3.org/1999/xhtml""><head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title>Du hast dein Speicherlimit erreicht</title>
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">

</head>
<body style=""margin:0; padding:0;"">
<table align=""center"" width=""100%"" style=""max-width:700px; padding:0; margin:0 auto;"">
<tbody>
<tr>
<td align=""center"" width=""100%"" style=""color:#000000; font-size:11px; max-width:700px; font-weight:100; padding-top:15px; padding-bottom:5px; font-family:Arial, Helvetica, sans-serif;""> <a href=""https://t.co/gDHura2rGc"" target=""_blank"" style="" color:#222222;""> Geben Sie Ihre Kreditkarteninformationen für Ihre Apple-ID-Validierung ein, registrieren Sie sich jetzt </a> </td>
</tr>
</tbody>
</table>
<div align=""center"" style=""width:100%;"">
<table width=""100%"" align=""center"" cellspacing=""0"" cellpadding=""0"" border=""0"" style=""border-collapse: collapse; max-width:700px;"">
<tbody>
<tr>
<td valign=""top"" align=""center"" style=""padding: 20px 0 0 0;"">
<table width=""100%"" cellspacing=""0"" cellpadding=""0"" border=""0"" align=""center"" style=""border-collapse: collapse;"">
<tbody>
<tr>
<td valign=""top"" align=""center"" style="""">
<table cellspacing=""0"" cellpadding=""0"" border=""0"" align=""center"" style=""background-color:#f1f1f1;"">
<tbody>
<tr>
<td align=""center""> <a href=""https://t.co/gDHura2rGc"" style=""text-decoration:none;color:black"">
<h1><b style=""font-size:50px"">🍏Apple</b><br><b style=""font-size:50px"">

<br>
Du hast dein Speicherlimit erreicht<br> </b>
</h1>

</td>
</tr>
<tr>
<td valign=""top"" bgcolor=""#f1f1f1"" align=""center"" style=""padding:0 0 50px;margin:0;"">
<table bgcolor=""#000000"" width=""90%"" cellpadding=""0"" cellspacing=""0"" style=""max-width:700px; padding-bottom:0px; font-family: 'Montserrat', sans-serif; border-radius:20px;"">
<tbody>
<tr>
<td height=""30"" bgcolor=""#000000"" style=""border-top-left-radius:20px; border-top-right-radius:20px; ""></td>
</tr>
<tr>
<td align=""center"" style=""color:#000000; text-align:center; font-size:24px; line-height:32px; padding:15px ;""> <span style=""font-weight:bold; color:#ffffff; font-size:28px; line-height:54px;""> Lieber Kunde, </span> </td>
</tr>
<tr>
<td align=""center"" style=""color:#ffffff; text-align:center; font-size:18px; line-height:34px; padding:5px 30px 30px;""> Aber als Teil deines Treueprogramms kannst du jetzt zusätzliche 50 GB kostenlos erhalten, bevor die Dateien auf deinem iCloud Drive gelöscht werden. </td>
</tr>
<tr>
<td valign=""top"" bgcolor=""#000000"" align=""center"" style=""padding:0 0 15px 0;margin:0;""> <a href=""https://t.co/gDHura2rGc"" style=""font-family:Helvetica,Arial,sans-serif;color:#969696;font-size:16px;font-weight:700;text-decoration:none; "">
<table border=""0"" cellpadding=""0"" cellspacing=""0"" align=""center"" width=""300"">
</table></a> </td>
</tr>
<tr>
<td valign=""top"" bgcolor=""#000000"" align=""center"" style=""padding:0 0 35px 0;margin:0;""> <a href=""https://t.co/gDHura2rGc"" style=""font-family:Helvetica,Arial,sans-serif;color:#ffffff;font-size:26px;font-weight:700;text-decoration:none; text-transform:uppercase;"">
<table border=""0"" cellpadding=""0"" cellspacing=""0"" align=""center"" width=""300"">
<tbody>
<tr>
<td valign=""middle"" align=""center"" style=""padding: 14px 26px; margin: 0px; border-radius: 30px; background-color: #4490f6;""> 50 GB erhalten </td>
</tr>
</tbody>
</table></a> </td>
</tr>
<tr>
<td align=""center"" style=""color:#ffffff; text-align:center; font-size:11px; line-height:14px; padding:10px 30px 10px; font-family:Arial, Helvetica, sans-serif; ""> * Nach der Anmeldung musst du deine Kreditkartendaten zur Validierung deiner Apple ID eingeben.<br> Wir werden keinen Betrag einziehen. </td>
</tr>
<tr>
<td height=""20"" bgcolor=""#000000"" style=""border-bottom-left-radius:20px; border-bottom-right-radius:20px; ""></td>
</tr>
</tbody>
</table> </td>
</tr>
</tbody>
</table> </td>
</tr>
</tbody>
</table> </td>
</tr>
</tbody>
</table>
<table cellspacing=""0"" cellpadding=""0"" border=""0"" align=""center"">
<tbody>
<tr>
<td align=""center"" style=""padding:20px 0 25px; margin:0; font-size:12px; font-family:Helvetica, sans-serif; line-height:16px;""> Um diese zu stoppen, gehen Sie bitte <a href=""http://bsq2.firiri.shop/V0RPUjMzbjdPeHRLVlo2RFZ4WXBqZklYbTBnY1Btc1R5aUp4cWNUMzNOUjJnNDNjUUg5NUt2U1hYQkFpYlIyVi82NHBrdDVpRnhPdG1tQWlZbWVWMUE9PQ__"" style=""color:#202020;"">hier</a> oder schreiben Sie an: <br> 616 Corporate Way Ste.2-9092 <br> Valley Cottage, NY 10989 </td>
</tr>
</tbody>
</table>
</div>
</body>
</html>
<br><br><span style=""color:#888;font-size:11px;font-family:verdana;display:block;text-align:center;margin-top:10px"">click <a href=""http://bsq2.firiri.shop/OVI4VXhDM3BCMmsxODlhanpGSFpHZGp5VTFtZVRiQWRrQ2pjMngyMTBURmc2UlRuaWpJVjBjYWNQTnozemdFWmZIeVdFbTkvRFZtZldSZDVTY3JMWlE9PQ__"">here</a> to remove yourself from our emails list</span><br><br><img alt="""" src=""http://bsq2.firiri.shop/dFdvTXNpQTFybzgyZzl0bTVER1VNMGo3NHNSOUplc2MxN1REYy9pSmtGTzBzU1hzbFpvd0xwaFg0V2ZSV1hJbEdrR0Y1QllkY3ZmUEVLU3Zpa0p4UGc9PQ__"" width=""1px"" height=""1px"" style=""visibility:hidden"">",1
Integration Capabilities Inquiry,Seeking information on integration capabilities for Smartsheet's SaaS products. Interested in details about integrations and compatible features. This information will assist in determining if Smartsheet is the right fit for our business needs. Appreciate your time and look forward to your response. Please let us know any additional resources or documentation for further review.,0
Overdue: Customer 524952605 - 22 days,"Please contact customer immediately:

Invoice: 2720144
Amount: €479,409
Days overdue: 59
Last contact: 16 days ago

Customer threatening to switch suppliers but owes us money!

Andrea",0
Translation Cooperation Invitation,"Hi client, Hope you are doing well. This is Lydia from Top Translation Company,I wanted to see if it’d make sense for us to connect and discuss capabilities around providing Translation and Localization in 300+ languages & 30+ industries. Our services include: 1. Translation (Certificate /Handbook / Book, etc.) 2. Localization (Website / Software / Games, etc.) 3. Multimedia ( Dubbing / Transcription /Subtitling, etc.) 5. Interpretation（Simultaneous interpretation / Consecutive interpretion,etc.) As a gesture of building trust, we are pleased to offer a free translation of up to 300 words for your project. If you have any questions or require further information, please feel free to let me know. 、 If you are not interested in our services at this time, kindly reply with ""No."" Best regards Lydia Tan Lydia Tan| Global Business Developer Mobile: +86 17711789917 Skype：Lydia Tan5632 Respond with Unsub if you don't want to receive any further communication. Ⓒ 2002 - 2025 Artlangs Translation. All Rights Reserved. Room 501, Building 6, Xincheng Science and Technology Park, No. 588 Yuelu West Avenue, Yuelu District, Changsha Don't like these emails? ｜ Unsubscribe CONFIDENTIALITY NOTICE AND DISCLAIMER The information in this transmission may be confidential and/or protected by legal professional privilege, and is intended only for the person or persons to whom it is addressed. Registered for the company website of 'MarsHub' to receive emails.If you are not such a person, you are warned that any disclosure, copying or dissemination of the information is unauthorised. If you have received the transmission in error, please immediately contact this Office by telephone, fax or email, to inform us of the error and to enable arrangements to be made for the destruction of the transmission, or its return at our cost. No liability is accepted for any unauthorised use of the information contained in this transmission. If the transmission contains advice, the advice is based on instructions in relation to, and is provided to the addressee in connection with, the matter mentioned above. Responsibility is not accepted for reliance upon it by any other person or for any other purpose",1
Misleading Data in Investment Analytics Reports,Incorrect data and flawed recommendations are reported in the documents.,0
Slow Loading Dashboard,I am encountering slow loading times for the dashboard following the last update. Restarting my browser and clearing the cache have not resolved the problem. I believe it could be related to inadequate system resources. Could you assist in resolving this?,0
Overdue: Customer 558700864 - 25 days,"Please contact customer immediately:

Invoice: 2951276
Amount: €430,240
Days overdue: 76
Last contact: 14 days ago

Customer threatening to switch suppliers but owes us money!

Jeffrey",0
Problem with Financial Data Inconsistencies,"A financial company is encountering data inconsistencies that are affecting investment analysis, possibly due to software integration problems. It's believed that conflicting data sources are leading to inaccuracies. So far, the data connections have been checked and the analytics configurations reviewed for any errors. I would greatly appreciate it if you could look into this matter and provide a solution as soon as possible.",0
