stage_group,stage,source,principle_group,left_principle,right_principle,value
S1,S1,HW,A-A,Authority,Authority,0.13884491916099997
S1,S1,HW,A-A,Authority,Authority,1.0
S1,S1,HW,A-A,Authority,Authority,0.091865366649
S1,S1,HW,A-A,Authority,Authority,1.0
S1,S1,HW,A-A,Authority,Authority,0.9993001225000001
S1,S1,HW,A-A,Authority,Authority,1.0
S1,S1,HW,A-A,Authority,Authority,0.992484175225
S1,S1,HW,A-A,Authority,Authority,0.239957921025
S1,S1,HW,A-A,Authority,Authority,1.0
S1,S1,HW,A-A,Authority,Authority,0.39443172944399996
S1,S1,HW,A-A,Authority,Authority,0.083756990464
S1,S1,HW,A-A,Authority,Authority,1.0
S1,S1,HW,A-A,Authority,Authority,0.8756991809439999
S1,S1,HW,A-A,Authority,Authority,1.0
S1,S1,HW,A-A,Authority,Authority,0.16865149158399997
S1,S1,HW,A-A,Authority,Authority,0.9965849206810001
S1,S1,HW,A-A,Authority,Authority,0.206015224321
S1,S1,HW,A-A,Authority,Authority,0.9841711389159999
S1,S1,HW,A-A,Authority,Authority,0.39443172944399996
S1,S1,HW,A-A,Authority,Authority,0.563900370489
S1,S1,HW,A-A,Authority,Authority,0.10187587240000001
S1,S1,HW,A-A,Authority,Authority,0.9984905700250001
S1,S1,HW,A-A,Authority,Authority,0.9995540497290001
S1,S1,HW,A-A,Authority,Authority,0.232724232225
S1,S1,HW,A-A,Authority,Authority,0.9970901199359999
S1,S1,HW,A-A,Authority,Authority,0.572376981136
S1,S1,HW,A-A,Authority,Authority,0.361920153604
S1,S1,HW,A-A,Authority,Authority,0.33683862288399996
S1,S1,HW,A-A,Authority,Authority,0.22914986041600002
S1,S1,HW,A-A,Authority,Authority,0.786470996224
S1,S1,HW,A-A,Authority,Authority,1.0
S1,S1,HW,A-A,Authority,Authority,0.662306247684
S1,S1,HW,A-A,Authority,Authority,0.489100213449
S1,S1,HW,A-A,Authority,Authority,0.9942044216040001
S1,S1,HW,A-A,Authority,Authority,1.0
S1,S1,HW,A-A,Authority,Authority,1.0
S1,S1,HW,A-A,Authority,Authority,0.5016733075209999
S1,S1,HW,A-A,Authority,Authority,0.8943239019690001
S1,S1,HW,A-A,Authority,Authority,0.9378992763039999
S1,S1,HW,A-A,Authority,Authority,0.943142034025
S1,S1,HW,A-A,Authority,Authority,0.5091022281959999
S1,S1,HW,A-A,Authority,Authority,0.897409498489
S1,S1,HW,A-A,Authority,Authority,0.9997020222010001
S1,S1,HW,A-A,Authority,Authority,0.9999980000009999
S1,S1,HW,A-A,Authority,Authority,0.997877127844
S1,S1,HW,A-A,Authority,Authority,1.0
S1,S1,HW,A-A,Authority,Authority,0.4089730401
S1,S1,HW,A-A,Authority,Authority,0.532158578064
S1,S1,HW,A-A,Authority,Authority,0.998162844561
S1,S1,HW,A-A,Authority,Authority,0.48311674435599994
S1,S1,HW,A-A,Authority,Authority,0.5510879766090001
S1,S1,HW,A-A,Authority,Authority,0.8791612684960001
S1,S1,HW,A-A,Authority,Authority,0.5177924980840001
S1,S1,HW,A-A,Authority,Authority,0.7099949825440001
S1,S1,HW,A-A,Authority,Authority,0.354949042176
S1,S1,HW,A-A,Authority,Authority,0.995712605316
S1,S1,HW,A-A,Authority,Authority,0.953288613225
S1,S1,HW,A-A,Authority,Authority,0.25745374520100006
S1,S1,HW,A-A,Authority,Authority,0.35949857472399993
S1,S1,HW,A-A,Authority,Authority,0.26982830249999995
S1,S1,HW,A-A,Authority,Authority,0.999746016129
S1,S1,HW,A-A,Authority,Authority,1.0
S1,S1,HW,A-A,Authority,Authority,0.703211384929
S1,S1,HW,A-A,Authority,Authority,1.0
S1,S1,HW,A-A,Authority,Authority,0.9609724052640001
S1,S1,HW,A-A,Authority,Authority,0.999072215296
S1,S1,HW,A-A,Authority,Authority,0.9999240014440001
S1,S1,HW,A-A,Authority,Authority,0.9999980000009999
S1,S1,HW,A-A,Authority,Authority,0.7972221941290001
S1,S1,HW,A-A,Authority,Authority,0.662306247684
S1,S1,HW,A-A,Authority,Authority,0.9999580004409999
S1,S1,HW,A-A,Authority,Authority,0.47027774982400006
S1,S1,HW,A-A,Authority,Authority,0.354601194256
S1,S1,HW,A-A,Authority,Authority,0.667964578681
S1,S1,HW,A-A,Authority,Authority,0.9668257925289999
S1,S1,HW,A-A,Authority,Authority,0.9996200360999999
S1,S1,HW,A-A,Authority,Authority,0.531652431025
S1,S1,HW,A-A,Authority,Authority,1.0
S1,S1,HW,A-A,Authority,Authority,0.44363059513599995
S1,S1,HW,A-A,Authority,Authority,1.0
S1,S1,HW,A-A,Authority,Authority,0.473766526249
S1,S1,HW,A-A,Authority,Authority,0.35705524668099997
S1,S1,HW,A-A,Authority,Authority,0.963324583081
S1,S1,HW,A-A,Authority,Authority,1.0
S1,S1,HW,A-A,Authority,Authority,1.0
