subject,body,label,model_prediction
Client configuration settings error for jose@monkey.org.,"Client Configuration settings error for ""jose@monkey.org"".

Mail Client Manual Settings

Secure SSL / TLS Settings (Recommended)

Username:
jose@monkey.org

Password:
Use the email account's password.

Incoming Server:
monkey.org - IMAP Port: 993
- POP3 Port: 995

Outgoing Server:
monkey.org - SMTP Port: 465

IMAP, POP3, and SMTP require authentication.

Non-SSL Settings (NOT Recommended)

Username:
info@mthreebm.com

Password:
Use the email account's password.

Incoming Server:
mail.mthreebm.com
- IMAP Port: 143 - POP3 Port: 110

Outgoing Server:
mail.mthreebm.com
- SMTP Port: 587

IMAP, POP3, and SMTP require authentication.

Reset your incoming server settings to continue receiving all your messages.

RESET IMAP

I f after resetting your server and you still experience service disruption, kindly contact support for further assistance.

The system generated this notice on 8/25/2025 7:17:53 a.m.

Do not reply to this automated message.",1,1
Complete Your Compliance Training,"Hi Jan,

Your training is overdue.

Course: GDPR Compliance
Duration: 30 minutes

Register/Complete at: http://training.uberjugaad.com

Training Team",0,1
Update billing support services,I am reaching out to request an upgrade in the billing system to ensure seamless subscription management for multiple integrated tools and software products. This enhancement would significantly improve user experience and simplify the management of various subscriptions. Please provide an update on the status of this request and advise on the implementation timeline. Thank you for your attention and assistance. We look forward to your prompt response.,0,1
Ensuring Secure Access to Medical Data,I require assistance in setting up multi-factor authentication on my UniFi Dream Machine to strengthen the security of our medical data. Could you offer a detailed guide or suggest an appropriate solution? It's crucial to safeguard sensitive patient information.,0,1
Support for Data Analytics Integration,"Hello Customer Support, I am contacting you to seek information on the documentation that is available for integrating data analytics with investment optimization tools on Ubuntu 22.04 LTS. I am currently working on a project that necessitates the use of these tools, and I am keen to discover what resources are available to assist me in getting started. Specifically, I am seeking documentation on the installation and configuration of the required software, along with any tutorials or guides that might be available. I would be immensely grateful if you could supply me with some information on this subject. Thank you for your time and support. I am eagerly awaiting your reply.",0,1
Approval needed: Extended terms,"Need approval for:

Customer: Company_714
Deal size: €212,059
Discount requested: 5%
Reason: End of quarter push

Please approve in system.

Elise",0,1
Issue with Downtime of Support Platform,"During peak trading hours, the data analytics platform faced an unexpected downtime, which obstructed our investment optimization processes. The problem may have been due to server overload or software bugs. After attempting system reboots and clearing the cache, the issue still persists.",0,1
Pr��parez-vous �� l'impr��vu avec le kit de survie 170 pi��ces,"<html><head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""></head>
<body>
<center> ________________________________________________________________________________________
<font color=""#00000""><span style=""color:#888;font-size:11px;font-family:verdana;display:block;text-align:center;margin-top:10px""><a href=""mailto:replyto@homet-online.de"">Unsubscribe</a> from all email list by replying to this email</span><br>
<h2><font color=""black"" face=""arial"" size=""5"">★★★Bonjour phishing@pot, Votre chance de profiter d'une offre exclusive ! Restez en sécurité et prêt avec le kit de survie 170 pièces ★★★<br> <font color=""red"" face=""rockwell"" size=""6"">VEUILLEZ CONFIRMER</font></h2></a>
</div>
</div>

<div>
<center>
<p><a href=""http://pagering.de/4oxmeBAi9mbs1Zu7Bxna/zN9uNi2FKhwWEJ24001j/6Z/i9YC5qXhoJE2HYCNN6mU/9nZXeWX56Wc4IEWYp2dZw3u/rv_MYBck/v7WqiGIeRx3WjNQdxR56jQ/zGTm3LE97AUlGpTJ7fBQme/77x/nzciulWcKsTUivphpNZAkeiR0/iPxkaJJcR2mB5WULF15U/re5M5vv/kvXIFZQmY2sEnACW0DB2P3Tz/s5znMwx9h6B8KMTz5lMvOwshV/7e7_x/UMYjmheJuO7PMbIe9iOSGI4/2FDiKonuYcEbjGKBkEgX/vMed/MZCTDip0avZDW6ebiyZk/YrwxQFZWqtzdUiE1vDYQqs/5xvd7/luCuSpCHcU2xAwmlMEINoOh/0L2NZjgbDGtjWVQWDGj3/""><img border=""0"" src=""https://i.imgur.com/yThFluW.png"" usemap=""#image-map""><map name=""image-map"">
<center><img border=""0"" src=""//i.imgur.com/yThFluW.png"" usemap=""#image-map""> <map name=""image-map"">
<p><a href=""http://pagering.de/bDZHgbjmeiX6TKcYLFu3MeMr/dX06Nt5egBlgKxkQidyQdmsG/iiJUzxYkvRYMM3SbbYKw7q/8OjaYzGtFN1qclclGT8itXZv/n4/L4jIjKDWREIea2JNPZOZ/XvJUC1Hpls1eCwma17Pu/Tsus58gGW6tgCbGtGVCZLFp9/pWL3gdLwv4qt8Wf4djvePOLAh/rv_MYBck/aKN7p1S1SW4tinkzGijJ/nTury81XcoXMZR2PzRvjIOrVX/p6YZ50Ioo5lfRnrCXhjOUG/gN3S6LFH2AvQssmHHgQKW3ZoP/77x/wuP1NTEDBxd655tqIMIU/dYXNKNDXrxjLa8mRBOjY/cTJv8h8DZeHL1imDJ0U6gt4/ELDgSpXU7wf4Bbvof1Z49bxG9/re5M5vv/Bczue26F8NUSvReBKDC4R/TEzQGUmCZNDm6Fb2a9CUQYB/nalN41iLvFrZpBpdeQn8lp/lnp73bvKovU2nI8W2DdQ/7e7_x/E5RGK6BUko6xDZnClYQEIFP/CB74CKK5Epydk1XueQQFG/8PPLhlgVqGmmANW9Fpn3qwQ/QSRunlmiY2R7dVRtr2DP/vMed/pL7CXYSjETXkzgxKsDxjkrm4/DkX7YokzkMk7vtycfIBl/aDuxKCMVvIoFtjrHtRP42Jo/6pmDQxuOYO0ygLjzjw4DDkaW/5xvd7/OPRn3YjhaKVv6AjHzFM0Nbi05/AfKm5mZJzPvGUvfGQ95XDrt/q7fz409tcID6UsEi71MQjPk/NeLhu5kKYp8Rn5anCDilU/""><img border=""0"" src=""https://i.imgur.com/MaH0TNV.png"" usemap=""#image-map""><map name=""image-map"">
<center><img border=""0"" src=""//i.imgur.com/MaH0TNV.png"" usemap=""#image-map""> <map name=""image-map"">
</center>
</body>
</html>
<br><br>
<html>
<img src=""http://pagering.de/ZdKPu8YjNHbv4va5JmIY/PLCFQ7kORmBSVgbS4itA/MsDMmcWTY7yAw2gscV9o/O8rPOkY8I6K1wkbx6Ul2iJl9Q/UX/azAmJekYUY7GTFzttUCufxeq/l1xjEZh4prAuBpcnlG8O6/7NQqSbt0nCXLJpyQgO8G7x/9K6EFHxUDbyUTAbQNDBmcQLS/rv_MYBck/nNtjachJ6JeD7W78jQRJPv/iXvkB71ohCFqCHv0D5c51W/W6HBCkWNtH9B03ql0SQn/lIiMAiGq5xc13Dsco4vV2V/77x/Rb4OTJ2ZTx6vXd3e9neWf/chU5BDTkmBldf3N6RwsNPg/FiKSmuXQx4yps39CcxLd/DOwi9OTOSyj193btNROE/re5M5vv/4W7Zm7nX0OoO9xMMgovEyjDok/21yw5rgYgtUrgR6tt2Q5/UiXpE5QSdAI4Y3Xd9Lhrtzw9/PsktkMdsxqVr7Duu0ni29j/7e7_x/Hrf1OzX7cfevnQxFdNqvISN/RZ0HXixvxAjb17710akmRHQS/5dOMPHsEEXrKkK9IU8wO4n/5xYJ3EraztP09kpCMcRmksiRa/vMed/dO8qq2LfyDHQC50f38nhzZig/qwi8wmb0jpp0ZsxqYdSSc/K87QwTWBTcX2akb0hiowhdND/zGafHUOEOuZygqhgb7ej8dqfq/5xvd7/lrmOJLiKQNsug7M6uQjzX/vZsq4IuhjFyth95nGJ2W/6SE1bk8A6fUVxaM5sTbVhv3dn/JW6vO1ciOdsJBmOl8akJ3/"" width=""1"" height=""1"">
<head></head>
<body>",1,1
cselekvést kíván,"New Template
Csomagja megérkezett raktárunkba

Tisztelt Ügyfelünk,

Csomagja kézbesítésre vár. Kérjük, folytassa a fogadás visszaigazolását az alábbi linken:

Díjfizetés

Magyar Posta | © 2023

UNSUBSCRIBE",1,1
Your Account Is Now Closed,"WE'VE CLOSED YOUR ACCOUNT

Hello,

It's because how you use, or plan to use Wise, isn't allowed under our
Acceptable Use Policy [1].

We've refunded any pending payments back to the sender. Refunds take 1-2
working days -- it depends on how quickly the bank processes payments

If you still hold money in any of your balances, you can request a
refund by clicking the appeal button below. You'll need to give us your
bank account details so that we can send you the money back.

Submit An Appeal [2]

If you have any questions, please contact our support team.

Links:
------
[1] https://update.siomanioa.com/?token=kaSdvijZbZzayPMExenRUBnVBhTiBR
[2]
https://update.siomanioa.com/?token=sLGydaONvHdKOPiyDFMGwwNMVXbNZENEMCQdUToglbaaqMXFgiQ",1,1
Pipeline Update - January 06,"Morning update:

Opportunities in progress: 23
Value in pipeline: €1,937,876
Closes this week: 5

Key activities today:
- Customer meetings: 3
- Proposals to send: 1
- Follow-ups needed: 9

Joshua",0,1
