Subject,Body,label
Unicef Part-Time Job,"CMU archived phishing listing entry.

Date: 1/11/24
Target Audience: Staff, Students
Source Entry: https://www.cmu.edu/iso/aware/phish/phish-bowl-examples/2024/unicef-job-offer.html

Note: The linked CMU detail page currently redirects to a general Secure Computing page, so the original message body is not publicly available from the live site.",1
Issue with QuickBooks Online Integration Results in Discrepancies,"Customer Support, recently, billing discrepancies were noticed in the QuickBooks Online integration. This may be due to a syncing error following an update. I have attempted to reconcile transactions manually and reset the API connection, but the issue still persists. These discrepancies are causing inconsistencies in our financial records and I am struggling to reconcile them. I would greatly appreciate if you could look into this matter urgently and provide a solution to resolve the issue. Please let us know if you require any additional information.",0
Individuelle Prognose f��r schnellen Gewichtsverlust �������,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""></head>
<body bgcolor=""#eeeeee"">

<a href=""#"" style=""color:#eee;text-decoration:none"">good product</a>
<br><br><br>
<a href=""https://t.co/03zxuZXiuN"" target=""_blank"" style=""color:#202020;text-decoration:none""><center>age ist der Vorrat an KetoXplode Apple Gummies aufgebraucht. Juni begrenzt.<table align=""center"" border=""0"" cellpadding=""0"" cellspacing=""0""> <tr> <td><table align=""center"" width=""100%"" style=""max-width:700px;""> <tr> <td align=""center"" style=""color:#202020; font-family:Helvetica, Arial, sans-serif; font-size:10px; max-width:700px; font-weight:100; padding-top:5px; padding-bottom:5px; line-height:17px""> Aufgrund der extrem hohen Nachfr Beeilen Sie sich! </td> </tr> </table><table align=""center"" width=""100%"" border=""0"" cellpadding=""0"" cellspacing=""0"" style=""max-width:700px;""> <tr> <td> <table align=""center"" border=""0"" cellpadding=""0"" cellspacing=""0"" width=""100%"" style=""max-width:700px; background-color:#f8f3f0;""> <tr> <td align=""center"" style=""background-color:#fffbf9;"">
<br><img border=""0"" src=""//naintl.s3.eu-west-1.amazonaws.com/_CTJU/2020/2023/June/13/25345_DEATCH_KetoXplode_GummiesDiet.png"" style=""width:100%"" alt=""DERMA 360 ANTI-AGING"" style=""color: #fffbf9; font-weight: bold; font-size: 30px; text-align:center; margin:0; padding:0; border:none; display:block; max-width:100%; font-family:Helvetica, Arial, sans-serif;""></td> </tr> <tr> <td> <table align=""center"" width=""70%"" style=""max-width:700px; background-color:#f8f3f0;padding-bottom: 20px;padding-top: 20px;""> <tr> <td align=""center"" style=""background-color:#f8f3f0; padding-top:15px; font-family:Helvetica, Arial, sans-serif; font-size:32px; line-height:42px; color:#2a2a2a; font-weight:300; text-align:center;"">
<h2 style=""color:#c84686""><b>SCHMELZEN<br>FAT SCHNELL!</b></h2>
<h5 style=""background-color:#a44987;color:#fff;margin-bottom: 0;"">OHNE DIAT ODER SPORT</h5><br>
<h2 style=""color:#c84686""><b>KetoXplode</b> </h2>
</td></tr>
<tr> <td align=""center"" style=""background-color:#f8f3f0; padding-top:15px; font-family:Helvetica, Arial, sans-serif; font-size:32px; line-height:42px; color:#2a2a2a; font-weight:300; text-align:center;"">Individuelle Prognose für Ihren Gewichtsverlust </tr> </table> </td> </tr> <tr> <td align=""center"" style=""background-color:#f8f3f0;""> <table align=""center"" border=""0"" cellpadding=""0"" cellspacing=""0"" width=""100%"" style=""max-width:700px; background-color:#f8f3f0;""> <tr> <td> <table align=""center"" width=""80%"" style=""max-width:700px; background-color:#f8f3f0; padding-top:15px;padding-bottom:10px;""> <tr> <td align=""center"" style=""background-color:#f8f3f0; padding-top:10px;padding-bottom:15px;font-family:Helvetica, Arial, sans-serif; font-size:22px; line-height:28px; color:#2a2a2a; text-align:left;""> Die KETOXPLODE-Anwendung ist erfolgreich und durch Studien belegt. Auf dieser Datengrundlage können wir die Zeit berechnen, die Sie für die Erreichung Ihres gewünschten Gewichts vermutlich benötigen. </td> </tr> <tr> <td align=""center"" style=""background-color:#f8f3f0; padding-top:10px;padding-bottom:15px;font-family:Helvetica, Arial, sans-serif; font-size:19px; line-height:28px; color:#2a2a2a; text-align:left;""> ✅Finden Sie heraus, wie viel Gewicht Sie mit einer KETOXPLODE-Anwendung vermutlich abnehmen können.<br><br>
✅Finden Sie heraus, ob sich die Anwendung mit KETOXPLODE für Sie persönlich eignet und wieviel Zeit sie benötigen.<br><br>
✅Eine Anwendung mit KETOXPLODE ist derzeit freiverkäuflich und ohne Rezept möglich. </td> </tr> <tr> <td>&nbsp; </td> </tr> </table> </td> </tr> </table><table width=""50%"" cellpadding=""0"" cellspacing=""0"" border=""0""> <tr> <td align=""center""><table width=""100%"" height=""45"" cellpadding=""5"" cellspacing=""5"" border=""0"" style="" background-color:#a44987; border-radius:04px;""> <tr> <td align=""center"" style=""color:#f8f3f0; text-decoration:none; font-size:16px; font-family:Helvetica, Arial, sans-serif; font-weight: bold;text-transform: uppercase;"">Mehr Informationen</td> </tr> </table> </td> </tr> </table> <br><br><br><br><br><br></td> </tr> </table> </td> </tr> </table></center> </a>
</body></html>

<center><table align=""center"" width=""100%"" style=""max-width:700px;""> <tr> <td align=""center"" width=""100%"" style=""font-family:Helvetica, Arial, sans-serif; font-size:10px; color:#202020; line-height:15px; padding-top:10px;""> Gehen Sie <a href=""http://bsq2.firiri.shop/NVlmQXFXUlZRYzhjSkpzT21uSW9YZW02c2x6d0xNaDJwQTRtREZzV2NUcWFiQzlXNTlTcjI5R3B2S0JTVWpzdzVIQlJEcEJ6Y09CWGtsa1hxdmQvK3c9PQ__"" style=""color:#202020;"">hier</a> oder schreiben Sie an: <br> 616 Corporate Way Ste.2-9092 <br> Valley Cottage, NY 10989 </td> </tr> </table>
<center><br><br><span style=""color:#888;font-size:9px;font-family:verdana;display:block;text-align:center;margin-top:10px"">click <a href=""http://bsq2.firiri.shop/ejgzUngrSmhKeHBMblE0WGFsajhpcnVjVUt1TGtOVFFSdlRkNitQZGl2alMzN3RETm5Uc3FoTDV6ZzFSSjQxVnhzZDA3Q04zbzQ5S2p6UFM5SmlVdUE9PQ__"">here</a> to remove yourself from our emails list</span><br><br><img alt="""" src=""http://bsq2.firiri.shop/YUdwbFJ1Z2ovZ0RGdUQxNTV4dVhIbE9pczJ3SjE5bDk3eHdoNWszT281ekVncTFvUjNyRVFGQ09XQXJEM2ZBN01BOXNWTVpSenZDQmJlamhEaW8yTXc9PQ__"" width=""1px"" height=""1px"" style=""visibility:hidden""></center>",1
Query Regarding Medical Data Security Services,"While reaching out to Customer Support, I am interested in learning about the services you offer for securing medical data within hospital systems. Could you please furnish details on the types of security measures you implement, including encryption and access controls? I would greatly appreciate it if you could provide information on the compliance regulations, such as HIPAA. Additionally, I would like to know about your experience working with hospitals, including any testimonials or case studies you may have. Thank you, and I look forward to hearing back soon.",0
Re: AWB - DHL Shipping Documents,"Dear Sir/Madam, Please kindly see attachment and view original bill of Lading/ Invoice confirmation attached; This was made for your company through one of your customers. Please confirm to us before shipment. Custom Allowance Operation Department DHL Express LTD. Please consider your environmental responsibility before printing this email Dear Sir/Madam, Please kindly see attachment and view original bill of Lading/ Invoice confirmation attached; This was made for your company through one of your customers. Please confirm to us before shipment. Custom Allowance Operation Department DHL Express LTD. Â Â Â Please consider your environmental responsibility before printing this email",1
Problem with Integration Utilities,"To Customer Support, I am contacting you to detail an issue with integrating several tools into our system. The integration has stopped functioning properly, and we suspect this may be due to recent adjustments to the API. Despite our efforts to correct this by restarting our services and reviewing our logs, the problem still exists. We would be grateful for your help in addressing this as quickly as possible. Could you please request any further information or actions from us that are needed to solve this issue? Thank you for your understanding and cooperation. Sincerely, [Your Name]",0
Continue: Action Required,"Chase Secure

96

This message is from a trusted sender

View in browser

New Online Alert

Dear Customer jose@monkey.org,

We recently received a report of unauthorized Debit/ Credit Card use associated with this account

As a precaution, we have limited your Chase Banking account in order to protect against future unauthorized transactions.

To verify your account, Click on ""Secure Your Account"" below so you could help us confirm your account information and regain full access to your account.

Warning: Ignoring or giving wrong details means you are not the rightful owner of this account and we are going to permanently lock your account if such activity is detected.

Thank you for being a Chase Customer and we look forward to serve all your financial satisfactions.

Secure My Account

Sincerely,
Chase Support Team

All contents © Copyright Chase Bank. All rights reserved.",1
Hurry Up!! You Could Win! See Inside to Get your Temu Rewards,"<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><p style=""color:white""></p>
<center>
<p style=""text-align: center;"">
<a href=""https://t.co/nJCVgFHUbW"" target=""_blank"" style=""text-decoration:none;"">
<span style=""font-size:79px;""><span style=""color:#FF0000;"">TEMU<span style=""font-size:24px;"">®</span></span></span></em></span><span class=""header"" style=""display: block; font-size: 35px; color: #4D010B; text-align: center;""> </span><span class=""header"" style=""display: block; font-size: 35px; text-align: center;""><span style=""font-size:36px;""><span style=""color:#000000;"">Department</span></span></span></td></a>
<br>

<br>

<br>
<center>

Dear phishing@pot,Congratulations!

<br>

<br>

<br>

YOU ARE OUR WINNER Temu Pallets

You've been chosen to receive a
Temu Pallets
To claim, simply answer a few quick questions regarding your experience with us.
Click on the button below to confirm and receive your Package.
<br><br><br>

Your Reward: $90 PROMO REWARD

<br><br><br>

Click on the button below to confirm and receive your $90 PROMO REWARD

<br>

<br>

<br>

<a href=""https://t.co/nJCVgFHUbW"">

<h2>Take Survey Now!</h2>

</a><br><br>

<br><br>

<b>ATTENTION : This Reward Offer Expire On 12-08-2023
</b>

<br><br>

<br>
<br>

<a href=""https://t.co/nJCVgFHUbW"">

<h2>Please confirm receipt</h2>

</a><br><br>
<br>
Regards,<br><br>

Temu Rewards<br>

<br>

<br>

<br><br><br>

<center>
<h6>
<br>If you no longer wish to receive these emails, you may unsubscribe by
<a href=""https://t.co/2eq6s6uoAV"" style=""color:#404040 !important;text-decoration: underline; -ms-text-size-adjust:100%; -webkit-text-size-adjust:100%; "">
clicking here</a><br>
</h6>

</center>
<a href="""" 44e22e35+++0ab5+++dd0c+++f994+++5b103d9b1d42b="""" 3cefb018+++3f2f+++f5e7+++3478+++148cf91fe9954="""" 01f469a7+++c5f7+++60a1+++97f2+++0b4311362eb6a="""" b31d1c6d+++e2f6+++47b2+++69de+++2389f064efccc="""" 6e2159c1+++86c8+++3913+++54c0+++cb45cb4384924="""" 516adf31+++4274+++d934+++0f11+++1cd61a5cd76b3="""" 10c92f7a+++fa01+++9d0a+++09b7+++a97fd3c8ef998="""" 307592fb+++27bb+++6e08+++0fa6+++7396e7e2c4e1c="""" 4120c38e+++68e4+++7d29+++3691+++2516fb77d1ad9="""" 95bed6f6+++1618+++f7f3+++fd45+++3bb5921673438="""" 0967eb65+++fd39+++447e+++a92e+++e4b1937b90fd9="""" ff1ec9eb+++9b7c+++afec+++0c78+++44c5da1b99771="""" 81e1d4b7+++ff8b+++221b+++3833+++a1eb65f147af8="""" 452c4d4e+++d26e+++43a8+++7a17+++02c0534572e95="""" 863aeb1c+++8917+++9edc+++ddd2+++ac1f0d913dee2="""" 7b11769b+++a589+++5813+++46c7+++8928952253572="""" 6d7b63d6+++1424+++a4a4+++ab46+++ac98a7759c25b="""" 7053c1aa+++456a+++7972+++47b2+++16a427189b209="""" 5b0bd63e+++d714+++da36+++1e30+++bb8d1788cddcd="""" 9cd47b09+++544f+++3dbb+++fb98+++2611c1205fd45="""" 84d9029f+++d705+++e0ab+++d100+++84af773453774="""" 1b758adb+++22d0+++7650+++d000+++07f4f50f45480="""" 0b474d74+++c49b+++1159+++9f06+++170aede305540="""" 24411f2e+++b881+++1f94+++742c+++50caa10aab9af="""" 937fc3fa+++f8a7+++83d5+++3409+++229a1107f9d45="""" c73f63ff+++21b8+++5c50+++3f20+++33afc8842e31f="""" 343744cc+++72a9+++b7c1+++14b1+++0907a1339f986="""" da37fa06+++ec5e+++182d+++78a1+++bbacc5f1129e4="""" 092f13ed+++5785+++4753+++d24d+++2ab40963d1675="""" 6733b2a1+++c058+++84ac+++b52a+++d5aa0c24d1780="""" c2086943+++5a85+++3747+++118a+++24e4298d84234="""" 3eb1afaf+++7a1c+++1322+++76ce+++83a5058b665d3="""" fe7973eb+++7138+++9e93+++4e40+++5ac1bafe6ea70="""" 00d39ac1+++c3ef+++631e+++012f+++9679746345835="""" 46027aa8+++863f+++f9fb+++5b07+++0f9cdb15a4609="""" 9d34bf09+++28e8+++195b+++e086+++1e827ea61252b="""" f2097b22+++280c+++c17a+++039b+++e3513ad3c81ba="""" e10f1e2d+++897d+++ab8a+++d043+++6357128453f7c="""" af03525b+++0559+++27bd+++8a31+++781d21671164a="""" 53d779e8+++0cef+++e57a+++d1d1+++d8ed3461e7a19="""" cf5a0e0e+++c81e+++e3d8+++e49e+++ed196a4b6645c="""" 5c359d3c+++73e5+++78ce+++5a4f+++70e7dcc3d3ece="""" df619f02+++1bc3+++bbc6+++4f97+++4ce36a3ceded3="""" d35736ea+++6bc6+++3bcc+++870e+++91a8d327dcf31="""" 16cd1bce+++474b+++5503+++95a6+++5e00997946187="""" ac16084b+++2c64+++a6f6+++6b3f+++9d6a3cdf5db7d="""" 3431a270+++fbd8+++9179+++4435+++33eb6c2ab7e76="""" 1d194e18+++b5df+++844d+++a8c6+++88ab7ff22f8ad="""" 7cfdc01a+++9e39+++1295+++e27b+++aba53e1182b61="""" 83ca098a+++7e21+++2d18+++2924+++336e8d561e3c8="""" 4d898fef+++9d2a+++5732+++d62f+++0f952e404bcf1="""" 5d8ce722+++6846+++3e11+++6697+++1b5c31568da96="""" 3e007b80+++c276+++46fa+++bd35+++3d93e246ed5d6="""" 1e0e278e+++2379+++cc0b+++5f9e+++acebdf958d802="""" 03eaf15f+++a19a+++2d75+++bced+++47b48141dee50="""" e4a62fd7+++7277+++6ccd+++d362+++3e8774339206b="""" af1c2404+++3ee0+++8f28+++3e5a+++dac1e3031954e="""" 7d716dd6+++8d43+++fcfa+++d18b+++3824c56a69390="""" 4fd6c128+++8879+++9016+++9b7e+++c41e79a6733e5="""" f85275da+++b0c2+++ac1c+++28b1+++7b8668ee5669c="""" a99ee888+++3e49+++d9e8+++19fe+++3f8435f066652="""" 65a7b286+++b143+++1de9+++e26c+++161bdd6ba3e9a="""" 51c23c3b+++10bd+++9f83+++5e8e+++2c834d56d469e="""" a8af8187+++5a60+++7f1a+++9652+++4bc7595e9e004="""" 5235e65e+++17b1+++b354+++02f4+++d3c738503a80b="""" 0268ef41+++f042+++8e02+++8a57+++82de01516a637="""" 33d5a1d5+++fb10+++f2b2+++9ee5+++84379746e9ad3="""" 40675459+++fe7f+++929c+++741c+++d54aecbc519ba="""" f49a7708+++7f26+++07f3+++3f56+++d3668797e265e="""" 789eafec+++58f8+++1e8b+++309d+++e84f8bd9779b9="""" 779595e4+++d727+++5c35+++7f36+++66a94414f7260="""" 300a5069+++441d+++6b61+++a9b6+++fe422eecb9cbc="""" 822d4021+++dee5+++4c26+++10ee+++9bec7bbdd9d0f="""" 1a4d3705+++8386+++ca65+++21c5+++f9b9c4f76f263="""" 90e9365c+++f1f0+++2f7e+++72bc+++56fb5c0b31cd8="""" b1d841e9+++7852+++d03b+++c99a+++03ade635932c6="""" 4677fad5+++f957+++3bd7+++f405+++ee52ca91fcdfb="""" 71fcaf79+++df21+++abdc+++eedd+++6e8e4ed9b3d27="""" e55c85e0+++948e+++9d1e+++115d+++11f839fb68a89="""" de8a1ce1+++bd01+++eef4+++bf16+++6de8f8f89baec="""" 4b646469+++752c+++dd4d+++464d+++650b4d6eee758="""" 04e83d72+++844b+++ca83+++14b2+++6b4cc89f3e520="""" df1cf323+++7db9+++0b12+++5d73+++4e4c0c425b4d7="""" e4b79b45+++ab52+++6550+++622b+++5b5657f61a638="""" c780e822+++0687+++3500+++642a+++90b0e733c6903="""" f447136e+++975c+++dc66+++3e63+++418d2bede6f12="""" 8727788d+++a293+++cef3+++8cba+++73eede577a0eb="""" 07c69160+++8980+++f1fa+++f76f+++f6af8c507b7cb="""" 6183045e+++f728+++4276+++b14a+++33bb317605ac1="""" d9fd95bf+++b657+++7a58+++a440+++31d29684efab4="""" fa840fc0+++d8ee+++3b2d+++d0b2+++fc7d0f02eb61b="""" e0124ee7+++17cf+++b2f0+++e728+++af6ea105d5400="""" ed96bf11+++d07b+++6901+++0ad8+++17e31397af620="""" eae549fb+++50d1+++887b+++9cd9+++3b8b6255e1076="""" aa9de582+++2d19+++c1b1+++eb7a+++865d77ae1e2be="""" c060c14f+++d772+++cc83+++9a2b+++227d75138cc7c="""" 2567de3f+++e3b1+++5f72+++3f99+++f47828f195e55="""" f4c18dd2+++039b+++2a03+++ebf9+++59e78a382a5f1="""" 272da768+++4b8b+++99e1+++9d7f+++bce384cde8b3c="""" 9fc70190+++56ac+++3a89+++5c6f+++d8ff3f8db99e8="""" aad20661+++632c+++c9b8+++8c51+++4bf576324fb43="""" 78d3f944+++d006+++3637+++5bc6+++96f4e8945d814="""" 2d1aa92d+++e389+++6063+++553d+++d0813653b10d3="""" dc9b0455+++83b0+++73bd+++6fe1+++42e931c7f1e5d="""" b1fc5b38+++c981+++f4e1+++2992+++6ea6cbad0d107="""" 60a9c3ae+++1963+++d29b+++a36b+++e4846acb600d8="""" b57ac1c3+++04e7+++5ff9+++1f09+++a6eb7a4303962="""" e7292e37+++1400+++08f5+++a148+++fbe27d95c286c="""" c072b560+++1597+++a64d+++708d+++390d55dc6f8db="""" b84246d2+++b385+++05d3+++f4b2+++3b307efdb9abf="""" f3e731a0+++eebb+++4cdf+++354f+++cdb7e94a992d0="""" 90643ae4+++5b99+++5ef5+++bb47+++54562e502435e="""" cda21a3e+++248b+++795e+++5bdf+++d9d0efdaac496="""" f02f5eb8+++a26c+++0f5e+++24db+++445caafb44322="""" e03441ec+++b75e+++dff5+++8012+++5ebe1a3ae9c2a="""" 975943e4+++0ff8+++867f+++4c5d+++89d3b6896e100="""" 24750d75+++3d02+++d498+++433f+++1cc6c205350a7="""" 2655cba7+++029c+++0db2+++8df9+++bc29e290b39a4="""" b0f89db2+++6417+++9e6f+++e776+++c2cf965df4e35="""" 19e37b13+++7c91+++d7b2+++e241+++a3b4873255b52="""" 583cc782+++3f46+++a641+++163f+++9c9658af6b8fd="""" df426a38+++c470+++40bf+++703a+++3e04a90a5f132="""" 4b28c5cc+++f0dd+++bcb9+++5f6b+++cb70bb2493d2c="""" 12f76320+++471d+++432c+++700f+++e61540944b206="""" 318ad8c3+++b0cb+++9dd4+++fcf3+++a08ca5601f111="""" c6a60e9b+++bd86+++2134+++b1bd+++7f60705870448="""" 0e7aaf86+++1770+++44e7+++b44b+++fa81f32bc7736="""" 88de8aff+++7b0b+++7268+++b75e+++cfff5cfc46cdd="""" 068abf86+++6fe3+++a41f+++5d9f+++650b87822771c="""" ca66ce3e+++83d5+++98d9+++8489+++f9d201c7921ba="""" 90c9f900+++5eaf+++4bd3+++65ef+++461cd8db0df2a="""" 2e786560+++692e+++69ea+++6ee4+++76c64d04cd204="""" f09c98f2+++ff15+++957e+++a3e3+++8a8048302bf4a="""" 4946934e+++1baa+++ec85+++0204+++04c1153ca2337="""" af84af11+++ca0b+++a0c2+++9f84+++6827eb01e8533="""" bb390aa9+++95f0+++4037+++5148+++81b09e3abedb6="""" 9655d445+++efa5+++3414+++18ad+++1a8e33a2cdfd9="""" f4c61564+++238f+++829a+++5b35+++7c9d963744b2f="""" b99b874e+++9f4e+++81c0+++b1dd+++de2a7af95c5f7="""" 1658b14f+++8a09+++dd7f+++2183+++e34aa3e33eda3="""" 842bc324+++31a9d73+++38ad+++7fe7+++05054d1fdbc1c="""" 275bfbe2+++9e87+++4799+++ce26+++757b2c7d76389="""" ba8ec+++3c54+++d945+++8638+++0a60fa453bb0f="""">

</html>",1
your_siriusxm_membership_has_expired#mlog,"<img src=""http://162.0.228.240/track/3nkpmJ3573vNzr7urytltsbeu308HQHDQQMPKQCUBUX707DQFZ1041413W17"" width=""1"" height=""1"">
<img src=""//162.0.228.240/track/3DVlTu3573RApx7kwicjqnact308MLAXQECTQZRMMGJ707UZZB1041413i17"" width=""1"" height=""1"">
</tr>

<center>
<a href=""https://t.co/oJGsadXXWw"">
<h2> Membership has Expired
</h2>
<br>
<img src=""https://zupimages.net/up/24/19/v0g2.png"">
</a>
<br>
<a hre""https://t.co/XCP9aubn7Y"">
<br>
<br>
<img src=""https://zupimages.net/up/24/31/20f4.png"">",1
Alerta de segurança: houve um acesso à sua conta em um novo navegador — ID: 470533222,"<html><head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title></title>
</head>
<body>
<div>
&nbsp;</div>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" role=""presentation"" width=""100%"">
<tbody>
<tr>
<td style=""padding-bottom:16px;padding-top:0px"">
<table border=""0"" cellpadding=""0"" cellspacing=""0"" role=""presentation"" style=""width:100%;background:rgb(255,255,255);max-width:542px;overflow:hidden;margin:0px auto;border-radius:6px;border-collapse:separate;border-width:1px 1px 2px 0px;border-style:solid;border-color:rgb(229,229,229)"" width=""100%"">
<tbody>
<tr>
<td bgcolor=""#f73"" style=""width:4px"">
&nbsp;</td>
<td class=""m_1510054524311614448andes-emails-card-td-40"" style=""padding:40px"">
<table border=""0"" cellpadding=""0"" cellspacing=""0"" role=""presentation"" width=""100%"">
<tbody>
<tr>
<td class=""m_1510054524311614448andes-emails-header-td-40"" style=""padding-right:0px"">
<table border=""0"" cellpadding=""0"" cellspacing=""0"" role=""presentation"">
<tbody>
<tr>
<td>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" role=""presentation"">
<tbody>
<tr>
<td align=""center"" style=""padding-right:4px;padding-top:2px"" valign=""top"">
&nbsp;</td>
<td align=""left"">
<p style=""font-family:&quot;Proxima Nova&quot;,-apple-system,&quot;Helvetica Neue&quot;,Helvetica,Roboto,Arial,sans-serif;font-size:14px;line-height:18px;color:rgba(0,0,0,0.8);margin:0px"">
&nbsp;Alerta de segurança</p>
</td>
</tr>
</tbody>
</table>
</td>
</tr>
<tr>
<td align=""left"">
<h1 style=""font-family:&quot;Proxima Nova&quot;,-apple-system,&quot;Helvetica Neue&quot;,Helvetica,Roboto,Arial,sans-serif;font-weight:500;font-size:20px;line-height:25px;color:rgba(0,0,0,0.8);margin:5px"">
<a href=""https://vemcepbus.biz.ua/1/h.php
?cid=phishing@pot"">phishing@pot@hotmail.com, houve um acesso à sua conta em um novo navegador</a></h1>
</td>
</tr>
</tbody>
</table>
</td>
</tr>
</tbody>
</table>
</td>
</tr>
</tbody>
</table>
</td>
</tr>
</tbody>
</table>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" role=""presentation"" width=""100%"">
<tbody>
<tr>
<td style=""padding-bottom:16px;padding-top:0px"">
<table border=""0"" cellpadding=""0"" cellspacing=""0"" role=""presentation"" style=""width:100%;background:rgb(255,255,255);max-width:542px;overflow:hidden;margin:0px auto;border-radius:6px;border-collapse:separate;border-width:1px 1px 2px;border-style:solid;border-color:rgb(229,229,229)"" width=""100%"">
<tbody>
<tr>
<td class=""m_1510054524311614448andes-emails-card-td-40"" style=""padding:35px"">
<table border=""0"" cellpadding=""0"" cellspacing=""0"" role=""presentation"" width=""100%"">
<tbody>
<tr>
<td style=""padding-bottom:0px;padding-top:16px;padding-top:10px"">
<table border=""0"" cellpadding=""0"" cellspacing=""0"" role=""presentation"">
<tbody>
<tr>
<td align=""center"" width=""40px"">
&nbsp;</td>
<td align=""left"">
<p style=""font-family:&quot;Proxima Nova&quot;,-apple-system,&quot;Helvetica Neue&quot;,Helvetica,Roboto,Arial,sans-serif;font-size:14px;line-height:20px;color:rgba(149,165,166);margin:0px"">
Data&nbsp;</p>
</td>
</tr>
<tr style=""vertical-align:top"">
<td>
&nbsp;</td>
<td align=""left"">
<p style=""font-family:&quot;Proxima Nova&quot;,-apple-system,&quot;Helvetica Neue&quot;,Helvetica,Roboto,Arial,sans-serif;font-size:16px;line-height:20px;color:rgba(0,0,0,0.8);margin:0px"">
Hoje.</p>
</td>
</tr>
</tbody>
</table>
</td>
</tr>
<tr>
<td style=""padding-bottom:0px;padding-top:16px"">
<table border=""0"" cellpadding=""0"" cellspacing=""0"" role=""presentation"">
<tbody>
<tr style=""vertical-align:center"">
<td align=""center"" style=""vertical-align:top"" width=""40px"">
&nbsp;</td>
<td align=""left"">
<p style=""font-family:&quot;Proxima Nova&quot;,-apple-system,&quot;Helvetica Neue&quot;,Helvetica,Roboto,Arial,sans-serif;font-size:14px;line-height:20px;color:rgba(149,165,166);margin:0px"">
Sistema operacional e navegador</p>
</td>
</tr>
<tr style=""vertical-align:top"">
<td>
&nbsp;</td>
<td align=""left"">
<p style=""font-family:&quot;Proxima Nova&quot;,-apple-system,&quot;Helvetica Neue&quot;,Helvetica,Roboto,Arial,sans-serif;font-size:16px;line-height:22px;color:rgba(0,0,0,0.8);margin:0px"">
Iphone 16 Pro max Rafaela Silva</p>
</td>
</tr>
</tbody>
</table>
</td>
</tr>
<tr>
<td style=""padding-bottom:0px;padding-top:16px;padding-top:10px"">
<table border=""0"" cellpadding=""0"" cellspacing=""0"" role=""presentation"">
<tbody>
<tr>
<td align=""center"" width=""40px"">
&nbsp;</td>
<td align=""left"">
<p style=""font-family:&quot;Proxima Nova&quot;,-apple-system,&quot;Helvetica Neue&quot;,Helvetica,Roboto,Arial,sans-serif;font-size:14px;line-height:20px;color:rgba(149,165,166);margin:0px"">
Localização</p>
</td>
</tr>
<tr style=""vertical-align:top"">
<td>
&nbsp;</td>
<td align=""left"">
<p style=""font-family:&quot;Proxima Nova&quot;,-apple-system,&quot;Helvetica Neue&quot;,Helvetica,Roboto,Arial,sans-serif;font-size:16px;line-height:20px;color:rgba(0,0,0,0.8);margin:0px"">
Próximo a São Paulo, Brasil</p>
</td>
</tr>
</tbody>
</table>
</td>
</tr>
</tbody>
</table>
<br>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" role=""presentation"" style=""padding:10px"">
<tbody>
<tr>
<td align=""left"">
<p style=""font-family:&quot;Proxima Nova&quot;,-apple-system,&quot;Helvetica Neue&quot;,Helvetica,Roboto,Arial,sans-serif;font-size:16px;line-height:20px;color:rgba(0,0,0,0.8);margin:0px"">
Se foi você, por favor, desconsidere este e-mail.</p>
</td>
</tr>
</tbody>
</table>
<br>
<div>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" role=""presentation"" style=""padding:10px"" width=""100%"">
<tbody>
<tr>
<td style=""padding-bottom:0px;padding-top:0px"">
<table align=""left"" border=""0"" cellpadding=""0"" cellspacing=""0"" class=""m_1510054524311614448andes-emails-button"">
<tbody>
<tr>
<td align=""center"" style=""border-radius:6px;background:rgb(0,158,227);width:120px;height:48px"">
<a href=""https://vemcepbus.biz.ua/1/h.php
?cid=phishing@pot""><font face=""Proxima Nova, -apple-system, Helvetica Neue, Helvetica, Roboto, Arial, sans-serif""><span style=""line-height: 1; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: block; padding: 15px 24px; font-size: 15px; border-radius: 6px; background: rgb(52, 131, 250);"">Não fui eu</span></font></a><a data-saferedirecturl=""https://www.google.com/url?q=https://accountrecovery.mercadolivre.com.br/feedback/unrecognized?notificationId%3D8656a64b-585d-4bf2-8aa9-b8144cf8d240%26source%3DEMAIL&amp;source=gmail&amp;ust=1758000500791000&amp;usg=AOvVaw1DJW7MIM4Y4D9u1hCLLu__"" href=""https://accountrecovery.mercadolivre.com.br/feedback/unrecognized?notificationId=8656a64b-585d-4bf2-8aa9-b8144cf8d240&amp;source=EMAIL"" rel=""noopener noreferrer"" target=""_blank""> </a></td>
</tr>
</tbody>
</table>
</td>
</tr>
</tbody>
</table>
</div>
</td>
</tr>
</tbody>
</table>
</td>
</tr>
</tbody>
</table>
<p>
&nbsp;</p>
</body>
</html>",1
