subject,body,label,model_prediction
Transcript of the chat session with Donate from resasdd,"<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><div style=""background-color: rgb(241,241,241);""> <table width=""960"" border=""0"" cellspacing=""0"" cellpadding=""0"" align=""center"" style=""background-color: rgb(255,255,255);font-family: Arial , Helvetica , sans-serif;border: 1px solid rgb(227,227,227);border-top: none;padding-bottom: 15px;""><tr><td><table width=""100%"" height=""3"" border=""0"" cellspacing=""0"" cellpadding=""0"" align=""center"" style=""height: 3px;overflow: hidden;""><tr><td height=""3"" style=""overflow: hidden;background-color: rgb(210,140,147);width: 25.0%;""></td><td height=""3"" style=""overflow: hidden;background-color: rgb(107,194,129);width: 25.0%;""></td><td height=""3"" style=""overflow: hidden;background-color: rgb(131,178,212);width: 25.0%;""></td><td height=""3"" style=""overflow: hidden;background-color: rgb(242,224,119);width: 25.0%;""></td></tr></table><table width=""900"" border=""0"" cellspacing=""0"" cellpadding=""0"" align=""center"" style=""background-color: rgb(255,255,255);width: 900px;font-size: 13px;""><tr><td><table width=""100%"" border=""0"" cellspacing=""0"" cellpadding=""0"" align=""center"" style=""padding-bottom: 15px;""><tr><td align=""center""><div style=""color:#595758; margin:0; padding:40px 0 10px 0; display:inline-block; text-align:right;""><div style=""color:#000000; text-align:center; padding-bottom:1px; font-weight:normal;font-size:39px;"">Chat Transcript</div><span style=""display:inline-block; vertical-align:top; line-height:normal; font-size:1px; border-top:1px solid #6CC281; width:40px;"">&nbsp;</span></div></td></tr></table><table width=""100%"" border=""0"" cellspacing=""0"" cellpadding=""0""><tr><td><div><table width=""100%"" border=""0"" cellspacing=""0"" cellpadding=""0""><tr><td style=""float: left;""><div style=""padding-top: 27px;font-size: 13px;""><div style=""color: rgb(0,0,0);""> <b style=""padding: 0;font-size: 13px;color: rgb(0,0,0);""><span style=""padding-top: 10px;color: rgb(0,0,0);font-weight: bold;"">#8 </span>Donate Support</b> - <span style=""font-weight: bold;color: rgb(0,0,0);font-size: 13px;""><a href=""mailto:info@donate.com"" target=""_blank"">info@donate.com</a> </span></div><div style=""padding-top: 8px;color: rgb(0,0,0);font-size: 13px;"">Website :&nbsp;<a href=""http://elkyoa6d.plp7.ru/"" style=""width: 490px; float: right;"" target=""_blank"">http://elkyoa6d.plp7.ru/</a></div><div style=""padding-top: 8px;color: rgb(0,0,0);font-size: 13px;"">Attended By : Donate</div></div><td width=""300"" valign=""top""><div style=""float: right;width: 285px;text-align: right;padding-top: 20px;font-size: 13px;""><div style=""color: rgb(0,0,0);padding-top: 7px;font-size: 13px;"">19 Dec 2023, 12:16 PM </div><div style=""color: rgb(0,0,0);padding-top: 9px;font-size: 13px;"">Chat Duration : 04:09:41</div></div></td></tr></table><div></div></td></tr></table><table width=""100%"" border=""0"" cellspacing=""0"" cellpadding=""0""><tr><td height=""35"" width=""12%"" valign=""middle"" style=""white-space: nowrap;""><div style=""white-space: nowrap;font-size: 18px;color: rgb(0,0,0); padding: 35px 10.0px 0 0;"">Chat Transcript</div></td><td valign=""middle"" style=""text-align:right;""><div style=""border-bottom: 1px dashed rgb(191,189,190);height: 35px; line-height:0;"">&nbsp;</div></td></tr></tbody></table><div style=""padding-top: 15px;width:900px; max-width:900px;""><table cellspacing=""0"" cellpadding=""0"" border=""0"" width=""100% style="" table-layout:fixed?=""""><tbody><tr><td style=""width: 120px;color: rgb(0,0,0);text-align: right;min-width: 100px;max-width: 100px;padding: 8px 10px 6px 12px;"">&nbsp;</td><td style=""padding: 8px 10px 6px 12px;""><h1 style=""margin: 0;padding: 5px 0;font-size: 14px;color: rgb(0,0,0);font-family: inherit; font-weight: bold;width:643px; max-width:643px; word-wrap:break-word;"">🔴 ACCEPT YOUR FREE BTC DONATE &gt;&gt; https://forms.yandex.com/cloud/65815ae83e9d0801973d7263/</h1></td></tr><tr></tr><tr><td style=""padding: 8.0px 12.0px 6.0px 12.0px;border-top:1px solid #FBFBFB; min-width: 130.0px;max-width: 130.0px;overflow: hidden;width: 140.0px;text-align: right;background-color: #FAFAFA;color: rgb(0,0,0);vertical-align: top;font-size: 13.0px;"" title=""Donate Support"">Donate Support</td><td style=""padding: 8.0px 10.0px 6.0px 12.0px;color: rgb(0,0,0);border-top:1px solid #FBFBFB;border-left: 1.0px solid rgb(251,250,251);font-size: 13.0px;line-height:23px;""><div style=""width:auto; word-wrap:break-word""><span>🔴 ACCEPT YOUR FREE BTC DONATE &gt;&gt; <a href=""https://forms.yandex.com/cloud/65815ae83e9d0801973d7263/"" target=""_blank"">https://forms.yandex.com/cloud/65815ae83e9d0801973d7263/</a></span></div></td><td width=""100"" style=""text-align: right;border-top: 1px solid rgb(251,250,251);font-size: 13.0px;""><span style=""text-align: right;color:#999;min-width: 50.0px;max-width: 65.0px;font-size: 11.0px;font-style: normal;padding-right: 5.0px;"">19 Dec, 12:16:25 PM </span></td></tr></tbody></table></div><br><br><br></div><table cellpadding=""0"" cellspacing=""0"" border=""0"" width=""100%"" style=""padding-top: 65px;""><tr><td style=""width: 70.0%;""></td><td style=""width: 30.0%;"" align=""right""><span style=""font-weight: bold;padding-right: 5px;color: rgb(178,178,178); display:block;""><img></span></td></tr></table></td></tr></table> </td></tr></table> </div>",1,1
"[SA] URGENT HELP.............. Sender: spamassassin-sightings-admin@example.sourceforge.net Errors-To: spamassassin-sightings-admin@example.sourceforge.net X-Beenthere: spamassassin-sightings@example.sourceforge.net X-Mailman-Version: 2.0.9-sf.net Precedence: bulk List-Help: <mailto:spamassassin-sightings-request@example.sourceforge.net?subject=help> List-Post: <mailto:spamassassin-sightings@example.sourceforge.net> List-Subscribe: <https://example.sourceforge.net/lists/listinfo/spamassassin-sightings>, <mailto:spamassassin-sightings-request@lists.sourceforge.net?subject=subscribe> List-Id: <spamassassin-sightings.example.sourceforge.net> List-Unsubscribe: <https://example.sourceforge.net/lists/listinfo/spamassassin-sightings>, <mailto:spamassassin-sightings-request@lists.sourceforge.net?subject=unsubscribe> List-Archive: <http://www.geocrawler.com/redir-sf.php3?list=spamassassin-sightings> X-Original-Date: Mon, 5 Apr 1999 20:38:02 +0100 Date: Mon, 5 Apr 1999 20:38:02 +0100 Content-Typ","From spamassassin-sightings-admin@lists.sourceforge.net Tue Jul 2 13:04:23 2002 Return-Path: <spamassassin-sightings-admin@example.sourceforge.net> Delivered-To: yyyy@localhost.labs.netnoteinc.com Received: from localhost (localhost [127.0.0.1]) by phobos.labs.netnoteinc.com (Postfix on SuSE Linux 8.0 (i386)) with ESMTP id BB16E14F914 for <jm@localhost>; Tue, 2 Jul 2002 12:56:51 +0100 (IST) Received: from dogma.slashnull.org [212.17.35.15] by localhost with IMAP (fetchmail-5.9.0) for jm@localhost (single-drop); Tue, 02 Jul 2002 12:56:51 +0100 (IST) Received: from usw-sf-list2.sourceforge.net (usw-sf-fw2.sourceforge.net [216.136.171.252]) by dogma.slashnull.org (8.11.6/8.11.6) with ESMTP id g61Iat611966 for <jm-sa-sightings@jmason.org>; Mon, 1 Jul 2002 19:36:56 +0100 Received: from usw-sf-list1-b.sourceforge.net ([10.3.1.13] helo=usw-sf-list1.sourceforge.net) by usw-sf-list2.sourceforge.net with esmtp (Exim 3.31-VA-mm2 #1 (Debian)) id 17P62B-0000rw-00; Mon, 01 Jul 2002 11:36:23 -0700 Received: from [64.86.155.148] (helo=ok61655.com) by usw-sf-list1.sourceforge.net with smtp (Exim 3.31-VA-mm2 #1 (Debian)) id 17P60P-0006ds-00 for <spamassassin-sightings@lists.sourceforge.net>; Mon, 01 Jul 2002 11:34:34 -0700 From: ""MR.DOUGLAS AND PRINCESS M."" <douglassmith2004@yahoo.co.uk> Reply-To: princessmar001@yahoo.com To: spamassassin-sightings@example.sourceforge.net X-Mailer: Microsoft Outlook Express 5.00.2919.6900 DM MIME-Version: 1.0 Message-Id: <E17P60P-0006ds-00@usw-sf-list1.sourceforge.net> Subject: [SA] URGENT HELP.............. Sender: spamassassin-sightings-admin@example.sourceforge.net Errors-To: spamassassin-sightings-admin@example.sourceforge.net X-Beenthere: spamassassin-sightings@example.sourceforge.net X-Mailman-Version: 2.0.9-sf.net Precedence: bulk List-Help: <mailto:spamassassin-sightings-request@example.sourceforge.net?subject=help> List-Post: <mailto:spamassassin-sightings@example.sourceforge.net> List-Subscribe: <https://example.sourceforge.net/lists/listinfo/spamassassin-sightings>, <mailto:spamassassin-sightings-request@lists.sourceforge.net?subject=subscribe> List-Id: <spamassassin-sightings.example.sourceforge.net> List-Unsubscribe: <https://example.sourceforge.net/lists/listinfo/spamassassin-sightings>, <mailto:spamassassin-sightings-request@lists.sourceforge.net?subject=unsubscribe> List-Archive: <http://www.geocrawler.com/redir-sf.php3?list=spamassassin-sightings> X-Original-Date: Mon, 5 Apr 1999 20:38:02 +0100 Date: Mon, 5 Apr 1999 20:38:02 +0100 Content-Type: multipart/mixed; boundary=""===_SecAtt_000_1fnapngoonxcrm"" --===_SecAtt_000_1fnapngoonxcrm Content-Type: text/plain; charset=""us-ascii"" Content-Transfer-Encoding: quoted-printable DEAR SIR=2C URGENT AND CONFIDENTIAL=3A Re=3ATransfer of $50=2C000=2E000=2E00 USD=5BFIFTY MILLION UNITED STATES DOLLARS=5D=2E WE WANT TO TRANSFER TO OVERSEAS=5B$50=2C000=2E000=2E00=5BFIFTY MILLION UNITED STATES DOLLARS=5DFROM A SECURITY COMPANY IN SPAIN=2CI WANT TO ASK YOU TO QUIETLY LOOK FOR A RELIABLE AND HONEST PERSON WHO WILL BE CAPABLE AND FIT TO PROVIDE EITHER AN EXISTING BANK ACCOUNT OR TO SET UP A NEW BANK ACCOUNT IMMEDIATELY TO RECEIVE THIS MONEY=2CEVEN AN EMPTY ACCOUNT CAN SERVE TO RECEIVE THIS MONEY=2CAS LONG AS YOU WILL REMAIN HONEST TO ME TILL THE END OF THIS IMPORTANT BUSINESS TRANSACTION=2EI WANT TO BELIEVE THAT YOU WILL NEVER LET ME DOWN EITHER NOW OR IN FUTURE=2E I AM DOUGLAS SMITH=2CTHE AUDITOR GENERAL OF MAGNUM TRUST INC=2E MADRID SPAIN DURING THE COURSE OF OUR AUDITING=2CI DISCOVERED A FLOATING FUND IN AN ACCOUNT OPENED IN THE SECURITY COMPANY IN 1990 AND SINCE 1993 NOBODY HAS OPERATED ON THIS ACCOUNT AGAIN=2C AFTER GOING THROUGH SOME OLD FILES IN THE RECORDS I DISCOVERED THAT THE OWNER OF THE ACCOUNT DIED WITHOUT A HEIR HENCE THE MONEY IS FLOATING AND IF I DO NOT REMIT THIS MONEY OUT URGENTLY=2CIT WILL BE FORFEITED FOR NOTHING=2E THE OWNER OF THIS ACCOUNT WAS =22MR=2EALLAN P=2E SEAMAN=22=2CA FOREIGNER AND AN INDUSTRIALIST=2CAND HE DIED SINCE 1993 AND NO OTHER PERSON KNOWS ABOUT THIS ACCOUNT OR ANYTHING CONCERNING IT=2CTHE ACCOUNT HAS NO BENEFICIARY AND MY INVESTIGATION PROVED TO ME AS WELL THAT ALLAN=2EP SEAMAN UNTILL HIS DEATH WAS THE MANAGER DIAMOND SAFARI=5BPTY=5DS=2EA=2E WE WILL START THE FIRST TRANSFER WITH $20 MILLION DOLLARS=5BTWENTY MILLION DOLLARS=5DUPON SUCCESSFUL TRANSFER WITHOUT ANY DISAPPOINTMENT FROM YOUR SIDE=2CWE SHALL RE-APPLY FOR THE TRANSFER OF THE REMAINING $30 MILLION USA DOLLARS=5BTHIRTY MILLION UNITED STATES DOLLARS=5DINTO YOUR ACCOUNT BRINGING THE SUM TOTAL TO $50=2C000=2E000=2E00=5BFIFTY MILLION DOLLARS=5D=2E I AM CONTACTING YOU AS A FOREIGNER BECAUSE THIS MONEY CAN ONLY BE APPROVED TO A FOREIGNER WITH VALID INTERNATIONAL PASSPORT=2CDRIVERS LICENCE AND FOREIGN ACCOUNT BECAUSE THE MONEY IS IN USA DOLLARS AND THE FORMER OWNER OF THE ACCOUNT=22MR=2EALLAN P=2ESEAMAN IS A FOREIGNER=2EI WILL LIKE US TO MEET FACE TO FACE TO SIGN A BINDING AGREEMENT THAT WILL BIND US TOGETHER IN THE BUSINESS=2CI AM REVEALING ALL THESE TO YOU WITH THE BELIEF THAT YOU WILL NEVER LET ME DOWN IN THIS BUSINESS=2CYOU ARE THE FIRST AND ONLY PERSON I AM CONTACTING FOR THE BUSINESS=2CSO PLEASE REPLY URGENTLY FOR ME TO TELL YOU THE NEXT STEP TO TAKE=2EYOU SHOULD FORWARD YOUR TELEPHONE AND FAX NUMBERS AND YOUR BANK ACCOUNT DETAILS THAT WILL BE USED IN TRANSFERING THE MONEY=2E YOU WILL HAVE TO GIVE ME THE ASSURANCE WHEN WE MEET THAT THIS MONEY WILL BE INTACT PENDING OUR PHYSICAL ARRIVAL IN YOUR COUNTRY FOR SHARING AND DISBURSEMENT OF THE FUND WHICH WILL BE 35% FOR YOUR ASSISTANCE=2C60% WILL BE FOR US WHILE 5% WILL BE SET ASIDE TO TAKE CARE OF ALL THE EXPENSES THAT WILL BE INCURRED BY BOTH PARTIES DURING THE COURSE OF THE TRANSFER=2E I LOOK FORWARD TO YOUR EARLIEST RESPONSE=2CALL CORRESPONDENCE FOR NOW SHOULD BE EMAIL FOR SECURITY REASONS=2E BEST REGARDS=2E DOUGLAS SMITH =28PLEASE CONTACT ME THROUGH MY WIFE EMAIL=28princessmar001=40yahoo=2Ecom=29FOR CONFIDENCAIL --===_SecAtt_000_1fnapngoonxcrm Content-Type: application/octet-stream; name=""aaaaaaa.txt"" Content-Transfer-Encoding: base64 Content-Disposition: attachment; filename=""aaaaaaa.txt"" --===_SecAtt_000_1fnapngoonxcrm ------------------------------------------------------- This sf.net email is sponsored by:ThinkGeek Welcome to geek heaven. http://thinkgeek.com/sf _______________________________________________ Spamassassin-Sightings mailing list Spamassassin-Sightings@lists.sourceforge.net https://lists.sourceforge.net/lists/listinfo/spamassassin-sightings",1,1
"Fifth Third Bank - Confirm Your Identity -Mon, 04 Dec 2006 13:30:00 -0800","[, ]",1,1
Inconsistent Data Analysis Results with Multiple Affected Products Identified,"Customer Support,<br>Our financial firm is encountering inconsistent data analysis results, which might be due to software integration issues affecting multiple products. Despite attempts to reinstall the affected software and check for updates, the issue persists and is of significant concern to our business. We would greatly appreciate it if you could look into this matter and provide a solution as soon as possible.<br>Please let us know if we need to provide any additional information.<br>Thank you for your assistance.",0,0
RE: Remittance SwiftReport_AED525605028542549.pdf,"***** Incoming Fax Received *****

Dear jose ,

You have received a 2 page(s) Document via monkey.org Email Fax

Click Download Document To View Your Fax Documents Online.

Number Of Pages: 2 page(s)
Date Received: 12/2/2024 8:16:51 a.m.
Sent To: jose@monkey.org
Reference: SwiftReport_ 757893343267704.pdf

VIEW FAX DOCUMENT

©2024 monkey.org Efax Online.com",1,1
Concern about Website Traffic Reduction,"Noted a decline in website traffic which is impacting our marketing strategies. This might be due to recent algorithm updates. So far, we have analyzed the analytics data and updated our SEO practices to enhance online presence and visibility.",0,0
Optimizing Investment Tracking with Data Analytics,"Dear Customer Support, I am reaching out to seek advice on enhancing investment tracking through data analytics for a variety of products and services. As a user of your platform, I find it difficult to monitor the performance of my investments across different asset classes. Could you recommend any tools or features that could aid in simplifying this task? More specifically, I am interested in methods to visualize my investment portfolio and receive notifications when there is underperformance. I would greatly appreciate any suggestions you can offer on optimizing my investment tracking using data analytics. Thank you for your assistance. Sincerely, [Your Name]",0,0
eBay Security Validation - Update Account Notizc,"Dear eBay Community Member, It has come to our attention that your eBay billing informations are out of order. If you could please take 5-10 minutes out of your online experience and update your personal records you will not run into any future problems with the online service. However, failure to update your records will result in account suspension. Please update your records by November 10th. Once you have updated your account records your eBay session will not be interrupted and will continue as normal. Failure to update will result in cancellation of service, Terms of Service (TOS) violations or future problems. To update your eBay records click here: Thank you for using eBay. Regards, eBay Billing knsexp",1,1
Errors in Billing,"Hello Customer Support, I am contacting you regarding unexpected billing discrepancies in my multiple software subscriptions. These errors appear to stem from irregular payment processing settings, which have led to billing inconsistencies. After conducting a manual review and restarting my subscriptions, the issues still persist. Could you please examine this further and offer a solution? If you need any further information from me, please let me know. Thank you for your help and I look forward to your response.",0,0
Regions Bank: account secure confirmation! (message id: m0491402bl),[],1,1
