row_principle,col_principle,feature_type,mean_group_a,mean_group_b,delta_group_a_minus_group_b,welch_t,welch_p,permutation_p,fdr_p,hedges_g,bootstrap_ci_low,bootstrap_ci_high,significant_fdr_0_05
Authority,Authority,diagonal,0.8892096675985175,0.9398526508334174,-0.05064298323489991,-33.9273067930332,7.578933419637489e-247,0.004975124378109453,0.004975124378109453,-0.3372346059449404,-0.05346594379075731,-0.04740563265508909,True
Authority,Liking,cooccurrence,0.5314167400180124,0.8294052585951459,-0.2979885185771335,-90.79130248884987,0.0,0.004975124378109453,0.004975124378109453,-0.8974740552776758,-0.3042268276818312,-0.28968105255998977,True
Authority,Reciprocity,cooccurrence,0.32959341338325654,0.4160221395861072,-0.08642872620285064,-25.05356117773514,6.650208582352361e-136,0.004975124378109453,0.004975124378109453,-0.30797534947663174,-0.0936450595945247,-0.07895890452683518,True
Authority,Social Proof,cooccurrence,0.2502298483017258,0.3425064436105765,-0.09227659530885074,-31.180386872131752,2.0337163730779215e-206,0.004975124378109453,0.004975124378109453,-0.41385679572979095,-0.09797229037418397,-0.08553123622825629,True
Authority,Scarcity,cooccurrence,0.052487569755556525,0.0700271036834922,-0.017539533927935676,-18.398612891408405,1.0728245582445236e-74,0.004975124378109453,0.004975124378109453,-0.24827610106056378,-0.019326965951300946,-0.015596813703515396,True
Authority,Commitment,cooccurrence,0.018160293423944315,0.023674565571256086,-0.005514272147311771,-17.153361470663857,2.5230567043181465e-65,0.004975124378109453,0.004975124378109453,-0.2196357807717393,-0.006110593739805497,-0.004896995610273575,True
Liking,Liking,diagonal,0.5591408373823723,0.8771067862512208,-0.31796594886884855,-99.88466962778965,0.0,0.004975124378109453,0.004975124378109453,-0.9853897417748441,-0.32341468369160437,-0.3107955978437242,True
Liking,Reciprocity,cooccurrence,0.25989597337051307,0.3921174861861505,-0.13222151281563743,-37.98558029760056,2.3165239017409085e-302,0.004975124378109453,0.004975124378109453,-0.4666716912287269,-0.1396080900925421,-0.12523449123628036,True
Liking,Social Proof,cooccurrence,0.1964534524096939,0.3164099416584905,-0.11995648924879662,-40.79370227534037,0.0,0.004975124378109453,0.004975124378109453,-0.5304586077400291,-0.1256718349386986,-0.11323580123203303,True
Liking,Scarcity,cooccurrence,0.04214320163987104,0.06491589333834052,-0.02277269169846948,-24.149460380491227,3.097472422530706e-126,0.004975124378109453,0.004975124378109453,-0.3238117451887447,-0.024531769990224873,-0.020897006220607636,True
Liking,Commitment,cooccurrence,0.014573845640497343,0.022267234176427324,-0.007693388535929982,-24.0397140921001,2.5751392199022873e-125,0.004975124378109453,0.004975124378109453,-0.3073485807466585,-0.008254092427595316,-0.0070971696335244295,True
Reciprocity,Reciprocity,diagonal,0.34257040792220034,0.42819338707920324,-0.0856229791570029,-25.41942262806084,9.21542535027313e-140,0.004975124378109453,0.004975124378109453,-0.31270777657788607,-0.09271200140393308,-0.07864450721257267,True
Reciprocity,Social Proof,cooccurrence,0.13757890444722548,0.209847057346617,-0.07226815289939151,-24.364998797151785,3.2448182496689613e-128,0.004975124378109453,0.004975124378109453,-0.3439852701525046,-0.07786460960206303,-0.0659688776280217,True
Reciprocity,Scarcity,cooccurrence,0.03027222731414058,0.047855478437787494,-0.017583251123646913,-19.271931629702088,1.2508453387120371e-81,0.004975124378109453,0.004975124378109453,-0.2683119346828424,-0.0192587033435797,-0.015675345537353755,True
Reciprocity,Commitment,cooccurrence,0.01032226522057981,0.01616887069855157,-0.005846605477971759,-18.82435992596109,4.544523641094627e-78,0.004975124378109453,0.004975124378109453,-0.2527636337820673,-0.006380265873977876,-0.0052464268735616295,True
Social Proof,Social Proof,diagonal,0.260626152458945,0.3508596452772636,-0.0902334928183186,-31.273134319442864,1.4736941283698999e-207,0.004975124378109453,0.004975124378109453,-0.4165590145822379,-0.09593829046663928,-0.08386438461875213,True
Social Proof,Scarcity,cooccurrence,0.025516206544061316,0.04327077896905656,-0.017754572424995244,-20.158273879939916,5.377267282691297e-89,0.004975124378109453,0.004975124378109453,-0.2840009038899902,-0.019409217664376796,-0.015911044615562312,True
Social Proof,Commitment,cooccurrence,0.00874318282619063,0.014221368856362267,-0.005478186030171637,-18.573593489987015,4.470632346397587e-76,0.004975124378109453,0.004975124378109453,-0.24961820033107715,-0.005987754764889425,-0.004898669532485867,True
Scarcity,Scarcity,diagonal,0.05462037496554731,0.07111767621745274,-0.016497301251905433,-17.454329919906957,1.725245544638093e-67,0.004975124378109453,0.004975124378109453,-0.2358676554940851,-0.01829055962885411,-0.014558529439687605,True
Scarcity,Commitment,cooccurrence,0.002549606859209433,0.0038341476389653563,-0.0012845407797559233,-10.442631512426727,1.894569765583019e-25,0.004975124378109453,0.004975124378109453,-0.12491618093875206,-0.001498833683388169,-0.0010305392652379983,True
Commitment,Commitment,diagonal,0.01906150502027833,0.024152344808802628,-0.005090839788524298,-15.977168884471132,5.483754850203547e-57,0.004975124378109453,0.004975124378109453,-0.20430631779165284,-0.0056785110410430386,-0.004475146756758257,True
