row_principle,col_principle,feature_type,mean_group_a,mean_group_b,delta_group_a_minus_group_b,welch_t,welch_p,permutation_p,fdr_p,hedges_g,bootstrap_ci_low,bootstrap_ci_high,significant_fdr_0_05
Authority,Authority,diagonal,0.7935641158068059,0.9462612578370265,-0.15269714203022067,-38.578583459308426,9.896323398425273e-278,0.004975124378109453,0.0052238805970149255,-1.0471137578838083,-0.1613566618332568,-0.14480302726708894,True
Authority,Liking,cooccurrence,0.4584083053280442,0.8419077891462803,-0.38349948381823606,-56.54107038158844,0.0,0.004975124378109453,0.0052238805970149255,-1.3549576398717829,-0.3979630945043168,-0.3714835804366323,True
Authority,Reciprocity,cooccurrence,0.3083040581034103,0.5193669418560912,-0.21106288375268095,-37.157770207860665,6.599916356152011e-268,0.004975124378109453,0.0052238805970149255,-0.7041861568215336,-0.22177019672246465,-0.1989669942581881,True
Authority,Social Proof,cooccurrence,0.2977703770371171,0.3670960662030856,-0.06932568916596848,-12.557005565621683,1.4485231861488667e-35,0.004975124378109453,0.0052238805970149255,-0.2863190690218488,-0.08074178017967133,-0.058567033596788644,True
Authority,Scarcity,cooccurrence,0.08561178996446317,0.06469379808606247,0.020917991878400696,9.179528413615468,6.867529373726571e-20,0.004975124378109453,0.0052238805970149255,0.28134542208949626,0.01644144581725236,0.024510078831753476,True
Authority,Commitment,cooccurrence,0.026803496286302783,0.02338693951385001,0.003416556772452773,4.143943653223053,3.4866967831824274e-05,0.004975124378109453,0.0052238805970149255,0.12750517584862847,0.001853368717823918,0.004757828728770248,True
Liking,Liking,diagonal,0.5055278125686034,0.8772553448296235,-0.3717275322610202,-58.368304103434895,0.0,0.004975124378109453,0.0052238805970149255,-1.4110697075120373,-0.38553484243314523,-0.3619080414711326,True
Liking,Reciprocity,cooccurrence,0.25137797031348585,0.49809065237276695,-0.2467126820592811,-42.860134977732294,0.0,0.004975124378109453,0.0052238805970149255,-0.7953952853737939,-0.2585141521390263,-0.23604573063505394,True
Liking,Social Proof,cooccurrence,0.24607551455177598,0.3502055127325141,-0.10412999818073812,-18.67054767023479,5.498598851641405e-75,0.004975124378109453,0.0052238805970149255,-0.41878534571023585,-0.11607066195800847,-0.094000382296456,True
Liking,Scarcity,cooccurrence,0.076133604118,0.06170312846659523,0.014430475651404776,6.271417939360349,3.969286663872225e-10,0.004975124378109453,0.0052238805970149255,0.1919246909550765,0.00994696030451411,0.0181672438380985,True
Liking,Commitment,cooccurrence,0.023867689633948485,0.02236112219864857,0.0015065674352999145,1.8064454631009712,0.070926250524252,0.009950248756218905,0.009950248756218905,0.05554349109121899,-9.850912906663747e-05,0.0029269204226060894,True
Reciprocity,Reciprocity,diagonal,0.330451823545553,0.5297891237333305,-0.1993373001877775,-36.63482286502261,1.2788404705406386e-261,0.004975124378109453,0.0052238805970149255,-0.685485017709245,-0.2096044418577153,-0.18791696260930021,True
Reciprocity,Social Proof,cooccurrence,0.18852242516598042,0.2537968312669176,-0.06527440610093718,-12.861505046461108,3.0820926150159074e-37,0.004975124378109453,0.0052238805970149255,-0.2672982541491359,-0.07540088397155581,-0.0555462663718002,True
Reciprocity,Scarcity,cooccurrence,0.062463493961294005,0.04626301751410822,0.016200476447185787,7.435557352002522,1.2729169400269524e-13,0.004975124378109453,0.0052238805970149255,0.22422170079357828,0.011878886846362825,0.019841120442117624,True
Reciprocity,Commitment,cooccurrence,0.019649446117644305,0.016592684980539448,0.003056761137104857,3.8104195299880126,0.00014087601106842654,0.004975124378109453,0.0052238805970149255,0.11631161688688767,0.0015125370560413877,0.004306023705969745,True
Social Proof,Social Proof,diagonal,0.3153447703073556,0.37377594891851973,-0.05843117861116415,-10.995768899508978,9.06221820499658e-28,0.004975124378109453,0.0052238805970149255,-0.2491519143507058,-0.069336643004414,-0.04826594453613897,True
Social Proof,Scarcity,cooccurrence,0.06408753166438667,0.03473489110511399,0.029352640559272683,13.237366117769872,3.828918514027751e-39,0.004975124378109453,0.0052238805970149255,0.4259512821088415,0.02509780283978427,0.03307656670292701,True
Social Proof,Commitment,cooccurrence,0.01986165004370449,0.012348823299077629,0.00751282674462686,9.32884877383812,1.7655789504325556e-20,0.004975124378109453,0.0052238805970149255,0.30369681223499545,0.0059420947905636555,0.00880807800376787,True
Scarcity,Scarcity,diagonal,0.08917241739846368,0.06567213641481459,0.02350028098364909,10.45284868294257,3.065808407603703e-25,0.004975124378109453,0.0052238805970149255,0.3204666543571285,0.01913224560024674,0.027029761302382098,True
Scarcity,Commitment,cooccurrence,0.008566572842524127,0.0024891528213169764,0.006077420021207151,11.484849743765109,5.0836211733225465e-30,0.004975124378109453,0.0052238805970149255,0.432751136136965,0.0051255445640534985,0.006963504926162286,True
Commitment,Commitment,diagonal,0.02858429665203072,0.023819995970370485,0.004764300681660234,5.851304580462349,5.280824490257353e-09,0.004975124378109453,0.0052238805970149255,0.18020200813630463,0.003271940244585776,0.006079712309941805,True
