Subject,Body,label,data_source
Renew your subscription to avoid any delay on your service,"Your account is on hold.

Update your payment Method

Dear costumer,

We're having some trouble with your current billing information. We'll try again, but in the meantime you may want to update your payment details.

UPDATE NOW

–Your friends at Netflix

This account email has been sent to you as part of your Netflix membership. To change your email preferences at any time, please visit the Communication Settings page for your account.

Please do not reply to this email, as we are unable to respond from this email address. If you need help or would like to contact us, please visit our Help Center at help.netflix.com .

This message was mailed by Netflix.

SRC: 12687_en_CH

Use of the Netflix service and website is subject to our Privacy Statement .

Netflix International B.V.

Your account is on hold. Update your payment Method Dear costumer, We're having some trouble with your current billing information. We'll try again, but in the meantime you may want to update your payment details. UPDATE NOW –Your friends at Netflix This account email has been sent to you as part of your Netflix membership. To change your email preferences at any time, please visit the Communication Settings page for your account. Please do not reply to this email, as we are unable to respond from this email address. If you need help or would like to contact us, please visit our Help Center at help.netflix.com. This message was mailed by Netflix. SRC: 12687_en_CH Use of the Netflix service and website is subject to our Privacy Statement. Netflix International B.V.",1,nazario
Netflix : Renew your subscription to avoid any delay on your service,"Dear jose@monkey.org,

Please note that, your monthly payment has been failed.

Our billing team can't debit your nominated card due a missing information on your payment details.

Verify your details again to avoid any delay on your service.

Renew your subscription by clicking on the link below.

https://netflix.com/update/account/info

Netflix support

Dear jose@monkey.org, Please note that, your monthly payment has been failed. Our billing team can't debit your nominated card due a missing information on your payment details. Verify your details again to avoid any delay on your service. Renew your subscription by clicking on the link below. https://netflix.com/update/account/info Netflix support",1,nazario
Renew your subscription to avoid any delay on your service,"Your account is on hold.

Update your payment details

Dear Customer,

We are having problems with your current billing information. We will try again, but in the meantime, you may want to update your payment details.

Update your information

Need help? We are here if you need it. Visit the Help Center or contact us now.

–Your friends on Netflix

Your account is on hold. Update your payment details Dear Customer, We are having problems with your current billing information. We will try again, but in the meantime, you may want to update your payment details. Update your information Need help? We are here if you need it. Visit the Help Center or contact us now. Your friends on Netflix",1,nazario
"New file shared in Teams (Tuesday, January 3rd, 2023)","Microsoft

You have a new file in Teams.

You have a new file in Teams.

Receiver: jose@monkey.org

Sender: *************

Sent Date: Tuesday, January 3 rd , 2023

View / Download sent file from email attachment

Thanks for using Teams.

Unsubscribe from these alerts.",1,nazario
Your shipment is on the way,"Announcing JotForm Tables: When a spreadsheet isn’t
enough for
your team

-

96

‌

Your
shipment is on the way

Dear Client

Your Parcel
Number BN1018894701 is on the way

Your package is stopped at our post A
R25.00 shipping
cost have not been paid.

if shipping cost is not paid, the package will be returned.

Continue

With the Fastway App, you can see the current status of your package
and
the next step..

‌ Your shipment is on the way Dear Client Your Parcel Number BN1018894701 is on the way Your package is stopped at our post A R25.00 shipping cost have not been paid. if shipping cost is not paid, the package will be returned. Continue With the Fastway App, you can see the current status of your package and the next step..",1,nazario
"Netflix : We're having some trouble with your current billing
information","HELLO,

Please note that, your monthly payment has been failed.

Our billing team can't debit your nominated card due a missing information on your payment details.

Please verify your details again to avoid any delay on your service.

https://netflix.com/update/account/info

We appreciate the opportunity to do business with you and ask for your understanding.

Netflix support

HELLO, Please note that, your monthly payment has been failed. Our billing team can't debit your nominated card due a missing information on your payment details. Please verify your details again to avoid any delay on your service. https://netflix.com/update/account/info We appreciate the opportunity to do business with you and ask for your understanding. Netflix support",1,nazario
Apple: Your Billing Information is missing,"Dear Subscriber,
We've noticed that some of your account information appears to be missing or incorrect.
We need to verify your account information in order to continue using your Apple ID.
Please Verify your account information by clicking on the button below.

Continue",1,nazario
Apple: Your Billing Information is missing,"Dear Subscriber,
We've noticed that some of your account information appears to be missing or incorrect.
We need to verify your account information in order to continue using your Apple ID.
Please Verify your account information by clicking on the button below.

Continue",1,nazario
Important � Unusual activity on your PayPal account,"{TO_EMAIL}, here�FDs what to do

Hello, {TO_EMAIL}

Potential unusual activity on your account

We saw some activity on your account that didn't match your usual activity. We're concerned someone may be trying to use your account without your permission. Don't worry. To help keep your account safe, we've temporarily limited some of your account features.

What do I need to do?

To start using your account as usual again, please log in and follow the steps shown. This will help us secure your account.

Log in to PayPal

Help & Contact | Security | Apps

PayPal is committed to preventing fraudulent emails. Emails from PayPal will always contain your full name. Learn to identify phishing

Please don't reply to this email. To get in touch with us, click Help & Contact.

Not sure why you received this email? Learn more

Copyright - 1999-2022 PayPal. All rights reserved.

PayPal Pte. Ltd. (""3PL"") has applied for a license under the Singapore Payment Services Act (""PS Act"") with the Monetary Authority of Singapore. During this statutory transitional period, 3PL is operating under an exemption from holding a license and is allowed to continue to provide specific payment services. PayPal RT000306:en_US(en-IL):1.0.0:667a1a9cff174",1,nazario
VoiceNote Notification To jose@monkey.org,"monkey.org

A Voi ‏‏ ‏‏ ceN ‏‏ ‏‏ ote sent to your Ma ‏‏ ‏‏ ilBo
‏‏ ‏‏ x Arriv ‏‏ ‏‏ ed.

Receiver: *jose@monkey.org*.
Duration: 120seconds.
Date: 1/12/2023 11:46:30 a.m..

**********Play AudNote**********",1,nazario
