subject,body,label,model_prediction
jose@monkey.org You Have Received A File Invoice via WeTransfer,"WeTransfer

SILENTCODERSEMAIL You have received
two file via WeTransfer

2 Files, 145 MB in total · Will be deleted on 11/1/2023 2:35:45 a.m.

CLICK HERE TO DOWNLOAD

To make sure our emails arrive, please add noreply@wetransfer.com to your contacts.",1,0
Exploring Digital Strategies for Brand Expansion,"Customer Support, we are here to assist with inquiries related to services that integrate digital strategies to achieve effective brand growth. We are interested in learning more about the services that can help our business expand its online presence and increase brand awareness. Could you provide insights on various digital strategies, such as social media marketing, email marketing, and search engine optimization? We would greatly appreciate any information about the costs associated with these services, as well as some case studies and success stories.",0,0
"Benefit package : Compensation Adjustment, Salary-Increase, Insurance Revision for [user]@cornell.edu","Benefit package : Compensation Adjustment, Salary-Increase, Insurance Revision for [user]@cornell.edu",1,0
Important Information! (message id: t99370347824384),[],1,0
Please update your data! (mess_id: v264550155pv),[],1,0
Secure Medical Data Storage and Access Controls,"Dear Customer Support, I am hoping to obtain detailed information about the secure storage and stringent access controls for medical data in our hospital's IT systems and associated devices. Given the sensitive nature of medical data, it is imperative that the highest level of security is maintained to prevent unauthorized access. Could you provide specifics about the measures in place to ensure the confidentiality, integrity, and availability of this data? Specifically, are encryption methods utilized to safeguard the data? Are there access restrictions in place to ensure only authorized personnel can access it? Additionally, I would appreciate information on the backup and recovery procedures that are implemented in case of a disaster or system failure. Furthermore, could you detail the staff training programs for handling medical data and the protocols for reporting and responding to security incidents? It is crucial to have robust security measures in place to protect this confidential information and avoid any breaches. I look forward to receiving the information you have. Thank you for your assistance.",0,0
Urgent Assistance Required for Data Analytics Dashboard Issue,"Dear Customer Support,\n\nI am reaching out to report a problem with our data analytics dashboard. The dashboard unexpectedly stopped working, and we discovered that the TensorFlow model failed to load. We believe this might be due to insufficient memory allocation. We have already tried restarting the system and checking the dependencies, but the issue still persists.\n\nThe dashboard is crucial for our operations, and we kindly request your help in addressing this matter as soon as possible. Could you please investigate and provide a solution or guidance on how to proceed?\n\nThank you for your time and support. We look forward to your response soon.\n\nBest regards,\n[Your Name]",0,0
Problems with Excel Investment Analysis Tool,"Hello Customer Support, recently the investment analysis tool in Excel 2021 has been unresponsive when processing large datasets. This might be due to memory overload or software compatibility issues. I have already restarted my PC, cleared the cache, and updated the software, but the issue still persists. I would greatly appreciate any assistance in resolving this matter as it is impacting my work. Please let me know if there are additional steps I need to take and what specific information you require from me.",0,0
Exploring Strategies for Promoting Smart Home Products,"Customer Support, seeking to understand the digital strategies your company employs to promote smart home products and related tech accessories. A consumer is interested in learning about your marketing and advertising approaches for these products. Specifically, we would like to know more about the social media campaigns, email marketing efforts, and online promotions that you use. Additionally, we are curious about your plans to expand your product offerings in the near future. Could you provide insights into your current strategies and any upcoming initiatives?",0,0
Re: Urgent Issue with Mercury Language - Parsing Error in Production,"Hi Support Team,

Thank you for the detailed explanation and the workaround. We implemented the temporary fix, and it resolved the parsing error in our production environment. We appreciate your quick response and support in resolving this critical issue. We'll keep an eye out for the upcoming Mercury language version 1.2.4 release.

Thanks again,
John",0,0
