row_number,source_kind,source_path,source_row_number,subject,AI Verdict,AI Confidence,AI Phishing Score (0-10),AI Identified Brands,Key Suspicious Elements Cited by AI,AI Explanation,official_status,official_error,official_returncode
1,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/email_phishing_detection_v3_001401_001500/chunk_input.csv,1,Re-enrolment for 2008,,,,,,,Analysis completed with errors,,0
2,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/email_phishing_detection_v3_001401_001500/chunk_input.csv,2,Ihr 100��� Geschenkgutschein,,,,,,,Analysis completed with errors,,0
3,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/email_phishing_detection_v3_001401_001500/chunk_input.csv,3,Problems with Software Update,,,,,,,Analysis completed with errors,,0
4,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/email_phishing_detection_v3_001401_001500/chunk_input.csv,4,Project Schedule View Not Functional,,,,,,,Analysis completed with errors,,0
5,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/email_phishing_detection_v3_001401_001500/chunk_input.csv,5,Investment Dashboard Problem,,,,,,,Analysis completed with errors,,0
6,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/email_phishing_detection_v3_001401_001500/chunk_input.csv,6,Pipeline Update - January 14,,,,,,,Analysis completed with errors,,0
7,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/email_phishing_detection_v3_001401_001500/chunk_input.csv,7,Important NOTICE,,,,,,,Analysis completed with errors,,0
8,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/email_phishing_detection_v3_001401_001500/chunk_input.csv,8,API Monitoring - Irregular Latency Spikes,,,,,,,Analysis completed with errors,,0
9,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/email_phishing_detection_v3_001401_001500/chunk_input.csv,9,Details on Netgear Nighthawk Mesh Wi-Fi 6 System,,,,,,,Analysis completed with errors,,0
10,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/email_phishing_detection_v3_001401_001500/chunk_input.csv,10,You have won an Le Creuset,,,,,,,Analysis completed with errors,,0
11,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/email_phishing_detection_v3_001401_001500/chunk_input.csv,11,Pipeline Update - February 21,,,,,,,Analysis completed with errors,,0
12,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/email_phishing_detection_v3_001401_001500/chunk_input.csv,12,RE: AOL NOTIFICATION,,,,,,,Analysis completed with errors,,0
13,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/email_phishing_detection_v3_001401_001500/chunk_input.csv,13,Sustainable Energy: The Uncharted Path to Savings,,,,,,,Analysis completed with errors,,0
14,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/email_phishing_detection_v3_001401_001500/chunk_input.csv,14,ICANN Required e-Mail verification for monkey.org user(s),,,,,,,Analysis completed with errors,,0
15,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/email_phishing_detection_v3_001401_001500/chunk_input.csv,15,Re: URGENT: Unable to Access API Dashboard - Suspected Role Issue,,,,,,,Analysis completed with errors,,0
16,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/email_phishing_detection_v3_001401_001500/chunk_input.csv,16,Re: Urgent: Production Outage - Database Cluster Unreachable,,,,,,,Analysis completed with errors,,0
17,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/email_phishing_detection_v3_001401_001500/chunk_input.csv,17,Sell Your House Fast and Easy - Get a Cash Offer Today!,,,,,,,Analysis completed with errors,,0
18,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/email_phishing_detection_v3_001401_001500/chunk_input.csv,18,Subject: Attention required,,,,,,,Analysis completed with errors,,0
19,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/email_phishing_detection_v3_001401_001500/chunk_input.csv,19,"RealGM Heads Up: May. 25, 2023",,,,,,,Analysis completed with errors,,0
20,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/email_phishing_detection_v3_001401_001500/chunk_input.csv,20,Action required now - You have a new document jose@monkey.org,,,,,,,Analysis completed with errors,,0
21,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/email_phishing_detection_v3_001401_001500/chunk_input.csv,21,Research Opportunity,,,,,,,Analysis completed with errors,,0
22,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/email_phishing_detection_v3_001401_001500/chunk_input.csv,22,Ends Today...,,,,,,,Analysis completed with errors,,0
23,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/email_phishing_detection_v3_001401_001500/chunk_input.csv,23,BUSINESS AND PROJECT LOAN OFFER,,,,,,,Analysis completed with errors,,0
24,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/email_phishing_detection_v3_001401_001500/chunk_input.csv,24,Activate your FREE LinkedIn Learning account,,,,,,,Analysis completed with errors,,0
25,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/email_phishing_detection_v3_001401_001500/chunk_input.csv,25,Re: Re: Best CNC and metal parts supplies,,,,,,,Analysis completed with errors,,0
26,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/email_phishing_detection_v3_001401_001500/chunk_input.csv,26,Problem with Smart-Home Devices,,,,,,,Analysis completed with errors,,0
27,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/email_phishing_detection_v3_001401_001500/chunk_input.csv,27,Switching Up Your DSL Game! 🚀,,,,,,,Analysis completed with errors,,0
28,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/email_phishing_detection_v3_001401_001500/chunk_input.csv,28,Detected Unauthorized Access to Medical Data,,,,,,,Analysis completed with errors,,0
29,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/email_phishing_detection_v3_001401_001500/chunk_input.csv,29,Support Request for Handling Data Inconsistencies,,,,,,,Analysis completed with errors,,0
30,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/email_phishing_detection_v3_001401_001500/chunk_input.csv,30,"PO Approval Required: €62,689",,,,,,,Analysis completed with errors,,0
31,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/email_phishing_detection_v3_001401_001500/chunk_input.csv,31,API Monitoring - Irregular Spike in Latency,,,,,,,Analysis completed with errors,,0
