Subject,Body,label,data_source,original_subject,original_body,original_data_source,row_number,prompt_kind,prompt_rounds,model,token_estimate,skipped,skip_reason
Important Information Regarding Fake Check Scams,"Recently, there has been an increase in fraudulent emails posing as payroll services from Cornell University. These emails may contain fake checks in the form of PDF attachments. It is important to be cautious and not attempt to deposit these checks.

If you have already interacted with these emails or have any concerns, please refer to the Beware of Job and Internship Scams guide from Career Services for more information on how to protect yourself. Thank you.",1,generic-data:Cornell-Phsihing-Bowl-232425:cornell-phish-bowl|utaliyeva2023:adversarial:r1,**PAYCHECK**,"This phish typically originates from non-Cornell email infrastructure and spoofs (or fakes) a Cornell University email address. The sender may appear as ""Payroll Services <payroll@cornell.edu>"". This email is typically received after a victim has already replied to a student employment scam. The email contains a fake check in the form of a PDF attachment. Do not attempt to deposit the checks and cease all contact with the sender. See  Beware of Job and Internship Scams  from Career Services for more information.",generic-data:Cornell-Phsihing-Bowl-232425:cornell-phish-bowl,2,adversarial,1,gpt-3.5-turbo,114,false,
Important Notice Regarding Phishing Email,"Dear [Recipient],

We have noticed an increase in phishing emails with subjects like ""Part-Time Job Opening"" or ""Research Project Available"". These emails often come from non-Cornell email addresses and may appear to be from a spoofed faculty member.

Please be cautious and do not engage with these emails. They are not legitimate job offers or research opportunities. For more information on how to spot job and internship scams, please refer to the Beware of Job and Internship Scams from Career Services.

Thank you for your attention to this matter.

Best regards,
[Your Name]",1,generic-data:Cornell-Phsihing-Bowl-232425:cornell-phish-bowl|utaliyeva2023:adversarial:r1,"Subject varies: ""Part-Time Job Opening"", ""Research Project Available""","This phish typically originates from a non-Cornell email address. The sender may appear as ""[Spoofed Name] <[user]@gmail.com>"" and impersonates a faculty member. Do not contact the sender. This is not a legitimate offer for employment. See Beware of Job and Internship Scams from Career Services.",generic-data:Cornell-Phsihing-Bowl-232425:cornell-phish-bowl,3,adversarial,1,gpt-3.5-turbo,85,false,
Urgent Message Regarding Your Email Account,"Hello,

You received a new voice message on your mailbox [Number] from [Name] on Monday January 29, 2024 at [Time]. Please be cautious of emails that may look suspicious, especially those coming from non-Cornell accounts like ""Lori [Surname] <[user]@bissnussinc.com>"".

If you have opened any email attachments that redirect to a login page and entered your credentials, please reset your NetID password immediately for security purposes at https://netid.cornell.edu.

Thank you.",1,generic-data:Cornell-Phsihing-Bowl-232425:cornell-phish-bowl|utaliyeva2023:adversarial:r1,"New voice message from [Name], on Monday January 29, 2024 [Time] [AM/PM] for mailbox [Number]","This phish typically originates from a non-Cornell account. The sender may appear as ""Lori [Surname] <[user]@bissnussinc.com>"". The email contains a PDF attachment that directs to a fake login page. If you entered your credentials into the page, change your NetID password immediately at https://netid.cornell.edu .",generic-data:Cornell-Phsihing-Bowl-232425:cornell-phish-bowl,4,adversarial,1,gpt-3.5-turbo,106,false,
Important Information Regarding Phishing Emails,"It has come to our attention that there may be phishing emails circulating that appear to be from Cornell University email addresses but are actually sent from non-Cornell email infrastructure. These emails may come from a sender with the name ""[Spoofed Name] <[NetID or alias]@cornell.edu>"" and may impersonate a faculty member. Please be cautious and do not reply to these emails. For more information, please refer to the Beware of Job and Internship Scams from Career Services.",1,generic-data:Cornell-Phsihing-Bowl-232425:cornell-phish-bowl|utaliyeva2023:adversarial:r1,TASK 1 (PRICE INQUIRY),"This phish may originate from a spoofed Cornell University email address , and is sent from non-Cornell email infrastructure. The sender may appear as ""[Spoofed Name] <[NetID or alias]@cornell.edu>"" and impersonates a faculty member. This email is typically seen after responding to a prior student employment phishing email. Elements of this message may vary, such as sender, named department, and listed items. Do not reply to the sender. See  Beware of Job and Internship Scams from Career Services for more details.",generic-data:Cornell-Phsihing-Bowl-232425:cornell-phish-bowl,5,adversarial,1,gpt-3.5-turbo,124,false,
Verification Needed for Your Cornell University Account,"Hello,

We have noticed that your Cornell University Microsoft account is scheduled for deactivation due to retirement, graduation, or account holder transfer. However, our records indicate that you are still an active member. To ensure that your account remains active, please verify this request.

Please verify your CORNELL account promptly to prevent deactivation.

[Verification Link]

This is a one-time submission and entry requirement.

Thank you,

Cornell University Service Desk Team",1,generic-data:Cornell-Phsihing-Bowl-232425:cornell-phish-bowl|utaliyeva2023:adversarial:r1,NOTICE BY ADMIN VERIFY YOUR WORK/SCHOOL ACCOUNT,"Your Cornell University Microsoft account has been filed under the list of accounts set for deactivation due to retirement/graduation/or transfer of the concerned account holder. But the record shows you are still active in service and so advised to verify this request otherwise give us reason to deactivate your university account.

Please Verify your CORNELL immediately to avoid Deactivation.

Verify Here

Please note this one-time submission and entry only..

Warm Regards,

Thank You

Cornell University Service Desk Team",generic-data:Cornell-Phsihing-Bowl-232425:cornell-phish-bowl,6,adversarial,1,gpt-3.5-turbo,107,false,
Access Your Document Now,We want to inform you that your document is now available for download. Thank you.,1,generic-data:Cornell-Phsihing-Bowl-232425:cornell-phish-bowl|utaliyeva2023:adversarial:r1,Your document is available for download.,Your document is available for download.,generic-data:Cornell-Phsihing-Bowl-232425:cornell-phish-bowl,7,adversarial,1,gpt-3.5-turbo,16,false,
Apply for Research Assistant Position,Please download the attached barcode and scan it to access the application form for the Research Assistant position. We look forward to receiving your application.,1,generic-data:Cornell-Phsihing-Bowl-232425:cornell-phish-bowl|utaliyeva2023:adversarial:r1,Sign Up for the Position of Research Assistant,"Download the Barcode below, Scan and fill the form below for the position of Research Assistant.",generic-data:Cornell-Phsihing-Bowl-232425:cornell-phish-bowl,8,adversarial,1,gpt-3.5-turbo,29,false,
"Reminder: Mailbox Expiration Notice - March 30, 2023",,1,generic-data:Cornell-Phsihing-Bowl-232425:cornell-phish-bowl|utaliyeva2023:adversarial:r1,"Mailbox Expiration Notice Thursday, March 30, 2023","Mailbox Expiration Notice Thursday, March 30, 2023",generic-data:Cornell-Phsihing-Bowl-232425:cornell-phish-bowl,9,adversarial,1,gpt-3.5-turbo,31,false,
Important Notice Regarding Student Debt Payment,"Dear [Recipient],

Please be advised that the Office of the Bursar will not contact you via SMS or text message for direct payments of student debt. If you receive any messages claiming to be from the Bursar's Office asking for payment, please do not click on any links or call any phone numbers provided. These messages could be fraudulent and lead to potential security risks.

If you have any concerns or questions about your student debt payment, please contact the Bursar's Office directly through official channels.

Thank you for your attention to this matter.

Sincerely,
[Your Name]
Bursar's Office, Cornell University",1,generic-data:Cornell-Phsihing-Bowl-232425:cornell-phish-bowl|utaliyeva2023:adversarial:r1,[SMS/Text] Bursar Office - Student Debt Payment Due,The Office of the Bursar will not contact you for direct payments of student debt in this way. These messages may include links to malicious websites or may redirect you to a phone number not affiliated with Cornell.,generic-data:Cornell-Phsihing-Bowl-232425:cornell-phish-bowl,10,adversarial,1,gpt-3.5-turbo,59,false,
Safety Alert from Cornell University,"Dear [Recipient],

We wanted to bring to your attention a phishing attempt that has been reported using subject lines such as ""Important Notice: Account disconnection will take place tomorrow at 12:00 Midnight if not resolved"" or ""Thank you for being part of Cornell University."" Please be cautious and aware of any suspicious emails you receive.

Thank you for your attention to this matter.

Sincerely,
Cornell University",1,generic-data:Cornell-Phsihing-Bowl-232425:cornell-phish-bowl|utaliyeva2023:adversarial:r1,Cornell University,"This phish has also been seen with the subjects: ""Important Notice: Account disconnection will take place tomorrow at 12:00 Midnight if not resolved."" or ""Thank you for being part of Cornell University.""",generic-data:Cornell-Phsihing-Bowl-232425:cornell-phish-bowl,11,adversarial,1,gpt-3.5-turbo,48,false,
