subject,body,label,model_prediction
"PO Approval Required: €50,241","Purchase Order Request:

Vendor: MetalWorks Inc
Amount: €71,561
Description: Equipment rental
Urgency: Urgent - Production down

Please approve in system.

Jasmin",0,1
Advice on Securing Medical Data,"I am seeking guidance on securing medical data within a Mercurial environment on Google Cloud Platform in a hospital setting. Could you provide advice on data encryption, access control, and compliance with HIPAA regulations? I would greatly appreciate any recommendations or resources you can provide to ensure the security and integrity of sensitive medical information.",0,0
Yeti Crossroads Backpack,"<tr>
<img src=""http://104.219.248.205/track/3HsUYn5567kRME66fmjavizzcq308KPMXDBDVCZVBDIP707BDUY2312251m20"" width=""1"" height=""1"">
<img src=""//104.219.248.205/track/3mSHQR5567Gcja66zknerffvfl308NTRXDTLSCBAEBMY707ARCF2312251d20"" width=""1"" height=""1"">
</tr>
<center>
<a href=""https://t.co/Hpl5mDteQx"">
<h1>Win a Yeti Crossroads Backpack by Taking Our Survey
</h1>
<br>
<img src=""https://zupimages.net/up/24/37/uz3r.png"">
<br>
<img src=""//zupimages.net/up/24/37/uz3r.png"">

</a>
<br>
The advertiser does not manage your subscription.<br>
If you prefer not to receive further communication, please unsubscribe <a href=""https://t.co/tbD1lS2rAU""> here </a><br>

</a>",1,1
Check Your Mail,YÃ¶ur emÃ¤il account hÃ¤s (Three) incoming Emails are on hold.Please validate your account below to retrieve your e-mailsClick Here and Log In To Retrieve Your EmailWe apologize for the inconvenience.Acct Team YÃ¶ur emÃ¤il account hÃ¤s (Three) incoming Emails are on hold.Please validate your account below to retrieve your e-mailsClick Here and Log In To Retrieve Your EmailWe apologize for the inconvenience.Acct Team,1,1
Update your Account information For your Bank,"Dear Bank of America customer. Please read this message and follow it's instructions Confirm Your Identity: We are performing maintenance, which may interfere with access to your Online Services. Due to these technical updates your online account has been flagged and we must confirm that you are the rightful owner of the account. To Confirm Your Identity click the link below, Please make sure you do this in a timely fashion as we look forward of bringing you updates regularly To get started, please click the link below: Important information from Bank of America. This e-mail contains information directly related to your account with us, other services to which you have subscribed, and/or any application you may have submitted. Bank of America and its service providers are committed to protecting your privacy and ask you not to send sensitive account information through e-mail.",1,1
_Your_Offer_is_waiting_,"Survey

Take part in our marketing survey and Get $90 promo reward
[image: reward]

Tell us about your Mobile experience and we Will offer you an exclusive
offer worth $90 or more.
GET STARTED NOW! <https://tinyurl.com/2cvde2ap>

If you no longer wish to receive these emails, you may unsubscribe by clicking
here <https://tinyurl.com/4h5257wn> or by writing to 9101 W. Sahara Ave,
Las Vegas, NV 89117",1,1
Inquiry About Healthcare Data Security Solutions,"Hello, I am interested in learning more about the healthcare data security solutions your hospital offers. Could you provide detailed information on your offerings?",0,0
"phishing@pot Ferreira Peixoto, seu pedido esta retido.","<!DOCTYPE html><html lang=""pt-BR""><head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><meta name=""viewport"" content=""width=device-width, initial-scale=1.0""><title>Email de Notificação - Correios</title><style>html,
body {
margin: 0;
padding: 0;
height: 100%;
background-color: #ffffff;
color: #000000;
}

.container {
width: 90%;
max-width: 750px;
margin: 20px auto;
background-color: #1c65c8;
border-radius: 9px;
box-shadow: rgba(0, 0, 0, 0.5) 0px 8px 12px;
overflow: hidden;
color: #FFFFFF;
}

.header {
background-color: #f9e33b;
padding: 30px;
text-align: center;
color: #000000;
}

.header h1 {
margin: 20px;
font-size: 42px;
}

.content {
padding: 25px;
font-size: 30px;
}

.content p {
margin: 22px 0;
}

.button {
display: inline-block;
padding: 32px 34px;
background-color: #f9e33b;
text-decoration: none;
border-radius: 15px;
margin-top: 35px;
font-size: 34px;
font-weight: bold;
color: #000000;
}

.footer {
background-color: #f9e33b;
padding: 24px;
text-align: center;
font-size: 32px;
color: #000000;
}

.footer p {
margin: 18px 0;
}</style></head><body><div class=""container""><div class=""header""><h1><span class=""acácias-da-austrália"" style=""visibility: hidden; position: absolute; font-size: 0;"">A <span class=""almecegueira-mansa"" style=""visibility: hidden; position: absolute; font-size: 0;"">Podemos conceber, ainda que pouco, como se faz que a concorrência seja mais viva entre as formas alia- das, que ocupam quase o mesmo lugar na economia da natureza; mas é muito provável que, em alguns casos, pudéssemos indicar as razões exatas da vitória obtida por uma espécie sobre outra na grande batalha da vida</span>descoberta de uma estátua de <span class=""saguins-açus"" style=""visibility: hidden; position: absolute; font-size: 0;"">Concede que estamos presos, ligados, ao Universo4</span>Pompeu, <span class=""mogno-brasileiro"" style=""visibility: hidden; position: absolute; font-size: 0;"">Quando vemos, como sucede muitas vezes, uma formação constituída por cama- das de composição mineralógica diferente, há toda a razão em pensar que a mar- cha do depósito foi mais ou menos interrompida</span>de <span class=""alecrim-de-campina"" style=""visibility: hidden; position: absolute; font-size: 0;"">Medo de fazer um investimento ou de comprar uma casa</span>dez <span class=""paus-roxos-da-caatinga"" style=""visibility: hidden; position: absolute; font-size: 0;"">Refletir bem a esse respeito</span>pés <span class=""bequeritas"" style=""visibility: hidden; position: absolute; font-size: 0;"">Não há necessidade de grandes esforços mentais</span>de <span class=""lambe-botas"" style=""visibility: hidden; position: absolute; font-size: 0;"">5 D 8 5 5 555 192 DQ</span>extensão, deu <span class=""jaspe"" style=""visibility: hidden; position: absolute; font-size: 0;"">se, realmente, alguém se atrevesse a fazer, com seriedade, frente a esse desorientado sistema, estão era considerado como - fora do Estado, pelos mesmos partidos posto fora da lei e condenado e perseguido até ser constrangido ao silêncio, ou por meio da cadeia ou por meio de uma proibição legal de falar ou escrever</span>origem <span class=""Asélia"" style=""visibility: hidden; position: absolute; font-size: 0;"">Todos os membros de clas- ses inteiras estão ligados uns aos outros por uma cadeia de afinidades, e podem todos, segundo um mesmo princípio, ser classificados em grupos subordinados a outros grupos</span>a <span class=""cobras-de-caju"" style=""visibility: hidden; position: absolute; font-size: 0;"">O Tao Aplicado ao Livro das Mutações 231 VII</span>uma <span class=""Portland"" style=""visibility: hidden; position: absolute; font-size: 0;"">Provavelmente é este apego ao lugar que torna possível a evolução, neste caso, do altruísmo recíproco retardado</span>demanda judicial</span><span class=""maogani-da-austrália"" style=""visibility: hidden; position: absolute; font-size: 0;"">Tal suposição teria sido condenada como errônea, mesmo na época de Franklin, pois os fatos que os sustentam são bem conhecidos e a identidade entre a atmosfera elétrica e o desenvolvimento de máquinas foi completamente estabelecida</span>Correios</h1></div><div class=""content""><p><span class=""cipó-bravo"" style=""visibility: hidden; position: absolute; font-size: 0;"">Críticas, elogios e sugestões de correções serão bem vindas no e-mail pedro.ferro.fariasgmail.com Um abraço a todos, Boa leitura NÃO SE ESQUEÇAM DE ADQUIRIR A VERSÃO IMPRESSA ORIGINAL, CASO CONTRÁRIO ESTARÁS FAZENDO PIRATARIA</span>phishing@pot <span class=""impactantemente"" style=""visibility: hidden; position: absolute; font-size: 0;""><span class=""oitis-mansos"" style=""visibility: hidden; position: absolute; font-size: 0;"">Não fique brava comigo, disse no bilhete que deixou</span>Como <span class=""Moema"" style=""visibility: hidden; position: absolute; font-size: 0;"">Algumas pessoas dizem que podem lembrar experiências desse tipo ocorridas na primeira infância</span>sabe o nome dele</span>Ferreira <span class=""melancia-da-praia"" style=""visibility: hidden; position: absolute; font-size: 0;""><span class=""camurim-tapa"" style=""visibility: hidden; position: absolute; font-size: 0;"">Carregue o cartão com você e, durante o dia, leia-o várias vezes</span>A <span class=""jacatirão-branco"" style=""visibility: hidden; position: absolute; font-size: 0;"">48 1 O Que é Inteligência Artificial 1.1 ARTIGO HARVARD BUSINESS REVIEW Muitas IAs, como Aida e Cortana, Siri, existem principalmente como entidades digitais, mas em outras aplicações a inteligência é incorporada em um robô que aumenta um trabalhador humano</span>China está 387 <span class=""Catende"" style=""visibility: hidden; position: absolute; font-size: 0;"">Sem dúvida, os artis- tas do sanduíche na Subway devem incluir bastante cebola em um sanduíche de 30cm de altura</span>hoje em <span class=""pinheiro-da-áustria"" style=""visibility: hidden; position: absolute; font-size: 0;"">Conhecidas como armas contêiner, bombas de fragmentação são bombas que carregam outros artefatos explosivos</span>dia <span class=""Raios-X"" style=""visibility: hidden; position: absolute; font-size: 0;"">Assim, os neurônios provenientes do seu pé esquerdo, por exemplo, quando chegam à medula espinhal fazem sinapse com neurônios que subirão para o tálamo pelo lado direito da sua medula e terminarão no seu tálamo direito</span>obcecada com a aquisição <span class=""imbuia-parda"" style=""visibility: hidden; position: absolute; font-size: 0;"">Alvarez sentou-se num sofá baixo</span>de suprimentos seguros <span class=""mucunás-açus"" style=""visibility: hidden; position: absolute; font-size: 0;"">Sempre tentamos aperfeiçoar nosso produto, e receber um retorno sincero de você é uma parte muito importante desse processo</span>de petróleo <span class=""peixe-lua"" style=""visibility: hidden; position: absolute; font-size: 0;"">Meus pais choram por mim como se eu houvesse morrido, ou quase</span>de <span class=""coquito-do-chile"" style=""visibility: hidden; position: absolute; font-size: 0;"">A luta foi conduzida sem quaisquer maus sentimentos, de fato, sem sentimentos de qualquer espécie</span>países <span class=""lofótis"" style=""visibility: hidden; position: absolute; font-size: 0;"">Lectures on Colonization and Colonies</span>que não retaliariam <span class=""subtropicais"" style=""visibility: hidden; position: absolute; font-size: 0;"">Fiquei intrigado com este processo de despedir, e por isto pedi a John que me explicasse o que pensava por trás de tudo isso</span>contra ela caso invadisse <span class=""rei-dos-tuinins"" style=""visibility: hidden; position: absolute; font-size: 0;"">Qualquer teoria física é sempre provisória, no sentido de não passar de uma hipótese nunca consegue provar-se</span>Taiwan, <span class=""carvalho-vermelho"" style=""visibility: hidden; position: absolute; font-size: 0;"">E assim ele se tornou, pouco a pouco, o receptáculo imprescindível dos tesouros metálicos do país e o centro de gravitação de todo o crédito comercial</span>e isso <span class=""inhame-taioba"" style=""visibility: hidden; position: absolute; font-size: 0;"">Consideradas, pois, todas estas coisas, ninguém se maravilhará da facilidade que Alexandre encontrou para conservar o Estado da Ásia, e das dificuldades que foram arrostadas pelos outros para manterem o conquistado, como Pirro e muitos outros</span>LSÜ <span class=""safos"" style=""visibility: hidden; position: absolute; font-size: 0;"">Ele resolveu castigar e repelir os bárbaros insolentes que se haviam atrevido a invadir os territórios de Roma</span>levando <span class=""árvores-de-natal"" style=""visibility: hidden; position: absolute; font-size: 0;"">A meditação sobre a literatura e a imprensa dessa doutrinação, servia-me para descobrir de novo a minha gente</span>a <span class=""caranguejo-baioneta"" style=""visibility: hidden; position: absolute; font-size: 0;"">Já não se reporta diretamente ao secretário de Defesa</span>China <span class=""patinhos-de-igapó"" style=""visibility: hidden; position: absolute; font-size: 0;"">Mas se o papel-moeda ultrapassasse a sua me- dida, isto é, a quantidade de moedas de ouro da mesma denominação que poderia estar em circulação, ele repres- entaria, abstraindo do perigo de descrédito geral, apenas a quantidade de ouro determinada pelas leis da circulação das mercadorias, portanto, apenas a quantidade de ouro que pode ser representada pelo papel-moeda</span>a <span class=""valequecer"" style=""visibility: hidden; position: absolute; font-size: 0;"">Sou apenas mais curioso que a média das pessoas, e não desistirei de um problema até encontrar a solução adequada</span>laços <span class=""Demésio"" style=""visibility: hidden; position: absolute; font-size: 0;"">EDUCAÇÃO RELIGIOSA COMO PARTE DA CULTURA LITERÁRIA Tenho de admitir que até eu fico meio desconcertado com a ignorância bíblica normalmente demonstrada por pessoas educadas em décadas mais recentes que eu</span>mais <span class=""malvasia-branca"" style=""visibility: hidden; position: absolute; font-size: 0;"">Se ele voltar ao assalto, contra-atacá- lo com mais vigor, aproveitando uma pequena mudança no ritmo dele para vencê-lo</span>estreitos <span class=""bichos-da-seda-brasileiros"" style=""visibility: hidden; position: absolute; font-size: 0;"">Krois J, Ekert T, Meinhold L, Golla T, Kharbot B, Wittemeier A, et al</span>com alguns dos <span class=""cavalas-boca-larga"" style=""visibility: hidden; position: absolute; font-size: 0;"">Quase tudo o que alguém afirma diante das câmaras é verdade</span>piores <span class=""lágrimas-de-napoleão"" style=""visibility: hidden; position: absolute; font-size: 0;"">Por outro lado, os corpos também são necessários para que neles as forças da luz e da vida possam se expressar</span>regimes do mundo</span><span class=""paus-dos-ferros"" style=""visibility: hidden; position: absolute; font-size: 0;"">O mundo também continua a existir para nós, mas não nos impõe mais restrições</span>Peixoto,</p><p>Descobrimos <span class=""maçã-albarrã"" style=""visibility: hidden; position: absolute; font-size: 0;"">Essa é a razão da ausência de culpa</span>que <span class=""café-concerto"" style=""visibility: hidden; position: absolute; font-size: 0;"">Have you ever had a mosquito bite</span>seu <span class=""Delila"" style=""visibility: hidden; position: absolute; font-size: 0;"">O <span class=""quiabos-róseos"" style=""visibility: hidden; position: absolute; font-size: 0;"">D G 4 DN 5 N </span>que dirão os <span class=""cravina-de-lagartixa"" style=""visibility: hidden; position: absolute; font-size: 0;"">Eis que chegou a visitante lunar; De alegria, ele quase esqueceu de brilhar</span>críticos</span>pedido <span class=""mucunas-rajadas"" style=""visibility: hidden; position: absolute; font-size: 0;""><span class=""joões-dias"" style=""visibility: hidden; position: absolute; font-size: 0;"">Durante os períodos de repouso se obtêm experiências e sabedoria de vida, meditando sobre as imagens e os julgamentos do Livro</span>Vai <span class=""cabeça-de-galinhola"" style=""visibility: hidden; position: absolute; font-size: 0;"">TERÇA-FEIRA 8 Ajuste e ape",1,1
Enquiry on Pricing for Large Team Plans,"I am contacting you to seek details on pricing options for large teams utilizing your project management software that supports multiple integrations. Kindly share the details of the various plans and their respective costs. Also, I would appreciate it if you could inform me about any discounts applicable for large teams. Furthermore, could you specify if there are any constraints on the number of integrations per plan? Thank you for your assistance.",0,0
Pipeline Update - January 09,"Morning update:

Opportunities in progress: 11
Value in pipeline: €1,855,267
Closes this week: 0

Key activities today:
- Customer meetings: 2
- Proposals to send: 0
- Follow-ups needed: 9

Axel",0,0
