row_number,source_path,source_row_number,dataset_name,subject,label,data_source,content_length,spamassassin_prediction,spamassassin_status_header,spamassassin_flag_header,spamassassin_score,spamassassin_required_score,spamassassin_tests,spamassassin_error
1,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000801_000900/chunk_input.csv,1,spamassassin_000801_000900_chunk_input,"Morning Distribution for Monday, June 5, 2023",1,phishpuzzer,2390,0,"No, score=3.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS",
2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000801_000900/chunk_input.csv,2,spamassassin_000801_000900_chunk_input,$500 Walmart Gift Card V2,1,phishing_pot,410,0,"No, score=3.4 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS,SUBJ_DOLLARS,T_SHORT_SHORTNER autolearn=disabled	version=4.0.2",,3.4,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS,SUBJ_DOLLARS,T_SHORT_SHORTNER",
3,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000801_000900/chunk_input.csv,3,spamassassin_000801_000900_chunk_input,10 new messages in 4 topics - abridged,0,phishpuzzer,2379,0,"No, score=3.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS",
4,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000801_000900/chunk_input.csv,4,spamassassin_000801_000900_chunk_input,PayPal : Limited Account Access Appeal Denied.,1,phishyai-phishing,1968,0,"No, score=3.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS",
5,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000801_000900/chunk_input.csv,5,spamassassin_000801_000900_chunk_input,Investment tracking functionalities for enhancing data analytics tools,0,tobiasbuek,115,0,"No, score=3.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS",
6,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000801_000900/chunk_input.csv,6,spamassassin_000801_000900_chunk_input,[opensuse] openSUSE and faxes,0,phishpuzzer,2151,0,"No, score=3.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS",
7,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000801_000900/chunk_input.csv,7,spamassassin_000801_000900_chunk_input,Re: Overdue: Customer 599158107,0,uberjugaad,85,0,"No, score=3.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS",
8,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000801_000900/chunk_input.csv,8,spamassassin_000801_000900_chunk_input,Account Verification Request,1,phishpuzzer,458,1,"Yes, score=7.5 required=5.0 tests=DOS_BODY_HIGH_NO_MID,	MISSING_DATE,MISSING_MID,NO_RECEIVED,NO_RELAYS,TVD_PH_SEC	autolearn=disabled version=4.0.2",YES,7.5,5.0,"DOS_BODY_HIGH_NO_MID,	MISSING_DATE,MISSING_MID,NO_RECEIVED,NO_RELAYS,TVD_PH_SEC	autolearn=disabled",
9,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000801_000900/chunk_input.csv,9,spamassassin_000801_000900_chunk_input,Pipeline Update - February 18,0,uberjugaad,221,0,"No, score=3.3 required=5.0 tests=LOTS_OF_MONEY,MISSING_DATE,	MISSING_MID,NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"LOTS_OF_MONEY,MISSING_DATE,	MISSING_MID,NO_RECEIVED,NO_RELAYS",
10,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000801_000900/chunk_input.csv,10,spamassassin_000801_000900_chunk_input,wir haben das Richtige zu Ostern f��r Dich! phishing@pot,1,phishing_pot,5747,1,"Yes, score=7.4 required=5.0 tests=DOS_BODY_HIGH_NO_MID,	MISSING_DATE,MISSING_MID,NO_RECEIVED,NO_RELAYS autolearn=disabled	version=4.0.2",YES,7.4,5.0,"DOS_BODY_HIGH_NO_MID,	MISSING_DATE,MISSING_MID,NO_RECEIVED,NO_RELAYS",
