Subject,Body,label
Upgrade Your Ledger,"Dear client,

We're sorry to inform you that Ledger has fallen victim to a cyber
attack and that confidential data belonging to approximately 127,000
customers have been illegally obtained by an unauthorized third party.

You're receiving this e-mail because the Ledger wallet associated with
your e-mail address has been found within those affected by the breach.

To be more specific, on the 3rd of January 2024, members of our forensic
team have detected malicious software installed on one of the Ledger
Live's administrative servers.

Despite our relentless efforts, as of today, it's technically impossible
to make an accurate assessment of the severity of this data breach. Due
to these circumstances, we must assume that

**your funds could be at immediate risk of theft**.

If you're receiving this e-mail, it's because you haven't updated your
ledger to the latest version, which could leave you at risk due to the
possibility of malware being installed on earlier versions. In order to
protect your assets, please upgrade your ledger to the newest version.

Sincerly,
Ledger

Upgrade to latest version

This email was sent to you because you signed up at Ledger.com or
purchased a Ledger product. We respect your right to privacy. Read our
Privacy Policy and Cookie Policy. © Ledger SAS 2020. All rights
reserved Ledger brands are registered trademarks of Ledger SAS. Ledger
SAS, 1 rue du Mail, 75002 Paris

unsubscribe
_________________

Sent to phishing@pot

Unsubscribe:
http://tradestar.activehosted.com/proc.php?nl=276&amp;c=5371&amp;m=6471&amp;s=6d7b1963728338ead9026764a7fcbd73&amp;act=unsub

Ledger, N/A, United States",1
REMOVE THE VIRUS FROM YOUR DEVICE,"<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><p style=""color:white""></p>
<center>
<p style=""text-align: center;"">
<a href=""https://t.co/MDPVUw3c9c"" target=""_blank"" style=""text-decoration:none;"">
<span style=""font:30px calibri; color:#0066cc; ""> <b>Anti-Virus Protection<p>Virus detected on your device! Download now! <p>
</b></span></a>Your devices could be at risk - Get Antivirus Protection Now<br><br><br>
<a href=""https://t.co/MDPVUw3c9c"" target=""_blank"" style=""text-decoration:none;"">
<span style=""font:25px calibri; color:#ffffff;background-color: #ff0000

;padding:5px 55px;border-radius:00px; ""> <b>Click to learn how to protect your PC</b></span></a>
</p>
<a href=""https://t.co/MDPVUw3c9c"" style=""text-decoration:none""><br>
<br>
<img width=""100%"" src=""https://i.imgur.com/qJ4NVUp.jpg""><img width=""100%"" src=""//i.imgur.com/qJ4NVUp.jpg""><br>
<br><br>
</a>

<center>
<h6>
<br>You may unsubscribe at any time.
<a href=""https://t.co/7tghq8RIOZ"" style=""color:#404040 !important;text-decoration: underline; -ms-text-size-adjust:100%; -webkit-text-size-adjust:100%; "">
Unsubscribe</a><br> 6130 W Flamingo Rd. Las Vegas, NV 89103
This is an advertisement
</h6>

<style>
<a href

44e22e35+++0ab5+++dd0c+++f994+++5b103d9b1d42b

3cefb018+++3f2f+++f5e7+++3478+++148cf91fe9954

01f469a7+++c5f7+++60a1+++97f2+++0b4311362eb6a

b31d1c6d+++e2f6+++47b2+++69de+++2389f064efccc

6e2159c1+++86c8+++3913+++54c0+++cb45cb4384924

516adf31+++4274+++d934+++0f11+++1cd61a5cd76b3

10c92f7a+++fa01+++9d0a+++09b7+++a97fd3c8ef998

307592fb+++27bb+++6e08+++0fa6+++7396e7e2c4e1c

4120c38e+++68e4+++7d29+++3691+++2516fb77d1ad9

95bed6f6+++1618+++f7f3+++fd45+++3bb5921673438

0967eb65+++fd39+++447e+++a92e+++e4b1937b90fd9

ff1ec9eb+++9b7c+++afec+++0c78+++44c5da1b99771

81e1d4b7+++ff8b+++221b+++3833+++a1eb65f147af8

452c4d4e+++d26e+++43a8+++7a17+++02c0534572e95

863aeb1c+++8917+++9edc+++ddd2+++ac1f0d913dee2

7b11769b+++a589+++5813+++46c7+++8928952253572

6d7b63d6+++1424+++a4a4+++ab46+++ac98a7759c25b

7053c1aa+++456a+++7972+++47b2+++16a427189b209

5b0bd63e+++d714+++da36+++1e30+++bb8d1788cddcd

9cd47b09+++544f+++3dbb+++fb98+++2611c1205fd45

84d9029f+++d705+++e0ab+++d100+++84af773453774

1b758adb+++22d0+++7650+++d000+++07f4f50f45480

0b474d74+++c49b+++1159+++9f06+++170aede305540

24411f2e+++b881+++1f94+++742c+++50caa10aab9af

937fc3fa+++f8a7+++83d5+++3409+++229a1107f9d45

c73f63ff+++21b8+++5c50+++3f20+++33afc8842e31f

343744cc+++72a9+++b7c1+++14b1+++0907a1339f986

da37fa06+++ec5e+++182d+++78a1+++bbacc5f1129e4

092f13ed+++5785+++4753+++d24d+++2ab40963d1675

6733b2a1+++c058+++84ac+++b52a+++d5aa0c24d1780

c2086943+++5a85+++3747+++118a+++24e4298d84234

3eb1afaf+++7a1c+++1322+++76ce+++83a5058b665d3

fe7973eb+++7138+++9e93+++4e40+++5ac1bafe6ea70

00d39ac1+++c3ef+++631e+++012f+++9679746345835

46027aa8+++863f+++f9fb+++5b07+++0f9cdb15a4609

9d34bf09+++28e8+++195b+++e086+++1e827ea61252b

f2097b22+++280c+++c17a+++039b+++e3513ad3c81ba

e10f1e2d+++897d+++ab8a+++d043+++6357128453f7c

af03525b+++0559+++27bd+++8a31+++781d21671164a

53d779e8+++0cef+++e57a+++d1d1+++d8ed3461e7a19

cf5a0e0e+++c81e+++e3d8+++e49e+++ed196a4b6645c

5c359d3c+++73e5+++78ce+++5a4f+++70e7dcc3d3ece

df619f02+++1bc3+++bbc6+++4f97+++4ce36a3ceded3

d35736ea+++6bc6+++3bcc+++870e+++91a8d327dcf31

16cd1bce+++474b+++5503+++95a6+++5e00997946187

ac16084b+++2c64+++a6f6+++6b3f+++9d6a3cdf5db7d

3431a270+++fbd8+++9179+++4435+++33eb6c2ab7e76

1d194e18+++b5df+++844d+++a8c6+++88ab7ff22f8ad

7cfdc01a+++9e39+++1295+++e27b+++aba53e1182b61

83ca098a+++7e21+++2d18+++2924+++336e8d561e3c8

4d898fef+++9d2a+++5732+++d62f+++0f952e404bcf1

5d8ce722+++6846+++3e11+++6697+++1b5c31568da96

3e007b80+++c276+++46fa+++bd35+++3d93e246ed5d6

1e0e278e+++2379+++cc0b+++5f9e+++acebdf958d802

03eaf15f+++a19a+++2d75+++bced+++47b48141dee50

e4a62fd7+++7277+++6ccd+++d362+++3e8774339206b

af1c2404+++3ee0+++8f28+++3e5a+++dac1e3031954e

7d716dd6+++8d43+++fcfa+++d18b+++3824c56a69390

4fd6c128+++8879+++9016+++9b7e+++c41e79a6733e5

f85275da+++b0c2+++ac1c+++28b1+++7b8668ee5669c

a99ee888+++3e49+++d9e8+++19fe+++3f8435f066652

65a7b286+++b143+++1de9+++e26c+++161bdd6ba3e9a

51c23c3b+++10bd+++9f83+++5e8e+++2c834d56d469e

a8af8187+++5a60+++7f1a+++9652+++4bc7595e9e004

5235e65e+++17b1+++b354+++02f4+++d3c738503a80b

0268ef41+++f042+++8e02+++8a57+++82de01516a637

33d5a1d5+++fb10+++f2b2+++9ee5+++84379746e9ad3

40675459+++fe7f+++929c+++741c+++d54aecbc519ba

f49a7708+++7f26+++07f3+++3f56+++d3668797e265e

789eafec+++58f8+++1e8b+++309d+++e84f8bd9779b9

779595e4+++d727+++5c35+++7f36+++66a94414f7260

300a5069+++441d+++6b61+++a9b6+++fe422eecb9cbc

822d4021+++dee5+++4c26+++10ee+++9bec7bbdd9d0f

1a4d3705+++8386+++ca65+++21c5+++f9b9c4f76f263

90e9365c+++f1f0+++2f7e+++72bc+++56fb5c0b31cd8

b1d841e9+++7852+++d03b+++c99a+++03ade635932c6

4677fad5+++f957+++3bd7+++f405+++ee52ca91fcdfb

71fcaf79+++df21+++abdc+++eedd+++6e8e4ed9b3d27

e55c85e0+++948e+++9d1e+++115d+++11f839fb68a89

de8a1ce1+++bd01+++eef4+++bf16+++6de8f8f89baec

4b646469+++752c+++dd4d+++464d+++650b4d6eee758

04e83d72+++844b+++ca83+++14b2+++6b4cc89f3e520

df1cf323+++7db9+++0b12+++5d73+++4e4c0c425b4d7

e4b79b45+++ab52+++6550+++622b+++5b5657f61a638

c780e822+++0687+++3500+++642a+++90b0e733c6903

f447136e+++975c+++dc66+++3e63+++418d2bede6f12

8727788d+++a293+++cef3+++8cba+++73eede577a0eb

07c69160+++8980+++f1fa+++f76f+++f6af8c507b7cb

6183045e+++f728+++4276+++b14a+++33bb317605ac1

d9fd95bf+++b657+++7a58+++a440+++31d29684efab4

fa840fc0+++d8ee+++3b2d+++d0b2+++fc7d0f02eb61b

e0124ee7+++17cf+++b2f0+++e728+++af6ea105d5400

ed96bf11+++d07b+++6901+++0ad8+++17e31397af620

eae549fb+++50d1+++887b+++9cd9+++3b8b6255e1076

aa9de582+++2d19+++c1b1+++eb7a+++865d77ae1e2be

c060c14f+++d772+++cc83+++9a2b+++227d75138cc7c

2567de3f+++e3b1+++5f72+++3f99+++f47828f195e55

f4c18dd2+++039b+++2a03+++ebf9+++59e78a382a5f1

272da768+++4b8b+++99e1+++9d7f+++bce384cde8b3c

9fc70190+++56ac+++3a89+++5c6f+++d8ff3f8db99e8

aad20661+++632c+++c9b8+++8c51+++4bf576324fb43

78d3f944+++d006+++3637+++5bc6+++96f4e8945d814

2d1aa92d+++e389+++6063+++553d+++d0813653b10d3

dc9b0455+++83b0+++73bd+++6fe1+++42e931c7f1e5d

b1fc5b38+++c981+++f4e1+++2992+++6ea6cbad0d107

60a9c3ae+++1963+++d29b+++a36b+++e4846acb600d8

b57ac1c3+++04e7+++5ff9+++1f09+++a6eb7a4303962

e7292e37+++1400+++08f5+++a148+++fbe27d95c286c

c072b560+++1597+++a64d+++708d+++390d55dc6f8db

b84246d2+++b385+++05d3+++f4b2+++3b307efdb9abf

f3e731a0+++eebb+++4cdf+++354f+++cdb7e94a992d0

90643ae4+++5b99+++5ef5+++bb47+++54562e502435e

cda21a3e+++248b+++795e+++5bdf+++d9d0efdaac496

f02f5eb8+++a26c+++0f5e+++24db+++445caafb44322

e03441ec+++b75e+++dff5+++8012+++5ebe1a3ae9c2a

975943e4+++0ff8+++867f+++4c5d+++89d3b6896e100

24750d75+++3d02+++d498+++433f+++1cc6c205350a7

2655cba7+++029c+++0db2+++8df9+++bc29e290b39a4

b0f89db2+++6417+++9e6f+++e776+++c2cf965df4e35

19e37b13+++7c91+++d7b2+++e241+++a3b4873255b52

583cc782+++3f46+++a641+++163f+++9c9658af6b8fd

df426a38+++c470+++40bf+++703a+++3e04a90a5f132

4b28c5cc+++f0dd+++bcb9+++5f6b+++cb70bb2493d2c

12f76320+++471d+++432c+++700f+++e61540944b206

318ad8c3+++b0cb+++9dd4+++fcf3+++a08ca5601f111

c6a60e9b+++bd86+++2134+++b1bd+++7f60705870448

0e7aaf86+++1770+++44e7+++b44b+++fa81f32bc7736

88de8aff+++7b0b+++7268+++b75e+++cfff5cfc46cdd

068abf86+++6fe3+++a41f+++5d9f+++650b87822771c

ca66ce3e+++83d5+++98d9+++8489+++f9d201c7921ba

90c9f900+++5eaf+++4bd3+++65ef+++461cd8db0df2a

2e786560+++692e+++69ea+++6ee4+++76c64d04cd204

f09c98f2+++ff15+++957e+++a3e3+++8a8048302bf4a

4946934e+++1baa+++ec85+++0204+++04c1153ca2337

af84af11+++ca0b+++a0c2+++9f84+++6827eb01e8533

bb390aa9+++95f0+++4037+++5148+++81b09e3abedb6

9655d445+++efa5+++3414+++18ad+++1a8e33a2cdfd9

f4c61564+++238f+++829a+++5b35+++7c9d963744b2f

b99b874e+++9f4e+++81c0+++b1dd+++de2a7af95c5f7

1658b14f+++8a09+++dd7f+++2183+++e34aa3e33eda3

842bc324+++31a9d73+++38ad+++7fe7+++05054d1fdbc1c

275bfbe2+++9e87+++4799+++ce26+++757b2c7d76389

ba8ec+++3c54+++d945+++8638+++0a60fa453bb0f

>

</html>",1
It's a Match!,"96

-

Someone matched with you on Tinder!

Someone matched with you on Tinder!

Someone matched with you on Tinder!

FIND OUT WHO

Tip: Turn on push notifications

Turn on push notifications to see your new matches immediately.

Follow us

This email was sent by Tinder.
8833 Sunset Blvd. West Hollywood 90069
©2023 Match Group, LLC. | Privacy Policy",1
Concern Regarding Data Analytics Platform,"Customer Support, reporting a critical issue with the data analytics platform. The platform crashed during a major investment analysis session, causing significant disruption to our work. Despite attempts to restart the system and clear the cache, the issue persists. Possible causes may include server overload or software bugs. We would greatly appreciate your urgent look into this matter and a prompt solution if possible. Please let us know if any additional information is required.",0
Pipeline Update - January 24,"Morning update:

Opportunities in progress: 18
Value in pipeline: €1,657,184
Closes this week: 3

Key activities today:
- Customer meetings: 4
- Proposals to send: 2
- Follow-ups needed: 6

Ronald",0
Integration with Microsoft Office 365,"Customer Support, seeking assistance with integrating Microsoft Office 365 for project management. Looking for detailed information on the available features that could enhance our project management experience. Specifically, interested in the integration between Outlook, SharePoint, and OneDrive. Would greatly appreciate if you could provide documentation or guides to assist us in the integration process. Additionally, would like to know about any limitations or restrictions.",0
Enquiry about Payment Options for Software Subscriptions and Hardware Products,I would like to know more about the payment methods available for software subscriptions and hardware products. Could you give me some detailed information on this?,0
Problem with Squarespace Integration,"Marketing campaigns have been halted due to integration issues with Squarespace and Zapier. This might be related to recent updates. I have tried resetting the connections and reconfiguring the integrations, but the issue still persists. I need assistance to resolve this issue as soon as possible, in case it is convenient for you.",0
Indicted Again,"Forbes NewslettersPlus: Costco’s Billion-Dollar Bet On Rotisserie ChickensADVERTISEMENTBECOME A MEMBER • Newsletters • MyForbesHappy Friday,ChatGPT made its way into at least one courtroom earlier this year when a lawyer in a personal injury suit used the generative AI tool to prepare a legal filing. The problem? ChatGPT created six fake cases to show precedent, which the lawyer then presented to the court. The lawyer said he “did not understand it was not a search engine.” The judge is considering sanctions. Let’s get into today's news, Sarah Whitmire Senior Editor, Newsletters Follow me on Twitter and Forbes.comDanielle Chemtob Staff Writer, NewslettersFollow me on Twitter and Forbes.comBREAKING NEWSGETTY IMAGESFormer president Donald Trump said he had been indicted in the Justice Department’s long-running probe of his handling of classified documents, and was ordered to appear in court next week. The New York Times reported Trump was charged with seven criminal counts, making him the first president to be charged with a federal crime.Reduced visibility due to smoke from Canadian wildfires disrupted air travel, with the Federal Aviation Administration pausing flights Thursday morning into New York’s LaGuardia and nearby Newark airports and Philadelphia International Airport. United Airlines issued a travel advisory for 24 Northeast airports.BUSINESS + FINANCEThe number of people filing new claims for unemployment insurance rose to its highest level since October 2021 as major companies slash their workforces.Inflation is driving consumers to look for ways to save money, and that buoyed Walmart to reclaim its title as the world’s largest retailer on Forbes’ Global 2000 list. Meanwhile, Amazon, which fell from the No. 1 spot, found itself with too many warehouses and workers after the pandemic as sales slowed.MORE FORBES 2000: Google parent Alphabet became the largest tech firm, Disney stayed in the top 100 despite a tumultuous year, Marriott jumped in the rankings as travel came roaring back and Nestlé continued its more than a decade-long streak as the largest food company.WEALTH + ENTREPRENEURSHIPAfter going back and forth with LVMH chairman Bernard Arnault, Tesla CEO Elon Musk ended Thursday as the world’s richest person for the first time in six months. Tesla’s stock hit its highest value this year after 10 straight days of gains, propelling Musk’s net worth to $220.2 billion.TECH + INNOVATIONGETTY IMAGES FOR SIRIUSXMA group of tech executives including Elon Musk and former Twitter CEO Jack Dorsey are boosting the campaign of Robert F. Kennedy Jr. against President Joe Biden for the Democratic presidential nomination — despite the Kennedy family scion’s history of promoting vaccine skepticism and a string of other conspiracies.MONEY + POLITICSThe Supreme Court struck down Alabama’s redrawn congressional map as racially discriminatory, a move that preserves the Voting Rights Act’s protections against diluting Black residents’ votes. The case has implications for other states where redistricting maps are being challenged and could affect the balance of power in the House in upcoming elections. Donald Trump’s properties charged his Department of Defense nearly $1 million in the first three years of his presidency, newly-released documents show, an amount that appears far greater than previously reported. “As president, Trump’s refusal to divest from his businesses created an environment rife with the potential for abuse,” said Heather Sawyer, executive director of ethics watchdog American Oversight, which filed a Freedom of Information request for the documents.SPORTS + ENTERTAINMENTCODY PICKENS FOR FORBESThe Saudi-backed LIV Golf, which is set to merge with the PGA Tour, has turbocharged the earnings of golf’s top players. Dustin Johnson and Phil Mickelson, who defected to LIV, are the highest-paid golfers, each earning more than $100 million.Daily Cover Story GETTY IMAGESInside Costco’s Billion-Dollar Bet On $4.99 Rotisserie ChickensRead ArticleTOPLINEMiles from the nearest Costco Wholesale store, probes in a Nebraska slaughterhouse inject a sweet and salty marinade into the meat that will eventually become the retailer’s iconic $4.99 rotisserie chickens.To ensure a steady supply of the customer favorite amid industry turmoil, Costco has spent an estimated $1 billion to construct this state-of-the-art plant—which ships 1 million chickens a week—and build out its own network of chicken farmers. That bill, paid over the past eight years, has helped Costco become the only retailer to own a chicken slaughterhouse. “We’ve trussed, we’ve marinated it, we’ve done all that,” says Walt Shafer, chief operating officer of Costco subsidiary Lincoln Premium Processing, who after 45 years in the chicken industry was tasked with building the plant and its grower network from scratch. “Not only is it a super buy for the consumer, it’s become the center of the store, literally, and a centerpiece for Costco. It’s why we’re here. That’s why we exist.”Under Lincoln Premium Processing, Costco has secured around 100 million of the 400 million chickens it’s estimated to sell annually.Launching the facility hasn’t been without its obstacles in a state known more for beef—from an increasing call to ban new factory farms to the avian flu. But Lincoln Premium has set out to do things differently, like changing the typical relationship between slaughterhouse and farmer, to try to make what Shafer hopes will be “the best poultry complex in the U.S.”WHY IT MATTERSThe publicly traded company is trying to shore up its own supply of rotisserie hens at a time when chicken prices have tanked, most of the industry’s processors are reeling from price-fixing settlements and an unprecedented outbreak of avian flu has killed nearly 59 million birds nationwide. Through all the industry turmoil, Costco is counting on the sweet and salty perfume of the packaged birds to remain a popular draw.MOREJohn R. Tyson’s Settlement With Prosecutor Kicks Off What Could Be A Rough Year For Tyson FoodsADVERTISEMENTFACTS AND COMMENTSDeaths from drug overdose are on the rise, in large part due to the spread and wider availability of opioids. The White House warned that without intervention, those numbers could continue to climb: 109,000Estimated number of Americans who died of a drug overdose last year, per the CDC 165,000Projected number of opioid deaths annually by 2025, according to the White House Every 5 MinutesSomeone in the U.S. dies from an overdoseSTRATEGY AND SUCCESSChecking in on a job application can feel like reaching out aimlessly into the dark, but in today’s strong job market that keeps recruiters busy, job seekers should follow up with companies about the status of their application—typically about one to two weeks after applying. Be professional, confident and empathetic, and address your note to a specific person, if possible.GAMESQUIZWhich meme stock crashed Thursday and had its worst day in two years after announcing the termination of its CEO?A.AMCB.BlackberryC.NokiaD.GameStopCheck Your AnswerFRASE BY FORBESUnscramble today’s anagram to solve this hidden phrase!Scroll to the bottom of today’s newsletter for a hint.TODAY'S PHRASEPlay NowACROSS THE NEWSROOMFollow the money driving politics with Forbes' Checks and Imbalances newsletter, penned by our colleague Zach Everson. Click here to sign up instantly. Thanks for reading! Follow us on Twitter for by-the-minute updates on the latest business and financial news throughout the day. If you’re playing Frase by Forbes, today’s hint is: “Take control of a difficult situation and face it head-on.” Good luck! Our Most Powerful Membership EverUnlock unlimited access to premium journalism, exclusive members-only events, fewer ads, premium on-demand video content and more.Become A Forbes Member. Less Than $1 A WeekUnsubscribe from Forbes Daily.Manage Email PreferencesMy Forbes Account | Newsletters | Email Help | PrivacyForbes Media 499 Washington Blvd. Jersey City, NJ 07310",1
ABS Notice: Auctions and Bids Suspended,[],1
