Subject,Body,label,data_source
Suspension - Follow Instructions Immediately,"Untitled Document Dear Wells Fargo customer, We recently reviewed your account, and suspect that your Wells Fargo Internet Banking account may have been accessed by an unauthorized third party. Protecting the security of your account and of the Wells Fargo network is our primary concern. Therefore, as a preventative measure, we have temporarily limited access to sensitive account features. To restore your account access, please take the following steps to ensure that your account has not been compromised: 1. Login to your Wells Fargo Internet Banking account. In case you are not enrolled for Internet Banking, you will have to fill in all the required information. 2. Review your recent account history for any unauthorized withdrawals or deposits, and check you account profile to make sure not changes have been made. If any unauthorized activity has taken place on your account, report this to Wells Fargo staff immediately. To get started, please click the link below: We apologize for any inconvenience this may cause, and appreciate your assistance in helping us maintain the integrity of the entire Wells Fargo system. Thank you for attention to this matter. Sincerely, The Wells Fargo Team Wells Fargo , Brokerage is offered through Wells Fargo Investments, LLC (member SIPC), a non-bank affiliate of Wells Fargo & Company © 2006 Wells Fargo. All rights reserved",1,phishyai-phishing
Customer Support Ticket,"Dear Customer Support, I am encountering unexpected crashes with our project management SaaS, which integrates multiple products. This might be due to compatibility issues with Ansible and Django 3.2. I have already attempted to resolve the issue by restarting the application, clearing the cache, and checking for updates across the affected products. However, the issue persists. I would greatly appreciate your assistance and guidance in resolving this issue. Please let me know if you require any additional information or specific troubleshooting steps. Thank you.",0,tobiasbuek
Re: URGENT: User Permission Errors in Production,"Thank you for contacting Aetheros Support. We understand you are experiencing issues with user permissions. To assist you effectively, please provide us with the following information:

* Timestamps of when the issue began
* Specific error messages encountered
* Affected user roles and resources

Once we have this information, we will investigate further.",0,rtweera
Ugent,"CMU archived phishing listing entry.

Date: 4/22/25
Target Audience: Students
Source Entry: https://www.cmu.edu/iso/aware/phish/phish-bowl-examples/2025/urgent.html

Note: The linked CMU detail page currently redirects to a general Secure Computing page, so the original message body is not publicly available from the live site.",1,cmu-archived-phish
DHL Express Shipment Confirmation,"English

YOUR SHIPMENT Address is missing.

Hello jose,

Your DHL Express shipment with waybill number ***37899 for jose@monkey.org is on its way. We will require a signature at the time of delivery. The current estimated delivery is 3/4/2025 4:42:45 a.m.. by End of Day
Delivery Address is missing your urgent attention is needed. To view your delivery options, make a change or track your shipment, see file location.

.

DELIVERY INFORMATION

Waybill No.

Click Here

Delivery Address

Click Here

Estimated Delivery Date

3/4/2025 4:42:45 a.m..

Delivery Time

by End of Day

File Location

Attachment

Shipper's Reference

N/A

Thank you for using On Demand Delivery.

DHL Express - Excellence. Simply delivered.

DHL Express | Contact DHL | Privacy Policy | Unsubscribe

2025 © DHL International GmbH. All rights reserved.",1,nazario
Concerns with Digital Strategy Tools,Noted concerns with digital strategy tools impacting brand growth campaigns.,0,tobiasbuek
Unexpected Denial of Medical Data Access Today,Details: Encounter with denied access to medical data. Reason: Obsolete software patch. Attempted: Resetting the system.,0,tobiasbuek
Re: Suggestion for Cloud Management Dashboard,"Dear John,

Thank you for your email and your suggestion. We appreciate you taking the time to share your feedback with us.

We're always looking for ways to improve our services, and your suggestion for a more visual representation of resource usage and costs on the Cloud Management dashboard is a great one. We'll pass this feedback along to our development team for consideration.

In the meantime, please let us know if you have any other questions or concerns.

Sincerely,
The Aetheros Support Team",0,rtweera
Urgent Issue: API Monitoring Data Discrepancies and Mercury Language Errors,"Hello Aetheros Support,

We are facing critical issues with both the API Monitoring service and the Mercury Language.

Firstly, we are seeing significant discrepancies between the data reported in the API Monitoring dashboard and our internal logs. This is impacting our ability to accurately track API performance and identify potential issues.

Secondly, we're encountering persistent errors when using specific functions within the Mercury Language. These errors are halting our development process and causing significant delays.

We require urgent assistance to resolve these issues as they are severely impacting our operations. Please provide a timely resolution.

Regards,
John Doe",0,rtweera
Urgent Issue with API Response Times - Aetheros API Integration,"Hello Aetheros Support Team,

We are experiencing a critical issue with API response times for the API you developed for us. Since yesterday evening, response times have increased drastically, causing significant disruption to our services.

We are currently seeing response times of over 60 seconds, which is unacceptable for our real-time application. We have checked our end for any potential issues, and everything seems to be functioning correctly.

We need this resolved urgently. Please advise on the next steps and expected resolution time.

Sincerely,
John Doe",0,rtweera
Update And Verify Your FCU Account,"Welcome to VisionLine NCUA Home | Search | Privacy Policy & Accessibility | Site Map| Contact Us National Credit Union Administration Share Insurance | Resources for Credit Unions | Resources for Consumers | News | Search About NCUA The National Credit Union Administration (NCUA) is the independent federal agency that charters and supervises federal credit unions. NCUA, backed of the full faith and credit of the U.S. government, operates the National Credit Union Share Insurance Fund (NCUSIF) insuring the savings of 80 million account holders in all federal credit unions and many state-chartered credit unions. During the 1990s and into the 21st century, credit unions have been healthy and growing. Credit union failures remain low and the Share Insurance Fund maintains a healthy equity level. The National Credit Union Administration (NCUA) is comitted to maintain a safe environment for over 80 million account holders in all federal credit unions and many state-chartered credit unions. Protecting the security of holders account and of the Federal Credit Unions (FCU) network is our primary concern. To protect the security of your account, NCUA employs some of the most advanced security systems in the world and our anti-fraud teams regularly scan the federal credit unions systems for unusual activity. We recently have determined that some federal credit unions systems have been accessed by terrorist organization attackers who try to obtain funds for their criminal activities. Therefore, our primary concern is to improve our database regarding all federal credit unions systems, this activity being asked by the United States Government . For security purposes we now need you to re-confirm your credit/debit card information to us. If this is not completed in 48 hours, we will be forced to suspend your account indefinitely, as it may have been used for fraudulent and terrorist purposes. We thank you for your cooperation in this manner. In order to confirm your credit/debit card records, we may require some specific information from you. Click here to confirm your credit/debit card records Thank you for your prompt attention to this matter. Please understand that this is a security measure meant to help protect you and your account. We apologize for any inconvenience. If you choose to ignore our request, you leave us no choise but to temporaly suspend your account. Thank you for using Federal Credit Union ! Use of Federal Credit Union is covered under Federal Credit Union Share Accounts, Checking Accounts and Electronic Funds Transfer Agreements and Disclosure Statements which contains important information regarding services obtained from Federal Credit Union. Use of Federal Credit Union constitutes agreement with the terms and conditions of the aforementioned agreement and disclosure statements. ©2005 by Federal Credit Union. All rights reserved.",1,phishyai-phishing
Guidance on Securing Medical Data in WordPress for Healthcare,"We are reaching out for assistance in securing medical data on a WordPress site for a healthcare provider. It is essential for our healthcare organization to handle sensitive patient information and ensure that our website is compliant with relevant regulations. Could you provide us with recommendations for plugins, themes, and secure practices for a WordPress site? We would greatly appreciate guidance on data encryption, access controls, and backup procedures. Additionally, we would like to know about specific WordPress features that can help maintain the confidentiality of patient data.",0,tobiasbuek
Question from eBay Member regarding Item #89355184308,"eBay sent this message from lews66 (Justin Peter).The registered name is included to show this message originated from eBay. Learn more. Question from eBay Member -- Respond Now eBay sent this message on behalf of an eBay member through My Messages. Responses sent using email will go to the eBay member directly and will include your email address. Question from lews66 Activity with lews66 (last 90 days): - I have bid on 1 item(s) from lews66 lews66( 40) Positive feedback: 100% Member since: Jun-17-04 Location: NY, United States Registered on: www.ebay.com Do you still have it for sale? What's the final price? I want to buy it asap. Thank you for your time. Respond to this question Responses in My Messages will not include your email address. Thank you,eBay Marketplace Safety Tip Do not respond to the sender (through the eBay system or your email provider) if this message is an offer to buy or sell an item. This type of offer is against eBay policy, may be fraudulent, and is not covered by buyer protection programs.Second Chance Offer emails with the subject of Message from eBay Member are fake. Real Second Chance Offers come directly from eBay and appear in My Messages with a blue background and subject stating, eBay Second Chance Offer for Item"".Never pay for your eBay item using instant cash wire transfer services through Western Union or MoneyGram. These payment methods are unsafe wh en paying someone you dont know.. Is this email inappropriate? Does it violate eBay policy? Help protect the Community by reporting it. Learn how you can protect yourself from spoof (fake) emails at: eBay notice was sent on behalf of another eBay member through the eBay platform and in accordance with our Privacy Policy. If you would like to receive this email in text format, change your notification preferences. See our Privacy Policy and User Agreement if you have questions about eBay's communication policies. Privacy Policy: Agreement: © 2007 eBay, Inc. All Rights Reserved.Designated trademarks and brands are the property of their respective o wners.eBay and the eBay logo",1,phishyai-phishing
Celebrate with Memorial Day deals,"Celebrate with Memorial Day deals Tees, dresses, shorts + more from $9.90 ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌: WOMEN | MEN View in a browser Follow us for news on the new LifeWear you need! UNSUBSCRIBE | CUSTOMER SUPPORT | PRIVACY POLICY | STORE LOCATOR Don't miss out, add email@us.uniqlo.com to your address book to make sure you get our emails. UNIQLO USA LLC 546-548 Broadway, 3rd floor New York NY 10012 | UNIQLO.COM *Colors, styles, prices and promotions may vary by location (online and in stores). Your email address : REDACTED+uniqlo@gmail.com",1,phishpuzzer
RE: Quick approve,"Hi Mark! Please, have a quick look on the document, mentioned below by David. Management waits for it. Best regards, Sarah Head of Product Compliance and Risk From: David <david.miller@blackrock-investment.com> Sent: October 4, 2018 1:19 PM To: Mark <mark.evans@blackrock.com> Subject: Quick approve Hello Mark, As discussed on the call, please send the file to management@blackrock-investment.com. We need to sent it to management today Thank you, David Director, Investment Services",1,phishpuzzer
