feature_a,feature_b,cell_slug,contribution_type,group_size,background_size,mean_group_contribution,mean_background_contribution,max_group_contribution,top_doc_count_used
Authority,Authority,authority__authority,diagonal,14965,83211,0.9626505737387236,0.888745217699583,1.0,400
Authority,Liking,authority__liking,cooccurrence,14965,83211,0.8530093969047702,0.62611838623008,1.0,400
Authority,Reciprocity,authority__reciprocity,cooccurrence,14965,83211,0.4791873120690232,0.3518690882544299,0.999997,400
Authority,Social Proof,authority__social_proof,cooccurrence,14965,83211,0.3597649712160959,0.2713400870988408,1.0,400
Authority,Scarcity,authority__scarcity,cooccurrence,14965,83211,0.08063013573179051,0.053681017477799374,0.871926,400
Authority,Commitment,authority__commitment,cooccurrence,14965,83211,0.027593116837617573,0.018243087049122978,0.452255,400
Liking,Liking,liking__liking,diagonal,14965,83211,0.882586595322419,0.6597122423237313,1.0,400
Liking,Reciprocity,liking__reciprocity,cooccurrence,14965,83211,0.44360442454347143,0.30196746886354076,0.999995,400
Liking,Social Proof,liking__social_proof,cooccurrence,14965,83211,0.33619057447112954,0.23084973166170683,1.0,400
Liking,Scarcity,liking__scarcity,cooccurrence,14965,83211,0.07591798656858596,0.04645883841114762,0.871926,400
Liking,Commitment,liking__commitment,cooccurrence,14965,83211,0.02605184561238423,0.015974022670859633,0.45225319098,400
Reciprocity,Reciprocity,reciprocity__reciprocity,diagonal,14965,83211,0.4890159523554961,0.3725289883789403,0.999997,400
Reciprocity,Social Proof,reciprocity__social_proof,cooccurrence,14965,83211,0.22755896798669173,0.15548004903749002,0.999995,400
Reciprocity,Scarcity,reciprocity__scarcity,cooccurrence,14965,83211,0.056566353646403215,0.03302920466149182,0.87192164037,400
Reciprocity,Commitment,reciprocity__commitment,cooccurrence,14965,83211,0.01949617765365065,0.011299413443319741,0.45180364951,400
Social Proof,Social Proof,social_proof__social_proof,diagonal,14965,83211,0.3654464520547945,0.2833398523272163,1.0,400
Social Proof,Scarcity,social_proof__scarcity,cooccurrence,14965,83211,0.048648340172889805,0.028000156392768965,0.871926,400
Social Proof,Commitment,social_proof__commitment,cooccurrence,14965,83211,0.016670592069716404,0.009432289044998642,0.45202525446,400
Scarcity,Scarcity,scarcity__scarcity,diagonal,14965,83211,0.08139466067490812,0.055443658446599604,0.871926,400
Scarcity,Commitment,scarcity__commitment,cooccurrence,14965,83211,0.0051900441081844965,0.0026285881659448627,0.38227487032,400
Commitment,Commitment,commitment__commitment,diagonal,14965,83211,0.027880513531573673,0.018939281621420247,0.452255,400
