stage,hw_precision,hw_recall,hw_accuracy,hw_fpr,hw_fnr,hw_f0_5,hw_f1,hw_f2,hw_mcc,llm_precision,llm_recall,llm_accuracy,llm_fpr,llm_fnr,llm_f0_5,llm_f1,llm_f2,llm_mcc
S1,0.8546875,0.812778603268945,0.9180695847362514,0.0465,0.18722139673105498,0.845963501391896,0.8332063975628332,0.820828331332533,0.7793823250845867,0.3933500627352572,0.9316493313521546,0.6210250654695099,0.4835,0.06835066864784546,0.444743935309973,0.5531539479488311,0.7314512365842277,0.39645180716401995
S2,0.9491525423728814,0.8425275827482447,0.8987468671679198,0.045090180360721446,0.15747241725175526,0.9257218426272867,0.8926673751328374,0.8618920582803201,0.8025578123763634,0.562268803945746,0.9147442326980942,0.6015037593984962,0.7114228456913828,0.08525576730190572,0.6092184368737475,0.6964490263459335,0.8128342245989305,0.26074505008460785
S4,0.973644952759821,0.833901192504259,0.871564420735243,0.048129313476207775,0.16609880749574105,0.9420708237105466,0.8983711860518467,0.8585459966675436,0.7429557573241693,0.9980595084087969,0.6575470894059491,0.7660537154127269,0.0027243007628042137,0.342452910594051,0.9043912503223689,0.7927863124903664,0.7057004866269072,0.6138881542439424
S5,0.9399815327793167,0.8289902280130294,0.8880293159609121,0.052931596091205214,0.17100977198697068,0.9154676258992805,0.8810038944180009,0.8490408673894912,0.7815259512249114,0.803030303030303,0.992671009771987,0.8745928338762216,0.24348534201954397,0.007328990228013029,0.834931506849315,0.887836853605244,0.947900466562986,0.7709931550777308
S6-MPG,0.9409672830725462,0.826875,0.8875,0.051875,0.173125,0.9156976744186046,0.8802395209580839,0.847425057647963,0.780760449568088,0.9611147116007777,0.928035043804756,0.945261182358461,0.0375234521575985,0.07196495619524405,0.9543114543114544,0.9442852594715059,0.9344675488342785,0.8910487816167526
S6-UTA,0.9530583214793741,0.8375,0.898125,0.04125,0.1625,0.9274640088593576,0.8915502328675982,0.8583141173456316,0.8021683973788258,0.9947322212467077,0.708125,0.8521875,0.00375,0.291875,0.9202404158544509,0.8273092369477911,0.7514259185568378,0.7355683905663881
S6-fuzzer,0.9733759318423855,0.8309090909090909,0.8721212121212121,0.045454545454545456,0.1690909090909091,0.9411037891268533,0.8965179009318294,0.8559655366173441,0.7477064863215954,0.9272863568215892,0.5625284220100045,0.6789936344346772,0.08818181818181818,0.4374715779899955,0.820836098208361,0.7002547410133031,0.6105626850937809,0.4556648838313848
S8-deepseek,0.9568181818181818,0.842,0.902,0.038,0.158,0.9314159292035398,0.8957446808510638,0.8627049180327869,0.8098520788455071,0.991304347826087,0.076,0.5376666666666666,0.0006666666666666666,0.924,0.29081632653061223,0.1411764705882353,0.09321340964840556,0.19618085120834394
S8-llama,0.9401840490797546,0.8173333333333334,0.8826666666666667,0.052,0.18266666666666667,0.9127456819535438,0.8744650499286734,0.8392661555312158,0.771951771900932,0.9630010277492291,0.6246666666666667,0.8003333333333333,0.024,0.37533333333333335,0.8688798219584569,0.7577840679336838,0.6718772407858884,0.6415662307341363
S8-ministral,0.9472459270752521,0.814,0.8843333333333333,0.04533333333333334,0.186,0.9172175480769231,0.8755826461097167,0.8375634517766497,0.7763862652488484,0.9611054247697032,0.626,0.8003333333333333,0.025333333333333333,0.374,0.8681582840236687,0.7581752119499394,0.6729253260713773,0.6408842042368026
