title,group_a_name,group_b_name,contrast_label,n_group_a,n_group_b,permutations,bootstraps,overall_difference_statistic_l2,overall_permutation_p,num_significant_features_fdr_0_05,num_total_features,files
Overview Focus FN Heatmap Difference: HW-P FN vs LLM-P FN,HW-P FN (focus),LLM-P FN (focus),HW-P FN (focus) - LLM-P FN (focus),3342,908,200,200,0.855545031072586,0.004975124378109453,15,21,"{'feature_stats_csv': 'feature_stats.csv', 'difference_heatmap': 'difference_heatmap.png'}"
Overview Global Heatmap Difference: HW-P FN vs HW-P TP,HW-P FN,HW-P TP,HW-P FN - HW-P TP,3644,25397,200,200,0.18656405709793739,0.004975124378109453,20,21,"{'feature_stats_csv': 'feature_stats.csv', 'difference_heatmap': 'difference_heatmap.png'}"
Overview Global Heatmap Difference: HW-P FN vs HW-B TN,HW-P FN,HW-B TN,HW-P FN - HW-B TN,3644,17240,200,200,0.3361699914276581,0.004975124378109453,21,21,"{'feature_stats_csv': 'feature_stats.csv', 'difference_heatmap': 'difference_heatmap.png'}"
Overview Global Heatmap Difference: HW-P FN vs LLM-P FN,HW-P FN,LLM-P FN,HW-P FN - LLM-P FN,3644,9179,200,200,0.5900663124382546,0.004975124378109453,21,21,"{'feature_stats_csv': 'feature_stats.csv', 'difference_heatmap': 'difference_heatmap.png'}"
Overview Global Heatmap Difference: HW-P FN vs LLM-P TP,HW-P FN,LLM-P TP,HW-P FN - LLM-P TP,3644,16875,200,200,0.6924631364124505,0.004975124378109453,21,21,"{'feature_stats_csv': 'feature_stats.csv', 'difference_heatmap': 'difference_heatmap.png'}"
Overview Global Heatmap Difference: HW-P FN vs LLM-B TN,HW-P FN,LLM-B TN,HW-P FN - LLM-B TN,3644,14965,200,200,0.6589023742889921,0.004975124378109453,17,21,"{'feature_stats_csv': 'feature_stats.csv', 'difference_heatmap': 'difference_heatmap.png'}"
Overview Global Heatmap Difference: HW-P TP vs HW-B TN,HW-P TP,HW-B TN,HW-P TP - HW-B TN,25397,17240,200,200,0.24827254362404252,0.004975124378109453,21,21,"{'feature_stats_csv': 'feature_stats.csv', 'difference_heatmap': 'difference_heatmap.png'}"
Overview Global Heatmap Difference: HW-P TP vs LLM-P FN,HW-P TP,LLM-P FN,HW-P TP - LLM-P FN,25397,9179,200,200,0.512758620121108,0.004975124378109453,21,21,"{'feature_stats_csv': 'feature_stats.csv', 'difference_heatmap': 'difference_heatmap.png'}"
Overview Global Heatmap Difference: HW-P TP vs LLM-P TP,HW-P TP,LLM-P TP,HW-P TP - LLM-P TP,25397,16875,200,200,0.6272337610026661,0.004975124378109453,20,21,"{'feature_stats_csv': 'feature_stats.csv', 'difference_heatmap': 'difference_heatmap.png'}"
Overview Global Heatmap Difference: HW-P TP vs LLM-B TN,HW-P TP,LLM-B TN,HW-P TP - LLM-B TN,25397,14965,200,200,0.5881689005969502,0.004975124378109453,21,21,"{'feature_stats_csv': 'feature_stats.csv', 'difference_heatmap': 'difference_heatmap.png'}"
Overview Global Heatmap Difference: HW-B TN vs LLM-P FN,HW-B TN,LLM-P FN,HW-B TN - LLM-P FN,17240,9179,200,200,0.6865633568047631,0.004975124378109453,21,21,"{'feature_stats_csv': 'feature_stats.csv', 'difference_heatmap': 'difference_heatmap.png'}"
Overview Global Heatmap Difference: HW-B TN vs LLM-P TP,HW-B TN,LLM-P TP,HW-B TN - LLM-P TP,17240,16875,200,200,0.8308751096638642,0.004975124378109453,21,21,"{'feature_stats_csv': 'feature_stats.csv', 'difference_heatmap': 'difference_heatmap.png'}"
Overview Global Heatmap Difference: HW-B TN vs LLM-B TN,HW-B TN,LLM-B TN,HW-B TN - LLM-B TN,17240,14965,200,200,0.7799374537345203,0.004975124378109453,21,21,"{'feature_stats_csv': 'feature_stats.csv', 'difference_heatmap': 'difference_heatmap.png'}"
Overview Global Heatmap Difference: LLM-P FN vs LLM-P TP,LLM-P FN,LLM-P TP,LLM-P FN - LLM-P TP,9179,16875,200,200,0.19178791265662598,0.004975124378109453,15,21,"{'feature_stats_csv': 'feature_stats.csv', 'difference_heatmap': 'difference_heatmap.png'}"
Overview Global Heatmap Difference: LLM-P FN vs LLM-B TN,LLM-P FN,LLM-B TN,LLM-P FN - LLM-B TN,9179,14965,200,200,0.11475645559440141,0.004975124378109453,21,21,"{'feature_stats_csv': 'feature_stats.csv', 'difference_heatmap': 'difference_heatmap.png'}"
Overview Global Heatmap Difference: LLM-P TP vs LLM-B TN,LLM-P TP,LLM-B TN,LLM-P TP - LLM-B TN,16875,14965,200,200,0.0935896563286479,0.004975124378109453,21,21,"{'feature_stats_csv': 'feature_stats.csv', 'difference_heatmap': 'difference_heatmap.png'}"
