subject,body,label,model_prediction
"""���� Warning: Your Credit Is Costing You Thousands���Fix It Now!""","Top Stories of the Day: Sep 0, 2019

103882302891885308
-----

If you believe this has been sent to you in error, please safely unsubscribe",1,1
Important Notice: Verify Your Profile!,"> Dear Federal Credit Union / Credit Union Consumer, > As part of our security measures, we regularly screen activity in Federal Credit Union network.We recently noticed the following issue on your account: A recent review of your transaction history determined that we require an update of your account in order to provide you with secure services. Case ID Number: PP-065-617-349. > For your protection, we have limited your access, until additional security measures can be completed. We apologize for any inconvenience this may cause. Please restore your access as soon as possible. . > You must click the link below and fill in the form on the following page to complete the verification process. We thank you for your prompt attention to this matter. Please understand that this is a security measure intended to help protect you and your account. We apologize for any inconvenience. > To continue please click here. Get resources to help inform, protect members. Member NAFCU s ©2006 National Association Federal Credit Union",1,1
Best offer of the year: $3.33/month for 12 months!,"Start your subscription today ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ To view the online version click here Get our best offer of the year - $85 off the annual price! Don’t miss your chance for the biggest savings of the year! The Toronto Star and Google have partnered to bring you an exclusive offer of only $3.33/month for 12 months for full digital access when you purchase an annual subscription. That’s only $39.99 for the year. Cancel anytime. A subscription includes: 24/7 digital access to news Breaking news alerts Mobile access on the go Digital crosswords and games Original podcasts Start your subscription today and get 12 months of unlimited news for the low price of $3.33/month. Pay by credit card or via Subscribe with Google. GET THIS OFFER How do I get this offer? Click on Get this Offer button and choose to pay with credit card or pay with Subscribe with Google. To pay with Subscribe with Google follow these steps: Choose pay with Subscribe with Google Enter your Gmail address and log into your Gmail account Once logged in choose Credit Card or Paypal Hit ‘Submit’ to purchase Use this email address to log into the Toronto Star for unlimited access Don’t miss out on the best offer of the year! Offer Terms: Limited time offer. Offer available to new subscribers only, until June 22nd, 2023. Toronto Star reserves the right to change or cancel the offer at any time. Torstar Account Team, Part of the Torstar Group. 8 Spadina Avenue, 10th Floor, Toronto, ON M5V 0S8. 416-367-2000. You are receiving this message because you signed up for a Torstar account. If you no longer wish to receive promotional messages from the Torstar Account Team, please click here to unsubscribe. To see our Privacy Policy, click here.",1,1
Crash Report,The tools have experienced a crash.,0,1
Alert: Internal Unauthorized Access to Patient Records,We've identified unauthorized access to patient records from within. This might be linked to lax password protocols or insufficient training. Immediate action has been taken to secure the system and begin a preliminary look into the issue. Our team is actively working to resolve the situation and prevent it from happening again. We will keep you informed and notify relevant parties as needed. The investigation is ongoing and we are addressing this matter with utmost seriousness.,0,1
Message From Administrator,your Webmail Account need verification Immediately. Please Verify now to Keep email Account active. yourÂ Webmail Account need verification Immediately. Please Verify now to Keep email Account active.,1,1
Trouble with Data Synchronization,"Hello Customer Support, we are facing issues with data synchronization across our digital platforms, which is affecting our brand's growth metrics. The problem might be related to recent Zapier updates that are conflicting with our systems. So far, we have tried restarting the integrations, verifying API keys, and reviewing the connection settings, but to no avail. We would greatly appreciate your help in resolving this matter as soon as possible to prevent any further disruptions to our operations. Please let us know if you need additional information or if a call at <tel_num> would be more convenient.",0,1
Welcome to the World of Ralph Lauren,"Ralph Lauren Explore Now ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ WELCOME TO THE World of Ralph Lauren For more than 50 years, Ralph Lauren has helped to shape the landscape of American style. We invite you to explore the worlds that he has created—including global flagship stores, signature restaurants and cafés, and a unique digital shopping experience on the Ralph Lauren App Explore Our Collections MEN MEN MEN WOMEN KIDS KIDS HOME HOME Visit Our Flagship Stores Ralph Lauren brings his singular vision to the world's capitals of style, with immersive décor, exquisite attention to detail, and unparalleled service FIND A STORE FIND A STORE Help Us Make a Difference Ralph Lauren is committed to giving back, in support of human rights, cancer research, sustainability, and more. Learn how you can join us EXPLORE NOW EXPLORE NOW The Ralph Lauren App Bringing the World of Ralph Lauren to lifeat your fingertips ABOUT US PRIVACY POLICY SHIPPING INFORMATION Was this email forwarded to you? Join our email list to receive emails and special offers from RalphLauren.com If you have questions, please contact Customer Assistance at 888-475-7674 or CustomerAssistance@RalphLauren.com. Our Customer Assistance team is available 24 hours a day, seven days a week.Copyright © 2023 Ralph Lauren Media, LLCIf you wish to no longer receive marketing and promotional emails from RalphLauren.com, please click here. Note that you may continue to receive transactional and operational emails from us.This email was sent by Ralph Lauren Corporation, headquartered at 650 Madison Avenue, New York, NY, 10022. View in browser Polo Ralph Lauren Corporation 650 Madison Avenue New York NY 10022 US Update Profile",1,1
Jouw kans op duurzame energie zonder aan je spaargeld te komen!,"<!DOCTYPE html PUBLIC ""-//W3C//DTD XHTML 1.0 Transitional//EN"" ""http://www.w3.org/TR/xhtml1/DTD/xhtml1-transitional.dtd""><html xmlns=""http://www.w3.org/1999/xhtml"" lang=""en""><head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title></title>

<meta name=""viewport"" content=""width=device-width, initial-scale=1"">
<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">
<meta name=""format-detection"" content=""telephone=no"">

<link href=""https://fonts.googleapis.com/css?family=Open+Sans:400,300,300italic,400italic,600,600italic,700,800"" rel=""stylesheet"" type=""text/css"">

<style type=""text/css"">
/* CLIENT-SPECIFIC STYLE FIXES */
#outlook a {
padding: 0;
}
/* Force Outlook to provide a ""view in browser"" message */
.ReadMsgBody {
width: 100%;
}
.ExternalClass {
width: 100%;
}
/* Force Hotmail to display emails at full width */
.ExternalClass,
.ExternalClass p,
.ExternalClass span,
.ExternalClass font,
.ExternalClass td,
.ExternalClass div {
line-height: 100%;
}
/* Force Hotmail to display normal line spacing */
body,
table,
td,
a {
-webkit-text-size-adjust: 100%;
-ms-text-size-adjust: 100%;
-webkit-font-smoothing: antialiased !important;
mso-line-height-rule: exactly;
}
/* Prevent WebKit and Windows mobile changing default text sizes & general resets for text */
table,
td {
mso-table-lspace: 0pt;
mso-table-rspace: 0pt;
}
/* Remove spacing between tables in Outlook 2007 and up */
img {
-ms-interpolation-mode: bicubic;
}
/* Allow smoother rendering of resized image in Internet Explorer */
[style*=""Open Sans""] {
font-family: 'Open Sans', Arial, sans-serif !important
}
/* Stops outlook from using times new roman. Font family is reversed on inline style */
a[x-apple-data-detectors] {
color: inherit !important;
text-decoration: none !important;
font-size: inherit !important;
font-family: inherit !important;
font-weight: inherit !important;
line-height: inherit !important;
}
/* stops apple devices inserting links for phone numbers, dates, etc */

/* RESET STYLES */
body {
margin: 0;
padding: 0;
}
img {
border: 0;
height: auto;
line-height: 100%;
outline: none;
text-decoration: none;
}
table {
border-collapse: collapse!important;
margin: 0 auto!important;
}
body {
height: 100% !important;
margin: 0;
padding: 0;
width: 100% !important;
}
/* iOS BLUE LINKS FIX */
.appleBody a {
color: #000000;
text-decoration: none;
}
.appleFooter a {
color: #000000;
text-decoration: none;
}

/* MOBILE STYLES */
@media screen and (max-width: 600px) {
/* FLUID CONTENT */
table[class*=""wrapper""] {
width: 100% !important;
}
td[class*=""bgtable""] {
padding: 10px 10px 30px !important;
}
table[class*=""responsive-table""] {
width: 100%!important;
height: auto!important;
}
img[class*=""img-max""] {
max-width: 100% !important;
width: 100% !important;
height: auto !important;
}
img[class*=""border-reset""] {
border-radius: 0 !important;
}
/* HIDE ON MOBILE */
*[class*=""mobile-hide""] {
display: none !important;
}
/* GENERAL STYLES */
td[class*=""mobile-center-align""] {
text-align: center !important;
}
br[class*=""desktop-break""] {
display: none;
}
td[class=""logo""] {
text-align: left;
padding: 15px 15px 5px !important;
}
img[class*=""logo-img""] {
max-width: 100% !important;
height: auto !important;
}
td[class=""side-padding""] {
padding-left: 15px !important;
padding-right: 15px !important;
}
}

</style>
</head>

<body style=""margin: 0; padding: 0; background-color: #cccccc;"" bgcolor=""#cccccc"">

<!-- HIDDEN PREHEADER TEXT -->
<div style=""display: none; font-size: 1px; color: #000000; line-height: 1px; font-family: Helvetica, Arial, sans-serif, 'Open Sans'; max-height: 0px; max-width: 0px; opacity: 0; overflow: hidden;"">
Topkwaliteit zonnepanelen zonder eigen investering? Het kan!
</div>

<!-- EMAIL -->
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""100%"">
<tr>
<td bgcolor=""#cccccc"" align=""center"" style=""padding: 15px 0 30px;"" class=""bgtable"">
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""600"" class=""responsive-table"">
<tr>
<td>
<table bgcolor=""#ffffff"" width=""100%"" border=""0"" cellspacing=""0"" cellpadding=""0"" style=""border-radius: 4px;"">

<!-- Header image -->
<tr>
<td style=""padding-bottom: 20px;"">
<a href=""http://ytlagp.stringpath.online/4ulQoA2640fAKM61dmxpvtpbxb503VJKSINSBGDWBMKA26897WPYT12903I9"">
<img src=""//media.go2speed.org/brand/files/sendt/3232/20240314152422-3232-header-mail1.png"" width=""600"" border=""0"" alt=""Header afbeelding"" style=""display: block; border-top-left-radius: 0px; border-top-right-radius: 0px;"" class=""img-max"">
<img src=""https://media.go2speed.org/brand/files/sendt/3232/20240314152422-3232-header-mail1.png"" width=""600"" border=""0"" alt=""Header afbeelding"" style=""display: block; border-top-left-radius: 0px; border-top-right-radius: 0px;"" class=""img-max"">
</a>
</td>
</tr>

<!-- E-mail 26897 body -->
<tr>
<td>
<table width=""100%"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tr>
<td align=""left"" style=""padding: 0 30px; font-size: 18px; line-height: 24px; font-family: Helvetica, Arial, sans-serif, 'Open Sans'; font-weight: bold; color: #333;"" class=""side-padding"">
Beste phishing@pot,
</td>
</tr>
</table>

<!-- HR -->
<table width=""100%"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tr>
<td align=""left"" style=""padding: 0 30px;"" class=""side-padding"">
<table align=""left"" width=""100"" border=""0"" cellspacing=""0"" cellpadding=""0"" style=""height:40px;"">
<tr>
<td align=""center"" style=""background:none; border-bottom: 1px solid #7D4E75; height:20px; width:100px; margin-top:0; margin-bottom:0; margin-left:auto; margin-right:auto; padding:0; line-height:0;"">
<div style=""width:100px;""></div>
</td>
</tr>
<tr>
<td align=""center"" style=""background:none; height:20px; width:100px; margin:0; padding:0; line-height:0;""></td>
</tr>
</table>
</td>
</tr>
</table>
<!-- END - HR -->

<!-- Text -->
<table width=""100%"" border=""0"" cellspacing=""0"" cellpadding=""0"">

<tr>
<td align=""left"" style=""padding: 0px 30px 20px; font-size: 14px; line-height: 24px; font-family: Helvetica, Arial, sans-serif, 'Open Sans'; color: #333333; text-align: left;"" class=""side-padding"">
Wilt u graag zonnepanelen plaatsen, maar wilt u geen grote investering doen? U heeft het vast meegekregen: Zonnepanelen zijn nu fors goedkoper. Én 1KOMMA5° | Zonduurzaam heeft daarnaast gezorgd voor een doorbraak! <strong>Zonnepanelen zonder eigen (spaar)geld.</strong> U geniet alleen van de lusten en niet van de lasten.<br><br>
<a target=""_blank"" href=""http://ytlagp.stringpath.online/4IJbdS2640QDtz61iavpdhycwj503SFDFEOPZSHSJWPM26897ZCHT12903c9"" style=""color:#333; text-decoration: none;""><strong><span style=""text-decoration: underline"">Bekijk hier</span> of uw woning in aanmerking komt en start direct met besparen op uw energierekening.</strong></a> 100% duurzame energie en alleen A-klasse panelen.<br><br>
<a target=""_blank"" href=""http://ytlagp.stringpath.online/4Luzvu2640Cmop61mvzeunwlkl503JGNLHDXUUCXKFRC26897EIKZ12903D9"" style=""color:#333; text-decoration: underline""><strong>Bekijk hier de mogelijkheden!</strong></a>
</td>
</tr>

<!-- Button -->
<tr>
<td align=""left"" style=""padding: 0 30px 30px;"" class=""side-padding"">
<a href=""http://ytlagp.stringpath.online/4rRtQo2640mtMc61rkjvlwzpkn503JJJRJDJETAQFLNY26897KHXT12903t9"" style=""font-size: 14px; font-family: Helvetica, Arial, sans-serif, 'Open Sans'; font-weight: 400; color: #ffffff; text-decoration: none; background-color: #F07F0E; border-top: 12px solid #F07F0E; border-bottom: 12px solid #F07F0E; border-left: 24px solid #F07F0E; border-right: 24px solid #F07F0E; border-radius: 5px; -webkit-border-radius: 5px; -moz-border-radius: 5px; display: inline-block; letter-spacing: 1px; text-transform: uppercase;"">
Bekijk hier&gt;
</a>
</td>
</tr>
</table>
</td>
</tr>

</table>
</td>
</tr>
</table>
</td>
</tr>
</table>
<!-- Klacht melden -->
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""100%"">
<tr>
<td style=""padding: 15px 0px; font-size: 10px; line-height: 24px; font-family: Helvetica, Arial, sans-serif, 'Open Sans'; color: #5a5a5a; text-align: center;"">
<a href=""http://ytlagp.stringpath.online/4BUzHa2640SkvJ61jtjkgorfii503BKKDIHIDIDYZAXZ26897ZBLR12903p9"" target=""_blank"" style=""color: #5a5a5a; text-decoration: none;"">Klacht melden?</a>
</td>
</tr>
</table>
<img src=""https://images.slga.nl/aff_i?offer_id=3232&amp;file_id=5790&amp;aff_id=1458"" width=""0"" height=""0"" style=""position:absolute;visibility:hidden;"" border=""0""></body>

</html>
<a href=""http://ytlagp.stringpath.online/5ECrpM2640BIcd61plqflbedft503WLJITKRPIJTXADG26897FTJT12903X9""><p class=""t31"" style=""margin:0;Margin:0;font-family:BlinkMacSystemFont,Segoe UI,Helvetica Neue,Arial,sans-serif,'Fira Sans';line-height:19px;font-weight:400;font-style:normal;font-size:12px;text-decoration:none;text-transform:none;direction:ltr;color:;text-align:center;mso-line-height-rule:exactly;mso-text-raise:2px;"">[unsubscribe]</p></a></td>
</tr></table>
</td></tr></table></td>
</tr></table>
</div>
<!--[if mso]>
</td>
</tr></table>
<![endif]-->
</div></td></tr></table></td></tr></table></div><img src=""https://tracking.p-l-m.com/aff_i?offer_id=584&amp;aff_id=1018&amp;file_id=888"" width=""0"" height=""0"" style=""position:absolute;visibility:hidden;"" border=""0""></body>
</html>

<a href=""http://ytlagp.stringpath.online/6dCrhS2640Uozm61nvdoojugth503ZHIHXCLTCSCDZCK26897WVZW12903V9"">
<span style=""color: white; font-size: 0px;"">.</span>
</a>

<table align=""center"" width=""100%"" style=""max-width:700px;"">
<tr>
<td align=""center"" width=""100%"" style=""font-family:Helvetica, Arial, sans-serif; font-size:10px; color:#202020; line-height:15px; padding-top:10px;"">
Om deze te stoppen alstublieft <a href=""http://ytlagp.stringpath.online/6kcGDd2640JvkM61fclgbvjskb503MPWKGJMLBQMXQLF26897PYJV12903D9"" style=""color:#202020;"">klik hier</a> of schrijf naar:
<br> Mozartstraat 44e
<br> Groenlo, 7141 CP
</td>
</tr>
</table>

<img src=""http://ytlagp.stringpath.online/track/3BzaDP2640cdBE61zmiwwvhanm503IDPMHDOTJYRMALZ26897GHVI12903I9"">",1,1
Issue with Investment Returns,"I am contacting you to report a discrepancy in my investment returns. The actual returns do not align with the projected returns. Despite restarting the system and verifying the data feeds, the issue remains. I believe there might be inaccuracies in the data analytics model. Please conduct an investigation and offer a solution to resolve this as soon as possible. I would appreciate any support you can provide to help me understand and address the problem.",0,1
