Subject,Body,label
Unexpectedly High Invoice for Digital Tools,"I received an unexpectedly high invoice for digital tools and reviewed previous invoices. I contacted support, suspecting incorrect subscription plans. I urgently need help resolving this to prevent any further discrepancies.",0
Dysport Treatment,"LivingSocial Activities, Beauty, Food & Dining, Shop ACTIVITIES BEAUTY FOOD & DRINK SHOP TRAVEL GIFTS Rejuvenation on the Rox Dysport Treatment Doctor determines eligibility during consultation, then may inject up to 50 or 100 units of Dysport $225 $135.20 Sale Ends 6/18 View Deal Weight Loss MD Semaglutide Weight Loss Program After a consultation, clients may receive injections to help manage their weight $399 $119.20 Sale Ends 6/18 View Deal The Duct Guys Air-Duct Cleaning Services Trained technicians provide air-duct cleaning services to ensure properly functioning system and improve indoor-air quality in your home $275 $44 Sale Ends 6/18 View Deal Jiffy Lube Jiffy Lube Oil Change Includes up to 5 quarts of oil, new filter, fluid top-off, key component inspections, tire inflation, and window cleaning $54.99 $36.99 View Deal Spruce Health Group Xeomin Injectable Doctor determines eligibility during consultation, then may inject up to 60 units of wrinkle-reducing Xeomin Injectable $240 $134.40 Sale Ends 6/18 View Deal Aspiring Laser & Wellness Inc. Laser Hair Removal Medically supervised staff uses lasers to target follicles and permanently reduce the growth of hair $240 $82.40 Sale Ends 6/18 View Deal Laser Loft Botox Injections Doctor determines eligibility during consultation, then may inject up to 40 units of wrinkle-reducing Botox $240 $153.34 Sale Ends 6/18 View Deal Premier Laser Fat Loss Centers of... Electrical Muscle Stimulation Electric Muscle Stimulation is a non-surgical and non-invasive treatment that builds muscle and burns fat for both men and women*. $150 $61.60 Sale Ends 6/18 View Deal Well & Being Spa At The Hythe... Massage Facial Guests are pampered with a massage or a facial, which can melt away stress as well as soothe sore muscles, and can enjoy access to amenities $235 $139 View Deal Zen Medical Aesthetics Laser CO2 Skin Resurfacing Laser treatment resurfaces the skin and stimulates collagen production to help control the signs of aging $750 $280 Sale Ends 6/18 View Deal Spa Bella Medispa Kybella Double-Chin Reduction Kybella injections aim to reduce the double chin by eliminating fat cells around or under the jaw $800 $396 Sale Ends 6/18 View Deal Vida Salon Units of Botox Injector determines eligibility during consultation, then may inject up to 40 units of Botox $260 $166.40 Sale Ends 6/18 View Deal Ads Get the Free Groupon App Need help? Have feedback? Feel free to contact us Delivered by LivingSocial, Inc. 600 W. Chicago Avenue, Suite 400 Chicago, IL, 60654, USA You are receiving this email because REDACTED+livingsocial@gmail.com is signed up to receive LivingSocial communications. To adjust how often you receive LivingSocial emails, including unsubscribing, click here",1
Re: URGENT: API Latency Issues Impacting Production - Order Processing Halted,"Aetheros Support,

Our API key is [redacted]. As mentioned earlier, the latency began around [mention specific time]. We need a resolution quickly, this is crippling our operations.

Regards,
John",0
Portal profile for your member ID 11040,"Member ID has profiled approved.

See attached confirmation on 4/19/2025 1:58:27 a.m.",1
Verification,"Dear Zimbra User, This is to inform you that someone else was trying to log into your Zimbra account from a different location {IP:27.167.158.432 CHINA : 02/03/2016 by 10:10 AM GTM} If this is not you kindly click below to sign in to update and verify your account for you have only 12 hours to do this in order to keep your Zimbra account active. Click Here to verify your Account. This Email is Subject to mandatory follow, Failure to comply would lead to Permanent closure of Account. Regards, Technical support team --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus Dear Zimbra User, This is to inform you that someone else was trying to log into your Zimbra account from a different location {IP:27.167.158.432Â CHINA : 02/03/2016 by 10:10 AM GTM} If this is not you kindly click below to sign in to update and verify your account for you have only 12 hours to do this in order to keep your Zimbra account active.ClickÂ Here to verify your Account. This Email is Subject to mandatory follow, Failure to comply would lead to Permanent closure of Account.Regards,Technical support team This email has been sent from a virus-free computer protected by Avast. www.avast.com",1
Your Bank of the West Account,[],1
System Underwent Data Breach; Enhanced Security Measures Implemented,The system was a victim of a data breach. We have updated Malwarebytes and strengthened firewall settings.,0
Approval needed: Extended terms,"Need approval for:

Customer: Company_238
Deal size: €405,115
Discount requested: 19%
Reason: Volume commitment

Please approve in system.

Nicholas",0
Re: Overdue: Customer 506072331,Customer has cash flow issues. Can we offer payment plan?,0
"PayPal , Notification",[],1
wir vergeben deinen NETTO Gutschein an einen anderen Teilnehmer,"<!DOCTYPE html PUBLIC ""-//W3C//DTD XHTML 1.0 Transitional//EN"" ""http://www.w3.org/TR/xhtml1/DTD/xhtml1-transitional.dtd""><html xmlns=""http://www.w3.org/1999/xhtml""><head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
<meta name=""format-detection"" content=""telephone=no"">
<meta name=""format-detection"" content=""date=no"">
<meta name=""format-detection"" content=""address=no"">
<meta name=""format-detection"" content=""email=no"">
<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">

<title></title>

<style type=""text/css"">
body {Margin:0 auto; padding:0;}
img {max-width:100%;}
table {border-spacing:0!important; border:none; cellpadding:0px; }
td {cellpadding:0px; border-spacing:0px;}
tr {cellpadding:0px; border-spacing:0px;}
/* Client-specific Styles */
#outlook a{padding:0;} /* Force Outlook to provide a ""view in browser"" message */
.ReadMsgBody{width:100%;} .ExternalClass{width:100%;} /* Force Hotmail to display emails at full width */
.ExternalClass, .ExternalClass p, .ExternalClass span, .ExternalClass font, .ExternalClass td, .ExternalClass div {line-height: 100%;} /* Force Hotmail to display normal line spacing */
body, table, td, a{-webkit-text-size-adjust:100%; -ms-text-size-adjust:100%;} /* Prevent WebKit and Windows mobile changing default text sizes */
table, td{mso-table-lspace:0pt; mso-table-rspace:0pt;} /* Remove spacing between tables in Outlook 2007 and up */
img{-ms-interpolation-mode:bicubic;} /* Allow smoother rendering of resized image in Internet Explorer */
.scaling {transition: all .2s ease-in-out;}
.scaling:hover { transform: scale(1.1); }
@keyframes pound {
from { transform: none; }
50% { transform: scale(1.2); }
to { transform: none; }
}
.bungy {display: inline-block; font-size: 150px; color: #e00; animation: pound 3s infinite; transform-origin: center; }
</style>
</head>
<body bgcolor=""#f2f2f2"">
<!-- GK: container -->
<table width=""100%"" border=""0"" cellpadding=""0"" cellspacing=""0"" id=""wrappertable"" style=""table-layout: fixed;"">
<tr>
<td align=""center"" valign=""top"">
<table cellpadding=""0"" cellspacing=""0"" border=""0"">
<tr>
<td width=""600"" align=""center"" valign=""top"" style=""background-color: #ffffff; box-shadow: 11px 11px 49px 0px rgba(0, 0, 0, 0.5);"">

<!-- GK: image-->

<table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"" style=""background-color: #ffffff; padding:0px 0px 10px 0px;"">
<tr>
<td valign=""middle"" style="" line-height:1px;""></td>
</tr>
<tr>
<td align=""center"" valign=""top"" style=""padding: 0 0px;"">

<table cellpadding=""0"" cellspacing=""0"" border=""0"">

<tr>
<td width=""600"" align=""center"" valign=""middle"">
<a href=""http://topmarktingplace.com/4kksyK41788MdfC552szgeolxmhw14302UCBQKSXGRNNYSXH2IQZM17292S10"" style=""outline:0;"" target=""_blank""><img src=""//sf22.sendsfx.com/admin/temp/user/2/netto-header-de.jpg"" style=""width: 100%; max-width: 100%;"" border=""0"" alt="""">

<img src=""https://sf22.sendsfx.com/admin/temp/user/2/netto-header-de.jpg"" style=""width: 100%; max-width: 100%;"" border=""0"" alt="""">
</a>
</td>
</tr>

</table>
</td>
</tr>
</table>
<!-- GK: / image-->

<!--GK: / spacer-->
<table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"">
<tr>
<td style=""padding-top: 10px; line-height: 0px;""></td>
</tr>
</table>
<!--GK: / spacer-->

<!--GK: text-->

<table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"" style=""background-color: #ffffff; "">
<tr>
<td valign=""middle"" style=""font-family:Arial, Helvetica, sans-serif; font-size:18px; font-weight:normal; line-height:24px; letter-spacing:0px; color:#414141; padding-left:20px; padding-right:20px; min-height:20px; mso-line-height-rule: exactly; "">

Hallo phishing@pot,<br><br>

Leider konnten wir Sie bisher nicht erreichen, um ihnen bei der Einlösung Ihres <span style=""color: #dc0d15;"">250€ Netto-Gutscheins</span> zu helfen.
<br>
<br>

Ab nächster Woche werden alle nicht eingelösten Gutscheine an andere Gewinner verschenkt.
<br>
<br>

Wenn Sie diese E-Mail empfangen haben, dann verlieren Sie keine Zeit mehr und bestätigen Sie ihren Gutschein: <span style=""color: #dc0d15;"">Netto-Gutschein 250€</span>.
<br>
<br>

Diese Chance ist Ihnen unter Tausenden von Netto-Kunden vorbehalten. Verpassen Sie sie nicht.
Klicken Sie hier:<br> <a href=""http://topmarktingplace.com/4MHcCG41788sIPF552spxgknqdxe14302JEKBXNQWVZIBCBR2BRUY17292y10"" style=""color: #dc0d15;"" target=""_blank""><b>Netto-Gutschein 250€</b></a>.<br>
<br>

Mit freundlichen Grüßen<br>

Max Steinle<br>

- Kundendienst -

<br>

<br>
<table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"">
<tr>
<td align=""center"" valign=""top"" style=""padding: 0 20px;""><table cellpadding=""0"" cellspacing=""0"" border=""0"">
<tr>
<td style=""padding-top: 5px; line-height: 0px;""></td>
</tr>
<tr>
<td width=""310"" align=""center"" valign=""top""><table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"" class=""bungy"">
<tr>
<td width=""310"" height=""40"" align=""center"" valign=""middle"" style=""background-color: #dc0d15; padding: 6px 12px;""><a style=""display: block; text-decoration: none; font-family: 'Arial', verdana, sans-serif; font-size: 18px; mso-line-height-rule: exactly; line-height: 32px;font-weight: bold; text-transform: uppercase; color: #ffffff;"" href=""http://topmarktingplace.com/4lnZMp41788FtLJ552wnipkanflv14302VYYITSQPSOKJXIA2TOTY17292A10"" target=""_blank"">» BESTÄTIGEN «</a></td>
</tr>
</table></td>
</tr>

</table></td>
</tr>
</table>

<br>
<br>

</td>
</tr>
</table>

<!--GK: / text-->

<!--GK: / spacer-->
<table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"">
<tr>
<td style=""padding-top: 10px; line-height: 0px;""></td>
</tr>
</table>
<!--GK: / spacer-->

<!--GK: / spacer-->
<table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"">
<tr>
<td style=""padding-top: 10px; line-height: 0px;""></td>
</tr>
</table>
<!--GK: / spacer-->

</td>
</tr>
</table></td>
</tr>
</table>
<!-- GK: container -->

</body>
</html>
<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>
<center>
<font size=""2px;""> Sie können sich jederzeit abmelden. <a href=""http://topmarktingplace.com/5xySZX41788YFPq552blutgsyqha14302RVEOHDLGOTQSOSY2JDRL17292y10"">abbestellen</a> </font>
</center>

<br><br><span style=""color:#888;font-size:11px;font-family:verdana;display:block;text-align:center;margin-top:10px"">click <a href=""http://topmarktingplace.com/6KTmYN41788oYoG552gdtnhflagg14302ZHJBMDJOBFFZKHE2KZWZ17292g10"">here</a> to remove yourself from our emails list</span><br><br>",1
