subject,body,label,model_prediction
Microsoft account unusual signin activity,"<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><table dir=""ltr"" style=""height: 323px;"">
<tbody>
<tr style=""height: 22px;"">
<td id=""i1"" style=""padding: 0px; font-family: 'Segoe UI Semibold', 'Segoe UI Bold', 'Segoe UI', 'Helvetica Neue Medium', Arial, sans-serif; font-size: 17px; color: #707070; height: 22px; width: 696px;"">Microsoft account</td>
</tr>
<tr style=""height: 53px;"">
<td id=""i2"" style=""padding: 0px; font-family: 'Segoe UI Light', 'Segoe UI', 'Helvetica Neue Medium', Arial, sans-serif; font-size: 41px; color: #2672ec; height: 53px; width: 696px;"">Unusual sign.in activity</td>
</tr>
<tr style=""height: 18px;"">
<td id=""i3"" style=""padding: 25px 0px 0px; font-size: 14px; font-family: 'Segoe UI', Tahoma, Verdana, Arial, sans-serif; color: #2a2a2a; height: 18px; width: 696px;"">We detected something unusual about a recent sign-in to the Microsoft account <a id=""iAccount"" class=""link"" dir=""ltr"" style=""color: #2672ec; text-decoration: none;"" href=""mailto:solutionteamrecognizd02@gmail.com?&amp;cc=solutionteamrecognizd02@gmail.com&amp;Subject=Report+The+User"">phishing@pot</a>.</td>
</tr>
<tr style=""height: 18px;"">
<td id=""i4"" style=""padding: 25px 0px 0px; font-family: 'Segoe UI Bold', 'Segoe UI Semibold', 'Segoe UI', 'Helvetica Neue Medium', Arial, sans-serif; font-size: 14px; font-weight: bold; color: #2a2a2a; height: 18px; width: 696px;""><strong>Sign-in details</strong></td>
</tr>
<tr style=""height: 18px;"">
<td id=""i5"" style=""padding: 6px 0px 0px; font-family: 'Segoe UI', Tahoma, Verdana, Arial, sans-serif; font-size: 14px; color: #2a2a2a; height: 18px; width: 696px;"">Country/region: <strong>Russia/Moscow</strong></td>
</tr>
<tr style=""height: 18px;"">
<td id=""i6"" style=""padding: 6px 0px 0px; font-family: 'Segoe UI', Tahoma, Verdana, Arial, sans-serif; font-size: 14px; color: #2a2a2a; height: 18px; width: 696px;"">IP address: <strong>103.225.77.255</strong></td>
</tr>
<tr style=""height: 18px;"">
<td id=""i7"" style=""padding: 6px 0px 0px; font-family: 'Segoe UI', Tahoma, Verdana, Arial, sans-serif; font-size: 14px; color: #2a2a2a; height: 18px; width: 696px;"">Date: <strong>Mon, 31 Jul 2023 21:11:09 +0000</strong></td>
</tr>
<tr style=""height: 18px;"">
<td id=""i8"" style=""padding: 6px 0px 0px; font-family: 'Segoe UI', Tahoma, Verdana, Arial, sans-serif; font-size: 14px; color: #2a2a2a; height: 18px; width: 696px;"">Platform: <strong>Windows 10</strong></td>
</tr>
<tr style=""height: 18px;"">
<td id=""i9"" style=""padding: 6px 0px 0px; font-family: 'Segoe UI', Tahoma, Verdana, Arial, sans-serif; font-size: 14px; color: #2a2a2a; height: 18px; width: 696px;"">Browser: <strong>Firefox</strong></td>
</tr>
<tr style=""height: 36px;"">
<td id=""i10"" style=""padding: 25px 0px 0px; font-family: 'Segoe UI', Tahoma, Verdana, Arial, sans-serif; font-size: 14px; color: #2a2a2a; height: 36px; width: 696px;"">A user from <strong>Russia/Moscow</strong> just logged into your account from a new device, If this wasn't you, please report the user. If this was you, we'll trust similar activity in the future.</td>
</tr>
<tr style=""height: 32px;"">
<td style=""padding: 25px 0px 0px; font-family: 'Segoe UI', Tahoma, Verdana, Arial, sans-serif; font-size: 14px; color: #2a2a2a; height: 32px; width: 696px;"">
<table border=""0"" cellspacing=""0"">
<tbody>
<tr>
<td style=""background-color: #2672ec; min-width: 50px; padding: 5px 20px 5px 20px;"" bgcolor=""#2672ec""><a id=""i11"" style=""font-family: 'Segoe UI Semibold', 'Segoe UI Bold', 'Segoe UI', 'Helvetica Neue Medium', Arial, sans-serif; font-size: 14px; text-align: center; text-decoration: none; font-weight: 600; letter-spacing: 0.02em; color: #fff;"" href=""mailto:solutionteamrecognizd02@gmail.com?&amp;cc=solutionteamrecognizd02@gmail.com&amp;subject=unusual signin activity&amp;body=Report The User"">Report The User</a></td>
</tr>
</tbody>
</table>
</td>
</tr>
<tr style=""height: 18px;"">
<td id=""i12"" style=""padding: 25px 0px 0px; font-family: 'Segoe UI', Tahoma, Verdana, Arial, sans-serif; font-size: 14px; color: #2a2a2a; height: 18px; width: 696px;"">To opt out or change where you receive security notifications, <a id=""iLink5"" class=""link"" style=""color: #2672ec; text-decoration: none;"" href=""mailto:solutionteamrecognizd02@gmail.com?&amp;cc=solutionteamrecognizd02@gmail.com&amp;Subject=Unsubscribe+me"">click here</a>.</td>
</tr>
<tr style=""height: 18px;"">
<td id=""i13"" style=""padding: 25px 0px 0px; font-family: 'Segoe UI', Tahoma, Verdana, Arial, sans-serif; font-size: 14px; color: #2a2a2a; height: 18px; width: 696px;"">Thanks,</td>
</tr>
<tr style=""height: 18px;"">
<td id=""i14"" style=""padding: 0px; font-family: 'Segoe UI', Tahoma, Verdana, Arial, sans-serif; font-size: 14px; color: #2a2a2a; height: 18px; width: 696px;"">The Microsoft account team</td>
</tr>
<img alt="""" src=""http://thebandalisty.com/track/o39834BcCFW22448528DKLh49413ViZ33634Wlwu176"" width=""1px"" height=""1px"" style=""visibility:hidden"">
</tbody>
</table>

<style type=""text/css"">nergie b326,

tweeting pbt85voo_pm,

detecting,

cacher bec4 plea,

bfba robuste,

d21c,

sami,

pensamientos,

static,

maldives,

bbca,

wuhan,

a439,

a1a0,

extpm,

withdrawal hora,

b09b b531,

e1e9,

introduire westjet,

aula bbcc,

complying,

a786,

realised,

f104,

premises,

mailbag,

heavenly a466 portugu,

aad7 leftcol,

trailing,

mt50,

contre,

pleno,

producir,

f4d4 countertop denmark,

ea97 b016,

ba27 temporales,

mailtrack cloudinary,

artikeln,

a198 ec1a centercolumn,

besucht bunch,

conclu a645 talebi,

bersicht ips_logo,

erstellt acupuncture actuales,

blicas ddcb,

rata taper,

ayuda durum,

b917,

ndtv_logo vibrations,

nite forks,

duda,

record depository avanzar,

daa0 soit,

tilting app_logo w100,

hil_t1wc0dbm goya,

11pt index__logo pertenecen,

graciela b73b,

substituted liable app_store_logo,

yarn alumno,

reminder materias replacing,

aukshndac_pm reforzar,

instrument,

a1fc,

icon__caret,

sopranos,

abordar,

ances ransom unbegrenzt,

concorde img_1633,

hc_post_as paddingtop10 b727,

esperamos looked,

mattias snapping recording,

neg_bofa dd39,

contemplate,

produccion,

title4,

b6d5,

simplisafe,

_total_,

avila,

rifiez,

aero,

patti,

b595,

colegio,

a308,

fp_1400x1400,

a457,

c575 munster_logo lluvia,

x2019 music,

richly,

alkaline,

elena,

dejo,

forums mite,

magento superiores,

sentation scope,

anwar,

a034,

a16a,

bea9,

clj858j4_pm,

rechnung,

ministerio sebastien,

b507 footer_v2,

nachfrage,

martel cologique debat_2160776,

pascual tore,

hige da13 botella,

badge_logo lacy,

a07f,

criptomonedas,

traslados,

logo_outer,

c87e,

tokens ayuntamiento,

juguetes riences,

productores,

d29e,

co2_4837443,

e027,

a4c7,

rancher,

a024 justa bc56,

msci hmenu_logo,

uc_zav2ewlhf zuerst d0be,

leuchten topix,

misma,

reached,

f4f8,

a0a1,

b8f5,

fb68 vergangenheit,

decathlon geimpfte,

a92b,

llena,

deux,

labour,

restez,

romania,

grohl interessante ac29,

dunlop montes,

soweit,

eaac,

a863,

a388,

logistico,

ad85 bffc manifold,

youversion a29c,

showmenu,

a663,

x_1805,

c0d5,

situada,

nbcnews commun c764,

jacques osteoporosis,

comptons,

kombinera,

preise,

chuck,

b195,

caer fd9a mnemonic,

simpson a35b,

a352,

tarifaire,

wear,

reassure,

trifft,

genera,

genes,

pack bunch,

troubleshoot,

investigating,

ab07 hallan a546,

d3d6 bae3,

preferenze b69b niemals,

interactivo vemos,

robin,

a9c1,

a11c,

c142,

cac1,

registrati schluss baird,

w256 novedad,

figueroa,

morceaux,

f9e5,

a66e,

ad61,

hutchinson optics,

na5vufcg_pm carburants,

jeunes_4845685,

cobb baumarkt worldview,

davis waterstones,

recorte,

a539,

c206,

circunstancia,

schweiz,

ital barrera,

digitalen robbing,

welfare,

attachments loom bb68,

quinoa b590,

serie atencion,

barrios af4d,

bac7,

b18a,

bodas,

outer_wrap,

waging,

subj,

building_ice,

b268,

constitucional,

logo__culture,

row4,

goodreads,

corpse,

af49,

ballard,

lovingly,

amsterdam bc0b,

dbe0 flight_86056,

theatres,

ac3f reportaje agencias,

emptied a7fe,

bureaucratic b981,

invitaci staffed,

kiosks,

pokemon sendungen f5a8,

disciples licensees,

logo_3 interne,

statistik arbeitet,

f2f2f2,

b5c1,

facultad,

aporta,

exclus,

nimm,

victor,

loudoun,

vorsitzende,

ace2,

vt4vqbo8_pm,

samui renal,

uc_store mp_logo,

sponsor_logo,

b9bf,

awakening 11pt,

b5d6,

_logo,

rhonda,

diaz paddingtop,

atkinson ca0a,

continente,

niro ineligible sezione_351,

pager__item ae87,

vittoria,

verder,

evaporating,

fisica,

ad46,

a541,

declara,

vises,

liberado,

film_pages,

c409 n2i0r8hg_pm logo_08,

e845 bbe1,

households daphne a3f9,

b71e daardoor,

b565,

assoc,

pera,

ba3e,

b219,

spaced aelig a7bd,

ba92 a2f4,

avisa supporting analizado,

dades c384,

weighed buckeye,

d2232a tecnico,

scholarships,

font14 depart,

d08d dere,

richten,

b3e9 ml10,

b185 bd081c,

faf6,

ssel,

ea05,

sumo,

logo__icon,

transferencia,

b79e pager beer_garden,

a13a mittlerweile,

reporte seam,

b2cc f276,

painting,

b0c4,

markeets_logo,

philipp,

encompasses,

nils,

logo_set b02c nueve,

fingers lsow_settings,

a823 b156 x2018,

a512 a836,

aragon,

d1d1d1,

toasts__logo,

evolved,

replace_2x,

brunt tapia rudolph,

panelists metre,

completed c542,

dave benfit,

wolfe,

complex forts,

axjch sheryl,

a26f,

pm_1200x768 ae55,

a764 dce3,

scalise,

nerg renvoyer forgot_option,

aed0 ab28,

top4 desayuno,

deceptive c6e0,

exclaimed,

thibaut,

b6ea,

icici,

summary_3x2,

bb39,

kommunikation edwards,

be9a mallory,

mechanism,

kaki footer_logo,

encuestas fieles,

quv73pek_pm,

arms,

consell,

c5b1,

teaser,

b31d,

meatball empleos,

golpes maxcdn,

dixon,

smoking reverso msg_logo_111,

pavillon pager__items,

antoinette b3da,

a3ef a68b,

yesterday,

prot nottingham keene,

favoriser durchgef,

f2f6,

bahnhof,

geimpft,

leica,

shone,

quede,

f5f5f7,

burnt,

a51e,

kjell,

accompanied manage_account klicke,

literal troop,

giraffe brains ad05,

associer changeable,

poeta e138 cese,

mentaire asistir,

bed8 murky ea4f,

samaritan hc_sailthru,

iefix ffcb10,

heed,

maestros,

spotlights,

ticas,

habitaciones displacement rjp5612_bse,

b2d4 a400,

nuria biblical,

a778 a7da,

giorgio,

adelphi c08b bonnier,

poeta emily weisen,

erna barometer puffs,

_17a elkaar,

df47 greenwashing,

f28f copy1,

northbound,

tsla dragon bc16,

a411 facilitar,

antibiotic,

sennheiser,

paddling,

a861,

devin,

restricting,

penne,

aptos,

coordinador,

bott,

kessler,

appuyer,

bosques,

ramifications,

e91f,

execution,

b32a,

blaming,

charter,

aec6,

piloting,

servlet,

gallery_,

rouler,

supone,

stoxx consciously bumble,

burl annat,

nace faq_link,

unter c877,

a3a6,

montreal kpbkfj5g_pm,

cabbage cnica,

situaciones,

the_shovel_,

rockin,

natasha,

af81,

mancha,

alerta b735 fbf4,

skyward pubads,

hi2u4rj8_pm glen,

octopus fosse,

renseignez,

b90f tanja avisos,

poll_msg_ dubbed,

citrus debat bb77,

quesos lgbtqia,

calves,

square_2x,

bc25,

sebi,

logo_tablet,

yxxx b6fc,

b022 e676,

a62e,

ambito,

f76d,

previsiones,

devait,

bnrt_gb,

a796 hampstead honeywell,

uniqlo auraient,

estafas,

mikhail,

wary,

knak,

matthew,

b8cf underway,

assignments be68,

pistes,

e9c4 b7c4,

a4ec f654,

logs1238,

b15f c340 slack,

aa08 ramada,

ac13 outward enrichment,

svetlana asheville,

fourths aftershocks,

a172 feta,

style5,

instalado,

hoods,

reconoce,

podcast_banner,

oubli,

zimmer momo bfed,

typo ados rgate micro,

caetano confines,

ilse b63c,

a7a9,

estrenos,

b9ba,

e7d1,

elaborar,

testimonio,

j5qkw_uc weaver,

portrait auftrag,

b19e,

logo_4 cords,

roque ndra,

zanzibar,

b776 b489,

comunicar efectuadas,

heather,

expedia,

quay,

neurons,

spoilers,

intrigue,

goya_3003 manifiesto turner,

t_qty b31c,

demolished,

b453,

b370,

joan,

calibre,

repas,

blumen,

shifter,

buscador,

hilton,

tomaten,

mediante,

a51a,

logo_01,

incompetence,

secr carne,

imglogo edinburgh,

a93b,

halign manzana,

__tbc acton,

encompass,

stolen stamme",1,1
Experienced Unauthorized Access Attempts to Medical Data Systems,"There have been experienced unauthorized access attempts to our medical data systems. We have implemented multi-factor authentication and updated our security protocols, but the attempts continue. Assistance is needed to resolve this issue and prevent future incidents.",0,1
Issue Detected: Problems with Incoming Email Messages,"Service Update Notification

Dear jose ,

We are enhancing our webmail platform to ensure better performance and security for all users. These improvements are part of our ongoing effort to deliver a smooth and reliable experience.

To continue accessing your account without interruptions, we kindly request that you update your webmail settings at your earliest convenience. This process should be completed within the next 24 hours.

Please click the button below to complete the update process:

Update Webmail

If you have any questions or require further assistance, please don't hesitate to contact our support team.

Best regards,

cPanel® Support Team

© 2024 cPanel. All Rights Reserved.

Unsubscribe
- Unsubscribe Preferences",1,1
Find Your Best Match Today!,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=us-ascii""></head>
<body>
<center>
<a style=""display:none;"" href=""http://thericant.com/fd5w4fd654f1wg6544d615f46x5fd48g4fd514fgd547784gdf5641fd54g.html?od=4syj646c82881b2b5_vl_intervl_18w3.395vf2s.U0000rgn29i1oai3yv_wy1616.gn29iMTl1Z3puLTNjaDhzZW00k3tHY"">.</a>
<a style=""color:#000000"" href=""http://thericant.com/fd5w4fd654f1wg6544d615f46x5fd48g4fd514fgd547784gdf5641fd54g.html?od=1syj646c82881b2b5_vl_intervl_18w3.395vf2s.U0000rgn29i1oai3yv_wy1616.gn29iMTl1Z3puLTNjaDhzZW00m4NPa"">
<h2>Find Your Best Match Today!</h2>
</a>
<br>
<a href=""http://thericant.com/fd5w4fd654f1wg6544d615f46x5fd48g4fd514fgd547784gdf5641fd54g.html?od=1syj646c82881b2b5_vl_intervl_18w3.395vf2s.U0000rgn29i1oai3yv_wy1616.gn29iMTl1Z3puLTNjaDhzZW00m4NPa"">
<img src=""https://imgur.com/QuXMn5l.jpg""><img src=""//imgur.com/QuXMn5l.jpg"">
</a>
<br>
<a href=""http://thericant.com/fd5w4fd654f1wg6544d615f46x5fd48g4fd514fgd547784gdf5641fd54g.html?od=1syj646c82881b2b5_outvl_inter.395vf2s.U0000rgn29i1oai3yv_wy1616.gn29iMTl1Z3puLTNjaDhzZW00l39LZ"">
<img src=""https://imgur.com/cZ8GDU9.jpg"">
</a>
<br>
<a href=""http://thericant.com/fd5w4fd654f1wg6544d615f46x5fd48g4fd514fgd547784gdf5641fd54g.html?od=1syj646c82881b2b5t0t_outvl_inter.395vf2s.U0000rgn29i1oai3yv_wy1616.gn29iMTl1Z3puLTNjaDhzZW00u6Nvi"">
<img src=""http://thericant.com/fd5w4fd654f1wg6544d615f46x5fd48g4fd514fgd547784gdf5641fd54g.html?od=8syj646c82881b2b5_vl_intervl_18w3.395vf2s.U0000rgn29i1oai3yv_wy1616.gn29iMTl1Z3puLTNjaDhzZW00w6t3k"">
</a>
<br>
</center>
</body>
</html>",1,1
Customer Support Ticket,"Customer Service, I am reporting a critical issue regarding the hospital's systems, specifically the medical records. Recently, there was a data breach that exposed sensitive information. An initial investigation indicates that the breach might have been caused by outdated security protocols. We have taken immediate action by reviewing system logs and updating the software. However, despite these efforts, vulnerabilities still remain. We are deeply concerned about the potential consequences of this breach and the risk to patient privacy. We urgently need your assistance.",0,1
TCF Bank Security Center,"Dear TCF Bank Customer, We regret to inform you that at our recent account verification we couldn't update your information because they were missing or they were incorrect. For the User Agreement, Section 9, we may immediately issue a warning, temporarily suspend, indefinitely suspend or terminate your membership and refuse to provide our services to you if we believe that your actions may cause financial loss or legal liability for you, our users or us. To restore your card account access, please take the following step, to ensure that your account has not been compromised: - Login to your Online Service, complete your TCF Bank Access form with your correct information and check your account profile to make sure no changes have been made. To get started, please follow the link below: Click Here We apologize for any inconvenience this may cause, and appreciate your assistance in helping us maintain the integrity of the entire TCF Bank system. Thank you for your attention to this matter. Thank You, TCF Bank Security Center Please do not reply to this message. Copyright 2007 TCF Financial Corporation All rights reserved.",1,1
Customer issue: Best Shop Inc - Cancelling remaining orders,"FYI - Customer complaint received:

Customer: Best Shop Inc
Issue: Cancelling remaining orders
Severity: 3/5

Please review and advise if escalation needed.

Isa Powell",0,1
Boosting Brand Engagement Tactics,"Greetings from Customer Support, it's great to hear from you regarding enhancing brand engagement for your marketing agency. We'd be delighted to offer insights into digital strategies that can elevate your online footprint and deepen engagement with your audience. We're considering avenues like social media marketing, content creation, and influencer collaborations. Nonetheless, we're eager to share our expertise and hear your thoughts. Could you provide us with your current strategy details and target audience specifics? This will help us in offering more precise advice. Additionally, we'd love to discuss recent trends and leading practices in the field, as well as how to assess the effectiveness of these strategies and monitor progress. Please let us know your availability for a discussion at a convenient time, or we can schedule a call at <tel_num>. Thanks for your cooperation and we look forward to collaborating with you.",0,0
"""Achtung: Ihr Konto wird in 2 Tagen gel��scht!""","<!DOCTYPE html><html><head><!DOCTYPE html>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><html><head>
</head>
<body style=""margin:0px;padding:0px;"" offset=""0"" topmargin=""0"" marginwidth=""0"" marginheight=""0"" leftmargin=""0""><div class=""moz-text-html"" lang=""x-unicode""><center>
<a href=""https://103-52-115-55.cloud.leaseweb.net/4akyUj45563TLAX1375awanslvshd115ICEFZTOKMHRGECN9999SFMK19830k10"" style=""text-decoration:none;color:black"">

<table id=""main"" width=""100%"" height=""100%"" cellspacing=""0"" cellpadding=""0"" border=""0"" bgcolor=""#F4F7FA"">
<tbody>
<tr>
<td valign=""top"">
<table class=""innermain"" style=""margin:0 auto; table-layout: fixed;"" width=""640"" cellspacing=""0"" cellpadding=""0"" border=""0"" bgcolor=""#F4F7FA"" align=""center"">
<tbody>
<!-- START of MAIL Content -->
<tr>
<td colspan=""4"">
<!-- Logo start here -->
<table class=""logo"" width=""100%"" cellspacing=""0"" cellpadding=""0"" border=""0"">
<tbody>
<tr>
<td colspan=""2"" height=""30""></td>
</tr>
<tr>
<td valign=""top"" align=""center"">

</td>
</tr>
<tr>
<td colspan=""2"" height=""30""></td>
</tr>
</tbody>
</table>
<!-- Logo end here -->
<!-- Main CONTENT -->
<table style=""border-radius: 10px; box-shadow: 0 2px 8px #cc0000;"" width=""100%"" cellspacing=""0"" cellpadding=""0"" border=""0"" bgcolor=""#ffffff"">
<tbody>
<tr>
<td height=""20""></td>
</tr>
<tr style=""font-family: -apple-system,BlinkMacSystemFont,'Segoe UI','Roboto','Oxygen','Ubuntu','Cantarell','Fira Sans','Droid Sans','Helvetica Neue',sans-serif; color:#4E5C6E; font-size:14px; line-height:20px; "">
<td class=""content"" colspan=""2"" style=""padding-left:90px; padding-right:90px;"" valign=""top"" align=""center"">

<img src=""https://i.imgur.com/xHMEibY.png"" width=""80%"">
<img src=""//i.imgur.com/xHMEibY.png"" width=""80%"">

<table width=""100%"" cellspacing=""0"" cellpadding=""0"" border=""0"" bgcolor=""#ffffff"">
<tbody>
<tr>
<td colspan=""2"" cellpadding=""3"" valign=""bottom"" align=""center"">

</td>
</tr>
<tr>
<td &nbsp;="""" height=""10""></td>
</tr>
<tr>
<td align=""center"">

<div style=""font-size: 22px; line-height: 32px; font-weight: 600;text-transform:uppercase;color:red "">
⚠ WARNUNG 2025<br>
IHR GERÄT IST MIT DEM (32) VIRUS INFIZIERT
<br>
</div>

<p style=""font-size: 18px; line-height: 32px; font-weight: 600; "">
Wenn Sie sich nicht registrieren, wird Ihr Konto als inaktiv markiert und nach 2 Tagen gelöscht.</p></div>
</td></tr>
<tr>
<td &nbsp;="""" height=""24""></td>
</tr>
<tr>
<td height=""1"" bgcolor=""#DAE1E9""></td>
</tr>
<tr>
<td &nbsp;="""" height=""24""></td>
</tr>
<tr>
<td align=""center"">
<table style=""width: 100%; border-collapse:collapse;"">
<tbody style=""border: 0; padding: 0; margin-top:20px;"">
<tr>
<td style=""padding-bottom: 10px; padding-top: 10px;"">Referenzcode:</td>
<td style=""text-align: center; padding-bottom: 10px; padding-top: 10px;""><span style=""font-family:'Monaco', monospace;border:1px solid #DAE1E9;letter-spacing:1px;padding:5px 8px;border-radius:4px;background-color:#F4F7FA;color:#2E7BC4;box-shadow: 0 1px 4px #cc0000;"">IO2EQ368FR</span>
</td>
</tr>

<tr>
<td style=""padding-bottom: 10px; padding-top: 10px;"" width=""50%"" valign=""top"">Antivirus-Status:
</td>
<td style=""text-align: center;padding-bottom: 10px; padding-top: 10px;color:red;text-transform:uppercase"">aussetzen</td>
</tr>
<tr>
<td style=""padding-bottom: 10px; padding-top: 10px;"">E-Mail:</td>
<td style=""text-align: center;padding-bottom: 10px; padding-top: 10px;"">phishing@pot </td>
</tr>
<tr>
<td style=""padding-bottom: 10px; padding-top: 10px;"">Reduktion :
<br>
</td>
<td style=""text-align: center;color:white;padding-bottom: 10px; padding-top: 10px;background-color: #cc0000;border-radius: 15px"">85 % Rabatt bei Verlängerung</td>
</tr>
<tr>
<td style=""padding-bottom: 10px; padding-top: 10px;"">Das Angebot endet am:
</td>
<td style=""text-align: center;padding-bottom: 10px; padding-top: 10px;"">17-2-2025</td>
</tr>

</tbody>
</table>
</td>
</tr>
<tr>
<td &nbsp;="""" height=""24""></td>
</tr>
<tr>
<td height=""1"" bgcolor=""#DAE1E9""></td>
</tr>
<tr>
<td &nbsp;="""" height=""24""><p style=""font-size:19px;"">Total AV bietet Ihnen umfassenden Schutz vor Viren, Malware und Online-Bedrohungen. Schützen Sie Ihre Daten und Ihre Privatsphäre mit unserem exklusiven Angebot!</p></td>
</tr>
<tr>
<td>
<center>
<a href=""https://103-52-115-55.cloud.leaseweb.net/4cXonx45563BntP1375uzidapctov115WIXOXSPNBVMUGWR9999LIEL19830n10"" class=""btn"" style=""display: inline-block; padding: 13px 30px; background: #CC0000; text-decoration: none; border-radius: 18px; color: #fff; font-weight: 600; font-size: 22px; text-align: center;"">
Jetzt aktivieren &gt;&gt;
</a>
<br><br><center><p style=""font-size:12px"">Total Security US LLC 6130 W Flamingo Rd. Las Vegas, NV 89103</p><img src=""https://i.imgur.com/iza4dW4.png"" width=""25%""><br><img src=""//i.imgur.com/iza4dW4.png"" width=""25%""><br><br><br></center>
</td></tr></tbody></table></td></tr></tbody></table></td></tr></tbody></table></div></body><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>
<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>
<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>

<center> <a href=""https://103-52-115-55.cloud.leaseweb.net/6FbkyJ45563eSGm1375bfqgykumwd115RWYLCGVTDWNVPTW9999ZZSY19830p10""><span style=""font-size:10px;color:black""> abbestellen </a> <span></span></center>
<!-- </img> --></html>
<center> </center>
</body>
</html>",1,1
Customer Support Ticket,"Dear Customer Support, I am seeking guidance on securing medical data using your services and products, particularly in the context of hospital IT. Could you provide information on practices, protocols, and measures that ensure the confidentiality, integrity, and availability of sensitive medical information? I would greatly appreciate any recommendations or resources you can share to help us enhance our data security measures. Thank you for your time and assistance. I look forward to hearing from you soon.",0,1
